[00:00:03.507 --> 00:00:04.347]  We're live.
[00:00:04.747 --> 00:00:07.308]  It is Wednesday, May 15, 2012.
[00:00:08.208 --> 00:00:12.870]  And this is a live prelude to the news.
[00:00:13.150 --> 00:00:15.811]  The interview, almost an hour long, I shot earlier.
[00:00:16.731 --> 00:00:23.393]  The huge news segment, incredible information dealing with the impeachment of Barack Obama for his treasonous wars he's launching.
[00:00:23.993 --> 00:00:25.074]  They are in there right now.
[00:00:26.368 --> 00:00:27.250]  Editing that together.
[00:00:28.312 --> 00:00:30.556]  That's why we're doing Infowars Nightly News in beta.
[00:00:31.037 --> 00:00:33.321]  So that we can get the crew, get the team.
[00:00:34.302 --> 00:00:37.128]  The problem is I add so much every night, they add so much.
[00:00:37.148 --> 00:00:38.109]  We're so passionate.
[00:00:39.355 --> 00:00:47.957]  about the information that a lot of nights we don't get on at seven o'clock and before I can put this up on satellites and get all that set up, we've got to have the show done by like six.
[00:00:49.097 --> 00:00:51.798]  But I appreciate all the PrisonPlanet.TV subscribers.
[00:00:52.978 --> 00:00:54.318]  Some nights the show's two hours.
[00:00:54.378 --> 00:00:55.539]  It's always over 30 minutes.
[00:00:56.659 --> 00:00:58.879]  And we're just bringing you so much hardcore information.
[00:00:58.899 --> 00:01:00.840]  This is really important info.
[00:01:01.140 --> 00:01:05.201]  Who else out there is delivering this type of research and information?
[00:01:05.381 --> 00:01:05.841]  I wish
[00:01:06.781 --> 00:01:18.944]  There were others because it is lonely knowing just how big a threat we face and the fact that we're the best there is because we try hard but we're just human and I just wish I was doing more and I wish I could do more for you.
[00:01:19.464 --> 00:01:24.205]  The good news is tonight this won't be covered in the news but I'll cover it now here live with you.
[00:01:27.246 --> 00:01:32.487]  As they cut out all the clips of me running around the set like Yosemite Sam we had a lot of problems and technical stuff tonight.
[00:01:34.631 --> 00:01:43.420]  Is that I am hearing from activists all over the world, not just the United States, that they're going to be flooding in to Virginia in just two weeks from now.
[00:01:44.001 --> 00:01:46.904]  May 31st through the 4th for Bilderberg 2012.
[00:01:46.944 --> 00:01:47.885]  I'm going to be there.
[00:01:50.421 --> 00:01:51.402]  Not for long.
[00:01:51.442 --> 00:01:54.124]  People won't let you hardly fly anymore with no fly list.
[00:01:54.164 --> 00:01:55.486]  They're setting up highway checkpoints.
[00:01:55.546 --> 00:01:56.687]  We're driving via RV.
[00:01:56.707 --> 00:02:04.093]  But for now, we're still able to travel here in the captured United States with the re-education camps, the military trying to take on the American people.
[00:02:04.153 --> 00:02:04.894]  It's all confirmed.
[00:02:05.475 --> 00:02:08.658]  But for now, we're going to be able to still go in 2012 to confront the globalists.
[00:02:09.238 --> 00:02:12.560]  And bring media attention on to them, something they absolutely don't want.
[00:02:12.840 --> 00:02:18.883]  They want you to think Mitt Romney, Barack Obama, Merkel, Hollande, and France that are actually running things.
[00:02:18.903 --> 00:02:22.125]  These people are just shell-out whores that read off teleprompters.
[00:02:22.205 --> 00:02:24.186]  Absolute enemies against their peoples.
[00:02:24.806 --> 00:02:25.907]  Enemies against humanity.
[00:02:26.267 --> 00:02:29.369]  Political mercenaries who are the enemies of everything good and decent.
[00:02:30.189 --> 00:02:31.069]  These are parasites.
[00:02:31.109 --> 00:02:32.230]  They see you as scum.
[00:02:32.270 --> 00:02:41.433]  They try to dumb you down, poison your food and water, wreck your family so that they can perch on top of you and dominate you and parasitically feed on you.
[00:02:42.533 --> 00:02:48.375]  But Bilderberg 2012, in a gut feeling and also intellectually, is going to be unlike any other.
[00:02:48.415 --> 00:02:49.315]  This is going to be big.
[00:02:50.535 --> 00:02:52.976]  And so, I look forward to seeing you all there.
[00:02:53.476 --> 00:02:55.197]  So many people are telling me they're coming.
[00:02:56.437 --> 00:02:57.658]  We are change.
[00:02:59.454 --> 00:03:00.215]  I don't know.
[00:03:16.129 --> 00:03:16.790]  You to be there.
[00:03:17.710 --> 00:03:19.651]  And when you get there, I've protested it in the U.S.
[00:03:19.671 --> 00:03:21.893]  before, the police are very nice.
[00:03:21.993 --> 00:03:25.255]  Anywhere else, they're horrible and attack the First Amendment because they've been told to.
[00:03:25.575 --> 00:03:26.756]  They get promotions if they do.
[00:03:27.197 --> 00:03:29.238]  The more anti-American, anti-Liberty they are.
[00:03:29.978 --> 00:03:33.521]  If you go to the G20 or NATO Summit, they crack you on the head.
[00:03:33.861 --> 00:03:39.185]  They're already sound canoning people at parks saying, it's a public safety thing, we're going to break your eardrums.
[00:03:39.745 --> 00:03:41.206]  You know, just tyranny is freedom.
[00:03:41.967 --> 00:03:43.708]  To let you know there's no First Amendment.
[00:03:45.185 --> 00:03:48.328]  Because those are just beta tests where the globalist minions are meeting.
[00:03:48.668 --> 00:03:55.474]  They use that, whether it's in Australia or England or Europe or the US or Canada, as a beta test that we're all good slaves.
[00:03:55.794 --> 00:04:00.098]  Like TSA groping your wife and children and slapping you around a little bit and robbing your bag.
[00:04:00.418 --> 00:04:01.619]  That's all part of your slave training.
[00:04:01.959 --> 00:04:05.903]  But when it's the real elitist meeting, they don't want that getting any attention.
[00:04:06.363 --> 00:04:10.206]  You've got arms dealers, child kidnappers, smugglers, mega bankers.
[00:04:11.587 --> 00:04:17.771]  The head of the Bilderberg Group had to step down a few years ago because he was connected to diamonds and guns and murders and scams.
[00:04:18.351 --> 00:04:19.992]  They're in there really making deals.
[00:04:20.553 --> 00:04:21.653]  And they are so angry.
[00:04:21.693 --> 00:04:25.656]  They used to have their corporate press tell people it didn't exist and they'd say it doesn't exist.
[00:04:25.676 --> 00:04:27.317]  Doesn't matter how much footage we had.
[00:04:27.637 --> 00:04:28.878]  Now they have to admit it exists.
[00:04:28.918 --> 00:04:29.639]  They hate this.
[00:04:30.834 --> 00:04:31.795]  They don't want our attention.
[00:04:32.276 --> 00:04:34.138]  So we're going to be there, and you're going to be there.
[00:04:34.478 --> 00:04:39.323]  I want thousands of people to be at Bilderberg 2012 in Chantilly, Virginia at the Westfields Marriott.
[00:04:39.343 --> 00:04:42.146]  We're going to have more press releases, more documentation.
[00:04:42.547 --> 00:04:47.552]  As everything comes to a head, as the quickening accelerates, we don't have one, we have two different sources.
[00:04:48.966 --> 00:04:54.648]  One close to Bilderberg, one within it, and we got their code name this year, the Palm Tree Conference.
