[00:00:21.755 --> 00:00:22.716]  Welcome, my friends.
[00:00:22.736 --> 00:00:25.057]  It is Wednesday, March 7th, 2012.
[00:00:25.197 --> 00:00:29.479]  This is another edition of InfoWars Nightly News.
[00:00:29.539 --> 00:00:48.309]  Investigative reporter John Rappaport is going to be joining us after the first break to talk about a host of issues, including the big bioethicist organization publishing papers calling for killing newborn babies up to the age of three, saying the state is going to decide if you're a human being or not.
[00:00:48.749 --> 00:00:50.490]  They say killing even healthy babies
[00:00:51.111 --> 00:00:52.096]  Is A-OK.
[00:00:52.578 --> 00:00:54.949]  That's coming up tonight with Jon Rappaport.
[00:00:54.989 --> 00:00:55.150]  Now!
[00:00:56.670 --> 00:01:17.484]  You know that Andrew Breitbart, who ran the Alternative Media Empire, who brought down ACORN and so many other criminal operations of Obama, you know that he had basically sworn that he would bring down Obama completely with new information he was going to bring out March 1st.
[00:01:17.525 --> 00:01:21.667]  But he died in the early morning hours of March 1st.
[00:01:22.935 --> 00:01:37.020]  Now, I said that day, it's very suspicious that within two hours of him, just recapping, dying at the hospital after leaving a bar with a few drinks and then collapsing at his home, according to witnesses, that they would announce it was natural causes.
[00:01:37.060 --> 00:01:42.041]  The coroner's come out in the LA Times and said, six to eight weeks, we're looking at foul play, we're looking at every base.
[00:01:42.782 --> 00:01:45.403]  Covering all the bases is what he said, including foul play.
[00:01:46.003 --> 00:01:51.865]  Because this is obviously very suspicious because he said that day, for weeks, he was going to release this bombshell info.
[00:01:52.705 --> 00:01:57.228]  Now, today there was some big breaking news on this front, on several areas.
[00:01:58.228 --> 00:02:07.673]  I interviewed Eric Mankell-Muller, and as the syndicated radio host was speaking, also Fox TV host, I was like, wow, how did I forget this?
[00:02:08.714 --> 00:02:10.255]  That he had called me
[00:02:12.113 --> 00:02:15.674]  Three months ago, and said, would you like to be on the biggest cable news channel?
[00:02:15.714 --> 00:02:17.375]  I'm not supposed to say which one, but it's pretty obvious.
[00:02:17.975 --> 00:02:24.518]  And would you like to do a show where you and Breitbart are my two people I talk to every day that I have other guests?
[00:02:25.098 --> 00:02:26.879]  And I said, yeah, they'll take Breitbart.
[00:02:26.899 --> 00:02:28.639]  He's already on there, but not me.
[00:02:28.679 --> 00:02:29.580]  But I said, go ahead and try.
[00:02:29.840 --> 00:02:31.520]  Well, he's getting his show on there.
[00:02:31.860 --> 00:02:32.881]  He's done shows there before.
[00:02:33.681 --> 00:02:39.283]  And Breitbart was green-lighted, obviously not yours truly yet, and I told him I won't even take it, so don't even try.
[00:02:39.303 --> 00:02:43.625]  And I'd already talked about this three months ago, strangely enough, just left the Breitbart part out.
[00:02:44.005 --> 00:02:51.028]  So I'd forgotten about all this, and then Mankell's on my show telling me, and I went, wow, yeah, it was about 10 o'clock at night, talked to him.
[00:02:51.488 --> 00:02:56.130]  He said he was real good friends with Breitbart, he'd just been in Chicago, they'd met, interviewed him many times.
[00:02:56.710 --> 00:02:58.131]  But that's all a side issue.
[00:02:58.551 --> 00:03:06.434]  Sure, it's newsworthy that he was going to do a show with Mancow, just like he was saying they were going to do a show with Weiner on CNN, but Mancow knew nothing about that.
[00:03:07.135 --> 00:03:10.656]  Of course, Breitbart didn't even like CNN.
[00:03:10.676 --> 00:03:12.177]  You know, he's on Fox already.
[00:03:12.417 --> 00:03:14.058]  I mean, the other big top network.
[00:03:14.618 --> 00:03:16.979]  So all of this is going on.
[00:03:18.620 --> 00:03:20.101]  And I'm sitting here talking to him.
[00:03:22.082 --> 00:03:24.743]  And he goes further, he says, Breitbart
[00:03:26.357 --> 00:03:30.360]  He said that he had information that would bring down the whole House of Cards on Obama.
[00:03:30.720 --> 00:03:36.744]  The video and the audio and the text is all in our article at InfoWars.com as this breaks, teleprompter free.
[00:03:37.765 --> 00:03:40.447]  And he said, I've got information that will bring him down.
[00:03:40.487 --> 00:03:48.933]  And Mankow went on to say he can't say everything, but that it was not Obama at Harvard mentioning a professor who was connected to extremists.
[00:03:49.553 --> 00:03:53.616]  I mean, Obama already hangs out
[00:03:54.864 --> 00:03:57.547]  With known communists and people that have been convicted of bombings.
[00:03:57.607 --> 00:03:58.608]  That's old news.
[00:03:59.008 --> 00:04:02.432]  Breitbart said to Mankell, forget it, Obama's gone.
[00:04:02.592 --> 00:04:04.974]  He's like, well, will it be Mitt Romney or Ron Paul or somebody?
[00:04:05.455 --> 00:04:06.076]  That doesn't matter.
[00:04:08.223 --> 00:04:09.023]  Obama's gone.
[00:04:09.504 --> 00:04:12.505]  This isn't somebody who would make light threats.
[00:04:12.525 --> 00:04:14.286]  He said, I'm going to expose and destroy Akron.
[00:04:14.566 --> 00:04:14.886]  Happened.
[00:04:15.487 --> 00:04:17.728]  He said, I'm going to expose these energy contracts.
[00:04:17.908 --> 00:04:18.228]  Happened.
