[00:00:22.233 --> 00:00:24.815]  Welcome, it's Wednesday, February 22nd, 2012.
[00:00:25.636 --> 00:00:31.060]  I'm Aaron Dykes and we are in an aggressive but entirely non-violent information war.
[00:00:31.400 --> 00:00:38.946]  They are taking over our Constitution, hijacking the fact that we are endowed by the Creator with inalienable rights and we better take it back.
[00:00:39.306 --> 00:00:42.749]  This fascism has been creeping and creeping and creeping for decades.
[00:00:43.129 --> 00:00:43.710]  That's gone.
[00:00:43.810 --> 00:00:44.731]  It's happening now.
[00:00:44.911 --> 00:00:51.037]  Everything is coming undone, and the fight is on right now for our rights on every front imaginable.
[00:00:51.377 --> 00:00:54.681]  Coming up on one of those fronts, we have Sheriff Richard Mack.
[00:00:55.021 --> 00:01:02.469]  He's been doing constitutional conventions with sheriffs to try to take back our states and local counties from all this federal encroachment.
[00:01:02.509 --> 00:01:03.190]  That's coming up.
[00:01:03.250 --> 00:01:03.710]  Stay tuned.
[00:01:03.730 --> 00:01:04.571]  You don't want to miss it.
[00:01:04.891 --> 00:01:06.012]  But first, the news.
[00:01:06.713 --> 00:01:12.137]  Ron Paul is being cheated out of the Republican nomination, and don't be surprised out there.
[00:01:12.157 --> 00:01:20.642]  You've seen all the fudging on the media, where they forget to even put his name in polls, where he comes in 1st or 2nd place in a straw poll and they don't even report.
[00:01:20.962 --> 00:01:23.064]  They report on the 3rd or 4th place people.
[00:01:23.404 --> 00:01:30.549]  All these other shark teeth, phony rhino candidates have fallen out of the race, and they still prop up Romney and Gingrich and Santorum.
[00:01:30.889 --> 00:01:32.570]  It still doesn't stop Ron Paul.
[00:01:33.050 --> 00:01:37.994]  Even as they've been cheating him in primary and caucus state after caucus state after caucus state.
[00:01:38.334 --> 00:01:42.037]  We've got a video in just a moment with Alex on the issue in depth.
[00:01:42.317 --> 00:01:45.999]  But of course, they've had to admit in Maine they didn't count on the votes.
[00:01:46.380 --> 00:01:52.644]  They accidentally reported that they weren't going to count the votes in certain counties that would have swung towards Ron Paul.
[00:01:53.164 --> 00:02:01.730]  And most significantly, they put off a heavily pro-Ron Paul county and district for over a week due to snow that never came.
