[00:00:08.382 --> 00:00:13.790]  So what's the secret of the Italian ship disaster and all those that died?
[00:00:15.373 --> 00:00:23.906]  Well, it's really not a secret at all, but nowhere in the dinosaur corporate horror media have I seen really people discuss the fact that
[00:00:25.993 --> 00:00:40.176]  In case after case, over and over again, in major disasters where big institutions, big corporations, or big governments are involved, does the system actually take care of little people?
[00:00:41.617 --> 00:00:46.158]  And that's because big institutions are always filled with bureaucracy.
[00:00:47.455 --> 00:00:54.439]  And bureaucracies always seek to basically limit liability.
[00:00:54.940 --> 00:01:01.484]  And so the individuals involved are all denying responsibility.
[00:01:03.165 --> 00:01:08.148]  And so when you actually have a big crisis take place,
[00:01:09.312 --> 00:01:11.613]  Well, everybody's there passing the buck.
[00:01:12.453 --> 00:01:14.154]  And you see this in modern society.
[00:01:14.194 --> 00:01:26.639]  You see this in large urban centers in China and the United States and Europe, where there'll be a woman who's been stabbed laying in the middle of the road for two hours as hundreds of cars and pedestrians go by.
[00:01:26.659 --> 00:01:28.180]  I mean, the cases are legion.
[00:01:29.093 --> 00:01:29.233]  I think?
[00:01:43.612 --> 00:01:49.097]  Basically telling the crew everything was fine, telling the people don't worry, we just lost some power, some generators.
[00:01:49.337 --> 00:01:53.641]  This went on for hour after hour after hour as the ship even began to list and lean.
[00:01:54.421 --> 00:02:03.309]  And of course the people that got off and actually survived were the guests on the ship, the passengers who didn't buy into this.
[00:02:04.230 --> 00:02:08.233]  Now it turns out what was happening is the captain and the crew
[00:02:09.281 --> 00:02:16.846]  Which was around 20% of the total 4,000 plus that were on board were basically getting off themselves first.
[00:02:17.806 --> 00:02:23.370]  And when you have an immoral society, when you have a society where it's every man for himself, you're going to see this happen.
[00:02:23.650 --> 00:02:30.494]  I mean, the Titanic was a big disaster and a giant fiasco, but the captain did go down with a ship.
[00:02:31.354 --> 00:02:36.115]  Many of the top officers went down because that was the honorable thing to do.
[00:02:36.815 --> 00:02:44.697]  Now, of course, the rich people in first class basically had the doors locked and left the poor people in steerage to die to make sure that they got life rafts.
[00:02:45.817 --> 00:02:59.060]  And when you saw the rich, you know, basically demand that they be let on the lifeboats first, you really see a parable or a parallel to everything that we face today.
[00:03:00.168 --> 00:03:02.750]  The globalists think that the world belongs to them.
