[00:00:01.834 --> 00:00:01.914]  Yeah.
[00:00:34.332 --> 00:00:37.593]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:00:37.673 --> 00:00:39.233]  Today is Monday, July 9, 2012.
[00:00:39.433 --> 00:00:42.474]  I'm your host, Aaron Dykes.
[00:00:45.534 --> 00:01:01.098]  Tonight, the war on home Bible studies and house churches is heating up as a man in Phoenix, Arizona gets sentenced to 60 days in prison and a $12,000 fine for hosting a Bible study in his home.
[00:01:01.758 --> 00:01:07.365]  Then, Monsanto launches a massive campaign to stop GMO labeling.
[00:01:07.985 --> 00:01:13.452]  And a Forbes op-ed voices opposition to the gun-grabbing UN treaty.
[00:01:13.832 --> 00:01:18.138]  All that plus more, up next, on the InfoWars Nightly News.
[00:01:29.929 --> 00:01:34.851]  Tonight up in news, it's another order for more control in a time of crisis.
[00:01:35.391 --> 00:01:53.639]  Specifically, Obama, the man known as President, has issued another executive order seeking control over communications during a crisis, updating existing orders, updating his own previous orders during his term, and following up directly on the report that came out just two weeks ago
[00:01:54.179 --> 00:02:01.004]  That DHS would issue cell phone presidential alerts over mobile phones mandatorily on all carriers.
[00:02:01.664 --> 00:02:19.977]  So Obama issued this executive order last Friday, July 6th, just in time for the weekend here, and it's just strengthening this miles and miles of bureaucracy surrounding the takeover system, surrounding the, quote, national security and emergency preparedness of the government.
[00:02:20.237 --> 00:02:21.558]  Under the continuity of government.
[00:02:21.578 --> 00:02:23.538]  That's the only leg they have to stand on.
[00:02:23.578 --> 00:02:25.279]  So it's the only thing they have to strengthen.
[00:02:25.679 --> 00:02:27.440]  None of this is in the Constitution.
[00:02:27.500 --> 00:02:31.502]  None of this is balanced on congressional or judicial power.
[00:02:31.822 --> 00:02:35.464]  This is all about the executive branch always taking over.
[00:02:35.564 --> 00:02:37.584]  And no, it's not about Obama the man.
[00:02:37.604 --> 00:02:42.707]  It's about the presidency getting too big for its britches over the years and never looking back.
[00:02:43.187 --> 00:02:45.108]  And so you've got things like
[00:02:45.928 --> 00:03:09.368]  The resilience of the architecture, redundant communications, ensuring that the President and the Executive Branch could stay in contact with all other entities of government and society in the instance of an emergency, including special preparations for the Secretary of Defense and Homeland Security to make sure all these things are implemented, very rigid and redundant, as I said.
[00:03:09.688 --> 00:03:11.250]  But it also includes the
[00:03:11.690 --> 00:03:18.995]  Ability to satisfy the priority of communication requirements through the use of commercial, government, and privately owned communications resources.
[00:03:19.375 --> 00:03:26.800]  This is a takeover, again, not just of government communications, but of privately established communications.
[00:03:26.840 --> 00:03:28.681]  That's why they're doing the cell phone alerts.
[00:03:29.001 --> 00:03:36.606]  That's why they've strengthened, just in this last year, the EAS emergency alert system takeover, forced all the radio stations to deal with it.
[00:03:36.946 --> 00:03:38.387]  And they even have a clause in here
[00:03:38.747 --> 00:03:48.116]  Not only about the Joint Industry Government Center, yes a private-public partnership, but the activation or deactivation or closing of radio stations.
[00:03:48.536 --> 00:04:01.768]  And I checked, this is in previous legislation going back at least to the 80s, but in the event of an emergency, the government will not only take over communications, but potentially shut down voices you may be quite familiar with hearing.
[00:04:02.208 --> 00:04:08.550]  That could be what so-called right-wing talk radio, could be Alex Jones, it could be any of us on the web.
[00:04:08.910 --> 00:04:18.532]  So let's look out for the power that's being handed down through communications for the federal government to take over in a, quote, emergency, which is increasingly defined as almost anything.
[00:04:18.912 --> 00:04:20.333]  Alex has been covering this for years.
[00:04:20.373 --> 00:04:25.074]  Let's go to a key video he issued on the emergency alerts takeover system right now.
[00:04:25.874 --> 00:04:28.775]  This is a test of the emergency alert system.
[00:04:31.440 --> 00:04:36.662]  Executive Order 10995 allows the government to seize and control the communication media.
[00:04:37.122 --> 00:04:41.103]  Our nation is at war against a far-reaching network of violence and hatred.
[00:04:41.443 --> 00:04:42.604]  Training camps have been struck.
[00:04:43.104 --> 00:04:43.904]  Leaders eliminated.
[00:04:44.284 --> 00:04:45.165]  Plots disrupted.
[00:04:45.765 --> 00:04:50.686]  And all those involved in the attempted act of terrorism, as you must know, you too will be held to account.
[00:04:51.187 --> 00:04:51.807]  Think about it.
[00:04:52.591 --> 00:05:00.895]  Fifteen years ago, we allowed the federal government to hardwire emergency takeover systems of all major communications and media in the United States.
[00:05:01.295 --> 00:05:05.597]  Now the federal government's coming out in the open and admitting what was already in their internal documents.
[00:05:05.617 --> 00:05:10.279]  They're going to begin having federal break-ins over local news.
[00:05:10.519 --> 00:05:16.522]  If this had been an actual alert, this message would contain specific information on the watch or warning being issued.
[00:05:24.172 --> 00:05:25.213]  Well, it's really happening.
[00:05:26.073 --> 00:05:28.215]  Bonafide tyranny is coming to our shores.
[00:05:29.135 --> 00:05:33.478]  If you look at Egypt, you've witnessed how the government has seized control of the TV and radio stations.
[00:05:34.038 --> 00:05:36.860]  But in the United States, the federal government doesn't need to do that.
[00:05:37.421 --> 00:05:42.064]  Because under changes in FCC regulations over television and radio,
[00:05:43.084 --> 00:05:51.491]  In 1996, EAS emergency systems are put in at the radio or TV towers.
[00:05:51.891 --> 00:05:59.578]  They're also put in at the national and local cable systems, where the federal government puts a box in at the transmission tower
[00:06:00.779 --> 00:06:12.468]  Where they can flip a switch and shortwave towers nationwide take over those computers and put out an audio signal of whatever message they want.
[00:06:13.209 --> 00:06:15.291]  I am a radio broadcaster.
[00:06:16.485 --> 00:06:25.608]  And I remember 15 years ago when this change was made, watching the engineer at the radio station where I worked and the station manager literally freaking out.
[00:06:26.129 --> 00:06:32.251]  They were sent documents that the FCC said were restricted, but I was allowed to look at them and I was allowed to videotape them.
[00:06:32.491 --> 00:06:35.592]  And I put it in my 1999 film, Police Day 2000.
[00:06:36.652 --> 00:06:38.073]  Well my friends, you're looking
[00:06:39.682 --> 00:06:41.124]  At a FEMA control box.
[00:06:42.105 --> 00:06:46.689]  That's right, at 98.9 KJFKFM, where I work, in Austin, Texas.
[00:06:47.310 --> 00:06:50.233]  That, my friends, can take over the radio station.
[00:06:51.274 --> 00:06:54.177]  It is radio controlled by a FEMA tower.
[00:06:54.257 --> 00:06:57.280]  That's right, a FEMA tower in New Braunfels, Texas.
[00:06:58.481 --> 00:07:02.365]  It covers almost all of the central part of the state of Texas.
[00:07:03.649 --> 00:07:08.353]  Little teletypes come printing out of the side of the machine weekly and update us.
[00:07:08.733 --> 00:07:15.519]  In the past it was voluntary, now it's mandatory and they can remote control take over the station.
[00:07:16.259 --> 00:07:27.968]  And in those, they told them that in the near future the federal government would routinely seize control of their broadcast system, not during a plague or a nuclear attack or a war, but
[00:07:28.709 --> 00:07:31.513]  That they would seize control for routine announcements.
[00:07:32.134 --> 00:07:35.518]  So, it was put in place, but it wasn't implemented.
[00:07:36.460 --> 00:07:40.645]  Now, President Barack Obama, through the FCC, has announced today
[00:07:41.533 --> 00:07:49.538]  That they are going to begin testing and implementing national announcements with the President giving messages to the public.
[00:08:11.916 --> 00:08:12.701]  But it gets worse.
[00:08:14.676 --> 00:08:18.358]  Eight years ago, I was not doing my radio show out of the studio.
[00:08:18.379 --> 00:08:20.080]  I was doing it out of a local talk station.
[00:08:20.200 --> 00:08:21.340]  I didn't have my own studio then.
[00:08:21.801 --> 00:08:36.310]  They got new communiques from the FCC telling them that they should prepare in the near future for multiple hours per day of federal break-ins over the local AM station.
[00:08:36.751 --> 00:08:41.934]  And the same systems in the cable systems, broadcast TV, talk radio, you name it.
[00:08:42.435 --> 00:08:44.076]  And I went to the station manager.
[00:08:45.037 --> 00:08:48.382]  And I said, please, come on my show, talk about this.
[00:08:49.003 --> 00:08:52.889]  And he said, no, I showed you this stuff in confidence, you're not allowed to talk about it.
[00:08:53.229 --> 00:08:54.912]  You can say you heard about it, but not where.
[00:08:56.554 --> 00:08:58.898]  Now, since then, I've done shows out of
[00:08:59.781 --> 00:09:01.362]  Another big talk station here in town.
[00:09:01.823 --> 00:09:25.041]  I've been a guest in many stations around the country, over 80 stations now that pick up my syndicated radio show, and in the last week I have talked to station owners and managers who are now getting internal communiques from the FCC, and they're told it's national security, that they're not allowed to talk about it, but that there are going to be more and more government break-ins over radio and TV.
[00:09:25.882 --> 00:09:26.983]  Now I got that news.
[00:09:28.683 --> 00:09:41.834]  But was trying to figure out what to do with it when today the big announcement comes out and the FCC Obama spokes lady says, oh this is no big deal, we've always had this in place, we're now just going to implement it.
[00:09:42.174 --> 00:09:43.075]  Well I guess that's true.
[00:09:43.755 --> 00:09:46.137]  There are executive orders to seize all transportation.
[00:09:46.597 --> 00:09:50.100]  There are executive orders to put every American into forced labor brigades.
[00:09:50.561 --> 00:09:53.263]  There are executive orders to take over all the media.
[00:09:54.531 --> 00:10:01.881]  under nuclear attack under continuity of government the point is now obama is beginning to implement this
[00:10:03.442 --> 00:10:10.504]  Before 1996, you had one local station that under an emergency situation would broadcast the EAS alert.
[00:10:11.024 --> 00:10:14.605]  Other stations would tune to that station and carry those emergency alerts.
[00:10:15.365 --> 00:10:29.909]  No country in the world, not communist Russia back during the Soviet Union pre-1991, not Ceausescu's Romania, none of them had actual boxes in the radio and TV stations that would take over
[00:10:30.529 --> 00:10:31.710]  The entire transmission.
[00:10:32.010 --> 00:10:37.155]  These are wired in under regulations to the broadcast towers and at the studios.
[00:10:37.635 --> 00:10:43.260]  Everything by law, and I've watched the engineers complain and bitch and moan for years, has to be wired through these.
[00:10:43.580 --> 00:10:45.102]  And it causes all sorts of problems.
[00:10:45.382 --> 00:10:52.028]  They have to do weekly checks, randomly, where the federal government tests the takeover of the station to make sure it's in place.
[00:10:52.668 --> 00:11:00.550]  This is happening in America, right as we go into a depression, right as foreign banks loot our country, right as they try to start new wars in the Middle East.
[00:11:00.730 --> 00:11:02.590]  Do you see what's happening?
[00:11:03.090 --> 00:11:03.890]  But it gets worse.
[00:11:04.371 --> 00:11:08.051]  FEMA began to put out press releases last year saying, you know what?
[00:11:08.632 --> 00:11:13.313]  We're going to have digital license plates across the country that have Most Wanted videos popping up.
[00:11:13.353 --> 00:11:14.473]  It'll be an LCD screen.
[00:11:15.553 --> 00:11:18.376]  And we're going to give you government announcements over those.
[00:11:18.696 --> 00:11:22.019]  You know those billboards we put up for Amber Alerts with kidnappable kids?
[00:11:22.360 --> 00:11:25.683]  Now it's going to be report illegal guns, report terrorism.
