[00:00:13.547 --> 00:00:14.807]  Welcome, ladies and gentlemen.
[00:00:14.967 --> 00:00:17.048]  It's Thursday, March 22, 2012.
[00:00:17.768 --> 00:00:19.509]  I'm Aaron Dykes.
[00:00:19.809 --> 00:00:30.211]  On this InfoWars Nightly News, as we get ready to come back to you live with the new, condensed, hard-hitting, powerful, revamped, redesigned InfoWars Nightly News.
[00:00:30.291 --> 00:00:32.152]  It's going to be shorter and hard-hitting.
[00:00:33.152 --> 00:00:36.893]  Before we do that, we have a few more days of tooling around and getting things ready.
[00:00:37.513 --> 00:00:38.294]  But just wait.
[00:00:38.374 --> 00:00:39.214]  It's going to be great.
[00:00:39.274 --> 00:00:40.214]  It's going to be powerful.
[00:00:40.574 --> 00:00:49.257]  Now, on tonight's broadcast, we're going to bring you another replayed episode, another chosen, hard-hitting episode from our past run.
[00:00:49.577 --> 00:00:51.037]  This one is from November 28, 2011.
[00:00:52.478 --> 00:01:00.280]  And Alex talks with not only Gerald Cilente, who's an expert on the economic collapse, but also a victim of it.
[00:01:00.980 --> 00:01:12.310]  On the heels of that MF Global scandal, Alex also talks with Dr. Clive Boddy, who has really profiled the business culture and their psychopathic tendencies.
[00:01:12.590 --> 00:01:17.994]  He's the author of the book, The Corporate Psychopath's Theory of the Global Financial Crisis.
[00:01:18.755 --> 00:01:28.103]  Then later, Alex is also going to get into the Newt World Order and all the ties that one Newt Gingrich has to the larger New World Order system.
[00:01:28.163 --> 00:01:29.324]  What a minion he's been.
[00:01:29.744 --> 00:01:47.829]  For his lifetime of service to the New World Order and government, all the programs he's been part of, all the technocrats he played around with, all the anti-constitutional, unconstitutional programs he has backed and been a part of, all the little phrases he's thrown in in his years as Speaker of the House.
[00:01:48.029 --> 00:01:48.509]  I think so.
[00:02:04.634 --> 00:02:04.874]  Thank you.
[00:02:19.264 --> 00:02:23.086]  Okay, that's enough just for you to understand that concept.
[00:02:23.146 --> 00:02:36.232]  And it's not just Mario Monti, it's the people they're putting in in Greece and all the countries that are about to unfold in the domino crisis that's still going on here in March in Europe, and it was going on back then in late November.
[00:02:36.532 --> 00:02:44.256]  Now we're also going to talk about, as the Syria thing looks like it's about to go hot, how the US, how the Western forces, how NATO
[00:02:44.716 --> 00:02:50.740]  The West airlifted Al-Qaeda from Libya, which should have been enough of a scandal, to Syria.
[00:03:14.616 --> 00:03:14.699]  Yeah.
[00:03:15.413 --> 00:03:16.834]  Yeah, what a great thing in the news.
[00:03:17.254 --> 00:03:26.758]  And of course, Alex also profiles how the neocons have, in general, been in the process of regime change in the Middle East for more than 20 years.
[00:03:27.359 --> 00:03:37.203]  Going back to 1993, you have the testament of Wesley Clark, the general, who said he met with Paul Wolfowitz, and he then disclosed the hit list they had in the Middle East.
[00:03:37.544 --> 00:03:39.364]  It's the same old countries you know about.
[00:03:39.384 --> 00:03:44.067]  It was Iraq, it was Afghanistan, it was Libya, it was Syria, it was Iran.
[00:03:44.827 --> 00:03:45.789]  And they've hit all of them.
[00:03:45.869 --> 00:03:49.835]  There were a few others as well, but they've been very serious about that hit list.
[00:03:50.156 --> 00:03:55.765]  They thought at the time they might get it done in, say, five years at the beginning of the Bush administration.
[00:03:56.145 --> 00:03:58.529]  They didn't, but they still have the same hit list, don't they?
[00:03:59.306 --> 00:04:08.049]  Anyway, just some of the stuff you'll see on another Powerful Info Wars Nightly News episode until we come back all with a fresh new start next week.
[00:04:08.369 --> 00:04:13.250]  Stay tuned, tell your friends, family, contacts and consider supporting us financially.
[00:04:13.310 --> 00:04:14.371]  We do depend on that.
[00:04:14.911 --> 00:04:25.034]  You can subscribe and help us there at PrisonPlanet.tv where you also get a lot of benefits as being a member and you can share that password too with at least five other people.
[00:04:25.734 --> 00:04:26.916]  Just another way to spread the word.
[00:04:26.936 --> 00:04:28.638]  Thanks for watching and stay tuned.
[00:04:28.979 --> 00:04:31.663]  We'll see you tomorrow and especially next week.
[00:04:55.606 --> 00:04:56.527]  Thank you for joining us.
[00:04:56.867 --> 00:04:59.150]  It's Monday, the 28th day of November 2011.
[00:04:59.190 --> 00:05:04.456]  Thank you for joining us for this special edition of InfoWars Nightly News.
[00:05:04.957 --> 00:05:13.447]  We have Dr. Klein Body joining us, who's written a peer-reviewed paper and also published a book on psychopaths.
[00:05:13.567 --> 00:05:14.127]  We're good to go.
[00:05:42.202 --> 00:05:43.363]  It's like deja vu.
[00:05:45.103 --> 00:05:57.048]  I remember three years ago with the Military Commissions Act and other announcements that were made, executive orders, where they came out and said the Pentagon will kill U.S.
[00:05:57.088 --> 00:05:58.769]  citizens without trial or arrest.
[00:05:59.349 --> 00:06:03.311]  The Pentagon will arrest you, torture you, take you to a gulag.
[00:06:03.991 --> 00:06:06.492]  Now the bill and the executive orders
[00:06:09.739 --> 00:06:14.941]  said in them that US citizens are exempt unless they say you're, quote, fighting the US.
[00:06:15.321 --> 00:06:18.282]  That means the banksters that run our military and take control of our country.
[00:06:18.922 --> 00:06:26.025]  And Ron Paul came out and exposed it, and top lawyers on the left and right did, and the ACLU did, and still they said, no, it's ridiculous.
[00:06:26.405 --> 00:06:33.867]  And now they're killing, quote, American-born members of Al-Qaeda, no judge, no jury, no trial, shedding that precedent, saying, oh yes, of course.
[00:06:34.447 --> 00:06:38.709]  Kind of like they said ten years ago, the Patriot Act will never be used against citizens, and it can't be.
[00:06:39.807 --> 00:06:42.688]  And of course I won the Project Censored Award for writing analysis of it.
[00:06:42.728 --> 00:06:48.170]  I said, but it says it can't be used on citizens except for Section 802 for any misdemeanor.
[00:06:49.290 --> 00:06:51.251]  Jaywalking, you have no constitution.
[00:06:52.351 --> 00:07:05.075]  Now you see cops putting tracker systems on cars without warrants, pulling you over, grabbing your cell phone, downloading the contents, arresting people for videotaping them in public, beating people's heads in, and they're told, oh we can do this now, the Patriot Act.
[00:07:06.232 --> 00:07:19.390]  So it's an even more egregious story that when you know this stuff's happening and they're now trying to codify it in law and expand it and say that NORTHCOM can operate on every street corner in America, the new military system they've set up.
[00:07:21.590 --> 00:07:25.012]  That they send out their disinformation operatives in media.
[00:07:25.392 --> 00:07:34.356]  Within minutes of our article going up three days ago on Infowars.com about this, there were trolls already on there quoting the section saying we were liars.
[00:07:34.916 --> 00:07:39.258]  The section says, oh, you've got all these rights, but then later it says, but we take them away.
[00:07:39.278 --> 00:07:41.619]  It's kind of like the UN Declaration of Human Rights.
[00:07:42.039 --> 00:07:48.802]  It's got 29 great rights and liberties until the last two articles say, unless we want to say no in void.
[00:07:49.202 --> 00:07:50.323]  It's the fine print
[00:07:53.183 --> 00:07:56.905]  Now, continuing here, here's the new story, top story tonight.
[00:07:57.425 --> 00:08:01.027]  Yes, Americans will be targeted as terrorists under the NDAA.
[00:08:01.367 --> 00:08:09.071]  Paul Watson and Alex Jones, Republican Congress, Amish, again Republican Congressman Amish, warns that bill can be applied to U.S.
[00:08:09.111 --> 00:08:19.876]  citizens, and he went on telling the Grand Rapids Press that the bill is written to, quote, be carefully crafted to mislead the public.
[00:08:21.052 --> 00:08:24.735]  You've got Ron Paul coming out saying it affects citizens.
[00:08:25.235 --> 00:08:26.536]  You've got the ACLU.
[00:08:27.897 --> 00:08:33.901]  You've got Republican Congressman Justin Amish.
[00:08:35.582 --> 00:08:38.845]  You've got all of these people coming out, and I'll guarantee you,
[00:08:39.957 --> 00:08:41.858]  Because I haven't even looked, but it's in our other articles.
[00:08:41.878 --> 00:08:43.579]  You go read the trolls in here.
[00:08:43.600 --> 00:08:44.920]  They're going to be denying this is happening.
[00:08:45.281 --> 00:08:57.269]  And you know when trolls show up in minutes with sections of the lengthy bill to deceive people, the bill I have right here, to manipulate them and say, oh, Patriot Act's not going to affect you.
[00:08:57.609 --> 00:08:58.029]  Don't listen.
[00:08:58.310 --> 00:08:59.791]  Oh, this isn't going to affect you.
[00:09:00.391 --> 00:09:02.252]  Oh, we're not listening to you without warrants.
[00:09:02.593 --> 00:09:03.653]  Remember Bush five years ago?
[00:09:03.893 --> 00:09:05.835]  Now they're just like, yeah, we listen to everything without warrants.
[00:09:06.667 --> 00:09:09.910]  They've got Marines running checkpoints in California and Alabama.
[00:09:10.230 --> 00:09:11.631]  But it's okay, they're looking for drunks.
[00:09:12.052 --> 00:09:13.653]  They've got Army doing it all over the country.
[00:09:14.494 --> 00:09:16.215]  I've covered it the last four years.
[00:09:16.736 --> 00:09:19.118]  Homeland Security, as I warned you.
[00:09:20.118 --> 00:09:24.662]  And you can see another one of the good congressman's quotes there, hopefully in burgeoning Ron Paul.
[00:09:25.796 --> 00:09:29.599]  He says it's one of the most anti-liberty pieces of legislation of our lifetime.
[00:09:30.219 --> 00:09:32.280]  That puts it lightly, but here's what I want to explain.
[00:09:32.581 --> 00:09:34.762]  People are like, it's Obama, he wants to be a dictator.
[00:09:35.122 --> 00:09:38.545]  Obama is a globalist puppet teleprompter reader just like Bush.
[00:09:39.915 --> 00:09:42.677]  Clinton, Bush, Obama, it's all the same.
[00:09:42.957 --> 00:09:44.699]  They've been getting the military ready for this.
[00:09:44.739 --> 00:09:47.581]  They've been quietly getting them trained with the local police.
[00:09:47.981 --> 00:09:56.608]  They've been quietly punching holes in Posse Comitatus for the planned economic implosion that Europe is going through being carried out here.
[00:09:57.108 --> 00:10:08.177]  Okay, so, you can go read our articles, you can go read where we break down where they say citizens are exempt, but then the government strips you of your citizenship extra-judicially.
[00:10:08.677 --> 00:10:10.299]  And we've got all the subsections in there.
[00:10:11.180 --> 00:10:13.121]  Our article was linked on Drudge this morning.
