[00:00:00.009 --> 00:00:02.050]  Broadcasting Network.
[00:00:07.051 --> 00:00:07.711]  Big Brother.
[00:00:08.371 --> 00:00:09.412]  Mainstream media.
[00:00:10.132 --> 00:00:11.352]  Government cover-ups.
[00:00:11.893 --> 00:00:12.713]  You want answers?
[00:00:13.473 --> 00:00:14.413]  Well, so does he.
[00:00:15.013 --> 00:00:18.675]  He's Alex Jones on the GCN Radio Network.
[00:00:19.215 --> 00:00:23.276]  And now, live from Austin, Texas, Alex Jones.
[00:00:28.786 --> 00:00:33.250]  You know, it seems like I say this at the start of every broadcast, because it's true!
[00:00:34.571 --> 00:00:46.261]  I sit here, looking at all this news, and I just marvel, marvel at what is going on and how fast the tyranny is moving, not just here in the U.S., but worldwide.
[00:00:46.341 --> 00:00:52.487]  At the same time, the awakening to what is going on is happening, but you've got all these criminal interests...
[00:00:53.424 --> 00:00:58.511]  That are running the government and some of the major corporations and they're made up of individuals.
[00:00:59.031 --> 00:01:01.575]  They're bound together for their lust for global domination.
[00:01:01.915 --> 00:01:04.659]  But the individuals just don't care if they're getting caught.
[00:01:04.679 --> 00:01:06.401]  They don't care if they even get in trouble.
[00:01:06.821 --> 00:01:09.144]  It's kind of a feeding frenzy of evil.
[00:01:10.089 --> 00:01:12.531]  And despotism and looting.
[00:01:13.732 --> 00:01:16.153]  What you tend to see before things fully collapse.
[00:01:16.554 --> 00:01:20.457]  And they've got plans to consolidate power during that collapse.
[00:01:21.297 --> 00:01:31.685]  And the plan is a police state so that we are converted from being a wealthy western world to being a third world slash old world tyranny.
[00:01:32.827 --> 00:01:34.849]  The news is obviously off the chart.
[00:01:35.569 --> 00:01:38.371]  And what I said yesterday is now being borne out to be accurate.
[00:01:38.431 --> 00:01:46.457]  This is the first salvo by the new larger majority of the good old demo rats in the Senate.
[00:01:47.438 --> 00:01:53.723]  And El Presidente, who has shown he doesn't even care what the Congress does on any issue, this is dictatorial.
[00:01:54.583 --> 00:01:57.746]  Obama is by all measurements now a dictator.
[00:01:59.270 --> 00:02:01.972]  And he's acting in a dictatorial fashion.
[00:02:02.593 --> 00:02:03.614]  That's not disputed.
[00:02:05.055 --> 00:02:17.445]  And they are announcing they're going after all semi-auto handguns and rifles, and quote, inexpensive firearms, and quote, firearms that can be converted, and basically everything.
[00:02:17.806 --> 00:02:19.507]  They are coming for our guns.
[00:02:20.128 --> 00:02:21.689]  And people say, well, there's no way they'll do that.
[00:02:21.789 --> 00:02:22.410]  Oh, yes, they will.
[00:02:23.283 --> 00:02:24.985]  Yes, they will.
[00:02:25.786 --> 00:02:34.898]  They will implode the economy, bring us into a depression, launch some hardcore wars, and say you're basically terrorists if you don't hand them in, and blow up federal buildings and blame it on patriots.
[00:02:35.519 --> 00:02:39.624]  Now, that is in the New World Order.
[00:02:40.991 --> 00:02:58.709]  Crime syndicate management team known as the Obama administration, that group of coaches running this crime syndicate team, their favorite plays are stage terror attacks, stage crises to be blamed on Americans that love freedom and understand they're a bunch of criminals.
[00:02:59.930 --> 00:03:00.951]  And they are planning
[00:03:01.949 --> 00:03:04.730]  To absolutely stage all sorts of stuff.
[00:03:05.130 --> 00:03:08.591]  This Attorney General was intimately involved in the cover-up of Oklahoma City.
[00:03:09.271 --> 00:03:11.191]  We know Clinton's people carried it out.
[00:03:11.592 --> 00:03:12.492]  That's been proven.
[00:03:12.872 --> 00:03:15.513]  It's covered in the film I'm in, Noble Lie, all the documentation.
[00:03:16.733 --> 00:03:25.435]  Expanding on that, if you go out from that point, this Attorney General staged Fast and Furious to blame the Second Amendment.
[00:03:25.895 --> 00:03:27.316]  He was Deputy Attorney General then in 95.
[00:03:29.054 --> 00:03:33.959]  And you can see all the pre-programming, all the conditioning, all of it moving into that.
[00:03:34.039 --> 00:03:35.601]  And now they're not facing re-election.
[00:03:36.382 --> 00:03:43.650]  Now they've got the media, the corporate media, basically going along with anything they want or anything they push.
[00:03:45.186 --> 00:03:52.875]  And we are moving into that sector of maximum threat of false flags sooner rather than later.
[00:03:52.935 --> 00:04:02.104]  Now, let's be clear, exposing the false flag threat paradigm, the inside job, self-inflicted wound,
[00:04:03.576 --> 00:04:08.440]  Stage terror event, exposing the frame up, may actually derail it.
[00:04:08.720 --> 00:04:12.843]  Or, if they go ahead and stage it, we've now got our people everywhere and that's what scares them.
[00:04:13.544 --> 00:04:17.227]  There were patriots that picked up on what happened in Oklahoma City and exposed it day one.
[00:04:17.487 --> 00:04:19.649]  They had to kill some cops and other people to cover it up.
[00:04:20.349 --> 00:04:22.891]  And we've had their families and others on the show to break it down.
[00:04:24.593 --> 00:04:28.656]  At the same time, now when they have an underwear bomber, we instantly have
[00:04:29.927 --> 00:04:34.151]  Operatives of Liberty on the scene to blow their operation wide open.
[00:04:34.211 --> 00:04:40.256]  So we've got the globalist off balance right now, because they know they can only stage this stuff when you're dumbed down.
[00:04:40.596 --> 00:04:47.802]  And just because they got 50, 60% of the public slobbering and not knowing their name, a large portion of us know exactly who we're dealing with.
