[00:00:00.029 --> 00:00:02.870]  Alex Jones Broadcasting Network.
[00:00:11.472 --> 00:00:13.573]  Waging war on corruption.
[00:00:15.833 --> 00:00:25.756]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:00:25.896 --> 00:00:28.017]  We are broadcasting worldwide.
[00:00:31.129 --> 00:00:33.691]  It is the fourth day of March, 2012.
[00:00:34.691 --> 00:00:37.874]  We're going to be here for the next two hours.
[00:00:38.634 --> 00:00:50.182]  And Dr. Jerome Corsi, who can only pop in with us for about 15 minutes on Friday, will be joining us for a full hour via video Skype for PrisonPlanet.tv viewers and better audio for radio listeners.
[00:00:51.002 --> 00:00:53.183]  And I'm going to cover the economy with Dr. Corsi.
[00:00:53.283 --> 00:00:55.104]  I'm going to cover the Iran situation.
[00:00:55.145 --> 00:01:03.129]  Of course, he was part of Sheriff Arpaio's big investigation confirming that the birth certificate is a forgery and a fraud.
[00:01:03.169 --> 00:01:12.915]  We're going to look at that and cover the waterfront with a very informed guest who has a lot of big inside connections and can tell us where the attack on Iran is going.
[00:01:13.815 --> 00:01:16.699]  Again, there's a lot of things Iran does that I don't like.
[00:01:16.719 --> 00:01:18.781]  There's a lot of things China does I don't like.
[00:01:18.821 --> 00:01:20.123]  It doesn't mean we're going to have war with them.
[00:01:20.403 --> 00:01:21.685]  You know, China has nuclear weapons.
[00:01:21.705 --> 00:01:22.626]  We're going to have a war with them.
[00:01:23.547 --> 00:01:25.629]  Iran is far away from getting a nuclear weapon.
[00:01:25.890 --> 00:01:31.096]  I don't want this war because the globalists are going to use it to take liberties at home.
[00:01:32.457 --> 00:01:33.519]  That doesn't mean that
[00:01:38.036 --> 00:01:40.818]  I want to live under the mullahs or something.
[00:01:41.178 --> 00:01:45.060]  It means that our country has been turned into an engine of empire.
[00:01:45.660 --> 00:01:49.202]  And the empire sells all these invasions and wars on spreading freedom.
[00:01:49.602 --> 00:01:50.803]  They're not spreading freedom.
[00:01:50.823 --> 00:01:54.084]  They've put actual al-Qaeda in command of Libya on record.
[00:01:54.104 --> 00:01:55.125]  That's not debated.
[00:01:55.145 --> 00:01:56.686]  That's NBC News, LA Times.
[00:01:57.520 --> 00:02:01.963]  They're using them to attack Syria, to get rid of Assad, and put something worse in.
[00:02:02.503 --> 00:02:07.627]  They're taking more rights under the Western-backed revolution in Egypt.
[00:02:07.727 --> 00:02:09.948]  And the program has wrecked these countries.
[00:02:11.850 --> 00:02:13.811]  And I want the Iranians to have good lives.
[00:02:13.891 --> 00:02:15.352]  I want Americans to have good lives.
[00:02:15.432 --> 00:02:21.136]  I want the Egyptians, the Russians, the Chinese, Mexicans, Brazilians, South Africans.
[00:02:21.917 --> 00:02:24.238]  I just want humanity to have a fair shake.
[00:02:27.924 --> 00:02:30.865]  Undoubtedly, there have been corrupt, evil engines before.
[00:02:31.705 --> 00:02:33.045]  Communism under the Soviets.
[00:02:33.125 --> 00:02:56.309]  But you go research, you find out the big megabanks, the people that created the Federal Reserve, the folks that control England, they openly funded the Communists and then used that threat, that real threat, to take our liberties here and to have giant government contracts given to their defense and intelligence complex.
[00:02:57.458 --> 00:03:04.084]  And so they basically sell weapons and technology and systems of surveillance and media control to all sides.
[00:03:05.405 --> 00:03:11.630]  It's so elementary that a lot of people just can't understand it because it's in plain view.
[00:03:13.431 --> 00:03:14.512]  And it's that simple.
[00:03:17.134 --> 00:03:21.578]  Now, when I come back from break, I'm just going to mention the stacks of news here.
[00:03:21.598 --> 00:03:22.519]  They're all very important.
[00:03:23.820 --> 00:03:25.701]  And it also made big news.
[00:03:26.880 --> 00:03:31.747]  A month ago, when Dave Mustaine out of context, everybody said he endorsed Santorum.
[00:03:31.767 --> 00:03:33.429]  He did not endorse Santorum.
[00:03:33.449 --> 00:03:34.651]  It became a big national story.
[00:03:35.031 --> 00:03:42.682]  And when he pointed out that he did not endorse Rick Santorum, just that he doesn't like Romney, they didn't really cover that.
[00:03:46.488 --> 00:03:50.231]  Dave is here in town, played in Austin, and he's staying with me for a few days.
[00:03:50.251 --> 00:03:52.132]  Eman is a wonderful wife, Pam.
[00:03:52.873 --> 00:03:57.196]  And it probably won't be a live interview, because I want to do it really good in studio tomorrow.
[00:03:58.583 --> 00:04:05.005]  After the radio show for the nightly news in a few days because I want to cut the music in and part of the concert and make it real good.
[00:04:05.025 --> 00:04:08.246]  But that's going to be a powerful interview we haven't shot yet.
[00:04:08.266 --> 00:04:12.408]  You know, we've done some in person before as well with Dave.
[00:04:12.868 --> 00:04:14.128]  Interesting story last night.
[00:04:14.148 --> 00:04:16.409]  If I have time today, I'll tell it just because it's interesting.
[00:04:17.009 --> 00:04:20.290]  I'm getting to where I don't even know what week it is anymore because there's so much happening.
[00:04:21.211 --> 00:04:24.952]  And Coast to Coast AM wanted me on last night and
[00:04:26.940 --> 00:04:32.862]  So the concert ends at about 10-15, but he played like five extra songs and then was saying bye because it was the end of the tour to the rest of the band.
[00:04:33.563 --> 00:04:38.084]  So I'm speeding to get home to go on Coast to Coast to him with Dave Mustaine and his wife.
[00:04:38.665 --> 00:04:40.025]  And the cop pulls me over.
[00:04:41.446 --> 00:04:45.027]  And he probably, it was like a 50 mile an hour because he has construction, but he let me off.
[00:04:45.067 --> 00:04:46.748]  He was a nice officer, I could tell he was a listener.
[00:04:51.314 --> 00:04:51.834]  More and more.
[00:04:51.854 --> 00:04:57.499]  I almost missed a Ron Paul interview a few months ago and got here the minute the show started with Ron Paul.
[00:04:58.079 --> 00:05:00.121]  I mean, I have just got to budget in more time.
[00:05:00.161 --> 00:05:00.881]  I'm doing too much.
[00:05:01.342 --> 00:05:02.022]  Big news coming up.
[00:05:03.723 --> 00:05:09.147]  When you're out on the road, the last place you want to be is on the road.
[00:05:10.388 --> 00:05:15.172]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:05:15.532 --> 00:05:17.393]  There's a place down in Tennessee
[00:05:19.608 --> 00:05:22.309]  Well, they make blue diamond gusset jeans.
[00:05:24.250 --> 00:05:27.632]  They sow pride in every stitch.
[00:05:28.312 --> 00:05:30.673]  Guarantee you'll love the way they fit.
[00:05:32.745 --> 00:05:36.606]  Put a diamond gusset in the crotch where you need it most.
[00:05:37.326 --> 00:05:40.427]  Blue diamond gussets got it.
[00:05:41.167 --> 00:05:41.967]  Others don't.
