[00:00:21.894 --> 00:00:25.575]  Welcome to the Groundhog Day edition of the Infowars Nightly News.
[00:00:25.635 --> 00:00:26.615]  It's February 2nd, 2012.
[00:00:27.715 --> 00:00:34.217]  Of course, the globalists want us to believe there'll be six more cycles in the winter of tyranny, but humanity is waking up.
[00:00:34.237 --> 00:00:35.637]  We'll get to that later in the report.
[00:00:36.078 --> 00:00:45.160]  Also coming up, Dr. Jerome Corsi will cover a smattering of issues, including an update on the lawsuit challenging Obama's eligibility in the state of Georgia.
[00:00:45.700 --> 00:00:48.462]  Also, money laundry on Wall Street and a whole lot more.
[00:00:48.822 --> 00:00:53.425]  But first in the news, full body scanners at the Super Bowl in 2012.
[00:00:53.645 --> 00:00:56.567]  At least that's what was reported earlier in the day.
[00:00:56.707 --> 00:01:01.070]  According to WPRInews.com, reporter Matt Touche
[00:01:01.670 --> 00:01:26.410]  said despite a congressional demand for an investigation into the machines following health concerns the scanners will be a part of the security set in Indianapolis this weekend marking the first time the controversial devices have been used for a public sporting event however there's been an update and Homeland Security and TSA have now tweeted that they will not use body scanners and this reporter Matt Touche has revised his statement
[00:01:26.790 --> 00:01:27.250]  We're good to go.
[00:01:45.117 --> 00:01:49.399]  And that they were going to test the radiation body scanners for their harmful effects.
[00:01:50.039 --> 00:01:58.103]  You can't exactly believe them, but as Paul Joseph Watson writes, you can be sure you'll get a full body pat down and a groping if you do attend the Super Bowl.
[00:01:58.523 --> 00:02:03.545]  And why is the Football League so involved in Homeland Security's measures?
[00:02:03.965 --> 00:02:06.726]  Why do they keep saying there's going to be a threat against sports stadiums?
[00:02:07.046 --> 00:02:11.168]  And why do all the FEMA continuity of government exercises always involve
[00:02:11.548 --> 00:02:14.409]  Rounding up the mass of the population into stadiums.
[00:02:15.250 --> 00:02:22.693]  Questions for a different time, but we'll keep an eye on that as they have two-faced statements regarding the upcoming Super Bowl set for this Sunday.
[00:02:23.233 --> 00:02:28.956]  Meanwhile, with the economic collapse ensuing, survival is of course on everyone's mind.
[00:02:29.016 --> 00:02:30.657]  Here's what came to one person's mind.
[00:02:31.837 --> 00:02:33.018]  Come with me if you want to live.
[00:02:34.364 --> 00:02:35.525]  Come with me if you want to live.
[00:02:49.977 --> 00:03:10.804]  With the writing on the wall as far as the economic collapse, the possibility of a bio-terror attack, and a whole lot more, Cameron's decision fits the trend of wealthy Americans pulling their money out of the country and reinvesting it to buy land in the Southern Hemisphere, escaping spiraling tax rates and protecting themselves against the potential for widespread social dislocation.
[00:03:12.321 --> 00:03:14.443]  Another interesting sign on the wall.
[00:03:15.344 --> 00:03:22.851]  Meanwhile, Washington State lawmakers are the latest to join a chorus of opposition in the bill for indefinite detention.
[00:03:23.251 --> 00:03:30.437]  Now introducing a bill challenging the authority of the NDAA, Reps Jason Overstreet, Matt Shea, Vincent Baez,
[00:03:31.178 --> 00:03:39.743]  Carrie Condotta and David Taylor introduce HB 2759, the Washington State Preservation of Liberty Act, this week.
[00:03:40.183 --> 00:03:49.048]  It reads in part that the indisputable threat of terrorism is real and the full force of appropriate constitutional law must be used to defend this threat.
[00:03:50.249 --> 00:04:00.951]  Winning the war against terror cannot come at the great expense of eviscerating the unalienable rights recognized by and protected in the United States Constitution and the Constitution of the State of Washington.
[00:04:01.351 --> 00:04:08.472]  Indeed, undermining these constitutional rights only to concede to the terrorist demands of changing the fabric of what has made the U.S.
[00:04:09.032 --> 00:04:19.014]  Republic granting the greatest number of people the greatest amount of liberty, justice, security, opportunity, prosperity, happiness, peace, and good ever known or experienced by humankind throughout the world.
[00:04:19.934 --> 00:04:25.976]  And of course that's all well and good, but I think we do have to get honest about the real terrorist threat.
[00:04:26.236 --> 00:04:46.562]  It's so much of the manufactured hype about nonsense, all these cases have fallen through in court, if they weren't outright FBI provocateured, all kinds of lies on 9-11 and more, so I want to challenge politicians that while it's great to stand up against the powers of the NDAA, somebody has to come clean and get honest about this whole damn system.
[00:04:47.082 --> 00:04:48.263]  Something to keep an eye on there.
[00:04:48.683 --> 00:04:54.007]  Meanwhile, the Ron Paul campaign headquarters were attacked in Washington State.
[00:04:54.047 --> 00:04:55.248]  We have a short clip of that now.
[00:04:55.488 --> 00:04:59.171]  Candidate Ron Paul's Washington State headquarters were attacked last night.
[00:04:59.591 --> 00:05:02.654]  Staff and volunteers were there as someone started throwing rocks.
[00:05:02.754 --> 00:05:07.277]  Nobody was hurt, but two volunteers felt the glass shatter as objects came through the windows.
[00:05:07.778 --> 00:05:09.159]  Police are investigating that.
[00:05:10.253 --> 00:05:25.126]  And that being yet another caucus state where Ron Paul's ground support threatens to capture more delegates in the GO primary even as the GOP establishment wants to hurriedly annoy Mitt Romney and keep Gingrich up there as a distraction.
[00:05:25.566 --> 00:05:30.170]  Now there was another case a couple days ago in Florida just ahead of that vote.
[00:05:30.330 --> 00:05:36.676]  Everyone step on his toes, Gingrich security harasses Ron Paul's supporter and it goes on to explain how
