[00:00:22.045 --> 00:00:23.586]  It's fight time, ladies and gentlemen.
[00:00:23.626 --> 00:00:24.846]  It's Thursday, February 9, 2012.
[00:00:25.066 --> 00:00:28.768]  I'm Aaron Dyk sitting in for Alex tonight.
[00:00:29.168 --> 00:00:31.249]  All indications are for a war with Iran.
[00:00:31.309 --> 00:00:35.471]  Meanwhile, we are definitely being occupied here on the, quote, homeland.
[00:00:35.551 --> 00:00:36.892]  FEMA camps are getting ready.
[00:00:37.632 --> 00:00:40.134]  Homeland Stasi shows no signs of letting up.
[00:00:40.174 --> 00:00:41.554]  There's a lot of important news.
[00:00:41.934 --> 00:00:47.357]  At the same time, it's a continuation of what our loyal viewers have known for a long time is coming.
[00:00:47.737 --> 00:00:56.283]  Now, we have coming up on the broadcast Dr. Paul Craig Roberts, the former Reagan administration official, economic expert, and a whole lot more.
[00:00:56.843 --> 00:01:00.905]  And we're going to cover his article, bluntly titled, Will Iran Be Attacked?
[00:01:01.266 --> 00:01:09.911]  Of course, there are all kinds of indicators that there are large preparations for that war, open statements from Israel and the U.S., and a whole lot more.
[00:01:09.991 --> 00:01:13.954]  But Dr. Roberts makes a lot of interesting points in his article.
[00:01:14.874 --> 00:01:16.594]  Not only are there 44 U.S.
[00:01:16.634 --> 00:01:40.680]  military bases surrounding Iran and all kinds of statements where Obama's tiptoeing the line of appearing not to encourage or endorse an Israeli strike on Iran, while at the same time trying to appease Democratic peace groups ahead of re-election, and appearing to give sanctions time to develop before an attack is on, but there's also the Western finance Russian opposition, which
[00:01:41.580 --> 00:02:00.362]  Dr. Roberts points out, may kind of bind the hands of Russia in regards to further escalation of Middle East wars, as Putin may have to sort of face his own accusations of being a dictator and an election stealer in March, when a lot of people believe the Iran war could be a go.
[00:02:01.423 --> 00:02:17.589]  Now, meanwhile, Dr. Roberts points out in this article, and of course we're going to cover it in detail coming up later in this program, that there's really been a propaganda war against Iran, not just since the Bush administration, but since 1979 when the Shah was thrown out of power.
[00:02:18.010 --> 00:02:20.130]  And that's really just been going on and on.
[00:02:20.510 --> 00:02:29.274]  And since so much of this is based on all the false accusations surrounding the nuclear power plants and their real intentions, I just want to show this piece of propaganda
[00:02:29.674 --> 00:02:39.724]  From the 70s, when the Shah was still in power, when he was a happy Western puppet, and Iran was a good country for a time being, according to the Western globalist press.
[00:02:40.044 --> 00:02:41.966]  Guess who's building nuclear power plants?
[00:02:42.006 --> 00:02:46.230]  The Shah of Iran is sitting on top of one of the largest reserves of oil in the world.
