[00:00:03.214 --> 00:00:03.494]  I think.
[00:00:35.922 --> 00:00:39.005]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:00:39.085 --> 00:00:40.426]  I'm your host, Aaron Dykes.
[00:00:40.466 --> 00:00:41.927]  Today is Wednesday, June 27, 2012.
[00:00:47.062 --> 00:01:04.796]  Tonight, shocking images have emerged which show the aftermath of Christian churches ransacked by NATO-backed Syrian rebels, illustrating once again how Western powers are supporting Muslim extremists in their bid to achieve regime change in the Middle East.
[00:01:05.236 --> 00:01:11.621]  Meanwhile, former Secretary of State Condoleezza Rice calls for arming the Syrian opposition.
[00:01:11.901 --> 00:01:16.224]  You know, the one already armed and trained by the CIA and MI6.
[00:01:17.341 --> 00:01:24.152]  I do believe that you're probably ultimately going to have to arm the opposition, maybe even today, because people are being armed.
[00:01:24.593 --> 00:01:27.718]  Assad is being armed by the Russians and by the Iranians.
[00:01:27.984 --> 00:01:34.628]  Then, a massive cyber attack is in progress in the United States, Europe, and Latin America.
[00:01:35.128 --> 00:01:37.750]  And five of the biggest banks in the U.S.
[00:01:37.910 --> 00:01:42.292]  are putting the finishing touches on plans for going out of business.
[00:01:42.852 --> 00:01:47.115]  All that and more, up next, on the InfoWars Nightly News.
[00:01:58.376 --> 00:02:08.719]  And then coming up later in the broadcast, I'm going to speak to Washington Blog's Carl Herman about why all the state budget and pension crisis may not be all it's cracked up to be.
[00:02:09.079 --> 00:02:12.420]  Yes, it's about the elephant in the room, the CAFR.
[00:02:12.741 --> 00:02:14.481]  That's coming up later, so stay tuned.
[00:02:14.601 --> 00:02:19.503]  Also, we're going to have another segment of Ask Alex, a Planet InfoWars special.
[00:02:19.843 --> 00:02:23.584]  That's over 25 minutes long as well, so plenty in the broadcast.
[00:02:23.884 --> 00:02:25.565]  But first, our top stories.
[00:02:25.965 --> 00:02:26.665]  We turn to
[00:02:27.265 --> 00:02:28.526]  Cyber false flag?
[00:02:28.966 --> 00:02:33.347]  It's a fraud ring in a hack attack on more than 60 banks, we're told.
[00:02:33.707 --> 00:02:42.430]  So far, they've stolen 60 million euros, but it could be a total sum of more than 2 billion or even 2.5 billion dollars.
[00:02:43.050 --> 00:02:47.932]  And what's more, the security experts at McAfee and Guardian Analytics are saying it
[00:02:48.012 --> 00:02:50.854]  It required an insider level of understanding.
[00:02:51.014 --> 00:02:52.215]  Is this an inside job?
[00:02:52.575 --> 00:03:01.862]  That is the question as we look at how they use automated systems to hack into banks in Europe and Britain and in North America and across Latin America.
[00:03:02.222 --> 00:03:03.824]  The questions are, can this spread?
[00:03:03.904 --> 00:03:10.869]  How did they get inside the banks and loot this money, siphoning it off from large accounts, then moving it to their mule accounts?
[00:03:11.329 --> 00:03:16.273]  Well, this article out of Sky News admits in the last two paragraphs
[00:03:16.613 --> 00:03:17.654]  Yes, this is a cyber security issue.
[00:03:17.694 --> 00:03:20.197]  We've been warning about it for months and years now.
[00:03:31.870 --> 00:03:33.790]  Cyber security inside the U.S.
[00:03:33.890 --> 00:03:35.251]  is only two years old.
[00:03:35.591 --> 00:03:45.133]  General Keith Alexander, head of the NSA, was just moved into his general title as he became not only the head of the NSA, but the head of cyber security.
[00:03:45.193 --> 00:03:48.974]  And you know they've been meeting about this issue at Bilderberg and others.
[00:03:49.334 --> 00:04:00.556]  So let's go more deeply into the ongoing cyber attack to see if there's a reason why they're saying it's an inside job or that they're warning about cyber security, trying to get a mandate for the issue.
[00:04:01.096 --> 00:04:05.299]  Massive cyber attack in progress in the US, Europe, and Latin America.
[00:04:05.639 --> 00:04:13.584]  That's Max Slavo of the shtfplan.com, who goes on about the 2.5 billion that could be missing.
[00:04:14.464 --> 00:04:24.751]  And it says, unlike the standard spy IM Zeus attacks that typically feature live manual interventions, they've got dozens of groups using server-side components and heavy automation.
[00:04:25.111 --> 00:04:27.353]  With no human participation required.
[00:04:27.653 --> 00:04:29.675]  It moves quickly and scales neatly.
[00:04:30.116 --> 00:04:32.678]  It combines an insider level of understanding.
[00:04:33.098 --> 00:04:35.801]  Again, there it is, the insider level of understanding.
[00:04:36.121 --> 00:04:46.250]  And so then it goes on more deeply into the article to assess Silver Doctor's analysis that our thoughts is this is either an Iranian Stuxnet retaliation
[00:04:46.670 --> 00:04:50.431]  Stuxnet, of course, created by the West, a joint partnership between the U.S.
[00:04:50.471 --> 00:05:03.896]  and Israel, or it's a false flag banking system lock-up by the central western banks themselves who are using it to conveniently pin the blame for an imminent derivatives-induced contagion and banking collapse.
[00:05:04.236 --> 00:05:07.357]  So in other words, instead of investigating all these big banks themselves,
[00:05:07.697 --> 00:05:21.050]  For their role in fraud, let's have a little bit of low-level fraud, then slap more restraints on the average user, more controls over their capital, because you've already heard about how cash is being gradually phased in.
[00:05:21.111 --> 00:05:22.992]  It's more and more illegal in parts of Europe.
[00:05:23.093 --> 00:05:30.260]  It's starting to hit home in the U.S., and they want these capital controls when they have bank holidays or when they shut down ATMs and you can't get access.
[00:05:30.660 --> 00:05:41.465]  Well, that's already been going on at the Royal Bank of Scotland and other parts of the UK ahead of this new cyber security threat that again was warned about by this MI5 boss.
[00:05:41.825 --> 00:05:43.546]  The new cyber security threat, there it is.
[00:05:43.986 --> 00:05:53.111]  And so Max Slova writes, governments have needed a pretext to tighten bank regulations and gain even more authority over the individual movement of capital.
[00:05:53.451 --> 00:05:54.972]  Whether real or false flag,
[00:05:55.592 --> 00:06:01.198]  This cyber attack may very well give them the ammunition they need to take complete control of the Internet.
[00:06:01.578 --> 00:06:16.233]  Again, we reported ahead of the Bilderberg meeting the plans for an Internet ID mandatory in Europe from members of the European Parliament, and again, about the ongoing cyber security agenda that they've met for the past five years at Bilderberg to discuss.
[00:06:17.054 --> 00:06:17.895]  Meanwhile, the U.S.
[00:06:18.015 --> 00:06:23.602]  Army admits its own troops conducting law enforcement on the streets of America is illegal.
[00:06:24.163 --> 00:06:25.464]  We've covered this yesterday.
[00:06:25.544 --> 00:06:27.947]  Paul Joseph Watson has a follow-up article today.
[00:06:28.327 --> 00:06:37.018]  So it's not only people on the streets saying this would be a great thing and they can't wait to salute the troops as they come by and how the scary aspect may help cut down on crime.
[00:06:37.438 --> 00:06:43.542]  But there you have it in plain sight at the end of this news report where Captain William Geddes of the U.S.
[00:06:43.682 --> 00:06:50.066]  Army Reserve says in no uncertain terms it's actually against federal law for them to do police patrols.
[00:06:50.506 --> 00:06:51.087]  Of course it is.
[00:06:51.107 --> 00:06:52.307]  It's posse comitatus.
[00:06:53.268 --> 00:07:07.483]  But you've got all these globalists, they cite here in Paul Joseph Watson's article, the Council on Foreign Relations figure, who have been working for years to legitimize the transition from military into police patrol aspects.
[00:07:07.904 --> 00:07:10.987]  It says right here, transition into a more flexible force.
[00:07:11.347 --> 00:07:12.669]  And so they're phasing this in.
[00:07:13.209 --> 00:07:21.657]  And you can see, it's also interesting in the report, how the reporter himself is clearly calling for people who approve of the troops being on the streets.
[00:07:21.997 --> 00:07:25.901]  He suggests to one of the respondents that, oh, this might help cut down on crime.
[00:07:26.321 --> 00:07:32.047]  Well, that's the association they want, that the scary troops in the street will help you by cutting down on crime.
[00:07:32.327 --> 00:07:33.288]  And what are they saluting?
[00:07:33.368 --> 00:07:37.031]  It's a takeover from the global system, from the NATO and
[00:07:38.615 --> 00:07:43.998]  Excuse me, from the NATO, EU, and World Bank systems occupying America.
[00:07:44.038 --> 00:07:48.040]  That's what these troops on the street represent, but they want you to ask for the troops.
[00:07:48.340 --> 00:07:51.342]  We saw this kind of propaganda a couple years ago in Detroit.
[00:07:51.402 --> 00:07:56.244]  I don't know if we haven't pulled up, but we actually got a shot of them begging for 20,000 troops.
[00:07:56.584 --> 00:08:00.226]  There it is, where's 20,000 troops to protect our children and communities?
[00:08:00.546 --> 00:08:05.069]  So they've taken one of these boarded up buildings, who knows who put it there, but it's an apparent
[00:08:06.810 --> 00:08:17.862]  Well, that's what they want us to accept as the economic crisis continues, widens, and gets worsened, is to be used to the idea that the troops are there to save us.
[00:08:18.202 --> 00:08:24.789]  It's part of a larger issue, but it's also strange that these troops are once again coming out of Fort Leonard Wood in Missouri
[00:08:25.149 --> 00:08:34.440]  The same place where the concentration camps have been reported, the same place where they've had them training for the MP duties and the occupation of these internment camps.
[00:08:34.800 --> 00:08:39.205]  It all just kind of adds together after a while but we're just supposed to get used to it and accept it.
[00:08:40.086 --> 00:08:47.393]  Turning to the larger economic crisis, the coming crash, SGT has the report.
[00:08:47.473 --> 00:08:52.578]  Watching the clock, will a total economic collapse occur in September or October?
[00:08:53.058 --> 00:08:55.701]  Obviously, no man knows the hour, unless of course
[00:08:56.161 --> 00:08:57.362]  Of course, it's contrived.
[00:08:57.663 --> 00:09:04.609]  But what you do when you analyze things and try to track trends is you want that overlay effect where you have one report matching with another.
[00:09:05.029 --> 00:09:06.851]  That's when it becomes significant.
[00:09:06.871 --> 00:09:08.633]  That's when it becomes a likely trend.
[00:09:08.653 --> 00:09:10.675]  That's when there's something going on behind the scenes.
[00:09:11.115 --> 00:09:17.099]  And so they put together all these different warnings and show how the timing adds up to right before the elections.
[00:09:17.379 --> 00:09:18.680]  Is it an October crisis?
[00:09:19.140 --> 00:09:24.484]  Or are they just unable to contain the economic crash from happening any sooner?
[00:09:24.824 --> 00:09:29.047]  Well, there's the warning, first of all, that was on Alex's show a couple days ago from the St.
[00:09:29.107 --> 00:09:39.354]  Louis officer, worried about how he's been told in October they need to be prepared for an event that will require them to use air and ground support in conjunction with the military.
[00:09:39.774 --> 00:09:40.615]  Very startling.
[00:09:40.995 --> 00:09:50.563]  That overlaid with the Silver Doctors report from the Leap 2020 analysis for a red alert for the banking systems in September or October.
