[00:00:22.423 --> 00:00:23.684]  Welcome, ladies and gentlemen.
[00:00:23.744 --> 00:00:25.044]  It's Monday, January 9, 2012.
[00:00:25.144 --> 00:00:32.468]  Now, coming up in the broadcast, we have Greg Hunter of USAWatchdog.com on a host of issues.
[00:00:32.968 --> 00:00:35.349]  But, of course, we have plenty of news before that.
[00:00:35.769 --> 00:00:37.550]  Now, we know this is a kept nation.
[00:00:37.590 --> 00:00:39.291]  We know all the rules are broken.
[00:00:39.311 --> 00:00:40.872]  We know wars are planned.
[00:00:41.412 --> 00:00:41.733]  I think so.
[00:00:56.730 --> 00:01:00.372]  Here in this busy graphic you can see some of the indicators.
[00:01:00.712 --> 00:01:14.839]  War in the Middle East now appears imminent as the U.S., Britain, the European Union, and Israel put the finishing touches on an embargo against Iran, a de facto declaration of war with warships steaming toward the Persian Gulf.
[00:01:15.299 --> 00:01:16.160]  But that's not all.
[00:01:16.240 --> 00:01:20.663]  Of course we have the recent U.S.-Israeli war games in the Persian Gulf.
[00:01:21.023 --> 00:01:28.128]  We have Iran with its war games, an announcement of more war games, including to shut down the Strait of Hormuz.
[00:01:28.488 --> 00:01:30.570]  We have Britain sending in warships.
[00:01:30.990 --> 00:01:33.271]  We already have Russian warships in the area.
[00:01:33.612 --> 00:01:38.195]  French and Russian warships off the coast of Syria, according to Depkafile.
[00:01:39.549 --> 00:01:44.633]  And we have the statements from Ron Paul that sanctions are the first step towards war.
[00:01:45.053 --> 00:01:45.733]  Now is he right?
[00:01:45.774 --> 00:01:46.834]  Let's listen to the quote.
[00:01:47.215 --> 00:01:59.223]  Sanctions were the first step in our wars against Iraq and Libya and now more sanctions planned against Syria and Iran are leading down the same destructive path Ron Paul warned.
[00:01:59.503 --> 00:02:03.386]  But of course no one wants to listen to Ron Paul when there's a war they could have.
[00:02:03.826 --> 00:02:06.568]  So they'll probably be leaning towards a kept political
[00:02:08.257 --> 00:02:28.792]  Puppet oil prices are also rising along with tensions now headed towards 113 a barrel and many experts predict the prices could be well over 200 250 300 even 500 if the Strait of Hormuz was blocked or if a war went hot of course there's a whole covert war against Iran going on in the background
[00:02:29.292 --> 00:02:29.592]  Why?
[00:02:29.672 --> 00:02:31.613]  Because there's a hit list against Iran.
[00:02:31.753 --> 00:02:33.334]  It's on the globalist hit list.
[00:02:33.714 --> 00:02:39.096]  The question was how and when, not why or if there would be a war with Iran.
[00:02:39.336 --> 00:02:42.177]  So that's why I stress, is this the time?
[00:02:42.617 --> 00:02:46.019]  Now, you also have the Iranian missile base propaganda.
[00:02:46.359 --> 00:02:48.460]  You see that today in the Associated Press.
[00:02:48.900 --> 00:02:52.141]  Iran nuke work at bunker is, quote, confirmed.
[00:02:52.582 --> 00:02:58.344]  Diplomats on Monday confirmed a report that Iran has begun uranium enrichment
[00:02:58.684 --> 00:03:10.454]  At an underground bunker, and the news is particularly worrying because the site is being used to make material that could be upgraded more quickly for use in nuclear weapon than the nation's main enriched stockpile.
[00:03:10.855 --> 00:03:11.535]  Is this true?
[00:03:11.555 --> 00:03:20.263]  I don't know, but you certainly have to question the timing, along with other reports that Aminah Jod's visit to South America could be tied to long range missiles.
[00:03:20.723 --> 00:03:24.484]  And more, you can smell it in the air, war is brewing somewhere.
[00:03:24.884 --> 00:03:26.245]  Will they actually kick it off?
[00:03:26.285 --> 00:03:31.746]  You saw a lot of propaganda several years ago in 06 for the Iranian war.
[00:03:31.766 --> 00:03:36.048]  It didn't happen then because so many people were warning against it happening.
[00:03:36.408 --> 00:03:40.769]  So I hope our warning here again can make them back off another time because
[00:03:41.229 --> 00:03:42.850]  Again, we know they're in the crosshairs.
[00:03:43.030 --> 00:03:47.292]  Nobody wants a World War III that won't be good for anyone except the bankers.
[00:03:47.312 --> 00:03:56.497]  Of course, you also have the Russian naval flotilla docked in Syria with an undermining effort, of course, going on in Syria as well.
[00:03:56.658 --> 00:04:02.321]  Al-Qaeda operatives and others staging the coup in that country on top of everything else.
[00:04:02.361 --> 00:04:08.324]  The port call is aimed at bringing the two countries closer together and strengthening ties of friendship.
[00:04:08.684 --> 00:04:15.650]  The official SANA news agency quoted a Russian naval officer concerning their ships outside of Syria.
[00:04:16.251 --> 00:04:21.415]  Meanwhile, you have the rigged political game as the Republican primaries are underway.
[00:04:22.389 --> 00:04:39.636]  The first official primary vote tomorrow in New Hampshire on the heels of the Iowa caucus, where Ron Paul finished third but had an essentially statistical tie for first in terms of the delegates that were won at that event.
[00:04:40.512 --> 00:04:56.457]  Now the whole deal leading into New Hampshire is we see a brand new wave of prostitute interruptions and circus and media claims of putting Ron Paul in a bad light just the day before the vote with him in second place.
[00:04:57.017 --> 00:05:04.705]  First of all, you have this incident earlier that you're seeing video of where the camera surrounded Ron Paul when he was at a meet and greet.
[00:05:04.725 --> 00:05:06.987]  He was supposed to meet New Hampshire primary voters.
[00:05:07.367 --> 00:05:13.974]  Instead, they packed the house with a bunch of high school students from Massachusetts and the press gang wouldn't allow him to reach the voters.
[00:05:14.014 --> 00:05:20.220]  Then when he left, the media spun it and tried to act as if it was Ron Paul refusing to reach out to voters.
[00:05:20.680 --> 00:05:27.065]  One woman in particular became irate, started screaming at Ron Paul and claiming he had promised to meet with their mother.
[00:05:27.465 --> 00:05:33.490]  Apparently, some reports indicate a staffer or something had given the woman reassurances.
[00:05:33.570 --> 00:05:38.353]  Ron Paul himself wasn't in position to talk to these people and pretty much had to leave the event.
[00:05:38.694 --> 00:05:44.958]  But that didn't stop The Hill from saying media mob chases Ron Paul from campaign stop in New Hampshire.
[00:05:46.079 --> 00:05:46.319]  I think?
[00:06:15.999 --> 00:06:16.239]  I think so.
[00:06:34.938 --> 00:06:54.323]  Then, you have CBS today, another of the branch of prostitutes, who blatantly excluded Ron Paul from their coverage, showing a new poll from Sulfic University, where they accidentally, for the 50th time, omitted Ron Paul from poll results in these prostitute media channels, the so-called mainstream media.
[00:06:54.383 --> 00:07:01.425]  They show Ron Paul with a hefty 43% lead, and then Gingrich, Hutzman, and Santorum all in single digits.
[00:07:02.125 --> 00:07:14.930]  Now, they are trying to annoy Mitt Romney, as many have pointed out, but they also presumably want to keep Ron Paul's name out of the headlines so he's not able to gain momentum because he's the only anti-war candidate.
[00:07:15.330 --> 00:07:25.454]  As we've just shown you, they're gearing up for a war big time and you know Obama, Romney, or any other creature is only going to back up that war, whatever they may say publicly.
[00:07:25.794 --> 00:07:29.336]  Now we have a clip from CBS regarding how he was left out of the poll.
[00:07:30.225 --> 00:07:40.151]  I'm really here for one reason and one reason only, and that is to make sure that we make Mitt Romney the next president of the United States of America.
[00:07:40.691 --> 00:07:44.893]  Expectations are high in what has become Romney's adopted home state.
[00:07:45.194 --> 00:07:51.697]  A New Suffolk University poll shows him with a commanding lead in New Hampshire, at almost 30 points above his rivals.
[00:07:52.118 --> 00:07:55.660]  At the same time, Newt Gingrich and John Huntsman have faltered.
[00:07:56.320 --> 00:08:04.947]  Rick Santorum, who polls in single digits here, is looking to give Romney a run in the Granite State after his near victory in Iowa.
[00:08:05.608 --> 00:08:15.817]  And of course it's no surprise not only to see them leaving Ron Paul out of it, but to seeing aging flip-floppers who support war, like John McCain supporting people like Romney.
[00:08:16.197 --> 00:08:22.763]  Now, we're all going to be watching on this Diebold thing, because in 2008 there were a lot of really unaccounted for swings.
[00:08:23.423 --> 00:08:31.192]  Uh, for instance, Hillary Clinton ended up winning in 2008 by 3%, even though she was down 13% in the polls.
[00:08:31.272 --> 00:08:33.495]  An unexplained 16 point swing.
[00:08:33.515 --> 00:08:37.800]  Uh, you know, Rudy Giuliani got more votes than he probably should have.
[00:08:38.180 --> 00:08:43.442]  And Romney really got a boost in 2008 in New Hampshire from the diabolical voting machines.
[00:08:43.482 --> 00:08:52.906]  Of course, Ron Paul himself got zero votes in Sutton County, which they recorded until people came forward and said they voted for him.
[00:08:53.427 --> 00:09:01.050]  They later had to admit that they omitted 31 votes from that little area and said, oh, it was human error, one of those
[00:09:01.670 --> 00:09:03.211]  Things that just happened.
[00:09:03.272 --> 00:09:05.994]  So we're all going to keep an eye on it tomorrow and see what happens.
[00:09:06.454 --> 00:09:10.217]  Because I don't think they want the snowball effect for the Ron Paul campaign.
[00:09:10.658 --> 00:09:13.300]  For some reason he's just not allowed to win in 2012.
[00:09:14.061 --> 00:09:20.626]  Meanwhile, in true occultic fashion, there was a secret White House party in 2009.
[00:09:20.767 --> 00:09:24.970]  A secret Alice in Wonderland bash for Halloween during the recession.
[00:09:25.390 --> 00:09:29.274]  Now they had a much more humble Halloween festivity that was covered by the media.
[00:09:29.914 --> 00:09:30.334]  I think so.
[00:09:45.580 --> 00:09:45.960]  I think so.
[00:10:08.789 --> 00:10:18.094]  Well, you know, while the whole recession was going on and the economy was tanking and people were worried just about making ends meet, all while people were having fun in the White House.
[00:10:18.654 --> 00:10:20.055]  But I'm sure that's the least of it.
[00:10:20.135 --> 00:10:24.317]  But nonetheless, an interesting story there with the Mad Hatter and all.
[00:10:24.958 --> 00:10:29.180]  Scientists create silkworm spider hybrid that spins super strong silk.
[00:10:29.260 --> 00:10:31.281]  Of course, we've already reported on
[00:10:32.822 --> 00:10:36.645]  Spider goats, genetically modified goats with spider silk put in them.
[00:10:37.005 --> 00:10:43.129]  Now they have genetically modified silk worms spliced in with the stronger spider silk.
[00:10:44.370 --> 00:10:49.773]  Scientists have used genes from spiders to create a new type of silk worm that could spin extra tough silk.
[00:10:50.134 --> 00:10:55.537]  Spider genes were injected into silk worms making them spin silk stronger than still.
[00:10:55.597 --> 00:11:02.442]  A group of biologists have created a new type of genetically modified silk worm capable of spinning extra strong silk.
[00:11:02.902 --> 00:11:18.989]  Spider-Man style now the problem here is things are gonna get carried away really quickly We also had this report this week of the monkeys created from six different parents spliced together chimeras You also had the army ants where they?
[00:11:19.449 --> 00:11:24.632]  Re-engineered the already existing DNA to create new super ants with giant heads.
[00:11:25.292 --> 00:11:33.717]  And that's just the stuff they talk about publicly as they talk about creating human-animal hybrids to harvest clones from and a whole lot more.
[00:11:34.098 --> 00:11:35.018]  Who's watching this?
[00:11:35.098 --> 00:11:37.660]  Is anyone regulating this for potential dangers?
[00:11:38.080 --> 00:11:48.146]  Or is it just all to make body armor silk for the military-industrial complex because spiders can't be handily bred because they are too aggressive to each other in captivity?
[00:11:48.936 --> 00:11:52.619]  Well, it's something to think about and we'll continue to watch that in the future.
[00:11:53.119 --> 00:12:02.046]  Meanwhile, a story on the New Jersey mayor who wants to pay you $1,000 to report illegal guns and destroy the Second Amendment.
[00:12:02.386 --> 00:12:08.470]  Brandon Smith of AltMarket reports, there's nothing more disgusting or detestable than a citizen informant.
[00:12:08.811 --> 00:12:12.613]  Without citizen informants, tyrants could never retain the kind of power they wield.
[00:12:12.994 --> 00:12:17.317]  In fact, without citizen informants, totalitarian movements would never gain traction.
[00:12:17.777 --> 00:12:30.057]  But of course, this is why every functional oligarchy throughout history has implemented programs designed to encourage the development of common spies using the promise of monetary reward or collective recognition.
