[00:00:02.245 --> 00:00:02.485]  I think.
[00:00:35.228 --> 00:00:36.669]  It's Monday, May 7, 2012.
[00:00:37.050 --> 00:00:42.334]  I'm Alex Jones, and this is InfoWars Nightly News.
[00:00:43.215 --> 00:00:46.638]  Tonight, more details emerge on the shocking U.S.
[00:00:46.798 --> 00:00:54.625]  Army Manual that details how American citizens are to be indoctrinated into re-education camps inside the U.S.
[00:00:54.945 --> 00:01:00.971]  Leaked document also describes rules on isolating political prisoners and forced labor.
[00:01:01.690 --> 00:01:02.991]  Attention, attention, attention.
[00:01:04.032 --> 00:01:05.793]  American forces are here to help.
[00:01:05.833 --> 00:01:07.434]  Please remain calm.
[00:01:07.494 --> 00:01:11.597]  We will not tolerate civil disobedience.
[00:01:12.297 --> 00:01:14.158]  Then, watch what you type.
[00:01:14.559 --> 00:01:19.182]  Surveillance cameras so strong they could zoom in and read text messages.
[00:01:20.848 --> 00:01:37.845]  Plus Romney operatives caught handing out fake ballots in Nevada and Maine, and Asia Times journalist Pepe Escobar joins us via video Skype to talk about the new socialist president of France and how a new Putin presidential term throws NATO's plans into disarray.
[00:01:38.285 --> 00:01:42.490]  All that and more next on the InfoWars Nightly News.
[00:01:53.933 --> 00:01:58.677]  First off, tonight we're seeing big changes all across Europe, at least on the surface.
[00:01:58.717 --> 00:02:12.509]  They're running from the arms of the so-called right-wing Sarkozy in France into Francois Hollande, the socialist that says he's going to take people making over a million euros a year and tax 75%
[00:02:14.691 --> 00:02:15.091]  I think so.
[00:02:30.208 --> 00:02:33.072]  And transferred and bankrupt bailouts to the elites.
[00:02:33.673 --> 00:02:36.016]  That's exactly what they've been pushing for.
[00:02:36.697 --> 00:02:39.041]  And this will only further bankrupt France.
[00:02:39.061 --> 00:02:44.368]  We're already seeing a big exodus out of France to other countries because of this.
[00:02:45.367 --> 00:02:50.393]  Well, the globalists, the billionaires, they've already written the laws in Europe and in the U.S.
[00:02:50.913 --> 00:02:52.595]  to exempt themselves.
