[00:00:21.587 --> 00:00:22.688]  Welcome to the program.
[00:00:22.728 --> 00:00:24.770]  This is the InfoWars Nightly News.
[00:00:24.830 --> 00:00:26.652]  The date is Friday, March 9, 2012.
[00:00:27.473 --> 00:00:29.195]  I'm your host, Aaron Dykes.
[00:00:29.235 --> 00:00:35.521]  Now, coming up on the program, we will be joined by medical doctor as well as lawyer, Meyer Eisenstein.
[00:00:36.162 --> 00:00:38.024]  He knows so much on the vaccine issue.
[00:00:38.064 --> 00:00:42.769]  He's going to also specifically talk about how to write a proper exemption waiver
[00:00:43.149 --> 00:00:43.569]  We're good to go.
[00:01:03.884 --> 00:01:09.105]  This is dealing with ongoing statements that they do not need to seek the U.S.
[00:01:09.165 --> 00:01:16.606]  Congress' approval for war, despite the Constitution explicitly stating in Article 1, Section 8, that this is exactly what must be done.
[00:01:17.006 --> 00:01:19.227]  Instead, they're citing international bodies.
[00:01:19.567 --> 00:01:29.488]  We covered yesterday the coup d'etat, where the Pentagon and Obama are declaring Congress only ceremonial, and you've got the statements from Leon Panetta.
[00:01:29.528 --> 00:01:32.129]  Let's briefly replay just part of that statement right now.
[00:01:33.220 --> 00:01:43.207]  Worried about international legal basis, but nobody worried about the fundamental constitutional legal basis that this Congress has over war.
[00:01:44.067 --> 00:01:52.613]  We were not asked, stunningly, in direct violation of the War Powers Act, whether or not you believe it's constitution, it certainly didn't comply with it.
[00:01:52.893 --> 00:01:56.036]  We spent our time worrying about the UN, the Arab League, NATO,
[00:01:56.756 --> 00:02:01.921]  And too little time, in my opinion, worried about the elected representatives of the United States.
[00:02:02.281 --> 00:02:10.609]  Do you think that you can act without Congress to initiate a no-fly zone in Syria without congressional approval?
[00:02:13.865 --> 00:02:29.302]  Our goal would be to seek international permission and we would come to the Congress and inform you and determine how best to approach this, whether or not we would want to get permission from the Congress.
[00:02:29.703 --> 00:02:33.327]  I think those are issues we would have to discuss as we decide what to do here.
[00:02:34.116 --> 00:02:37.221]  Well, I'm almost breathless about that.
[00:02:37.401 --> 00:02:41.046]  And everyone should be breathless because this is wildly unconstitutional.
[00:02:41.387 --> 00:02:50.380]  And here we have everything that happened in Libya, everything unconstitutional about the takeout in Libya pursuing Gaddafi happening again in Syria, and there's still
[00:02:50.780 --> 00:02:55.482]  Signing international authority over the Congress, saying the Congress does not even matter.
[00:02:55.983 --> 00:03:01.385]  Definitely we should get behind Representative Walter Jones's calls for impeachment of Obama.
[00:03:01.665 --> 00:03:04.047]  We should try to impeach Panetta and the others involved.
[00:03:04.127 --> 00:03:05.647]  This should have happened back in Libya.
[00:03:05.947 --> 00:03:08.969]  You saw people like Congressman Kucinich speaking out against that.
[00:03:09.029 --> 00:03:11.850]  But did he call for impeachment the way he did for Cheney?
[00:03:12.511 --> 00:03:14.372]  We'll see how that issue develops.
[00:03:14.452 --> 00:03:16.633]  But just disgusting as they push us more into war.
[00:03:16.653 --> 00:03:18.013]  And it's not a coincidence.
[00:03:18.033 --> 00:03:19.314]  We've known for decades
[00:03:19.654 --> 00:03:25.799]  More than 50 years, they were building this alternative world government system to circumvent the United States Constitution.
[00:03:25.819 --> 00:03:27.760]  They always said it, and now what do you see?
[00:03:27.780 --> 00:03:34.566]  You see ads on TV for things like the Global Force for Good, a Navy ad, saying that they work for international interests.
[00:03:35.326 --> 00:03:46.555]  Anyway, you've got the Kony 2012 video becoming the most rapidly spread viral video in Internet history, faster than Susan Boyle, we're told, all to open up
[00:03:46.895 --> 00:03:47.256]  Africa
[00:04:07.597 --> 00:04:14.864]  Where people don't even know where these countries are or the issues involved and yet they're moved by emotion, into action, tear-jerking.
[00:04:14.904 --> 00:04:20.250]  They want to follow these celebrities like Bono, a bonafide globalist for the Bill Gates Foundation.
[00:04:20.490 --> 00:04:24.074]  People like Angelina Jolie, a member of the Council on Foreign Relations.
[00:04:24.874 --> 00:04:30.240]  Figureheads like Bill Gates who just want to push vaccines in Africa and GMOs in Africa and other parts of the world.
[00:04:30.980 --> 00:04:35.763]  They want to use this issue to legitimize a greater Western invasion into Africa.
[00:04:35.824 --> 00:04:46.271]  We've had the experts, including Webster Tarpley on, to talk about how it's really a resource covert shadow war between the Western allies and China for control of Africa.
[00:04:46.291 --> 00:04:51.634]  It really doesn't have anything to do with sympathizing with victims of African slaughter.
[00:04:51.714 --> 00:05:00.180]  There are certainly many of those victims, and it is shameful, but did you see anyone really having an outcry about the killings on the Ivory Coast?
[00:05:00.680 --> 00:05:12.035]  On the behalf of French soldiers, did you see a large outcry about over a million dead Iraqis, civilians dead from that slaughter, or all kinds of other things that have happened over the decades in Africa?
[00:05:12.335 --> 00:05:16.000]  It's always going on, but you know when a video goes this viral...
[00:05:16.981 --> 00:05:19.603]  Uh, that someone big and globalist is behind it.
[00:05:19.943 --> 00:05:21.604]  And of course the history's all there.
[00:05:21.964 --> 00:05:28.369]  Specifically, as criticism surfaces, Kony 2012 gains momentum faster than Susan Boyle.
[00:05:28.429 --> 00:05:29.409]  That's in CNN.
[00:05:29.930 --> 00:05:37.375]  And you've also got the New York Times article, which I've cast away here, uh, also drawing out these issues and how big
[00:05:38.305 --> 00:06:04.887]  The video is, there it is, Kony 2012 sets mark as fastest spreading viral video and yet we flash back to October 14th, 2011 and Obama wanted to send a hundred special forces troops to five countries in Africa to pursue this Kony head of the Lord's Resistance Army because of all the little Africans they were hurting there so they could bring in the troops and legitimize again the newly formed AFRICOM unit
[00:06:05.327 --> 00:06:08.510]  Pursuing the greater African Union under Western powers there.
[00:06:09.191 --> 00:06:27.109]  Just a brief update on that as we'll continue to watch that become a false hyped-up phenomena as nobody cares about all the other African dictators only a guy named Kony who has to be pursued into multiple nations multiple jurisdictions by international bodies for the benefit of corporate globalists.
[00:06:28.150 --> 00:06:29.171]  That's my take in a nutshell.
[00:06:30.563 --> 00:06:35.486]  Moving on, you have the entire artificial intelligence issue.
[00:06:35.926 --> 00:06:58.280]  Now, before I even woke up to things going on with eugenics, I knew about issues like 9-11, and I also knew about the dangers of technology moving us forward because I read Ray Kurzweil's Age of Spiritual Machines, and that book alone highlights so many of the ethical dilemmas we face as future technology brings us closer to a centralized, totally totalitarian government.
[00:06:58.740 --> 00:07:23.293]  And you see those themes even in that book written more than 10 years ago, and you see it again in the warnings from Professor Roman Jablonski of the University of Louisville in Kentucky, who says we must control dangerous AI before it controls us, saying keeping the artificial intelligence genie trapped in the proverbial bottle could turn an apocalyptic threat into a powerful oracle that solves humanity's problems.
[00:07:23.693 --> 00:07:27.855]  A computer scientist at University of Louisville in Kentucky, Roman Jablonski said,
