[00:00:02.619 --> 00:00:02.859]  I don't know.
[00:00:35.506 --> 00:00:38.627]  Hello again, everyone, and welcome to the InfoWars Nightly News.
[00:00:38.807 --> 00:00:39.787]  I'm Darren McBreen.
[00:00:39.907 --> 00:00:41.787]  It is Monday, Memorial Day 2012.
[00:00:41.947 --> 00:00:52.629]  We're going to celebrate this holiday by bringing you a special edition of our broadcast as we take a look back at some of our best, most hard-hitting reports from recent past.
[00:00:52.970 --> 00:00:54.970]  Here's a quick preview of what I'm talking about.
[00:00:59.252 --> 00:01:07.398]  Tonight, a Russian spy ring penetrates the highest levels of the Obama administration and a new Cold War emerges.
[00:01:08.139 --> 00:01:17.546]  Plus, a look back at the militarization of our police as the Texas DPS goes on a spending spree to patrol the Rio Grande River.
[00:01:17.926 --> 00:01:22.369]  Then, an in-depth look at the father of propaganda, Edward Bernays.
[00:01:22.789 --> 00:01:24.711]  And Facebook gets all zuckered up
[00:01:25.091 --> 00:01:28.377]  And Aaron Dykes told you so before the IPO.
[00:01:28.717 --> 00:01:34.446]  All that coming up next in this Memorial Day special edition of the InfoWars Nightly News.
[00:01:41.840 --> 00:01:46.662]  So as you can see, we have an exciting and informative show lined up for you this evening.
[00:01:46.682 --> 00:01:54.804]  We're going to start out by taking a look at a special report that exposes foreign spies deep inside the inner workings of U.S.
[00:01:54.984 --> 00:01:55.985]  foreign policy.
[00:01:56.485 --> 00:02:04.788]  It's been exposed since 2010 that indeed a spy ring from Russia got well within the highest levels of the Obama administration.
[00:02:05.288 --> 00:02:05.888]  Hillary Clinton.
[00:02:06.468 --> 00:02:06.928]  Excuse me.
[00:02:07.548 --> 00:02:11.330]  You know, Vladimir Putin even admitted this a couple years ago on Larry King Live.
[00:02:11.670 --> 00:02:19.572]  And it's no question that geopolitical tensions between the United States and Russia are on the rise and a new Cold War is emerging.
[00:02:19.932 --> 00:02:25.474]  A spy ring has once again infiltrated the highest and most secure levels of our government.
[00:02:25.954 --> 00:02:30.457]  Anna Chapman was revealed in 2010 to be a Russian spy.
[00:02:30.697 --> 00:02:41.265]  But only now do we know that the FBI agents exposed her because they feared she was getting dangerously close and under the covers with a high-ranking Obama official.
[00:02:41.505 --> 00:02:44.087]  But they would not reveal who the official was.
[00:02:44.427 --> 00:02:48.370]  However, it later emerged that not the bombshell Anna Chapman,
[00:02:48.570 --> 00:02:55.882]  But another member of the Russian spy ring had reached the inner circle of Secretary of State Hillary Clinton's entourage.
[00:03:01.519 --> 00:03:08.065]  Foreign spies were admittedly involved deep inside the inner workings of US foreign policy.
[00:03:08.506 --> 00:03:11.488]  Putin played it down and said they were doing no harm.
[00:03:11.689 --> 00:03:14.872]  But is it a sign that a new Cold War is emerging?
[00:03:15.252 --> 00:03:18.255]  Or are we trapped in some kind of James Bond film?
[00:03:21.687 --> 00:03:26.109]  Tabloids even speculated why Hillary started dressing like a Bond villain.
[00:03:26.449 --> 00:03:37.973]  And now KGB boss Vladimir Putin, back in power, recently unveiled a new psychotronic weapon that attacks the central nervous system and turns humans into zombies.
[00:03:42.881 --> 00:03:53.163]  Putin said that such high-tech weapons systems will be comparable in effect to nuclear weapons, but will be more acceptable in terms of political and military ideology.
[00:03:53.543 --> 00:04:10.787]  And Russian Defense Minister Anatoly Sertyukov added, the development of weaponary systems based on new physics principles, direct energy weapons, geophysical weapons, wave energy weapons, genetic weapons, psychotronic weapons, and so on, is part of the state arms procurement program
[00:04:11.127 --> 00:04:13.089]  For 2011 to 2020.
[00:04:14.531 --> 00:04:18.194]  We know that similar technology has already been tapped by DARPA.
[00:04:19.155 --> 00:04:24.681]  It was revealed in the wake of the Arab Spring and the contested Russian election that the U.S.
[00:04:24.721 --> 00:04:28.605]  had indeed intervened to tie Putin's hands on the grand chessboard.
[00:04:31.212 --> 00:04:44.836]  The conflict in South Ossetia, pitting western-backed Georgia against Russia, later proved to be an attempt by Vice President Dick Cheney to menace Russia into World War III, putting us once again on the brink.
[00:04:45.536 --> 00:04:57.999]  Zygmunt Brzezinski, key advisor under President Carter and shadow advisor under alleged President Obama, has long envisioned the plan to encircle Russia and compete for territory in the Great Game.
[00:05:01.132 --> 00:05:07.917]  And honestly, folks, do you think that Russia is completely unaware that they're being completely encircled by hostile U.S.
[00:05:07.957 --> 00:05:08.918]  military bases?
[00:05:09.919 --> 00:05:19.245]  Sure, they might not be the same military might as they once were when they were the Soviet Union, but pair them up with China, and we're talking one fierce military machine.
[00:05:19.786 --> 00:05:26.351]  Is it really worth blowing up the entire world to prevent Iran from having their own nuclear energy program?
[00:05:27.312 --> 00:05:31.616]  Well, I guess that's a question the mainstream media should be asking, but they won't.
