[00:00:02.261 --> 00:00:02.401]  I think.
[00:00:34.909 --> 00:00:37.493]  Welcome to another edition of InfoWars Nightly News.
[00:00:37.973 --> 00:00:39.555]  I'm your host, Rob Dew, and get ready.
[00:00:40.076 --> 00:00:41.418]  We're about to get real serious.
[00:00:41.478 --> 00:00:42.720]  The tyranny is coming down hard.
[00:00:42.760 --> 00:00:44.182]  Here's a look at what we have coming up tonight.
[00:00:48.351 --> 00:01:10.042]  Tonight, the UN Arms Trade Treaty that has been identified as a flagrant threat to the Second Amendment, and which Barack Obama is determined to sign, has its roots in a 1961 State Department memorandum, which explains how the United Nations will oversee complete disarmament of the American people.
[00:01:13.348 --> 00:01:17.749]  All that plus more up next on the InfoWars Nightly News.
[00:01:29.571 --> 00:01:31.634]  Last week, Aaron Dykes covered how the U.N.
[00:01:31.654 --> 00:01:34.357]  has been incrementally trying to dig into our Second Amendment.
[00:01:34.738 --> 00:01:35.399]  Well, guess what?
[00:01:35.879 --> 00:01:40.285]  It's hitting home now because we just released a story today titled, U.N.
[00:01:40.325 --> 00:01:42.408]  Gun Grab Follows State Department Plan.
[00:01:42.949 --> 00:01:43.870]  This is going to get scary.
[00:01:44.551 --> 00:01:55.797]  The UN Arms Trade Treaty that has been identified by observers as a flagrant threat to the Second Amendment, in which Barack Obama is determined to sign, has its roots in a 1961, you hear that?
[00:01:55.817 --> 00:02:04.823]  1961 State Department Memorandum, which explains how the United Nations will oversee complete disarmament of all the people under the ruse of preventing war.
[00:02:05.683 --> 00:02:06.323]  Are you hearing me?
[00:02:06.763 --> 00:02:07.864]  That's what they're talking about.
[00:02:07.904 --> 00:02:10.705]  They're going to take your guns under the ruse of preventing war.
[00:02:11.325 --> 00:02:12.205]  Let's go to that document.
[00:02:12.225 --> 00:02:13.526]  We'll come back to this in one second.
[00:02:14.026 --> 00:02:14.766]  Here's the document.
[00:02:14.866 --> 00:02:17.767]  It's entitled, Freedom from War.
[00:02:18.327 --> 00:02:19.828]  State Department Publication 7277.
[00:02:19.988 --> 00:02:20.688]  Released September 1961.
[00:02:20.728 --> 00:02:21.008]  Okay?
[00:02:27.185 --> 00:02:30.467]  September 1961 is when they started writing this.
[00:02:30.587 --> 00:02:31.467]  And you know what it says here?
[00:02:31.807 --> 00:02:36.890]  The United States Program for General and Complete Disarmament in a Peaceful World.
[00:02:37.550 --> 00:02:40.132]  Yeah, the only ones that are going to have guns are the United Nations soldiers.
[00:02:40.292 --> 00:02:40.792]  And guess what?
[00:02:41.092 --> 00:02:42.453]  There's not going to be any peace with them.
[00:02:42.473 --> 00:02:45.074]  They're going to be kicking your heads in and shooting everybody in sight.
[00:02:45.634 --> 00:02:46.415]  And they've already done it.
[00:02:46.895 --> 00:02:48.556]  It's happened time and time again.
[00:02:48.576 --> 00:02:49.636]  You can look at Africa.
[00:02:50.037 --> 00:02:51.577]  You can look in East Asia.
[00:02:52.398 --> 00:02:53.298]  That's what they plan on doing.
[00:02:53.338 --> 00:02:54.699]  That's their version of peacekeeping.
[00:02:54.919 --> 00:02:56.380]  We're going to go into this document right now.
[00:02:57.452 --> 00:03:00.641]  From the Office of Public Services, Bureau of Public Affairs.
[00:03:00.661 --> 00:03:02.706]  It only cost 15 cents.
[00:03:02.746 --> 00:03:03.368]  It was interesting.
[00:03:04.695 --> 00:03:04.955]  In 1961.
[00:03:04.995 --> 00:03:10.937]  So in their introduction they talk about a program for general and complete disarmament in a peaceful world.
[00:03:11.417 --> 00:03:11.717]  Okay?
[00:03:11.757 --> 00:03:13.077]  Make no mistake about it.
[00:03:13.497 --> 00:03:16.258]  This isn't just hidden one time in this document.
[00:03:16.278 --> 00:03:17.238]  We're going to go through it all.
[00:03:18.199 --> 00:03:22.300]  They talk about freedom from war and security for all states.
[00:03:22.820 --> 00:03:24.260]  And what does security for the state mean?
[00:03:24.300 --> 00:03:26.261]  That means no security for the individual.
[00:03:26.321 --> 00:03:27.981]  That means you don't have any rights.
[00:03:28.041 --> 00:03:29.922]  It's only the state that's going to have rights.
[00:03:31.062 --> 00:03:34.064]  First, there must be immediate disarmament action.
[00:03:34.745 --> 00:03:36.426]  And this is written by our State Department.
[00:03:37.266 --> 00:03:39.708]  A goal of general and complete disarmament.
[00:03:41.149 --> 00:03:47.033]  Second, all disarmament obligations must be subject to effective international controls.
[00:03:47.173 --> 00:03:48.534]  You know what that means?
[00:03:48.594 --> 00:03:49.595]  No Second Amendment.
[00:03:51.104 --> 00:03:53.967]  They talk about the stages of the disarmament process.
[00:03:54.648 --> 00:03:58.232]  Third, adequate peacekeeping machinery must be established.
[00:03:58.853 --> 00:04:06.481]  Nations are unlikely to shed their means of self-protection in the absence of alternative ways to safeguard their legitimate interests.
[00:04:07.679 --> 00:04:09.200]  Like freedom from tyranny.
[00:04:09.841 --> 00:04:21.992]  This can only be achieved through progressive strengthening of international institutions under the United Nations and by creating United Nations Peace Force to enforce the peace as the disarmament process proceeds.
[00:04:25.063 --> 00:04:26.744]  You guys, you better get serious.
[00:04:27.405 --> 00:04:28.686]  You better start talking to people.
[00:04:28.726 --> 00:04:31.609]  You better start warning people because it's going to start happening soon.
[00:04:32.289 --> 00:04:33.971]  We know they're already training to do this.
[00:04:34.011 --> 00:04:35.672]  We've already been telling you this for years.
[00:04:36.353 --> 00:04:36.673]  Okay?
[00:04:37.033 --> 00:04:40.396]  And here it is from 1961 and it's been incrementally happening.
[00:04:40.436 --> 00:04:41.577]  Let's go back to the document.
[00:04:42.418 --> 00:04:44.259]  Disarmament goals and objectives.
[00:04:44.719 --> 00:04:49.520]  Preserve internal order and contributions to a United Nations Peace Force.
[00:04:49.540 --> 00:04:55.702]  So that's taxes that they're going to use from us to go back and take your guns later, through the United Nations, through the Blue Hats.
[00:04:57.183 --> 00:05:06.705]  Establishment and effective operation of an internal disarmament organization within the framework of the United Nations to ensure compliance at all times with all disarmament obligations.
[00:05:08.006 --> 00:05:08.246]  Okay?
[00:05:09.656 --> 00:05:10.678]  Governing principles.
[00:05:10.698 --> 00:05:11.739]  We're going to move down here.
