[00:00:27.873 --> 00:00:29.034]  Welcome, ladies and gentlemen.
[00:00:29.094 --> 00:00:33.296]  I'm your host, Aaron Dykes, on this broadcast of the InfoWars Nightly News.
[00:00:33.696 --> 00:00:35.096]  Today is Monday, April 9, 2012.
[00:00:37.377 --> 00:00:48.402]  Coming up, Rob Dew speaks with InfoWars researcher-writer Patrick Henningsen on the Fast and Furious case and new breaking info on the Trayvon Martin shooting.
[00:00:48.603 --> 00:00:51.424]  First up in the news, will more than five
[00:00:51.664 --> 00:00:56.627]  A billion people be killed in a post-industrial collapse of civilization?
[00:00:56.987 --> 00:01:09.774]  That's what some researchers are saying, echoing the propaganda from the Club of Rome dating back to 1972 and a computer model compiled by MIT researchers as part of the same project.
[00:01:10.034 --> 00:01:15.617]  It was covered in the SHTF plan blog and many other publications.
[00:01:15.997 --> 00:01:18.719]  It's based around Australian physicist Graham Turner,
[00:01:19.139 --> 00:01:19.600]  We're good to go.
[00:01:38.317 --> 00:01:38.357]  As
[00:01:53.234 --> 00:02:03.016]  Unlimited economic growth, they say, is still possible if world governments enact policies and invest in green technologies that help limit the expansion of our ecological footprint.
[00:02:03.316 --> 00:02:06.937]  Of course, it would not be unlimited economic growth under that model.
[00:02:07.017 --> 00:02:09.438]  It would be a containment of the economy.
[00:02:09.518 --> 00:02:17.139]  It's all about Marie Strong's Agenda 21, a post-industrial civilization they want to clamp down on humanity, not in powers.
[00:02:17.559 --> 00:02:20.240]  Not to say that population or our use of energy
[00:02:20.580 --> 00:02:20.680]  Yes.
[00:02:37.910 --> 00:02:38.570]  We're good to go.
[00:03:03.144 --> 00:03:06.787]  However, this model, again, is not new.
[00:03:06.907 --> 00:03:07.808]  It's from 1972.
[00:03:07.888 --> 00:03:17.655]  It was criticized in the early 80s from the LaRouche Pub's Executive Intelligence Review, as well as economists Gunnar Myrdal and others.
[00:03:18.555 --> 00:03:21.698]  Let's see, the Intelligence Review itself said,
[00:03:22.418 --> 00:03:27.842]  Petchy later confessed that the club's new tool had been pre-programmed to deliver the desired conclusion.
[00:03:28.282 --> 00:03:32.685]  The motive for this deception, Petchy contends, is purely an altruistic one.
[00:03:33.065 --> 00:03:40.891]  A noble lie provided to goad them into the shock treatment necessary to compel nations to adopt measures of population control.
[00:03:41.471 --> 00:03:56.878]  And then the economist Gunnar Myrdal says, the use of mathematical equations and a huge computer which registers alternatives of abstractly conceived policies by a world simulation model may impress the innocent general public, but has little, if any, scientific validity.
[00:03:57.198 --> 00:04:00.380]  This sort of model is actually a new tool for mankind.
[00:04:00.720 --> 00:04:04.102]  The idea that it's a new tool for mankind is unfortunately not true.
[00:04:04.522 --> 00:04:06.944]  It's a type we have for a long time had too much of.
[00:04:07.284 --> 00:04:14.088]  And it's just like Al Gore's correlation projections between CO2 and global temperatures.
[00:04:14.909 --> 00:04:18.211]  There may be a correlation, but the cause and effect is not really there.
[00:04:18.651 --> 00:04:24.675]  And in the case of these models, they've put in inputs to prove the results they'd like to have.
[00:04:24.715 --> 00:04:26.396]  What they're ruling out is
[00:04:26.896 --> 00:04:28.957]  All our options for alternative energy.
[00:04:28.997 --> 00:04:32.318]  It assumes peak oil, which itself we can cast doubt on.
[00:04:32.378 --> 00:04:41.622]  Bloomberg just this year reported that peak oil, that myth is really drying up as they've got all these new discoveries, shale, deepwater crude, and on and on.
[00:04:41.682 --> 00:04:44.863]  Not to mention all the resources in places like Alaska.
[00:04:45.284 --> 00:04:48.325]  Secondarily, as the Forbes blog points out about this
[00:04:48.985 --> 00:04:49.666]  I don't know.
[00:05:09.986 --> 00:05:11.966]  We have the option of embracing this world government.
[00:05:12.006 --> 00:05:13.187]  I think it's kind of disgusting.
[00:05:13.507 --> 00:05:15.847]  You can make up your own mind by reading the studies.
[00:05:16.107 --> 00:05:34.811]  It's interesting to note that the first person to put out the article on Australian physicist Graham Turner was the Smithsonian Magazine, who themselves did not disclose their conflict of interest in hosting the 40th anniversary of the Limits to Growth, which is the original publication by the Club of Rome.
[00:05:35.231 --> 00:05:35.511]  Thank you.
[00:05:51.280 --> 00:05:52.881]  I won't say too much more about it.
[00:05:53.041 --> 00:05:58.422]  We turn now to Melinda Gates saving thousands of women's lives through contraception.
[00:05:58.962 --> 00:06:00.883]  And she's obviously getting heat.
[00:06:01.043 --> 00:06:07.645]  The Bill and Melinda Gates Foundation is getting heat for all their activity on population control throughout the world.
[00:06:07.685 --> 00:06:09.646]  They're pushing for GMOs and a whole lot more.
[00:06:10.146 --> 00:06:16.850]  I see all kinds of critical articles written every week, every day, on various related topics there.
[00:06:17.211 --> 00:06:34.521]  But here in this one, reported in the Seattle PI, really the hometown to the Bill and Melinda Gates Foundation, she hinges the whole thing around how she's Catholic, and so if she represents birth control, it's not controversial, even though so many Catholics have come out strongly on this issue.
[00:06:34.882 --> 00:06:38.384]  Some people think contraceptives are code for abortion, which they're not.
[00:06:38.724 --> 00:06:43.287]  Melinda Gates said some people are uncomfortable because contraceptives have to do with sex.
[00:06:43.688 --> 00:06:47.050]  Some people worry that the real goal is to control populations.
