[00:00:03.985 --> 00:00:04.025]  Oh,
[00:00:36.732 --> 00:00:37.553]  Good evening, everyone.
[00:00:37.613 --> 00:00:39.874]  Welcome to the InfoWars Nightly News.
[00:00:40.034 --> 00:00:40.975]  I'm Darren McBreen.
[00:00:41.095 --> 00:00:42.856]  It is Friday, July 20th, 2012.
[00:00:43.156 --> 00:00:45.818]  Here's a quick look at what's coming up.
[00:00:49.005 --> 00:00:55.849]  Tonight, Rob Dew speaks with the woman that was in an Old West showdown over Smart Meter's encroachment on her property.
[00:00:56.110 --> 00:01:02.494]  Then, tragedy at the midnight premiere of The Dark Knight Rises, breaking info as the PSYOP unfolds.
[00:01:02.854 --> 00:01:07.457]  Plus, the ATF director offers veiled threats to whistleblowers.
[00:01:07.857 --> 00:01:10.459]  All that and more on the InfoWars Nightly News.
[00:01:21.235 --> 00:01:38.386]  All that and more coming up during the next hour, but first let's jump right into our top headlines as we begin this evening with the tragic Batman shooting in Aurora, Colorado, where political opportunists have already seized upon the incident to push for gun control.
[00:01:39.520 --> 00:01:55.713]  New York Mayor Bloomberg, predictably one of the first public figures, to demand a crackdown on gun rights, as he has asked both Mitt Romney and Barack Obama to stand up and tell us what they're going to do about mass shootings.
[00:01:56.374 --> 00:02:08.684]  Now, more on Bloomberg later, but first, earlier today on the Alex Jones Show, Alex broke down how this incident and this shooting, it looks like a false flag attack.
[00:02:09.324 --> 00:02:13.506]  And, you know, there's no doubt that this has PSYOP written all over it.
[00:02:13.986 --> 00:02:15.026]  Here's Alex Jones.
[00:02:15.967 --> 00:02:18.528]  It is Friday, the 20th day of July, 2012.
[00:02:19.268 --> 00:02:26.411]  And if you look at the full spectrum of information unfolding right now...
[00:02:28.369 --> 00:02:42.672]  100% chance that the mass murder committed in the suburb of Denver, Colorado right next to Littleton and Columbine was a false flag mind control event.
[00:02:44.353 --> 00:02:57.216]  Of course, my quotes are on record from back in earlier in this month when I put a review out, what, three weeks ago or so, of The Dark Knight.
[00:02:58.636 --> 00:03:22.695]  And in that I basically break down the fact that it is a weaponized propaganda psychological warfare system with subliminals commanding people to be in fear of terrorism but also generating feelings of terror as a Hegelian dialectic event.
[00:03:24.448 --> 00:03:28.879]  Now that nine minute analysis is up at Infowars.com right now.
[00:03:29.701 --> 00:03:30.723]  Now yesterday...
[00:03:32.981 --> 00:03:39.664]  The makers of the film ordered the video taken down, even though we used the trailer, small clips, it's all fair use.
[00:03:39.964 --> 00:03:40.725]  We're analyzing it.
[00:03:41.405 --> 00:03:42.706]  They ordered it taken down.
[00:03:42.726 --> 00:03:48.028]  Now normally, the computers would do that instantly when a video came up, if it really had copyrighted material.
[00:03:48.489 --> 00:03:56.793]  It's already set in the YouTube systems to recognize it, and automatically your video never goes live because it says copyright claim.
[00:04:00.123 --> 00:04:05.772]  We counter-filed and the block was taken off so the video is available right now.
[00:04:06.292 --> 00:04:09.157]  Paul Watson wrote an article that was up at 6 a.m.
[00:04:09.938 --> 00:04:11.020]  Eastern this morning.
[00:04:13.206 --> 00:04:34.552]  That was the first article to predict that Bloomberg, Chuckie Schumer, Nancy Pelosi, and the usual suspects would come out and call for restricting the Second Amendment further, as they've done in Chicago and New York with total bans, thus creating hellish crime waves that dwarf what happened even on a weekly basis in Denver.
[00:04:36.993 --> 00:04:41.014]  There are more deaths in Chicago every week than what just died in the suburb of Denver.
[00:04:42.961 --> 00:04:49.586]  And sure enough, those reports have all now come out as the establishment calls for it.
[00:04:49.726 --> 00:05:11.041]  ABC News, the New York Times, Bloomberg himself, Bloomberg Publication, all the usual suspects, people that want to run your life, people that want to make you defenseless, so that somebody dressed up, by the way, in a Bane outfit, that's what he was wearing, a gas mask, came in there, and of course, in some of these shootings, they're wearing masks.
[00:05:11.943 --> 00:05:16.007]  And then they find the drug-addled suspect later, just like Sirhan Sirhan.
[00:05:16.247 --> 00:05:18.769]  That's even mainstream news at the RFK shooter.
[00:05:19.089 --> 00:05:29.698]  The police's own report said he didn't shoot him, wasn't the same caliber, they held his hand down, and it was his, quote, security detail behind him that shot Robert F. Kennedy in the back.
[00:05:30.666 --> 00:05:33.470]  And that's London Telegraph, Associated Press, Reuters, LA Times.
[00:05:33.770 --> 00:05:34.851]  That's now admitted.
[00:05:35.132 --> 00:05:38.296]  Sirhan Sirhan's lawyers are trying to get him out of prison with that defense.
[00:05:38.356 --> 00:05:40.038]  So this stuff goes on.
[00:05:40.098 --> 00:05:41.800]  They've got drugs they can give you.
[00:05:42.557 --> 00:05:45.539]  Which make you close to 100% suggestible.
[00:05:45.559 --> 00:05:51.862]  In fact, you've seen this in the news where they've got flowers down in South America that you can give somebody and tell them, you know, put your hand in the meat grinder.
[00:05:53.503 --> 00:05:54.283]  Drown your baby.
[00:05:54.884 --> 00:06:01.787]  In fact, I've got to get with my riders and have them explain that they've got drugs that make you, they say, 100% suggestible.
[00:06:01.847 --> 00:06:03.728]  I mean, not everybody's susceptible to this stuff.
[00:06:04.769 --> 00:06:06.450]  Some people have different effects with different drugs.
[00:06:07.535 --> 00:06:08.475]  The point is it's close to 100%.
[00:06:08.976 --> 00:06:13.117]  The military, it's declassified, uses this and then programs.
[00:06:13.737 --> 00:06:17.479]  Or they just drug somebody and then tell them they did the shooting and have them all set up.
[00:06:18.119 --> 00:06:20.240]  Columbine, we know, was a false flag.
[00:06:21.160 --> 00:06:24.001]  I'd say 100% false flag and I'll explain why on the other side.
[00:06:24.902 --> 00:06:29.984]  You see, even if this was just an organic shooter, they were mass-programmed by the culture.
