[00:00:03.499 --> 00:00:03.959]  Welcome back.
[00:00:04.500 --> 00:00:09.844]  Now, this election that comes up in less than a week, there are three states that have a marijuana ballot initiative on them.
[00:00:10.465 --> 00:00:14.468]  Colorado, Oregon, and Washington State all have initiatives.
[00:00:14.568 --> 00:00:16.549]  This is something that affects everybody.
[00:00:16.569 --> 00:00:18.631]  Now, there's an issue of prohibition.
[00:00:18.971 --> 00:00:23.495]  If you remember back to alcohol prohibition, prohibition corrupts the government.
[00:00:23.915 --> 00:00:27.678]  Prohibition creates violence, and that's what we're seeing in all aspects of the drug war.
[00:00:28.351 --> 00:00:31.733]  The other thing is that we have a tremendous jail population.
[00:00:31.773 --> 00:00:39.058]  Here in the United States, we only have 5% of the population of the world, and yet we have 25% of the world's prison population.
[00:00:39.278 --> 00:00:41.459]  And most of that is due to the war on drugs.
[00:00:41.559 --> 00:00:52.186]  As a matter of fact, violent criminals, murderers, are let out frequently because they don't have enough jail space to keep them in when they have mandatory minimums for non-violent offenders using marijuana.
[00:00:52.799 --> 00:00:58.835]  The other way that it affects you is that even if you are not one of the people or somebody in your family is not someone who goes to jail with these laws.
[00:00:59.574 --> 00:01:00.655]  You're going to be paying for it.
[00:01:01.035 --> 00:01:05.637]  You're going to be paying up to $50,000 a year to keep these people in jail.
[00:01:05.858 --> 00:01:09.540]  Well, tonight on the show, we've got New Jersey weed man, Ed Fortune.
[00:01:09.800 --> 00:01:15.143]  He's a long-time activist, actually a political candidate, and he's been a victim of this illegal war on drugs.
[00:01:15.283 --> 00:01:17.904]  And he's fought it, and he's won an important victory.
[00:01:17.924 --> 00:01:21.366]  It involves something that's very important to all of us, jury nullification.
[00:01:21.767 --> 00:01:24.288]  Kind of get us up to date as to what's been going on with your case.
[00:01:24.488 --> 00:01:35.833]  While I was visiting New Jersey from California and I got pulled over by a New Jersey State Trooper and my luggage was a pound of my medicine, my marijuana.
