[00:00:22.839 --> 00:00:24.646]  It's Thursday, September 27.
[00:00:24.726 --> 00:00:25.851]  I'm Paul Joseph Watson.
[00:00:26.051 --> 00:00:27.878]  This is InfoWars Nightly News.
[00:00:27.918 --> 00:00:28.621]  Here's what's coming up.
[00:00:32.435 --> 00:00:37.016]  Tonight, LRAD sonic weapons to be deployed throughout America.
[00:00:37.376 --> 00:00:38.936]  Then... You got Obama phone?
[00:00:38.956 --> 00:00:39.216]  Yes!
[00:00:39.376 --> 00:00:42.637]  Everybody in Cleveland, no minority, got Obama phone!
[00:00:42.977 --> 00:00:44.997]  Keep Obama in president, you know!
[00:00:45.297 --> 00:00:46.657]  He gave us a phone!
[00:00:46.978 --> 00:00:55.199]  Okay... Plus another bizarre TSA freeze drill is caught on camera and how the games are fixed with guest Brian Toohey.
[00:00:55.699 --> 00:00:57.159]  Don't go crying in your Wheaties.
[00:00:58.239 --> 00:01:01.080]  That's coming up next on the Info Wars of Night.
[00:01:11.789 --> 00:01:17.472]  Top story tonight, LRAD sonic weapons to be deployed throughout America for crises.
[00:01:17.552 --> 00:01:18.833]  This is InfoWars.com.
[00:01:19.173 --> 00:01:36.603]  The USA National Guard has purchased half a million dollars worth of portable LRAD acoustic systems, which are commonly used by police to quell protests and civil unrest, ensuring that the sonic weapons will be deployed, quote, throughout America during upcoming national emergencies and other crises.
[00:01:37.643 --> 00:01:42.746]  With this order, LRAD systems will be in use by every major force of the Department of Defense.
[00:01:42.906 --> 00:01:47.068]  Tom Brown, President and CEO of LRAD, told Government Security News.
[00:01:47.509 --> 00:01:59.676]  The Air National Guard will be deploying the LRAD-100X systems throughout the country to support and assist civil authorities in the event of severe natural or man-made disasters.
[00:02:00.615 --> 00:02:12.441]  And of course what they don't tell you in this article is the fact that LRAD devices, these sound cannons, are routinely used to disperse protesters because they are nothing less than torture devices.
[00:02:13.321 --> 00:02:25.267]  As you can see from the clips embedded in this InfoWars.com article, these LRADs emit this high-pitched sound which actually causes physical sickness and forces people to evacuate the immediate area.
