[00:00:04.189 --> 00:00:04.612]  Oh, yeah.
[00:00:41.010 --> 00:00:42.893]  Welcome to the InfoWars Nightly News.
[00:00:42.993 --> 00:00:46.959]  I'm your host, Melissa Melton, and here's what we have in store for you on this December 7th, 2012 edition.
[00:00:51.567 --> 00:00:56.712]  Tonight, NATO says military intervention in Syria is imminent.
[00:00:57.312 --> 00:01:02.497]  Then, Congress pushes to hand over drone oversight to the DHS.
[00:01:02.978 --> 00:01:11.005]  Plus, learn how the Obama administration is considering responding to the legal pot in Colorado and Washington.
[00:01:11.485 --> 00:01:15.089]  That's coming up next on the InfoWars Nightly News.
[00:01:26.283 --> 00:01:31.007]  Our top story tonight, NATO military intervention into Syria is now imminent.
[00:01:31.548 --> 00:01:41.616]  According to Paul Joseph Watson, sources close to the French Defense Ministry have reported today that a Western Arab military intervention against the Assad regime is due to begin shortly.
[00:01:42.177 --> 00:01:52.626]  And the report adds that the assault would be modeled on the Western intervention in Libya in 2011, and the attack could be preceded by an announcement that Assad has used chemical weapons.
[00:01:53.126 --> 00:02:09.614]  And I just want to remind everyone that six months ago a report also came out showing that Syrian opposition actually got their hands on those chemical weapons, that they were training to use them in Turkey, and that the plan was they would use them against civilians and then blame that on the Assad regime.
[00:02:10.214 --> 00:02:22.883]  And as InfoWars has reported a myriad of ways, we've also, our United States government and NATO powers have linked themselves to the rebels there in Syria, just like we did in Libya, that are linked to Al Qaeda terrorists.
[00:02:23.223 --> 00:02:31.829]  These are the same terrorists that were bad and blamed on 9-11 and were killing our troops in Iraq, and yet now we're actually siding with them.
[00:02:32.469 --> 00:02:38.233]  And I just pray that they don't actually use those weapons, but when you hear that in the media, you have to wonder,
[00:02:38.573 --> 00:02:41.155]  Who actually has these chemical weapons anyway?
[00:02:41.275 --> 00:02:44.537]  So I pray that those people are safe and that they don't use those.
[00:02:45.337 --> 00:02:53.263]  Moving on, the Obama administration is considering responding to legal pot now in Colorado and Washington in two different ways.
[00:02:53.883 --> 00:02:54.664]  The first is
[00:02:55.624 --> 00:03:04.731]  A task force made up of Maine Justice, the DEA, the State Department, and the Office of National Drug Control Policy is currently considering two courses of action here.
[00:03:05.411 --> 00:03:18.241]  One is for federal prosecutors to bring cases against low-level marijuana users in the hopes that they will make a motion to dismiss the case because the drug is legal and then the department could obtain a court ruling saying that federal law trumps state.
[00:03:18.741 --> 00:03:26.664]  And the other option is for the Justice Department to file lawsuits against the states to prevent them from setting up systems to regulate and tax marijuana.
[00:03:27.324 --> 00:03:31.846]  And what you really have to wonder is what is the government's idea of justice here?
[00:03:31.866 --> 00:03:46.071]  I mean, recently we've seen a man in Montana who was set to receive 80 years in federal prison because he had a medicinal marijuana dispensary and was giving out marijuana to people for medical reasons, which was legally okay in his state.
[00:03:46.451 --> 00:03:47.853]  He's set to receive 80 years.
