[00:00:03.302 --> 00:00:03.602]  We're good.
[00:00:35.936 --> 00:00:39.003]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:00:39.083 --> 00:00:40.306]  I'm your host, Aaron Dykes.
[00:00:40.386 --> 00:00:42.050]  Today is Monday, July 23, 2012.
[00:00:46.884 --> 00:00:54.552]  Tonight, new details emerge and witnesses come forward as the false flag investigation intensifies.
[00:00:54.852 --> 00:00:59.156]  In the Dark Knight Massacre, Alex Jones breaks down the PSYOP.
[00:00:59.557 --> 00:01:03.961]  Then, how to stop a massacre that doesn't cost taxpayers money.
[00:01:04.442 --> 00:01:10.348]  A YouTube video of a senior citizen shooting two Cyber Cafe robbers in self-defense.
[00:01:20.839 --> 00:01:37.487]  So tonight in the news, Batman Massacre suspect James Holmes is in court, and survivors and witnesses say he just looks crazy, his eyes are demonic, he's there with the red hair, didn't say anything in court, not so much the Joker, now everyone's been commenting.
[00:01:37.888 --> 00:01:41.529]  So the real question is, was he drugged, was he some kind of mind control suspect?
[00:01:41.930 --> 00:01:46.372]  While that evidence emerges, we have the eerie coincidence
[00:01:46.812 --> 00:01:53.516]  Where they had the drill on the same day, just like on 9-11, just like on 7-7, and so many other incidences.
[00:01:53.876 --> 00:02:09.966]  Paul Joseph Watson has the story based off the Denver Post report of how the Rocky Vista University College of Osteopathic Medicine, just a few miles down the road, was holding a specialized disaster training class for 152nd year medical students.
[00:02:10.366 --> 00:02:14.849]  Along with other scenarios including terrorist attacks, hurricanes and floods, was
[00:02:15.169 --> 00:02:23.737]  Training students how to respond if a shooter fires at people in a movie theater, as well as using a bomb in the same attack scenario.
[00:02:24.278 --> 00:02:28.301]  That is a chilling coincidence, or perhaps a good deal more.
[00:02:28.742 --> 00:02:30.343]  Specifically, one of the scenarios
[00:02:31.579 --> 00:02:37.742]  What being used to train the students how to respond if a shooter fires at people in a movie theater and use a bomb from the attack.
[00:02:37.782 --> 00:02:39.223]  That's the quote in the Denver Post.
[00:02:39.844 --> 00:02:41.705]  And we also have the witnesses.
[00:02:42.085 --> 00:02:48.168]  Now whereas the police chief came out immediately and said there's only one suspect, we got him, it's the Joker.
[00:02:48.668 --> 00:02:50.590]  Other witnesses said something different.
[00:02:50.610 --> 00:02:52.611]  We're going to play that video in just a second.
[00:02:52.911 --> 00:03:00.275]  But they said the gas canisters were thrown from different directions and clearly indicated somebody probably helped him get in through that exit door.
[00:03:00.675 --> 00:03:01.596]  Let's roll that clip now.
[00:03:18.224 --> 00:03:24.067]  And he got a phone call, and most people when they get phone calls in theaters, they go straight out into the lobby to answer it.
[00:03:24.548 --> 00:03:31.311]  This person went directly to the emergency exit to take his phone call, which I thought was unusual.
[00:03:31.331 --> 00:03:41.217]  He seemed like he had his door, he had his foot propped open by the door and from the crack, it looked like he was signaling somebody or looking for somebody to come his way.
[00:03:41.937 --> 00:03:44.939]  As I was sitting down to get my seat, I noticed that a person came up
[00:03:49.609 --> 00:03:52.471]  And as credits were going, it seemed like he got a phone call.
[00:03:52.932 --> 00:03:58.676]  So he went out towards the emergency exit doorway, which I thought was unusual, to take a phone call.
[00:03:59.016 --> 00:04:02.198]  And it seemed like he probably pried it open, or probably did not let it latch all the way.
[00:04:02.758 --> 00:04:13.586]  Soon as the movie started, somebody came in, all black, gas mask, armor, and threw a gas cannon to the audience, and it went off, and then there was gunshots that took place.
[00:04:14.517 --> 00:04:15.758]  From what we saw, he wasn't alone.
[00:04:15.978 --> 00:04:21.043]  He had someone with him because the second can of tear gas didn't come from his side.
[00:04:22.645 --> 00:04:25.207]  He was completely dressed in black, head to toe.
[00:04:26.108 --> 00:04:31.454]  From what we saw, it seemed like he had something over his face, probably to prevent him from breathing it in.
[00:04:32.134 --> 00:04:35.417]  We can only assume that someone got him in.
[00:04:35.958 --> 00:04:38.901]  All the evidence we have, every single indicator is that this was
[00:04:40.982 --> 00:04:41.202]  Thank you.
[00:05:02.777 --> 00:05:06.339]  So this is the question we need to get into about the Batman massacre.
[00:05:06.419 --> 00:05:08.220]  Were there other suspects?
[00:05:08.340 --> 00:05:09.080]  Was he helped?
[00:05:09.380 --> 00:05:10.601]  Was this a false flag?
[00:05:10.621 --> 00:05:18.504]  That's why we're going to get into this, not should we ban guns when there was already gun control in Aurora, but of course we're going to get into that as well.
[00:05:18.804 --> 00:05:20.765]  Now we already covered this, but I'll bring it up again.
[00:05:21.065 --> 00:05:30.109]  The Homeland Security FBI memo warning of theater attacks, and they pointed to, among other things, the Moscow theater hostage crisis of 2002.
[00:05:31.770 --> 00:05:51.641]  When they had several hundred hostages, many of them died, more than 120 of the hostages, as well as all the supposed Chechen terrorists who they knocked out with the gas, killed many of them, but of course it emerged the FSB was in the works and basically running the whole attack.
[00:05:52.062 --> 00:05:55.564]  Even that is all on Wikipedia, so we've covered that.
[00:05:56.587 --> 00:05:59.248]  Now we have Kurt Nemo's article from earlier today.
[00:05:59.348 --> 00:06:09.133]  Colorado shooter had more in common with paramilitary cops than Batman, really profiling all his gear and all the weapons he had collected.
[00:06:09.173 --> 00:06:16.756]  We estimated it was probably about $20,000 in gear between what he had on him at the theater and what was later found in his apartment.
[00:06:17.036 --> 00:06:23.799]  But of course there again it's reality blurring with fiction because really this whole Dark Knight Batman series
[00:06:24.179 --> 00:06:38.413]  Was based on Batman having paramilitary gear that he got from the Bruce Wayne company and he basically outfitted himself with the kind of riot cop uniform that we now see at every major protest, every time there's supposedly a terror attack.
[00:06:38.754 --> 00:06:40.155]  This is what we're being conditioned.
[00:06:40.175 --> 00:06:45.320]  Whenever something happens, we're supposed to see the savior in black riot cop gear.
[00:06:46.101 --> 00:06:51.104]  So I want to turn your attention now to a Financial Times article from two years ago, July 2010.
[00:06:52.465 --> 00:06:54.526]  Remember, we're in the Obama administration.
[00:06:54.606 --> 00:06:57.047]  Rahm Emanuel never let a good crisis go to waste.
[00:06:57.447 --> 00:06:59.409]  Obviously the election is coming up.
