[00:00:21.673 --> 00:00:26.738]  Hello and welcome to InfoWars Nightly News on this February 23rd edition.
[00:00:26.779 --> 00:00:29.001]  With me, your host, Paul Joseph Watson.
[00:00:29.161 --> 00:00:31.704]  And now to the news top story tonight.
[00:00:31.904 --> 00:00:38.471]  Pasteurized milk 150 times more contaminated with blood, pus and feces than fresh milk.
[00:00:38.491 --> 00:00:40.553]  This is from Mike Adams at NaturalNews.com.
[00:00:41.314 --> 00:00:55.999]  The vaccine-pushing, disease-scaremongering agency known as the CDC has put out a stunning piece of propaganda attacking fresh milk, that is raw milk, claiming it's quote, 150 times more dangerous than pasteurized milk.
[00:00:56.499 --> 00:01:07.727]  This is all part of their anti-American agenda to crush food freedom and criminalize fundamental farming practices upon which this very nation was founded.
[00:01:08.187 --> 00:01:12.890]  What the CDC won't dare to reveal to the public is the far more horrifying truth.
[00:01:13.210 --> 00:01:25.859]  Pasteurized dairy is produced in the dirtiest milk factories imaginable, where blood, pus, E. coli, and other truly dangerous pathogens are routinely bottled into milk containers and fed to consumers.
[00:01:26.699 --> 00:01:32.721]  That's the whole point of pasteurization, you see, to kill everything that might be alive in their ultra-dirty milk.
[00:01:33.121 --> 00:01:42.563]  The real purpose of pasteurization is not to simply, quote, make milk safe, as is claimed by the CDC, but rather to allow the dairy industry to operate dirty.
[00:01:42.923 --> 00:01:50.525]  It's so much easier to just cook the crap out of milk, yes, there's fecal matter in it, than to clean up their operations, get it?
[00:01:51.465 --> 00:01:56.391]  And so the Feds are up to their old tricks again with this demonization hit piece.
[00:01:57.832 --> 00:02:12.288]  From the same CDC that told Americans to rush out and get their swine flu vaccines, when of course the side effects from the vaccines actually turned out to be a bigger threat than the hyped, manufactured swine flu pandemic itself.
[00:02:13.269 --> 00:02:22.379]  Um, again, which was completely blown out of all proportion by, you guessed it, the CDC, who were tied at the hip with the pharmaceutical companies that made vast amounts of money out of it.
[00:02:23.300 --> 00:02:34.753]  And of course, as Mike documents in his article, um, whereas farms that pasteurize their milk, which is the process of boiling it to get rid of all the bacteria, which includes all the good bacteria,
[00:02:37.386 --> 00:03:03.063]  They're some of the dirtiest places imaginable, because the raw milk farms, where milk is not boiled to get all the crap and pus and blood and feces out of it, they're subject to so much regulation by the government, because in many countries raw milk is banned, in some US states it's banned, that they have to have far higher standards of hygiene to create raw unpasteurized milk.
[00:03:03.543 --> 00:03:04.284]  So they're actually
[00:03:05.720 --> 00:03:20.199]  on average a lot cleaner than the pasteurized milk dairy farms which of course is documented in his article not to mention all the videos of torturing cows and all the other horrible stuff that goes with it and you know fifty years ago everybody drank
[00:03:20.700 --> 00:03:21.181]  Raw milk.
[00:03:21.281 --> 00:03:26.988]  Today the hygiene in those farms is way higher because they're subject to stricter standards and regulations.
[00:03:27.709 --> 00:03:32.175]  And this is again one example of which you can reclaim your food freedom.
[00:03:32.295 --> 00:03:37.962]  Stand up to the very machine whose existence relies on pushing sickness and disease.
