[00:00:39.713 --> 00:00:41.874]  Welcome to tonight's InfoWars Nightly News.
[00:00:41.994 --> 00:00:46.596]  I'm your host, Melissa Melton, and here's what we have in store for you tonight, this Friday, November 16th, 2012 edition.
[00:00:49.784 --> 00:00:52.145]  Tonight on the InfoWars Nightly News.
[00:00:52.925 --> 00:00:57.987]  As the session gains momentum, local residents offer their thought on this political phenomenon.
[00:00:58.387 --> 00:01:03.349]  Then, the TSA opt-out in film campaign is days away and gaining national attention.
[00:01:04.149 --> 00:01:08.311]  Intentions are high as Israel and Hamas continue their deadly theater.
[00:01:09.211 --> 00:01:13.713]  All that in the GMO Roundtable, coming up on the InfoWars Nightly News.
[00:01:23.695 --> 00:01:39.489]  As many of you who tuned in to yesterday's radio show heard, Alex has now called for a second American revolution, a peaceful revolution led by states who would secede from the federal government to reconstitute our republic under the terms of our Declaration of Independence, our Bill of Rights, and the Constitution.
[00:01:39.970 --> 00:01:45.735]  The White House has now received petitions from all 50 states, totaling a million signatures.
[00:01:46.395 --> 00:01:47.195]  And Alex has said,
[00:02:04.142 --> 00:02:13.652]  And he also went ahead to warn about how the mainstream media would try to downplay this and characterize it in a negative light, which we've already seen happen as in our next story by Steve Watson.
[00:02:14.052 --> 00:02:18.817]  Secession proponents do not want a civil war and know they cannot be stripped of their firearms.
[00:02:19.437 --> 00:02:26.484]  And he goes through to mention that Diane Roberts of the London Guardian said that those who want a secession just want to reenact the Civil War.
[00:02:27.185 --> 00:02:37.533]  That they are white supremacists or fundamentalist zealots and sore losers and that the idea of secession has zero legal status and the Tenth Amendment is basically null and void.
[00:02:38.053 --> 00:02:44.218]  Glenn Beck also jumped on that bandwagon calling anyone who signs a petition dumb and just trying to
[00:02:44.998 --> 00:02:45.338]  I think so.
[00:03:03.805 --> 00:03:07.387]  Let's see, Tennessee Governor Bill Haslam said he doesn't think it's a valid option.
[00:03:08.008 --> 00:03:16.272]  Alabama Governor Robert Bentley said that while he recognizes there's frustration with our federal government, he believes that states can be great laboratories of change.
[00:03:16.612 --> 00:03:18.313]  I'm not really sure how that's supposed to happen.
[00:03:18.353 --> 00:03:25.577]  I guess we're supposed to hope for change, hope and change, because obviously nothing has changed in the way we've been currently doing things.
[00:03:25.638 --> 00:03:28.039]  And finally, Republican Governor of South Carolina
[00:03:28.499 --> 00:03:32.943]  And finally, South Carolina Governor Nikki Haley said, I love this country.
[00:03:32.963 --> 00:03:34.725]  I'm going to fight for this country.
[00:03:35.065 --> 00:03:39.769]  And I think there's a distinction there because she didn't say, I love these people.
[00:03:39.829 --> 00:03:41.211]  I'm going to fight for the people in my state.
[00:03:41.451 --> 00:03:45.595]  She specifically said, I'm going to fight for this country to keep it in.
[00:03:46.829 --> 00:03:51.890]  Now constitutionally speaking, secession is an option for a government that has overreached.
[00:03:52.230 --> 00:04:05.914]  And I think Joel Wolverton of The New American sums it up really well when he says, a growing number of concerned citizens of this republic are no longer willing to recur to Congress to repeal unconstitutional laws or to file legal complaints in the hope the courts will strike down offensive measures.
[00:04:06.254 --> 00:04:12.996]  They understand that while perhaps commendable, these tactics are futile and offer no guarantee of the restoration of constitutionally assured freedom.
[00:04:13.576 --> 00:04:21.361]  They refuse to wait on this or that president, this or that congressman, this or that political party to acknowledge our pleas from federal oppression.
[00:04:21.962 --> 00:04:28.486]  Now, last night, David Ortiz went out on the streets to ask American citizens what they thought of the secession movement.
[00:04:28.706 --> 00:04:29.407]  Here's his report.
[00:04:31.840 --> 00:04:35.482]  Patriots mobilizing or Republicans acting like sore losers?
[00:04:35.922 --> 00:04:44.286]  That's the question many are asking themselves today as reports continue to come in that show over 600,000 Americans representing every U.S.
[00:04:44.346 --> 00:04:49.028]  state have signed petitions requesting that their states secede from the Union.
[00:04:49.648 --> 00:04:58.572]  Despite the fact that several governors have voiced their disapproval of the idea, the petitions are a definite reminder that the country remains politically divided.
[00:04:59.232 --> 00:05:02.013]  Now what do you imagine when you hear the word secession?
[00:05:03.414 --> 00:05:16.340]  I mostly think of the Rick Perry phenomenon of a couple years ago where he suggests secession and actually now I hear he's kind of saying about this movement that it's
[00:05:19.033 --> 00:05:25.095]  That although he disagrees with the federal government, that it's not viable, even though a couple years ago he suggested it himself.
[00:05:26.135 --> 00:05:29.256]  Well, I'm not quite sure what that means.
[00:05:30.876 --> 00:05:37.998]  I mean, it's obviously heavily reminiscent of Civil War era, which doesn't really remind you of good things.
[00:05:38.638 --> 00:05:45.240]  It's going to be even worse when we move from the United States, because then we're going to have to account for our own border patrol and all that.
[00:05:46.534 --> 00:05:48.036]  Andrew is going to get bad.
[00:05:48.196 --> 00:05:50.338]  He's going to get bad for society in Texas, period.
[00:05:50.358 --> 00:05:52.219]  Going to be a bunch of crime.
[00:05:52.940 --> 00:05:58.966]  The White House is expected to comment on this issue in the near future since several signature thresholds have been met.
[00:05:59.246 --> 00:06:03.169]  Congressman Ron Paul calls the idea of secession an American ideal.
[00:06:04.130 --> 00:06:06.653]  Do you think calls to secede from the Union are un-American?
[00:06:08.014 --> 00:06:10.877]  I mean, I think that the American way is, you know, essentially to
[00:06:12.341 --> 00:06:19.946]  America was founded on people kind of like, you know, being discontent with a certain type of government and then making their own, so I think that that would essentially be American.
[00:06:19.966 --> 00:06:22.268]  Uh, no, they're definitely not un-American.
[00:06:22.288 --> 00:06:34.216]  Um, I don't, like I said, I don't think that it's necessarily the best thing for, you know, Americans or the Americans in the states that want to secede, but it's not un-American.
[00:06:34.296 --> 00:06:37.378]  I mean, it's, like I said, it's in the Declaration of Independence, so.
[00:06:38.018 --> 00:06:38.438]  Well, yeah.
[00:06:40.920 --> 00:06:44.483]  Because they're trying to secede from the states, right?
[00:06:45.043 --> 00:06:48.646]  It's not an American thing to not want to be an American anymore.
[00:06:49.246 --> 00:06:54.750]  Just everything about America is all like, we're in this together, you know, we've advanced this far together sort of thing.
[00:06:55.170 --> 00:07:01.675]  But now it's like, if you try and leave, then it's like, I think I can make it on my own or whatever, and it's not going to happen.
