[00:00:02.739 --> 00:00:03.179]  We're good to go.
[00:00:34.952 --> 00:00:36.233]  Welcome, ladies and gentlemen.
[00:00:36.273 --> 00:00:37.593]  It's Friday, May 4th.
[00:00:37.653 --> 00:00:39.594]  This is the InfoWars Nightly News.
[00:00:39.794 --> 00:00:40.635]  I'm Aaron Dykes.
[00:00:41.435 --> 00:00:50.159]  Tonight on the InfoWars Nightly News, Poppy Heidelberg remembered a true patriot speaks from the InfoWars vault.
[00:00:50.719 --> 00:00:54.220]  Plus, re-education camps planned for U.S.
[00:00:54.321 --> 00:01:00.543]  citizens and pat-downs and scanners citywide in Chicago for the upcoming G20 summit.
[00:01:00.863 --> 00:01:03.865]  All that and much more on the InfoWars Nightly News.
[00:01:04.705 --> 00:01:07.433]  And now, your host, Aaron Dyches.
[00:01:17.073 --> 00:01:23.419]  First up tonight in the news, yes, the re-education camps do apply to American citizens.
[00:01:23.819 --> 00:01:29.324]  I understand this is shocking, but as Paul Joseph Watson writes, the time for denial is over.
[00:01:29.705 --> 00:01:32.827]  Yesterday, of course, we covered the leaked U.S.
[00:01:32.968 --> 00:01:40.675]  Army document that outlines in more than 300 pages, I might add, the plan for re-education camps in America.
[00:01:41.175 --> 00:01:49.023]  I can't believe it either, but yes, they do use the word re-education and they repeatedly refer to operations inside U.S.
[00:01:49.043 --> 00:01:57.572]  territory domestically with organizations like the Department of Homeland Security, ICE, the Immigration and Customs.
[00:01:58.032 --> 00:01:58.292]  I think so.
[00:02:17.777 --> 00:02:22.682]  Authorizing the indefinite detention of even American citizens without any due process.
[00:02:23.143 --> 00:02:31.991]  And so, to fight the denial over this issue, and understandably it's hard to grasp, you can't believe your government's doing this, but they are, and they're not your government.
[00:02:32.332 --> 00:02:37.337]  Paul Watson has highlighted all the quotes about how the psychological operations officers
[00:02:37.657 --> 00:02:58.585]  We're going to be brainwashing people in the camps, separating out political activists, determining who may be malcontents or trained agitators, determining who needs to be indoctrinated through loudspeakers and propaganda films, and on and on, all part of this Department of Defense document for internment and resettlement specialists.
[00:02:58.945 --> 00:03:02.767]  And there's been other documents, we've covered them over the years, this is all a brewing storm.
[00:03:03.507 --> 00:03:08.910]  So it refers to in the document, DCs, that's displaced citizens or civilian internees.
[00:03:09.351 --> 00:03:13.593]  It talks about things like implementing policies, quote, within U.S.
[00:03:13.633 --> 00:03:22.958]  territory as part of civilian support operations in the aftermath of man-made disorders, accidents, terrorist attacks, or incidents inside the U.S.
[00:03:23.019 --> 00:03:23.619]  territories.
[00:03:23.959 --> 00:03:25.360]  We know from past documents
