[00:00:22.193 --> 00:00:22.673]  Good evening.
[00:00:23.133 --> 00:00:26.354]  It's Thursday, January 5th, and this is the InfoWars Nightly News.
[00:00:26.434 --> 00:00:27.934]  I'm your fill-in host, Rob Dew.
[00:00:28.634 --> 00:00:37.116]  Alex is going to be in later in the show, interviewing, it's an amazing interview, with Edward T. Haslam, who wrote Dr. Mary's Monkey.
[00:00:37.676 --> 00:00:41.817]  This is a fascinating book, and let me tell you, it goes deep.
[00:00:41.937 --> 00:00:45.378]  It crosses JFK assassination with
[00:00:47.398 --> 00:00:54.968]  The whole cancer virus, the SV40 virus in the monkeys that was injected into people through vaccines.
[00:00:55.028 --> 00:00:55.990]  I mean, it's huge.
[00:00:56.010 --> 00:00:57.051]  This is a page turner.
[00:00:57.832 --> 00:00:59.454]  I'm just going to read this little back of the book.
[00:00:59.534 --> 00:01:00.195]  This is coming up.
[00:01:01.036 --> 00:01:01.958]  When New Orleans native
[00:01:02.378 --> 00:01:09.062]  Ed Haslam began his modest investigation into the curious life and shocking death of the brilliant Tulane medical professor, Dr. Mary Sherman.
[00:01:09.462 --> 00:01:18.407]  He couldn't have imagined that his inquiry would connect some of the city's most prominent citizens to lone nut Lee Harvey Oswald, to the mafia, and to forces high inside the U.S.
[00:01:18.427 --> 00:01:18.787]  government.
[00:01:19.557 --> 00:01:24.799]  Nor that these new discoveries would ultimately change our understanding of a faithful November day in Dallas.
[00:01:24.979 --> 00:01:25.580]  But they have.
[00:01:25.940 --> 00:01:27.220]  So you want to stay tuned for that.
[00:01:27.240 --> 00:01:28.341]  It's going to be a great interview.
[00:01:28.381 --> 00:01:29.941]  We recorded it earlier today.
[00:01:31.182 --> 00:01:35.063]  Alex told you guys earlier on the radio about his weightlifting incident.
[00:01:35.083 --> 00:01:39.845]  That's kind of left him really struggling to get deep breaths.
[00:01:39.865 --> 00:01:43.047]  And by the end of the day, he really is tired.
[00:01:43.107 --> 00:01:44.867]  So we're going to pick up the slack.
[00:01:44.887 --> 00:01:47.569]  I think Paul Joseph Watson is going to do the news tomorrow night.
[00:01:48.669 --> 00:01:50.390]  You got me tonight, so let's get on with the news.
[00:01:51.191 --> 00:01:55.353]  And once again, TSA and body scanners lead it off.
[00:01:55.773 --> 00:02:01.277]  Radiation Doctor says TSA naked body scanners can cause cancer, which we know this.
[00:02:01.357 --> 00:02:05.720]  We've been telling the TSA and their minions like this for many times and they don't want to listen.
[00:02:07.017 --> 00:02:20.321]  No matter how many times the TSA claims the machines are safe and pose no threat to travelers or personnel, naked body scanners that emit ionizing radiation are indeed a very serious health threat.
[00:02:20.361 --> 00:02:35.586]  Dr. Edward Dewar, head of radiology at Florida Medical Center, agrees, having recently come forward to explain that naked body scanners can cause cancer, particularly to those people over 65 and in women who are said to be genetically prone to developing breast cancer.
[00:02:36.736 --> 00:02:48.809]  And TSA continues to insist that ionizing radiation emitted from its backscatter x-ray naked body scanner is minimal, and that individuals are exposed to far more background radiation every single day just living their normal lives.
[00:02:49.329 --> 00:02:52.433]  But the agency has not provided any solid proof to this claim.
[00:02:52.893 --> 00:02:53.153]  Thank you!
[00:03:09.048 --> 00:03:09.608]  It goes on.
[00:03:10.309 --> 00:03:21.113]  This claim is highly misleading because background radiation on airplanes, for instance, is absorbed by the whole body, whereas during the naked body scan, it is focused directly on the skin and its underlying tissue.
[00:03:21.954 --> 00:03:36.380]  Furthermore, EPIC, the Electronic Privacy Information Center, has repeatedly challenged the constitutionality of naked body scanners in the first place and is currently pressing a lawsuit to stop the entire program, which they say is unlawful and invasive.
[00:03:36.800 --> 00:03:37.401]  And we know that.
[00:03:38.117 --> 00:03:43.139]  And then we look at the people who are running these naked body scanners and supposedly concerned about our security.
[00:03:43.800 --> 00:03:44.820]  We go to this next story.
[00:03:45.541 --> 00:03:50.003]  TSA behavioral detection officer sentenced for helping drug dealers through security.
[00:03:50.948 --> 00:03:55.932]  Agents ensured marijuana traffickers avoided full body scanners.
[00:03:56.212 --> 00:03:59.475]  Boy, this article really goes into a lot of stuff.
[00:04:00.276 --> 00:04:03.598]  Minetta Walker was arrested last March by federal agents.
[00:04:04.739 --> 00:04:18.190]  Investigators discovered that Walker had helped traffickers move large amounts of cash through the airport, escorting them through security lines, directing them away from the naked body scanners and pat-down security lines, and ensuring their luggage bypassed the screening areas.
[00:04:19.531 --> 00:04:30.622]  Walker also aided at least one suspect, a narcotics trafficker, to fly under a false identity and warned at least one other suspect that police officers were conducting undercover surveillance on him.
[00:04:32.004 --> 00:04:33.825]  And this is where it gets really interesting.
[00:04:35.218 --> 00:04:55.751]  It was revealed on occasion Walker waited with suspected drug carriers at the aircraft departure gate ensuring they were able to avoid the random secondary screening which I've seen many times and it's really a pain in the butt because you're about to get on the plane you have all your stuff and they go sir please come over here we want to touch you and we want to check your drink and I've actually seen people
[00:04:56.411 --> 00:05:02.934]  In this process where one person gets their drink tested and then other people line up to get their drinks tested like it's a big fun thing.
[00:05:02.974 --> 00:05:03.915]  It's totally disgusting.
[00:05:04.255 --> 00:05:05.015]  Back to that quote.
[00:05:05.516 --> 00:05:10.078]  She did this while off duty but still wearing her TSA uniform.
[00:05:11.747 --> 00:05:13.008]  And you know, we have a litany.
[00:05:13.348 --> 00:05:18.671]  There's a great article that Steve Watson wrote for PrisonPlanet.com in February of last year.
[00:05:18.931 --> 00:05:20.772]  So this article is almost a year old.
[00:05:20.812 --> 00:05:23.833]  It's titled, Epidemic of TSA Criminality.
[00:05:24.373 --> 00:05:26.554]  More agents caught stealing cash from luggage.
[00:05:26.895 --> 00:05:28.215]  Another arrested for assault.
[00:05:28.275 --> 00:05:32.978]  And it goes through a litany of different crimes that they've engaged in.
[00:05:33.058 --> 00:05:35.339]  And it's all, you know, sourced.
[00:05:35.379 --> 00:05:39.281]  You go to the end of this article, get a shot of this right here.
[00:05:43.183 --> 00:05:44.103]  36 different sources.
[00:05:44.143 --> 00:05:45.344]  Get a document cam of this.
[00:05:46.305 --> 00:05:48.567]  He's got 36 sources from this article.
[00:05:49.047 --> 00:05:50.188]  It goes on and on.
[00:05:50.208 --> 00:05:56.693]  There's the 36 from Prison Planet, but he's got LA Times, he's got Atlantic Journal-Constitution.
[00:05:57.093 --> 00:05:57.973]  It's all in here.
[00:05:58.454 --> 00:05:59.435]  Go read this article.
[00:05:59.495 --> 00:06:03.317]  This is the kind of activity that the TSA engages in.
[00:06:03.938 --> 00:06:05.199]  It's becoming a regular basis.
[00:06:07.130 --> 00:06:08.112]  I'd really look out for that.
[00:06:08.152 --> 00:06:13.944]  But anyway, she gets busted for helping them bring drugs in.
[00:06:13.984 --> 00:06:14.846]  We got a clip of this.
[00:06:15.226 --> 00:06:16.389]  It talks a little bit about Ms.
[00:06:16.429 --> 00:06:16.830]  Walker.
[00:06:17.170 --> 00:06:18.132]  Let's go to that clip now.
[00:06:22.481 --> 00:06:36.737]  Agent pleaded guilty to conspiracy to defraud the United States for using her unique role as a behavior detection officer to escort a local drug dealer as he carried a large amount of cash through security at Buffalo Niagara International Airport.
[00:06:37.137 --> 00:06:40.681]  She also alerted other drug suspects that they were under surveillance.
[00:06:42.648 --> 00:06:45.110]  Yeah, and so it gets better than that.
[00:06:45.150 --> 00:06:54.156]  There's then a government official who helped another guy get a false birth certificate that I guess she also helped on and then they eventually arrested her.
[00:06:54.856 --> 00:06:56.297]  So let's go ahead and go to that clip.
[00:06:56.578 --> 00:06:59.700]  Three other people have been arrested in this same investigation.
[00:07:00.080 --> 00:07:04.983]  Two for dealing drugs and a third for helping one of them create a false birth certificate.
[00:07:05.363 --> 00:07:18.610]  Regina McCullen had worked in the clerk's office at City Hall and was recently sentenced to two years probation after admitting she helped a drug dealer create a fake birth certificate that he used to travel between Buffalo and Phoenix.
[00:07:20.438 --> 00:07:24.181]  And if you think that's bad, TSA is not just going to be sitting at the airports.
[00:07:24.341 --> 00:07:25.542]  They're going to be everywhere.
[00:07:25.782 --> 00:07:32.768]  We covered earlier in the year, or actually last year, that they had set up Viper checkpoints in Tennessee and it was unannounced.
[00:07:33.469 --> 00:07:36.671]  And then it came out that they had done over 900 of these.
[00:07:37.292 --> 00:07:37.972]  Here's another one.
[00:07:38.513 --> 00:07:42.156]  DHS officers armed with semi-automatics set up unannounced
[00:07:42.961 --> 00:07:52.526]  I set up unannounced ID checkpoint and this is at a Florida Social Security office and they weren't informed of the drill and Homeland Security officials refused to talk to the media.
[00:07:53.923 --> 00:07:54.823]  And here's a quote here.
[00:07:55.744 --> 00:08:05.268]  A separate Homeland Security Viper recently received an expansion in funding from Congress that will see its 2011 figure of around 9,300 checkpoints.
[00:08:05.428 --> 00:08:05.868]  Oh, I'm sorry.
[00:08:05.888 --> 00:08:06.148]  I said 900.
[00:08:06.289 --> 00:08:07.149]  It's actually 9,300.
[00:08:07.349 --> 00:08:16.913]  Increased with an addition of 12 new Viper teams that will be used to carry out security checks at bus depots, train stations, ferries, ports, and highways.
[00:08:17.273 --> 00:08:20.955]  So I told you 900 checkpoints and it's actually 9,300.
[00:08:23.476 --> 00:08:52.676]  Totally crazy these people are gonna be feeling you up everywhere you go wanting to know what you're doing What you're engaged in and then here we have an article written last year Almost a year ago today that talks a detail of them going into people's bags Taking money large amounts of cash not just $100, but 40,000 in one case How they were planning stuff on people And then how a lot of them are there's one here
[00:08:55.518 --> 00:09:02.223]  The guy started punching another person when one of these TSA workers started punching another person when he took his parking space.
[00:09:02.644 --> 00:09:07.267]  There's another one at LAX who flipped out and began screaming, I am God, I am in charge.
[00:09:08.128 --> 00:09:15.033]  And there's a TSA employee based in Atlanta that tried to kill himself after allegedly abducting a woman and sexually assaulting her.
[00:09:15.856 --> 00:09:21.660]  There's another TSA worker in Boston, Logan, who was charged with multiple sex crimes targeting an underage girl.
[00:09:21.720 --> 00:09:22.960]  I mean, it goes on and on.
[00:09:23.501 --> 00:09:27.203]  These are not the people that you want to charge your security, yet this is what we get.
[00:09:27.243 --> 00:09:28.104]  We get more of this.
[00:09:28.604 --> 00:09:35.568]  And we're going to go to that Tennessee checkpoint video now, and you can see how they're going after the citizens, trying to get them to spy on each other.
[00:09:36.249 --> 00:09:36.809]  It's really great.
[00:09:36.829 --> 00:09:37.689]  It's all for America.
[00:09:37.790 --> 00:09:38.430]  Let's go to that clip now.
[00:09:38.470 --> 00:09:41.772]  Tuesday, Tennessee was the first to do this simultaneously.
[00:09:42.093 --> 00:09:47.096]  Not only truck drivers, but cars, everybody should be aware of what's going on on the road.
[00:09:47.196 --> 00:09:48.617]  Especially like a box in the road.
[00:10:12.489 --> 00:10:17.812]  Hi, I'm Janet Napolitano, Secretary of the Department of Homeland Security.
[00:10:18.713 --> 00:10:21.975]  Homeland security begins with hometown security.
[00:10:23.616 --> 00:10:30.661]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well funded.
[00:10:31.998 --> 00:10:44.827]  The airport adventures which they now admit are going nationwide with the Viper teams at bus stops, train stops, the streets, shopping malls, random vans, sending you through body scanners, biometrically scanning 360, your naked body.
[00:10:44.927 --> 00:10:53.513]  Now TSA agents are on the interstates fighting terrorism with visible intermodal prevention and response or Viper operations.
[00:10:53.873 --> 00:11:00.498]  The Tennessee Highway Patrol is checking trucks with drug and bomb sniffing dogs during random inspections.
[00:11:00.794 --> 00:11:01.735]  The bottom line is this.
[00:11:01.956 --> 00:11:05.440]  If you see something suspicious, say something about it.
[00:11:06.642 --> 00:11:08.444]  If you see something, say something.
[00:11:08.705 --> 00:11:10.507]  If you see something, say something.
[00:11:10.868 --> 00:11:12.149]  Spy on your neighbor.
[00:11:12.570 --> 00:11:13.751]  You are a slave.
[00:11:14.152 --> 00:11:15.334]  You are a slave.
[00:11:16.638 --> 00:11:29.009]  It's incredible what goes on in this country on a daily basis as our economy is going down the tubes and the banks are looting everything and we got these nitpicking little fake security guards walking around.
[00:11:29.029 --> 00:11:33.554]  Which brings me up to a point, back to this TSA behavioral detection officer sentence.
[00:11:34.795 --> 00:11:42.382]  It said in the article, or actually in that news piece that we didn't put in, the judge said, we took the same oath and you violated yours.
[00:11:43.672 --> 00:11:44.152]  I don't know.
[00:11:44.172 --> 00:11:47.215]  I don't think TSA officers do take an oath.
[00:11:47.615 --> 00:11:49.016]  I believe that is incorrect.
[00:11:49.376 --> 00:11:54.239]  The judge, you know, this is just another case of people not knowing really what goes on in their world.
[00:11:54.520 --> 00:11:56.181]  So, there you go.
[00:11:57.021 --> 00:12:04.827]  Continuing with the welfare state, you're going to have the security guards at your social security center picking up food stamps, making sure you spend them on the right kinds of junk food.
[00:12:05.467 --> 00:12:10.111]  The EU is going to plan to slap a VAT tax, which is a value added tax, on food.
[00:12:11.091 --> 00:12:20.456]  And they raised the VAT tax on everything but food and children's clothes by 20% last year, and now they want to include food and children's clothes.
[00:12:20.736 --> 00:12:31.582]  And these plans would add up to 20% of the cost of children's clothes and put an extra tax on books and newspapers, and it would be a strike for ignorance over education.
[00:12:32.443 --> 00:12:36.705]  And they want to do this in order to harmonize the sales tax across Europe.
[00:12:38.780 --> 00:12:43.683]  The only thing they don't want to harmonize is the banks stealing money from you, and total corruption, and technocrats.
[00:12:43.723 --> 00:12:46.685]  They don't want to harmonize you from that, but they want to take more of your money.
[00:12:47.525 --> 00:12:48.526]  And now we go to this.
[00:12:49.386 --> 00:12:53.569]  Commuters spend a fifth of their wages on railfares as costs soar by up to 11 percent.
[00:12:53.589 --> 00:12:54.689]  This is from Mail Online.
[00:12:55.770 --> 00:13:05.956]  And a commuter's face with an inflation-busting 11 percent hike in prices will take little comfort from figures released today that show people are spending up to a fifth of their wages just to get to work.
[00:13:06.809 --> 00:13:07.089]  Wow.
[00:13:07.970 --> 00:13:18.881]  So, as the economy gets worse, the global economy, prices are going to rise, you're going to get less service, and you're going to get more TSA-type officials touching your genitals.
[00:13:20.418 --> 00:13:25.420]  Let's move on to Ron Paul and the election that was, or the caucus, I guess, that was stolen from him.
[00:13:25.840 --> 00:13:27.941]  We have a clip here, and we found this today.
[00:13:28.302 --> 00:13:40.207]  One of our listeners sent this in to us, and it has Linda Wertheimer from NPR interviewing Edith Pepper, and she's the Republican chair of Clinton County.
[00:13:41.088 --> 00:13:45.189]  And this is what she had to say about all the weird happenings that went on that night.
[00:13:45.229 --> 00:13:46.350]  Let's go to that clip.
[00:13:47.433 --> 00:14:01.005]  I had received a phone call, this is Edith, I had received a phone call about 1120 from the Romney worker who had been working in our county and he said he needed the count.
[00:14:01.306 --> 00:14:04.108]  And I said, well, why do you need the count for 2-2?
[00:14:04.549 --> 00:14:06.491]  And he said, well, they don't have it in Des Moines.
[00:14:06.551 --> 00:14:08.713]  And I said, but I know they were called in.
[00:14:10.054 --> 00:14:13.136]  And he said, well, I think that there was a computer glitch.
[00:14:13.797 --> 00:14:15.137]  That the computers went down.
[00:14:15.558 --> 00:14:17.119]  And I said, oh, okay.
[00:14:17.759 --> 00:14:21.641]  And so I gave him the requested numbers.
[00:14:22.082 --> 00:14:26.664]  And so did your own precinct, did Clinton County come out the way you thought it would?
[00:14:28.385 --> 00:14:33.388]  I really thought that Ron Paul was going to do a little better than he did tonight.
[00:14:34.089 --> 00:14:36.971]  So as you can see, she thought Ron Paul was going to win.
[00:14:37.898 --> 00:14:39.039]  Yet it didn't turn out that way.
[00:14:39.560 --> 00:14:44.206]  Mitt Romney took that county, I think, by a little over 200 votes.
[00:14:45.087 --> 00:14:50.233]  She didn't see it that way, but when the Romney people called and got the numbers, everything seemed to work out fine.
[00:14:51.271 --> 00:14:53.632]  We've got another article from the Red Dirt Report.
[00:14:53.853 --> 00:14:54.833]  Cockeyed Hawkeyes.
[00:14:55.053 --> 00:14:57.375]  Romney wins in Paul Friendly Super Caucus.
[00:14:57.395 --> 00:14:59.616]  Here's a different caucus in a different county.
[00:15:00.997 --> 00:15:01.777]  Let's see.
[00:15:02.978 --> 00:15:07.161]  It was Coralville just outside Iowa City.
[00:15:08.241 --> 00:15:17.812]  And at the Super Caucus, Red Dirt Report covered in Coralville, Iowa, just outside Iowa City, there was not a single Romney sign visible in or around the large conference center.
[00:15:18.392 --> 00:15:24.799]  Yet he would go on to win, despite Ron Paul signs outnumbering the Rick Santorum and Rick Perry signs 7-1.
[00:15:25.440 --> 00:15:28.703]  And if you go back to the original, go back to that first graphic.
[00:15:29.344 --> 00:15:33.166]  That actually shows the Coralville presidential straw poll results.
[00:15:33.686 --> 00:15:38.809]  You see Ron Paul there with twice as many as Romney had in that particular district.
[00:15:39.850 --> 00:15:41.611]  And then we got this long quote here.
[00:15:42.711 --> 00:15:44.752]  Where did Romney's support come from in Coralville?
[00:15:44.972 --> 00:15:50.555]  He would get 262 votes according to the Des Moines Register, and Ron Paul would get 203.
[00:15:51.136 --> 00:15:55.358]  Precinct 4, which we covered, overwhelmingly went to Paul, which we saw in those numbers.
[00:15:55.378 --> 00:15:56.498]  He got double of Romney.
[00:15:56.759 --> 00:15:57.279]  More than double.
[00:15:58.208 --> 00:16:13.892]  And there seemed to be a lot of activity going on in Precinct 6, and in Brad's blog, he put up the rules, that they actually made a change to the rules right before the caucus, and it was to allow no photo ID necessary for any voter in the Republican Iowa caucus.
[00:16:14.352 --> 00:16:25.335]  And I guarantee you, I've heard this issue raised up many times by the Republicans, about how they want to have IDs on everybody who's going to vote, so it keeps illegals from voting and all this.
[00:16:25.635 --> 00:16:28.216]  But it doesn't matter in the Iowa Republican Caucus.
[00:16:28.396 --> 00:16:29.076]  Then it doesn't matter.
[00:16:29.116 --> 00:16:34.938]  As many people as we can step through the door to vote for our two shill warmongering candidates, we're going to do that.
[00:16:35.018 --> 00:16:45.202]  Because we either want Obama in, or we want Romney in, or maybe, I don't think they really want Santorum or Gingrich, but I think it's going to be this push for Romney, that he's our savior.
[00:16:46.135 --> 00:16:47.876]  Let's go back to that long quote at the end of it.
[00:16:48.637 --> 00:16:54.781]  Rick Santorum has no organization, never drew over a hundred people during his entire campaign, they're talking about in Iowa.
[00:16:55.422 --> 00:17:03.347]  Of course he did bribe and receive benediction of that family leader who demanded one million dollars, which he would distribute in part to cronies.
[00:17:03.387 --> 00:17:09.772]  That family leader was Bob Vander Plaats, which leads us to an ABC article published in late December.
[00:17:10.412 --> 00:17:13.194]  Iowa conservative leader mired in controversy after
