[00:00:02.011 --> 00:00:03.131]  We've got it better.
[00:00:03.452 --> 00:00:09.034]  This transmission is coming to you.
[00:00:09.134 --> 00:00:11.234]  Waging war on corruption.
[00:00:11.375 --> 00:00:13.215]  All right, here I go.
[00:00:13.495 --> 00:00:19.217]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:00:21.838 --> 00:00:23.159]  Are we seeing the, uh...
[00:00:26.479 --> 00:00:29.322]  It is Sunday, August 19, 2012.
[00:00:30.043 --> 00:00:34.428]  This is Mike Adams, the health ranger, sitting in for Alex Jones today.
[00:00:34.508 --> 00:00:36.970]  Thank you for joining us and welcome to the show.
[00:00:37.871 --> 00:00:40.074]  Wow, we have a huge amount of information.
[00:00:40.094 --> 00:00:42.716]  The globalists are getting desperate.
[00:00:42.777 --> 00:00:48.242]  Today, to be covered here on the Alex Jones Show, we've got FOIA documents that have been
[00:00:50.050 --> 00:00:57.176]  Uncovered by InfoWars investigators and this is a big breaking article up on InfoWars.com right now by Paul Joseph Watson.
[00:00:57.796 --> 00:01:02.680]  Hundreds of pages of once secret documents released under the Freedom of Information Act.
[00:01:04.013 --> 00:01:16.995]  Indicate that the Department of Homeland Security has been surveilling InfoWars and its messages, its articles, when bumper stickers get placed at various locations around the country.
[00:01:17.015 --> 00:01:21.736]  DHS is called in and it's being reported as an act of terrorism.
[00:01:22.696 --> 00:01:32.978]  We've got, oh man, this whole attack that was underway to try to suppress whistleblowers, to try to criminalize journalism.
[00:01:33.963 --> 00:01:34.909]  Infowars.com is under attack.
[00:01:38.300 --> 00:01:46.023]  By the DHS, by what is becoming really a sort of a Stasi-style secret police investigative branch of the federal government.
[00:01:46.823 --> 00:01:57.767]  And at the same time that this is going on, of course, this morning in big breaking news, we had Julian Assange of WikiLeaks fame giving his speech at the Ecuadorian embassy in London.
[00:01:58.207 --> 00:02:02.529]  And that speech calls for respecting the free speech rights of journalists.
[00:02:02.549 --> 00:02:04.850]  It calls for the freeing of Bradley Manning.
[00:02:05.390 --> 00:02:09.432]  And the dropping of all charges against WikiLeaks and of course Julian Assange as well.
[00:02:10.013 --> 00:02:11.994]  That's a huge story we're going to be covering here.
[00:02:12.374 --> 00:02:14.495]  But look at what these two things have in common, folks.
[00:02:15.176 --> 00:02:20.259]  Both InfoWars and WikiLeaks are being threatened in a huge way, surveilled.
[00:02:20.939 --> 00:02:21.540]  I don't know.
[00:02:41.641 --> 00:02:51.804]  WikiLeaks is under attack, InfoWars is under attack, being tracked, being surveilled, being described as almost a right-wing terrorist organization by the DHS.
[00:02:52.204 --> 00:02:53.705]  This is what it has come to, folks.
[00:02:54.205 --> 00:03:00.527]  This is journalism in America today, and we're going to get into this in the next two hours here on the Alex Jones Show.
[00:03:00.867 --> 00:03:01.987]  Again, my name is Mike Adams.
[00:03:02.007 --> 00:03:09.530]  We're going to be joined in roughly 30 minutes by John B. Wells, the Saturday night host of Coast to Coast AM.
[00:03:10.370 --> 00:03:17.713]  And we're going to get deep into these issues, plus a lot of talk about the coming financial collapse and how to prepare for it.
[00:03:17.773 --> 00:03:26.256]  So expect a rockin' good show on preparedness and a lot of other truth-telling information that continues to be under attack.
[00:03:27.546 --> 00:03:38.417]  By the way, earlier in the week here on the Alex Jones Show, Max Keiser predicted that the financial collapse would happen before April or by April of 2013.
[00:03:38.597 --> 00:03:49.088]  Now that prediction is not agreed by everybody, that that timetable is exactly what's going to happen, but Keiser went on the record and said that's what's going to happen.
[00:03:49.668 --> 00:04:05.201]  Because, or before then, I should say between now and April 2013, he says the financial fraud, the house of cards, the monopolistic currency controllers and their derivatives debt pyramid just can't last that long.
[00:04:05.781 --> 00:04:07.463]  Something's going to break between now and then.
[00:04:07.483 --> 00:04:15.929]  So we are going to talk today with John B. Wells, our featured guest today on the show, about how we can prepare and what we think might be coming down.
[00:04:16.710 --> 00:04:20.768]  Now all of this is tied together because the government itself, the federal government...
[00:04:21.741 --> 00:04:23.582]  I'm not saying all people in the government are bad.
[00:04:23.602 --> 00:04:25.944]  I mean, I know FBI agents.
[00:04:26.184 --> 00:04:27.485]  I know people who work for the Feds.
[00:04:27.566 --> 00:04:28.386]  Most of them are good people.
[00:04:28.626 --> 00:04:33.030]  But there are rogue elements within the government that are running their own show now.
[00:04:33.090 --> 00:04:35.251]  They're off the reservation.
[00:04:35.331 --> 00:04:36.152]  They're loose cannons.
[00:04:36.512 --> 00:04:38.134]  And they are a danger to us all.
[00:04:38.154 --> 00:04:40.896]  And they're a danger to our republic.
[00:04:41.636 --> 00:04:49.682]  And we've got to find a way to restore the republic, restore law and order, and restore basic human rights and the Bill of Rights in America.
[00:04:50.023 --> 00:04:51.424]  So all of that discussion and much more
[00:04:51.684 --> 00:04:53.695]  Straight ahead right here on the Alex Jones Show.
[00:04:53.735 --> 00:04:54.197]  Stay with us.
[00:04:54.599 --> 00:04:55.826]  We'll be right back after this break.
[00:05:00.828 --> 00:05:06.092]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:05:06.332 --> 00:05:08.534]  Start purifying your water with ProPure.
[00:05:08.754 --> 00:05:14.278]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[00:05:14.458 --> 00:05:17.701]  And it's available discounted at InfoWars.com.
