[00:00:00.089 --> 00:00:00.649]  Network.
[00:00:07.291 --> 00:00:07.951]  Big Brother.
[00:00:08.612 --> 00:00:09.652]  Mainstream media.
[00:00:10.372 --> 00:00:11.613]  Government cover-ups.
[00:00:12.133 --> 00:00:12.953]  You want answers?
[00:00:13.713 --> 00:00:14.654]  Well, so does he.
[00:00:15.274 --> 00:00:18.895]  He's Alex Jones on the GCN Radio Network.
[00:00:19.455 --> 00:00:23.536]  And now, live from Austin, Texas, Alex Jones.
[00:00:29.025 --> 00:00:29.746]  Welcome, friends.
[00:00:30.086 --> 00:00:31.768]  It is Friday, December 28, 2012.
[00:00:32.189 --> 00:00:35.853]  This is Mike Adams sitting in for Alex Jones.
[00:00:36.374 --> 00:00:45.044]  You are listening to the Alex Jones Show, and for the next three hours, we will be broadcasting live, bringing you the latest red alerts on all fronts.
[00:00:45.825 --> 00:00:52.089]  We've got, of course, the First Amendment under attack right now through Facebook and social media censorship.
[00:00:52.369 --> 00:00:54.771]  That story, more details will be coming out here today.
[00:00:54.791 --> 00:01:09.221]  We've got the Second Amendment under major assault now through Senator Feinstein's efforts to try to confiscate all guns or force you to register your guns with your fingerprints and the serial numbers of all the guns.
[00:01:09.961 --> 00:01:14.744]  So gun confiscation is upon us in America today.
[00:01:15.845 --> 00:01:32.040]  We've got Alex Jones himself will be in studio in two and a half hours, but until then we're going to be interviewing Lenny McGill, the founder of Glockstore.com in California, with his comments on gun confiscation, gun control, Senator Feinstein's
[00:01:33.101 --> 00:01:34.402]  Can you even call it a proposal?
[00:01:34.422 --> 00:01:36.344]  It's really just a piece of insanity.
[00:01:36.884 --> 00:01:39.306]  But anyway, he'll be joining us to talk about that.
[00:01:39.366 --> 00:01:50.895]  We've also got Kelly O'Mara, the author of Psyched Out, joining us to talk about the dangers of psychiatric drugs and the links between those psyched drugs and violent behavior and school shootings.
[00:01:51.355 --> 00:01:54.698]  Turns out most of these shooters are on these psychiatric drugs.
[00:01:55.158 --> 00:02:00.062]  And of course, you've heard about the psychiatric industry here on InfoWars before.
[00:02:00.082 --> 00:02:01.423]  We're going to go over that in more detail.
[00:02:01.923 --> 00:02:09.291]  Today, Doug Hagman is also going to be joining us in the third hour today with additional details from the intelligence community.
[00:02:09.752 --> 00:02:11.654]  A lot of breaking news is happening there.
[00:02:12.074 --> 00:02:16.219]  Yesterday on the show you heard about ammo stockpiling around the country.
