[00:00:03.063 --> 00:00:03.283]  I'm good.
[00:00:34.790 --> 00:00:36.790]  It's Thursday, May 3rd, 2012.
[00:00:38.891 --> 00:00:43.231]  I'm Alex Jones, and this is InfoWars Nightly News.
[00:00:43.952 --> 00:00:46.252]  Tonight, the battle lines have been drawn.
[00:00:46.672 --> 00:00:49.012]  Breaking news from InfoWars.com.
[00:00:49.452 --> 00:00:50.493]  As leaked U.S.
[00:00:50.673 --> 00:00:55.213]  Army documents outline the plan for re-education camps in America.
[00:00:55.654 --> 00:01:03.875]  Shocking plans discovered to put political activists in prison camps and then to be pacified by PSYOP officers.
[00:01:04.435 --> 00:01:06.077]  It's decision time for the U.S.
[00:01:06.137 --> 00:01:06.698]  military.
[00:01:06.958 --> 00:01:08.360]  Whom will you serve?
[00:01:09.782 --> 00:01:21.136]  Then, the FBI's latest plot to engineer their own job security as five crackheads in Cleveland are arrested after being recruited and trained to blow up bridges.
[00:01:22.895 --> 00:01:27.518]  Plus, shocking video of police drugging Occupy protesters.
[00:01:27.858 --> 00:01:31.921]  Corrupt officers and county deputies caught in the act.
[00:01:32.421 --> 00:01:42.308]  Alex Jones talks to Dan Fite, the producer of the video that documents Minnesota police picking up young people off the street for training programs.
[00:01:42.648 --> 00:01:51.235]  Multiple participants say officers gave them illicit drugs and gave them incentives to take the drugs and encouraged them to be informants.
[00:01:51.675 --> 00:01:54.378]  InfoWars Nightly News investigates.
[00:01:54.738 --> 00:02:02.725]  Plus, an update on Ron Paul's campaign surge as he moves into position to seize control of the GOP.
[00:02:07.771 --> 00:02:10.920]  All that and more on the N4's Nightly News.
[00:02:11.381 --> 00:02:14.369]  And now, your host, Alex Jones.
[00:02:26.226 --> 00:02:31.327]  Tonight's top story confirms everything that we've been documenting for years.
[00:02:32.088 --> 00:02:38.089]  It's been leaked and since then we've confirmed it's even on an official army.gov website.
[00:02:39.550 --> 00:02:39.850]  U.S.
[00:02:40.210 --> 00:02:44.571]  Army document outlines planned for re-education camps in America.
[00:02:45.711 --> 00:02:51.433]  Political activists would be pacified to sympathize with the government or learn their Stockholm
[00:02:52.742 --> 00:02:53.042]  I think?
[00:03:15.785 --> 00:03:21.229]  Indoctrination programs to reduce or remove antagonistic attitudes.
[00:03:21.249 --> 00:03:23.711]  Don't like the fact your kids were shipped over to Saudi Arabia?
[00:03:24.451 --> 00:03:26.152]  While you're in a FEMA camp, they'll teach you.
[00:03:26.993 --> 00:03:28.974]  And identifies political activists.
[00:03:28.994 --> 00:03:30.215]  Don't have that in America.
[00:03:30.275 --> 00:03:31.456]  Hell, ask George Washington.
[00:03:31.476 --> 00:03:32.116]  That's illegal.
[00:03:32.677 --> 00:03:34.218]  Provides loudspeaker support.
[00:03:34.238 --> 00:03:37.260]  I've been to urban warfare drills where they train to target the American people.
[00:03:38.061 --> 00:03:39.562]  Such as administrative announcements.
[00:03:40.242 --> 00:03:44.125]  America is a pig house that worships your loving bankers.
[00:03:44.545 --> 00:03:45.425]  Right out of Red Dawn.
[00:03:46.086 --> 00:03:52.949]  When necessary, helps the military police commander, control detainee, and the evil American populations.
[00:03:53.970 --> 00:04:03.995]  Plans and executes a PSYOP, or psychological warfare, that's what our military is for, to wage war against us, that produces an understanding and appreciation of U.S.
[00:04:04.035 --> 00:04:05.335]  policies and actions.
[00:04:05.856 --> 00:04:06.596]  It goes on.
[00:04:06.656 --> 00:04:09.037]  This story has gone megaviral, as it should.
[00:04:09.057 --> 00:04:13.780]  FEMA camps confirmed, in triplicate, and at their re-education camps.
