[00:00:03.234 --> 00:00:03.274]  So,
[00:00:36.092 --> 00:00:36.993]  Good evening, everyone.
[00:00:37.113 --> 00:00:39.496]  Welcome to the Infowars Nightly News.
[00:00:39.697 --> 00:00:40.638]  I'm Darren McBreen.
[00:00:40.758 --> 00:00:42.921]  It is the twelfth day of September 2012.
[00:00:43.722 --> 00:00:47.627]  Here's a quick look at what we have lined up for you this evening.
[00:00:51.311 --> 00:01:03.579]  Tonight, on the InfoWars Nightly News, Linda West speaks with Natural Society writer Anthony Gucciardi about the demonization of organic foods by the media.
[00:01:04.380 --> 00:01:12.626]  Plus, an in-depth analysis on the circumstances surrounding the death of the American ambassador and his staff in Libya.
[00:01:13.502 --> 00:01:17.366]  Then, Congress applies pressure to the TSA.
[00:01:17.486 --> 00:01:21.410]  Will it be forceful enough to restore our violated rights?
[00:01:22.431 --> 00:01:25.655]  All that and more on the InfoWars Nightly News.
[00:01:33.186 --> 00:01:40.993]  Now we begin this evening with the attack by Muslim extremists in Libya where members of Al-Qaeda have murdered the U.S.
[00:01:41.113 --> 00:01:45.617]  Ambassador and his staff as they tried to escape the embassy.
[00:01:46.257 --> 00:01:46.678]  The U.S.
[00:01:46.738 --> 00:01:55.285]  Ambassador to Libya, Christopher Stevens, and his staff were killed during a violent protest and attack on the consulate.
[00:01:55.885 --> 00:01:58.668]  This is what happens when you put Al-Qaeda in charge.
[00:01:59.622 --> 00:02:12.532]  As we have reported that during the orchestrated overthrow of Libya, the so-called rebels supported by the United States and NATO consisted largely of Al-Qaeda jihadists, Al-Siaeda.
[00:02:13.313 --> 00:02:18.517]  In fact, the leader of the Libyan rebels trained, well he trained with Osama Bin Laden.
[00:02:18.917 --> 00:02:22.960]  His name is Abdel Hakim Al-Hassadi and he trained with Osama.
[00:02:24.056 --> 00:02:27.479]  That the rebel fighters are indeed linked to Al-Qaeda.
[00:02:28.019 --> 00:02:40.350]  So the CIA's ruling elite for the future so-called democratic governance of Libya is run by a bunch of criminals and fanatics and heavily embedded Al-Qaeda forces.
[00:02:40.910 --> 00:02:44.413]  And we're not talking about a small group of Al-Qaeda members.
[00:02:44.493 --> 00:02:46.034]  No, we're talking about a large
[00:02:46.835 --> 00:02:48.256]  Militant army here.
[00:02:48.436 --> 00:02:50.036]  Alright, so the U.S.
[00:02:50.136 --> 00:02:54.178]  and NATO-backed terrorists have completely destabilized the country.
[00:02:54.198 --> 00:02:57.459]  It's now run by a criminal syndicate.
[00:02:57.499 --> 00:02:59.140]  This is by design.
[00:02:59.540 --> 00:03:02.341]  It appears to be the goal of U.S.
[00:03:02.401 --> 00:03:02.882]  policy.
[00:03:03.262 --> 00:03:08.824]  And Reuters is reporting that the Obama administration has funded the Libyan insurgency.
[00:03:09.264 --> 00:03:11.245]  So they basically have funded Al-Qaeda.
[00:03:11.705 --> 00:03:16.809]  With weapons and training, but of course they fail to note the Al Qaeda connection.
[00:03:17.169 --> 00:03:21.012]  Now, initial reports from the mainstream media say that the U.S.
[00:03:21.052 --> 00:03:25.035]  Ambassador Chris Stevens was killed by a mortar attack.
[00:03:25.415 --> 00:03:34.662]  They said someone launched a rocket, a mortar hit his vehicle as he was trying to escape the embassy, and him and his staff members were killed in that attack.
[00:03:34.722 --> 00:03:35.103]  However,
[00:03:35.783 --> 00:03:42.067]  Photos have surfaced that indicate the ambassador was killed by an angry lynch mob.
[00:03:42.808 --> 00:03:52.755]  Some very graphic photos here that show how, well, Stephen's body is being paraded around by a mob, and that's no mortar attack.
[00:03:54.096 --> 00:03:55.216]  He was physically attacked.
[00:03:55.897 --> 00:03:58.799]  You can tell right there, that guy was tortured to death.
[00:03:59.399 --> 00:04:03.142]  And this is what happens, like I said, when you put Al Qaeda in charge.
[00:04:03.769 --> 00:04:14.155]  This is the disastrous consequence of the Obama administration's intervention in Libya, arming some of the very same men who carried out today's attack.
[00:04:14.735 --> 00:04:21.979]  This is a perfect example of the military-industrial complex humanitarian intervention, if you will.
[00:04:21.999 --> 00:04:25.461]  It's a total scam, and well, this is the same thing.
[00:04:25.501 --> 00:04:27.282]  You can bet they're about to do the same thing.
[00:04:27.902 --> 00:04:28.523]  In Syria.
[00:04:28.783 --> 00:04:29.503]  So there you have it.
[00:04:29.704 --> 00:04:32.086]  Has nothing to do with humanitarianism.
[00:04:32.566 --> 00:04:36.029]  This has everything to do with the Grand Chessboard.
