[00:00:22.415 --> 00:00:25.816]  Greetings, it's InfoWars Nightly News, it's your Friday edition.
[00:00:26.376 --> 00:00:27.417]  I'm your host Rob Due.
[00:00:27.497 --> 00:00:30.938]  Today is February 3rd and we've got quite a show for you.
[00:00:31.658 --> 00:00:42.142]  Coming up later during our interview section, Alex is going to do a 30-plus minute interview with Fritz Springmeier, picking up where they left off from yesterday's interview on the radio show.
[00:00:43.402 --> 00:00:44.123]  We've got a whole lot more.
[00:00:44.143 --> 00:00:48.365]  We're going to talk a little bit about Monsanto, Fast and Furious, and all things in between.
[00:00:48.405 --> 00:00:51.726]  So let's get started with our first story.
[00:00:51.766 --> 00:00:52.547]  It's a Drudge link.
[00:00:54.288 --> 00:00:55.968]  We called it the Super Juicy today.
[00:00:57.029 --> 00:01:01.091]  It was TSA-trained Super Bowl hot dog sellers to spot terrorists.
[00:01:01.151 --> 00:01:02.872]  And there you can see the spot on Drudge.
[00:01:03.852 --> 00:01:20.741]  And it seems like in over 8,000 stadiums, 8,000 stadium vendors, parking lot attendants, shuttle bus drivers, and other transportation officials received the agency's first observer training for detecting and assessing indicators and planning tactics of potential terrorist activities.
[00:01:21.162 --> 00:01:22.783]  So these people will be doing double duty.
[00:01:23.463 --> 00:01:30.267]  In addition to slinging you hot dogs and beverages and stuff, they are going to be asking you questions about where you're going and what you're doing, maybe even
[00:01:31.385 --> 00:01:32.866]  Grabbing a little junk here and there.
[00:01:33.407 --> 00:01:38.090]  Pretty interesting how the TSA has managed to just worm their way into every facet of our lives.
[00:01:38.710 --> 00:01:49.859]  And no one's going to say anything, and I'm sure they'll gloss over it during Super Bowl coverage and make it seem like it's a great thing for you and I. So anyway, that was our top link on Drudge today, and thanks for Drudge for linking to that.
[00:01:50.962 --> 00:02:03.679]  Our next story goes into Fast and Furious, and where it was February 2nd, Eric Holder went before Congress again, and this time to answer more questions, which he didn't do.
[00:02:03.759 --> 00:02:07.764]  He stated, there's no attempt at any kind of a cover-up.
[00:02:08.405 --> 00:02:21.082]  Holder told lawmakers well into a hearing about whether he'd been forthright in responding to requests of the House Oversight and Government Relations Committee, led by Issa, who we found out earlier this week when we had Wayne Madsen on that he was
[00:02:22.099 --> 00:02:24.882]  Known as a car thief before he became a congressman.
[00:02:25.723 --> 00:02:33.011]  And so, looking at this article, I did a little bit of digging just into the different stories we had covered in the Fast and Furious.
[00:02:33.031 --> 00:02:38.337]  There's an InfoWars article that ATF had plotted to use this to demonize the Second Amendment.
[00:02:39.412 --> 00:02:40.673]  And we have the email quotes.
[00:02:40.873 --> 00:02:42.233]  Let's pull those up real quick.
[00:02:42.814 --> 00:02:49.137]  So out of InfoWars, the email showed ATF members congratulating each other for blaming border violence on guns bought from U.S.
[00:02:49.177 --> 00:02:56.461]  dealers, despite the fact that the feds were the ones delivering them straight to the Mexican criminals under the program, Fast and Furious.
[00:02:57.481 --> 00:03:08.026]  And it went on to say that some of these firearms dealers were concerned that these guns were ending up in the bad guys, only to be reassured by the ATF that there's nothing to worry about.
[00:03:08.126 --> 00:03:11.228]  So obviously, Holder was not doing any type of cover-up.
[00:03:11.888 --> 00:03:20.833]  And we have another article from CBS News, even they were documenting the fact that the ATF wanted to use Fast and Furious to make a case for gun regulations.
[00:03:21.633 --> 00:03:30.437]  Moving on, we'll go to the Weekly Standard that shows that the Obama Administration sealed the records of Fast and Furious and the death of Agent Brian Terry.
[00:03:31.157 --> 00:03:36.719]  And they sealed the court records containing alarming details of how Mexican drug smugglers murdered a U.S.
[00:03:36.739 --> 00:03:40.001]  border agent with a gun and connected to
[00:03:41.081 --> 00:03:45.803]  Connected to a failed federal experiment that allowed firearms to be smuggled into Mexico.
[00:03:45.823 --> 00:03:47.543]  And that's not all.
[00:03:47.824 --> 00:03:51.645]  We also have a Department of Justice memo dated April 2nd, 2009.
[00:03:52.805 --> 00:04:07.131]  And here, this is from Eric Holder, where he's going into Mexico, Cuernavaca to be exact, and telling them that we're going to be putting agents and money into this whole new effort, and we're committing all these resources to making sure that
[00:04:08.071 --> 00:04:10.293]  To supplement our Project Gunrunner.
[00:04:10.333 --> 00:04:10.873]  So there you go.
[00:04:11.453 --> 00:04:22.020]  Obviously Holder has no idea what's going on, and the buck doesn't stop with him, and these ATF agents are just out of control, acting on their own cognizance, creating this program.
[00:04:22.160 --> 00:04:23.441]  Yeah, we really believe that.
[00:04:23.481 --> 00:04:27.484]  In fact, we know this was going on before in the Bush administration.
[00:04:27.544 --> 00:04:30.746]  Here's Daryl Issa talking about that on Meet the Press.
[00:04:32.318 --> 00:04:39.905]  And again, we know that under the Bush administration there were similar operations, but they were coordinated with Mexico.
[00:04:40.665 --> 00:04:43.948]  They made every effort to keep their eyes on the weapons the whole time.
[00:04:44.269 --> 00:04:47.532]  So we're not per se saying that tracing weapons is a bad idea.
[00:04:48.292 --> 00:04:50.354]  Well, Cheryl, what do you mean?
[00:04:50.374 --> 00:04:54.656]  Yeah, we don't think tracing weapons is a bad idea, as long as Republicans are doing it.
[00:04:54.696 --> 00:05:07.545]  So see, both sides are doing it, and we're going to illustrate that with some Monsanto news later, that it's both sides of the coin that are trying to poison you and run weapons into Mexico to blame it on the Second Amendment.
[00:05:08.746 --> 00:05:09.366]  Moving on.
[00:05:10.127 --> 00:05:10.387]  U.S.
[00:05:10.467 --> 00:05:11.568]  uses depleted uranium.
[00:05:12.998 --> 00:05:13.318]  I think so.
[00:05:28.831 --> 00:05:28.931]  Yes.
[00:05:28.971 --> 00:05:34.273]  And every time they shoot those in the ground or fire their gun, they're creating DU dust that people are breathing in.
[00:05:34.453 --> 00:05:35.954]  It's causing cancers and sores.
[00:05:35.994 --> 00:05:42.377]  In fact, they did an examination of the urine and found uranium isotopes which are 300% to 2,000% higher than normal levels.
[00:05:45.871 --> 00:05:55.560]  And if you look at Afghanistan, as well as Iraq and in Yugoslavia, you find that wherever these weapons are used, you will find graveyards of people dying from cancer and other unusual diseases.
[00:05:56.221 --> 00:06:01.826]  And we've had Dr. Doug Rockeon to explain this and how his team, when they were looking into it, they all started dropping dead.
[00:06:02.146 --> 00:06:05.389]  And he's not doing too well himself, just from the exposure.
[00:06:06.170 --> 00:06:15.115]  And this is happening to our men and women who are also using these weapons and then coming home and spreading it to their kids, to their spouses, to anything they touch.
[00:06:15.215 --> 00:06:18.657]  It's just not a good thing and we should not be using depleted uranium.
[00:06:18.677 --> 00:06:23.039]  We shouldn't be taking radioactive waste, putting it into our munitions and then firing it around.
[00:06:23.419 --> 00:06:26.040]  Sort of like the same thing that we do with fluoride in the water supply.
[00:06:26.060 --> 00:06:31.043]  We're taking a toxic waste and diluting it around to try to mitigate some of the factors of it.
[00:06:32.813 --> 00:06:40.116]  And now we come to another interesting article that's had some, a lot of, it's been a pretty hot article, or pretty hot subject the last couple days.
[00:06:40.636 --> 00:06:43.337]  After cutting ties with Planned Parenthood, coma donations up 100%.
[00:06:43.377 --> 00:06:56.361]  And in the wake of this week's announcement that Susan G. Komen for the Cure will no longer be awarding grants to Planned Parenthood, the breast cancer organization's donations have gone up 100% in the last two days.
[00:06:57.422 --> 00:06:59.983]  And it was Nancy Brinkler,
[00:07:01.163 --> 00:07:07.347]  I'm sorry, Nancy Brinker, founder and CEO of the Komen Foundation, said our donations are up 100% in the past two days.
[00:07:07.928 --> 00:07:09.769]  We understand and we get very emotional too.
[00:07:09.809 --> 00:07:11.690]  We do this every single day of our lives.
[00:07:12.191 --> 00:07:14.772]  Now, that was on the 2nd.
[00:07:15.253 --> 00:07:19.476]  Today, we have two articles, one from the Wall Street Journal, one from Fox News.
[00:07:20.276 --> 00:07:21.397]  So we look at Fox News.
[00:07:21.657 --> 00:07:24.399]  Komen drops plans to cut Planned Parenthood grants.
[00:07:24.439 --> 00:07:25.980]  Apparently they're having a 180 on this.
[00:07:26.080 --> 00:07:27.821]  And then we go also to the Wall Street Journal.
[00:07:28.181 --> 00:07:29.522]  Pretty much the same headline.
[00:07:29.542 --> 00:07:31.644]  Komen drops plans to cut Planned Parenthood grants.
[00:07:31.684 --> 00:07:34.666]  So now, I guess they're having an about-face on this issue.
[00:07:34.686 --> 00:07:41.810]  And we're going to have Pastor Clennard Childress, who we did a really long expose into the abortion industry.
[00:07:42.731 --> 00:07:45.933]  Oh, I guess it was two money bombs ago we played his interview.
[00:07:45.953 --> 00:07:49.976]  And we're going to have him on Monday to kind of go over this issue and explain things.
[00:07:50.376 --> 00:07:58.101]  And in fact we have a clip from Pastor Childress here from that interview talking about when you get an abortion it increases your chances of cancer.
[00:07:58.381 --> 00:08:09.567]  Which is why Susan G. Komen, if they're an organization dedicated to fighting cancer, should not be giving money to a group that their procedures actually increase the chance of cancer, if that makes sense.
[00:08:09.928 --> 00:08:10.568]  Here's the clip.
[00:08:11.488 --> 00:08:15.631]  You know your listeners ought to know that abortion is the most performed operation on a woman.
[00:08:16.699 --> 00:08:39.061]  If there's 12% African Americans in this country and they're accounting for, I'm going to use this figure, this is extremely conservative, 37% of the abortions of the nation, yeah that's 37%, that means that African American women are having this operation performed on them more than any other woman.
[00:08:40.213 --> 00:08:45.962]  And to the point where that it is genocidal when it comes to the number of live births.
[00:08:46.262 --> 00:08:47.083]  Why did I say that?
[00:08:47.584 --> 00:08:52.311]  Well, up until 1973, breast cancer was not an issue with African American women.
[00:08:52.832 --> 00:08:53.553]  It was not a problem.
[00:08:54.074 --> 00:08:54.815]  Now it's epidemic.
[00:08:56.216 --> 00:09:16.717]  And Joel Brin, who's from this great state of New Jersey, more or less did 28 studies, 21 conclusive, that there is a link between a woman who has an abortion, especially a first term pregnancy, and chooses to abort.
[00:09:17.737 --> 00:09:26.965]  Well, over 500% in some studies basically will contract breast cancer.
