[00:00:02.424 --> 00:00:02.685]  I think.
[00:00:35.066 --> 00:00:43.012]  Good evening ladies and gentlemen and welcome to InfoWars Nightly News on this May 10, 2012 edition coming up on the show tonight.
[00:00:43.953 --> 00:00:46.274]  Tonight, justice will be served.
[00:00:46.635 --> 00:00:54.821]  Fullerton police beat Kelly Thomas to death and now possible charges against third officer, Alex Jones reports.
[00:00:55.541 --> 00:01:01.166]  Then, conflict in Syria escalates as more bombs tear through Damascus.
[00:01:01.866 --> 00:01:09.828]  Plus, the exclusive premiere of a new powerful documentary released by InfoWars investigative journalist Patrick Henningsen.
[00:01:10.168 --> 00:01:13.849]  Open Borders, Special Report, Fast and Furious.
[00:01:14.269 --> 00:01:19.411]  Premieres tonight in its entirety, only on the InfoWars Nightly News.
[00:01:27.208 --> 00:01:39.710]  Okay, now we're going to go to a special report by Alex Jones regarding the epidemic of police brutality in America, with specific reference to the Kelly-Thomas beating and the latest developments in that case.
[00:01:39.770 --> 00:01:40.752]  Let's go to this video.
[00:01:48.408 --> 00:01:50.873]  Well, hey, I'm sick of playing games.
[00:01:50.933 --> 00:01:51.694]  Which one is it?
[00:02:09.262 --> 00:02:18.845]  A year ago, InfoWars.com reported on the brutal, beating, tortured death of 37-year-old Kelly Thomas, born the same year I was.
[00:02:19.845 --> 00:02:20.805]  This is him before.
[00:02:21.745 --> 00:02:23.606]  By the way, his father's a retired police officer.
[00:02:23.626 --> 00:02:26.927]  He says he's ashamed of what police have turned into in this country.
[00:02:27.427 --> 00:02:28.767]  And here he is after.
[00:02:30.848 --> 00:02:32.108]  And he didn't resist anything.
[00:02:32.148 --> 00:02:36.429]  It was all on video from the police surveillance system.
[00:02:37.253 --> 00:02:39.835]  They beamed to death over nine minutes.
[00:02:40.376 --> 00:02:43.178]  Dude, please!
[00:02:43.698 --> 00:02:45.139]  Take the guide, you know, sorry.
[00:02:45.640 --> 00:02:48.162]  Face down.
[00:02:48.302 --> 00:02:52.105]  A few days ago, they released the video and we posted it on Infowars.com.
[00:02:52.125 --> 00:02:53.046]  I'm going to be honest with you.
[00:02:53.966 --> 00:02:54.727]  I didn't go watch it.
[00:02:55.114 --> 00:02:58.575]  There's so much police brutality, tasering, murder, death.
[00:02:58.835 --> 00:03:00.196]  And let me tell you something, folks.
[00:03:00.896 --> 00:03:02.657]  I could barely watch this.
[00:03:03.097 --> 00:03:04.477]  The cops are getting off on it.
[00:03:04.878 --> 00:03:08.899]  They play the game of saying, don't move, while they, I'm going to taser you in the back.
[00:03:11.678 --> 00:03:19.901]  It's just like you'd imagine Jeffrey Dahmer while he was torturing people and they just keep tasering and tasering.
[00:03:39.429 --> 00:03:40.890]  See, they've upped the power of tasers.
[00:03:40.930 --> 00:03:45.694]  They know that in the internal literature, all these systems are called less lethal.
[00:03:46.315 --> 00:03:51.759]  So they just train the public that they're basically able to torture us and then even kill us.
[00:03:51.819 --> 00:03:53.841]  It's all pain compliance.
[00:03:54.561 --> 00:03:57.264]  And they're training police on all this and just normalizing it.
[00:03:58.004 --> 00:04:00.066]  This is what they're going to turn loose on everybody.
[00:04:00.106 --> 00:04:02.688]  And they're trying to get all the cops to become these demon creatures.
[00:04:05.299 --> 00:04:05.719]  Disgusting.
[00:04:23.641 --> 00:04:31.864]  And spoke out and they're like, well, since your son was a son of a god, an upper class, you know, minion of the New World Order, we're going to do something about it.
[00:04:32.164 --> 00:04:45.369]  Now more cars arrive and it's just the beating with the batons, well you saw the damage, just the enjoyment, the piranha, or really what I'd call the orgy type feeding frenzy of the sharks.
[00:04:46.069 --> 00:04:46.669]  It's pretty bad.
[00:04:46.729 --> 00:04:48.070]  Now the begging for daddy's coming up.
[00:04:55.998 --> 00:05:01.309]  Help us!
[00:05:01.349 --> 00:05:02.631]  He's on something.
[00:05:02.732 --> 00:05:03.373]  I got this.
[00:05:10.632 --> 00:05:11.252]  Dad!
[00:05:12.713 --> 00:05:13.293]  Dad!
[00:05:13.453 --> 00:05:14.313]  No, Dad!
[00:05:14.633 --> 00:05:15.634]  Dad!
[00:05:17.554 --> 00:05:18.655]  Dad!
[00:05:19.255 --> 00:05:19.675]  Dad!
[00:05:20.795 --> 00:05:22.976]  No!
[00:05:23.856 --> 00:05:25.597]  Help me!
[00:05:25.717 --> 00:05:26.557]  Help me!
[00:05:26.637 --> 00:05:27.978]  Help me, Dad!
[00:05:28.158 --> 00:05:29.398]  Dad, help me!
[00:05:38.702 --> 00:05:42.243]  And then he begins sobbing like a child for daddy.
[00:05:42.263 --> 00:05:47.045]  That's what people do, generally, before they pass out and, well, then later die.
[00:05:47.926 --> 00:05:51.027]  And the police are really enjoying it and getting off on it.
[00:05:51.047 --> 00:05:56.910]  I've seen footage and videos, it's in my film, Martial Law, where they're breaking a pro-lifer's arms.
[00:05:57.270 --> 00:05:59.871]  So there's the face of the New World Order.
[00:06:01.288 --> 00:06:02.249]  And they killed this guy.
[00:06:02.829 --> 00:06:05.792]  And then after they've pretty much killed him, you know, he died later at the hospital.
[00:06:06.152 --> 00:06:08.234]  When he's laying there, there's blood pouring out in all directions.
[00:06:08.795 --> 00:06:12.498]  They all basically act like they want to have a cigarette, like they just had sex or something.
[00:06:12.518 --> 00:06:16.522]  I mean, there's a real satisfaction congratulating each other coming up.
[00:06:16.582 --> 00:06:18.164]  So, you know, they've gone out and bagged a trophy.
[00:06:19.385 --> 00:06:20.886]  A homeless guy, hadn't done anything wrong.
[00:06:21.747 --> 00:06:22.828]  By the way, was mentally ill.
[00:06:24.149 --> 00:06:25.991]  And they reportedly said he was schizophrenic.
[00:06:26.251 --> 00:06:27.172]  That's why he was on the streets.
[00:06:27.953 --> 00:06:31.616]  And, uh, there's just a lot of begging for daddy here, and that really gets them excited.
[00:06:32.958 --> 00:06:38.883]  And you can turn the audio up and hear, like, the little grunts and satisfactions, and the cops are all having adrenaline and getting up and walking around in circles.
[00:06:39.203 --> 00:06:41.065]  I mean, this was a fun kill right here.
[00:06:41.545 --> 00:06:42.946]  This felt really good.
[00:06:42.966 --> 00:06:45.028]  And this is what Altair and he set up.
[00:06:45.048 --> 00:06:45.729]  Hello?
[00:06:46.530 --> 00:06:48.071]  How do you want to pull this down?
[00:06:48.231 --> 00:06:49.893]  Uh, this really needs a...
[00:06:57.197 --> 00:06:58.297]  So he's stuck together?
[00:06:58.337 --> 00:06:58.957]  He's stuck together.
[00:06:58.977 --> 00:07:00.398]  I don't want to take those off.
[00:07:00.418 --> 00:07:01.098]  He's still gonna fight.
[00:07:01.118 --> 00:07:01.378]  Yeah.
[00:07:01.398 --> 00:07:02.418]  He's so fine, dude.
[00:07:02.438 --> 00:07:02.718]  Relax.
[00:07:02.738 --> 00:07:03.038]  Relax.
[00:07:03.078 --> 00:07:03.238]  Relax.
[00:07:03.318 --> 00:07:03.438]  Okay.
[00:07:03.478 --> 00:07:04.778]  What's this guy's name?
[00:07:05.619 --> 00:07:06.659]  You don't even know.
[00:07:07.199 --> 00:07:08.159]  I'm trying to get it.
[00:07:08.199 --> 00:07:08.699]  Relax.
[00:07:09.279 --> 00:07:09.679]  Relax.
[00:07:24.895 --> 00:07:25.275]  Relax.
[00:07:25.355 --> 00:07:28.518]  He's still fighting.
[00:07:30.099 --> 00:07:39.826]  Please put him in the front though.
[00:07:40.026 --> 00:07:46.551]  Can you put that right here on the front?
[00:07:46.591 --> 00:07:48.132]  Yeah, let me get the glove.
[00:07:48.172 --> 00:07:49.092]  The chain's right there.
[00:08:05.284 --> 00:08:10.028]  You know, my grandfather worked in less lethal weapons development.
[00:08:11.629 --> 00:08:17.514]  Developed a taser robot, a remote control system, sold to the Pentagon.
[00:08:17.534 --> 00:08:21.057]  They never mass developed it, but they were told to call it non-lethal.
[00:08:21.077 --> 00:08:21.778]  This was back in the 60s.
[00:08:23.403 --> 00:08:24.764]  But they know they're lethal.
[00:08:25.745 --> 00:08:26.625]  And that's what it's all about.
