[00:00:04.974 --> 00:00:05.155]  Oh, yeah.
[00:00:41.085 --> 00:00:43.207]  Welcome to the InfoWars Nightly News.
[00:00:43.347 --> 00:00:44.629]  I'm your host, Melissa Melton.
[00:00:44.989 --> 00:00:49.154]  The date is Monday, September 10th, 2012, and here's a look at what we have coming up.
[00:00:52.338 --> 00:01:06.121]  Tonight, Melissa Melton sits down with Lenore Skenazy of FreeRangeKids.com to explore why some people believe letting your kids play outside by themselves is a crime.
[00:01:07.081 --> 00:01:18.924]  Then, our government is hoarding ammunition like it's planning for war, but a man can't even buy a few boxes of ammo without being investigated by local police.
[00:01:20.069 --> 00:01:27.555]  Plus, we break down the real unemployment numbers and massive censorship at CNN is brought to light.
[00:01:28.655 --> 00:01:32.999]  All this and more, coming up on the InfoWars Nightly News.
[00:01:43.931 --> 00:01:50.778]  Our first story tonight, a man is being investigated by police for buying a couple of boxes of ammunition at his local gun shop.
[00:01:51.358 --> 00:02:03.950]  Apparently, Brian Loftus was purchasing a few boxes of ammunition when a concerned customer called the police and reported him to make sure he wasn't, quote, going to do something crazy.
[00:02:04.971 --> 00:02:08.975]  After police left Brian Loftus' residence, he put up this video on YouTube.
[00:02:09.395 --> 00:02:17.558]  Someone that has sworn an oath to defend the Constitution like I have, and these officers have, they have to wonder, you know, how many people are they going to call?
[00:02:17.578 --> 00:02:20.439]  Are they going to call their brother-in-law next time he goes to buy some ammunition?
[00:02:21.159 --> 00:02:22.899]  Or their brother, or sister, or son?
[00:02:22.919 --> 00:02:24.700]  I mean, where does it end?
[00:02:25.200 --> 00:02:29.182]  We're supposedly in a free country, and I've committed no crime and have no record.
[00:02:30.122 --> 00:02:33.343]  And, you know, I shoot that amount of ammunition on a good weekend at the range, so...
[00:02:34.747 --> 00:02:40.368]  Why are they calling me to make sure that I'm not going to do something crazy?
[00:02:42.028 --> 00:02:47.573]  So this is just one more example of how Americans are being intimidated out of using their Second Amendment rights.
[00:02:48.393 --> 00:02:54.559]  You can't even go into a gun store and buy a few boxes of ammunition without somebody tattling on you to the police that you might do something crazy.
[00:02:54.919 --> 00:03:02.586]  However, your government can buy billions of bullets, spend your money to do it, black out the information on the purchase orders, and then never even tell you why.
[00:03:02.926 --> 00:03:06.829]  So you're not supposed to suspect your government when it buys billions of bullets.
[00:03:07.370 --> 00:03:08.711]  That's not a terrorist act.
[00:03:09.071 --> 00:03:14.634]  You're supposed to suspect the guy down the street when he buys a couple of boxes for shooting off at a firing range.
[00:03:15.235 --> 00:03:20.438]  And this just goes to show you how they're trying to perpetuate this idea that we're all terrorists, every single one of us.
[00:03:21.098 --> 00:03:23.399]  And that actually goes into our next story.
[00:03:23.419 --> 00:03:30.964]  The FBI has begun installation of a $1 billion face recognition software across America.
[00:03:31.764 --> 00:03:38.413]  That will apparently archive and accumulate information about each and every American at a cost of one billion dollars.
[00:03:39.354 --> 00:03:45.502]  The Next Generation Identification Program is implementing this intelligence database in unidentified locales across the country.
[00:03:46.374 --> 00:03:49.015]  And the mission is to reduce terrorist and criminal activities.
[00:03:49.935 --> 00:03:59.797]  And it says here that they are able to provide services to enhance interoperability between stakeholders at all levels of government, local, state, and federal, and international partners.
[00:04:00.578 --> 00:04:02.058]  So that sounds fun.
[00:04:02.778 --> 00:04:10.060]  And apparently this program will be in full swing in only two years when they plan to have 14 million photographs of people.
[00:04:10.956 --> 00:04:19.841]  So they're going to be having 14 million photographs in this giant police state grid, and they're going to be sharing that everywhere, local, state, federal, and all across the world.
[00:04:20.981 --> 00:04:34.048]  So the government wants to perpetuate this idea that anybody can be a terrorist, we're all terrorists, when if you actually look behind it at the real truth, every single terrorist attack has pretty much been perpetuated by our government.
[00:04:34.388 --> 00:04:36.789]  So if anything, they're the terrorists, not us.
[00:04:37.450 --> 00:04:39.591]  And people are starting to wake up to this fact.
[00:04:40.197 --> 00:04:42.758]  And that actually takes us into our next story here.
[00:04:44.339 --> 00:04:49.260]  President of Italy's Supreme Court to refer 9-11 crimes to International Criminal Court.
[00:04:49.901 --> 00:04:57.023]  Fernando Impassimato is the Honorary President of the Supreme Court of Italy, but he's also a member of Lawyers for 9-11 Truth.
[00:04:57.843 --> 00:05:01.045]  And he has now stated publicly that he believes that 9-11 is
[00:05:02.505 --> 00:05:03.506]  We're good to go.
[00:05:21.036 --> 00:05:48.744]  that terrorist attacks in Italy and other European countries in the fifties were carried out with NATO and the help of the Pentagon and CIA and he believes that 9-11 was again one of those attacks and so he's gonna go ahead and turn that in and I think that's a good on all of us all everybody who said 9-11 was an inside job all of us who have been pioneering for truth on this who didn't take the official story at its word who knew there was something more to it who knew that
[00:05:49.164 --> 00:05:51.284]  Building 7 didn't just blow itself up.
[00:05:52.065 --> 00:05:53.325]  This is a victory right here.
[00:05:53.385 --> 00:05:58.306]  He's going to take this to International Criminal Court and I hope we get at least some semblance of justice.
[00:05:58.966 --> 00:06:09.247]  Judge Impassimato is just the latest in a string of high-profile people in high government positions to come forward and openly admit on record that they believe that 9-11 was an inside job.
[00:06:09.988 --> 00:06:17.989]  And you know with the anniversary of 9-11 coming up tomorrow, the mainstream media is just going to continue to sell you this idea as they have for the last 10 years.
[00:06:18.929 --> 00:06:19.991]  We're good to go.
[00:06:37.509 --> 00:06:40.090]  Basically the bottom line is this was a false flag attack.
[00:06:40.130 --> 00:06:48.734]  It was orchestrated by our government the whole entire war on terror just to strip us of our rights and freedoms so they can preemptively attack other countries for empire building.
[00:06:49.315 --> 00:07:00.700]  So now we're going to move on to a special report from Aaron Dykes who traveled to Germany, the birthplace of the Illuminati, and the amount of symbolism embedded in that society will astound you.
[00:07:01.040 --> 00:07:02.041]  We go now to that report.
[00:07:08.942 --> 00:07:10.864]  The Illuminati does exist.
[00:07:11.505 --> 00:07:17.993]  The secret society is so notorious that many have assumed it resides only in legend and myth.
[00:07:18.774 --> 00:07:22.058]  But it was in fact founded on May 1st, 1776 in the heart of Bavaria, Germany.
