[00:00:00.229 --> 00:00:01.151]  Welcome to GCN.
[00:00:01.471 --> 00:00:03.154]  Great Talk Radio starts here.
[00:00:10.919 --> 00:00:15.083]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:15.743 --> 00:00:16.544]  You want answers?
[00:00:17.345 --> 00:00:18.266]  Well, so does he.
[00:00:18.886 --> 00:00:22.490]  He's Alex Jones on the GCN Radio Network.
[00:00:23.070 --> 00:00:27.134]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.917 --> 00:00:45.361]  It is Wednesday, the 5th day of December 2012.
[00:00:46.582 --> 00:00:50.946]  And I am your host, Alex Jones.
[00:00:52.208 --> 00:00:53.929]  We are going to have open phones today.
[00:00:53.969 --> 00:00:54.950]  We don't have any guests.
[00:00:54.970 --> 00:00:59.334]  We have a bunch of breaking special reports we're going to air here on the show today.
[00:01:02.415 --> 00:01:06.256]  Obviously, if you hear that my voice is deeper than normal.
[00:01:07.556 --> 00:01:11.197]  I went out to a federal building in Austin, Texas yesterday.
[00:01:11.297 --> 00:01:21.540]  One of my photographers and researchers, Molly Rogers, was in and around downtown Austin taking photos of surveillance cameras.
[00:01:21.580 --> 00:01:25.761]  So we have stock footage of the Big Brother control grid.
[00:01:27.552 --> 00:01:30.314]  As any publication online or in print does.
[00:01:31.174 --> 00:01:35.077]  And they came out to her on the sidewalk and said, we'll arrest you.
[00:01:35.117 --> 00:01:35.857]  You look shady.
[00:01:35.917 --> 00:01:37.618]  It's illegal to photograph a federal building.
[00:01:39.179 --> 00:01:50.487]  So I went back down there yesterday and to find parking, had to park about a quarter mile away, left the bullhorn in the car, in the truck, forgot it.
[00:01:51.994 --> 00:01:52.735]  I don't know.
[00:02:11.816 --> 00:02:17.841]  And I'll tell the story later, and then we should have the video ready by the Nightly News tonight or tomorrow.
[00:02:17.921 --> 00:02:18.262]  Who knows?
[00:02:18.302 --> 00:02:26.288]  We've got so much on our plate right now, but we will play that video here on the radio because it's got audio, obviously, as I give a speech to them.
[00:02:26.889 --> 00:02:34.736]  And then as we're leaving, security guards come out and inform us that their listeners
[00:02:36.223 --> 00:02:41.504]  And that we have every right to photograph or videotape the facility, because this is not North Korea.
[00:02:42.244 --> 00:02:44.484]  And they said, in fact, we'll open the gate up for you.
[00:02:44.965 --> 00:02:48.525]  Why don't you try to go into the metal detectors and talk to the federal police officers?
[00:02:49.485 --> 00:03:03.968]  So we go in there, and they blow up at our cameras, and then I tell them this isn't North Korea, and explain that they'd come out, and the federal police officer that had done it to Mali was not there.
[00:03:04.992 --> 00:03:05.733]  I said, is that him?
[00:03:05.793 --> 00:03:06.233]  Is that him?
[00:03:06.253 --> 00:03:06.814]  She said, no.
[00:03:07.655 --> 00:03:08.816]  And she described him.
[00:03:08.836 --> 00:03:10.157]  And they said, well, we apologize.
[00:03:10.217 --> 00:03:10.897]  It's not illegal.
[00:03:10.938 --> 00:03:12.439]  We understand how that could have scared you.
[00:03:12.459 --> 00:03:14.741]  Because, you know, she came back to work and said, really?
[00:03:15.281 --> 00:03:16.282]  It's not illegal?
[00:03:17.383 --> 00:03:18.444]  I didn't think it was illegal.
[00:03:18.464 --> 00:03:19.886]  I didn't even know that was a federal building.
[00:03:19.926 --> 00:03:21.047]  I was just going around downtown.
[00:03:21.067 --> 00:03:22.088]  We sent her out there to do it.
[00:03:22.808 --> 00:03:23.529]  But she said, really?
[00:03:23.569 --> 00:03:25.190]  They'd lie to me and say they'd arrest me?
[00:03:25.911 --> 00:03:28.391]  And of course, you see that in the news all the time where they do arrest people.
[00:03:28.792 --> 00:03:31.112]  You see the courts ruling, obviously that's unconstitutional.
[00:03:31.772 --> 00:03:32.692]  But they just keep doing it.
[00:03:33.232 --> 00:03:40.314]  And so I told them, because they were kind of getting in our face, and I said, well, I'm going to sue you then for a civil rights violation, First Amendment official oppression.
[00:03:40.614 --> 00:03:41.854]  And they went, whoa, whoa, whoa, whoa.
[00:03:42.334 --> 00:03:48.035]  So we shook hands and they said, OK, here's a number for you or a place for you to file a complaint.
[00:03:48.055 --> 00:03:51.516]  We'll try to find out who did it, which I'm sure is just trying to get us out of there.
