[00:00:00.009 --> 00:00:00.094]  Yeah.
[00:00:07.489 --> 00:00:11.670]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:12.310 --> 00:00:13.130]  You want answers?
[00:00:13.911 --> 00:00:14.871]  Well, so does he.
[00:00:15.451 --> 00:00:19.052]  He's Alex Jones on the GCN Radio Network.
[00:00:19.632 --> 00:00:23.713]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.284 --> 00:00:38.885]  Ladies and gentlemen, we are live.
[00:00:38.986 --> 00:00:42.728]  It is Friday, the 30th day of November 2012.
[00:00:43.608 --> 00:00:49.932]  And former Congresswoman Cynthia McKinney is scheduled to join us in the second hour.
[00:00:50.513 --> 00:00:54.255]  Then Jason Rink and Tom Woods, Jason Rink will be in studio.
[00:00:54.876 --> 00:01:03.041]  They're moving forward with the Nullification Secession Movement as the media has been dubbing it.
[00:01:04.042 --> 00:01:16.072]  But that's not really what it is, so we're going to be explaining that and continuing my call for a new Declaration of Independence to restore the Republic and get it out of the hands of the globalists that bragged that they've conquered this country.
[00:01:17.153 --> 00:01:22.057]  The piece is almost done, and then Aaron's got to export it because it's in HD.
[00:01:22.777 --> 00:01:24.819]  There's a piece we've been working on for three days here.
[00:01:26.790 --> 00:01:36.838]  That deals with JPMorgan Chase running a TV ad during Thanksgiving and still running it, implying that they brought you America.
[00:01:38.219 --> 00:01:48.687]  Implying that everything good in this country is because of them.
[00:01:50.689 --> 00:01:55.613]  And so I thought we'd go over the real history of JPMorgan Chase because they claim what they're doing is free market.
[00:01:55.673 --> 00:02:01.457]  It's the opposite and is destroying any free market we could ever have and our prosperity.
[00:02:01.938 --> 00:02:06.061]  Even more evil than Goldman Sachs is JPMorgan Chase.
[00:02:06.101 --> 00:02:10.184]  So that should be done sometime in the third hour.
[00:02:10.344 --> 00:02:13.206]  And so we're going to be premiering that here on the radio today.
[00:02:13.667 --> 00:02:16.909]  If it's not ready, it'll be on InfoWars Nightly News tonight.
[00:02:16.929 --> 00:02:17.490]  It's pretty powerful.
[00:02:19.252 --> 00:02:20.773]  Aaron Dixon, I put it together.
[00:02:22.074 --> 00:02:26.698]  And Aaron has been up much of the night putting the finishing touches on it, so that is coming up as well.
[00:02:27.079 --> 00:02:30.181]  Also, we're launching to bring attention to the drone invasion.
[00:02:31.022 --> 00:02:34.865]  The first ever drone mob next Saturday at Zilker Park in Austin, Texas.
[00:02:35.346 --> 00:02:38.248]  There's a video that Melissa Melton and Jakari Jackson put together.
[00:02:38.268 --> 00:02:40.230]  We'll air that today if we have time.
[00:02:40.290 --> 00:02:43.412]  If not, it's up at InfoWars.com right now.
[00:02:46.258 --> 00:03:07.229]  Last night my wife gets up in the middle of the night sometimes and reads news so she doesn't wake me up but she sits there and text messages me articles from her iPad or cell phone to my cell phone and for whatever reason she was texting me articles at about 3 a.m.
[00:03:09.881 --> 00:03:10.482]  Right next to me.
[00:03:11.102 --> 00:03:12.803]  And I heard the buzzing and woke up.
[00:03:12.923 --> 00:03:15.926]  So there we were both reading this article together at 3 a.m.
[00:03:15.966 --> 00:03:16.346]  this morning.
[00:03:16.887 --> 00:03:18.228]  And then I couldn't go back to sleep.
[00:03:20.109 --> 00:03:23.332]  And I don't say this to build up the suspense.
[00:03:24.112 --> 00:03:27.295]  I say it because I don't build up the suspense properly.
[00:03:27.315 --> 00:03:30.978]  I sat there and read like a 15-page article.
[00:03:31.078 --> 00:03:34.640]  It's 15 pages printed out from the Daily Mail.
[00:03:36.522 --> 00:03:38.684]  And the Daily Mail, it's a good article.
[00:03:40.140 --> 00:03:43.862]  But they haven't been studying this for 20 years like I have.
[00:03:44.643 --> 00:03:51.987]  And so as bad as this article is, it wasn't one-tenth of what's really going on.
[00:03:55.587 --> 00:03:57.949]  And, guys, will you print me the bio on Wesley Smith?
[00:03:58.009 --> 00:03:59.070]  Also, I am that to you.
[00:03:59.090 --> 00:04:00.231]  I don't think I saw that here.
[00:04:00.271 --> 00:04:05.835]  I know you thought it was for guest info, but Wall Street Journal writer Wesley Smith, bestselling author of Culture of Death.
[00:04:07.476 --> 00:04:09.017]  I have a copy of it at home, but I forgot to bring it.
[00:04:09.037 --> 00:04:10.719]  Will you print me the Amazon on that?
[00:04:10.759 --> 00:04:11.379]  We don't sell it.
[00:04:11.399 --> 00:04:11.760]  We should.
[00:04:11.780 --> 00:04:20.226]  I'm going to get him back on, I think, two hours next week sometime to go over this, because he chronicles in the book and in the Wall Street Journal.
[00:04:20.246 --> 00:04:22.268]  I've been interviewing him about 14, 15 years.
[00:04:22.288 --> 00:04:23.809]  I haven't had him on probably six or seven.
[00:04:26.067 --> 00:04:35.029]  Where they take people who are paralyzed, chest down, and begging for food and water, and they kill them here in the US and England.
[00:04:35.989 --> 00:04:37.489]  And it's a standard globalized deal.
[00:04:38.749 --> 00:04:49.511]  And then every time I cover it, we open the phones up, and nurses and doctors call in and say, yeah, I'm in the break room right now.
[00:04:49.571 --> 00:04:51.752]  They're killing three people on my floor right now.
[00:04:52.172 --> 00:04:53.612]  One of them's chained down, begging.
[00:04:55.084 --> 00:04:58.316]  Once you're a ward of the state, even if you can walk, they'll murder you.
[00:04:58.557 --> 00:05:00.484]  We're gonna explain one of the biggest secrets coming up.
[00:05:02.831 --> 00:05:06.873]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:05:06.933 --> 00:05:08.054]  Don't be one of them!
[00:05:08.174 --> 00:05:13.696]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:05:13.856 --> 00:05:23.481]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:05:23.661 --> 00:05:30.324]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:05:30.444 --> 00:05:34.566]  Such as strep, staph, pneumonia, colds, flus, and other harmful pathogens.
[00:05:34.806 --> 00:05:43.770]  This new technology has the ability to terminate entire colonies of harmful bacteria at several hundred times the effectiveness of colloidal or ionic silver solutions.
[00:05:43.890 --> 00:05:47.352]  The Science Digest Journal says silver is our mightiest germ fighter.
[00:05:47.572 --> 00:05:51.194]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[00:05:51.394 --> 00:05:57.649]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:05:57.789 --> 00:06:01.257]  That's SupernaturalSilver.com and like us on Facebook.
[00:06:04.821 --> 00:06:12.508]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:06:12.948 --> 00:06:16.572]  Alex and his staff have used these pure soap products for years.
[00:06:17.012 --> 00:06:23.838]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:06:24.318 --> 00:06:26.801]  See them on the web at 5starsoap.com.
[00:06:27.341 --> 00:06:31.844]  Or call 800-340-7091 for a free catalog.
[00:06:32.184 --> 00:06:37.827]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:06:38.108 --> 00:06:43.211]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:06:43.531 --> 00:06:45.152]  This is an amazing deal.
[00:06:45.512 --> 00:06:50.055]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:06:50.735 --> 00:06:53.939]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:07:03.772 --> 00:07:08.635]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:07:09.356 --> 00:07:12.198]  The most devastating economic condition since the Great Depression.
[00:07:12.598 --> 00:07:14.960]  America's worst drought in agricultural history.
[00:07:15.420 --> 00:07:17.982]  And now the economic results of the presidential election.
[00:07:18.422 --> 00:07:21.424]  This perfect storm is a huge threat to everyone's food supply.
[00:07:21.944 --> 00:07:26.568]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[00:07:27.129 --> 00:07:29.271]  It's time to get your own supply from eFoodsDirect.
[00:07:29.811 --> 00:07:32.874]  I know I won't be standing in a bread line trading my freedom for food.
[00:07:33.474 --> 00:07:37.238]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:07:37.718 --> 00:07:40.861]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:07:41.141 --> 00:07:44.502]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:07:45.542 --> 00:07:48.723]  Remember, I can warn you, but I can't feed you.
[00:07:48.743 --> 00:07:53.004]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:53.524 --> 00:07:56.665]  Would you rather prepare six months too early or one day too late?
[00:07:56.685 --> 00:08:01.226]  409-5633 or efoodsdirect.com forward slash Alex.
[00:08:03.267 --> 00:08:10.829]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:08:19.138 --> 00:08:24.282]  More so than ever before, this broadcast is an absolute must-listen.
[00:08:27.484 --> 00:08:44.597]  The global government is openly being announced, run by private megabanks, hell-bent on destroying sovereign nations and free markets, and replacing it with above-the-law corporate fascist global combines, using socialism at the grassroots to make the public dumbed down and dependent.
[00:08:45.578 --> 00:08:49.559]  We have an absolute total information overload today.
[00:08:51.279 --> 00:08:59.440]  Even the Daily Beast, the Newsweek group, says no answers in death of coroner linked to Andrew Breitbart.
[00:09:00.040 --> 00:09:02.081]  We told you he was killed with arsenic at the time.
[00:09:02.641 --> 00:09:05.761]  That's now come out and there's basically no investigation going on.
[00:09:07.182 --> 00:09:15.123]  Breitbart, the evidence points towards being murdered because they announced he died of natural causes in less than an hour before any coroner even looked at him.
[00:09:16.488 --> 00:09:17.711]  We've got that in the stack.
[00:09:17.731 --> 00:09:18.873]  That's not even our top story.
[00:09:18.913 --> 00:09:19.795]  There's just so much here.
[00:09:20.517 --> 00:09:24.525]  The West is backing Al-Qaeda in the takeover of Syria.
[00:09:26.249 --> 00:09:40.514]  It is so incredibly immoral, and they are now reporting in the Weekly Standard, they're claiming, oh, surface-to-air anti-aircraft missiles, oh, they got them from the Syrian government to shoot down Syrian helicopters and jets.
[00:09:40.975 --> 00:09:46.977]  No, they got them in Libya, from Qaddafi, and al-Qaeda was given that by NATO, and that's on record.
[00:09:47.257 --> 00:09:55.240]  So they're now already trying to say that missiles that are going to be shooting down passenger liners, undoubtedly in the near future, they're going to blame it on Assad, and think the public is that dumb.
[00:09:56.052 --> 00:10:03.614]  They're using the missiles to bring down Assad and put Al-Qaeda in charge, just like they've done in Libya and the Muslim Brotherhood in Egypt.
[00:10:03.914 --> 00:10:05.895]  And they think you're so stupid!
[00:10:07.075 --> 00:10:17.738]  They're all over the news, not just the Weekly Standard, saying, oh, they're turning the tide against Assad in the 20-month war because they've got anti-aircraft missiles from Assad at bases they've taken.
[00:10:19.346 --> 00:10:22.008]  Absolute, total, and complete bull.
[00:10:22.328 --> 00:10:28.533]  But they admit in the back of the paper that CIA, MI6, and others have commandos on the ground with U.S.
[00:10:28.553 --> 00:10:38.900]  Special Forces lazing targets to take over that country and to blow up the churches, kill the Jews, which is going on, and it's in the foreign papers but not here.
[00:10:39.000 --> 00:10:40.962]  It is unbelievable.
[00:10:41.922 --> 00:10:48.147]  And then you or I are told we have to give up our rights because of Al-Qaeda when the bankers that have hijacked this country run Al-Qaeda.
[00:10:49.164 --> 00:10:50.685]  And I just don't think you're that stupid.
[00:10:51.765 --> 00:10:54.246]  I mean, even Neocon Radio is having a talk about this now.
[00:10:54.306 --> 00:10:58.829]  I mean, just shame on all of you that have gotten behind the police state.
[00:10:58.869 --> 00:11:05.292]  You are destroying our country and our future and the golden goose that has made this country so, so productive.
[00:11:06.297 --> 00:11:07.779]  The dollar is on the way out.
[00:11:07.919 --> 00:11:17.471]  They're going to move towards global SDR, cashless systems backed by the IMF and World Bank, and those systems backed by global carbon taxes, global VAT.
[00:11:17.851 --> 00:11:19.213]  It's all been announced at Davos.
[00:11:19.593 --> 00:11:24.319]  The $100 trillion plan, Associated Press, London Guardian, London Telegraph.
[00:11:25.202 --> 00:11:26.263]  We've covered it at nauseam.
[00:11:26.623 --> 00:11:43.020]  But they have to incrementally bankrupt things, Europe, the U.S., the rest of the world, while mopping up the few rogue nations the globalists don't control, while posing as saviors, and then saying, oh my gosh, we're going to go completely bankrupt, our debt's too great if we don't pass VAT and carbon taxes.
[00:11:43.901 --> 00:11:46.884]  And that's what you'll see this year, or in the next two to three years.
[00:11:47.084 --> 00:11:48.025]  They're already proposing it.
[00:11:49.153 --> 00:11:51.876]  And well, I don't want my 401K to go down to zero.
[00:11:51.916 --> 00:11:53.837]  The stock market just dropped 4,000 points.
[00:11:54.498 --> 00:12:02.586]  We better accept all these new taxes so the government can nationalize all the 401Ks and everything and shore up the dollar.
[00:12:03.749 --> 00:12:05.970]  And then a few years after that, things won't be shored up.
[00:12:05.990 --> 00:12:06.691]  Just look at Europe.
[00:12:07.431 --> 00:12:08.792]  Three, quote, bailouts.
[00:12:08.812 --> 00:12:16.076]  That's just three implosions consolidating things and taking the new tax money that implodes the economy further and paying it to the globalists.
[00:12:16.736 --> 00:12:18.677]  And then they're going to just get rid of cash entirely.
[00:12:19.377 --> 00:12:23.139]  You will still have $100 and $1,000 bills.
[00:12:23.159 --> 00:12:25.060]  This has been the stated plan by the Federal Reserve.
[00:12:25.080 --> 00:12:27.842]  That's why they've changed it with color money and stuff, getting you ready for this.
[00:12:29.554 --> 00:12:35.057]  But they will have digital tracker chips in them, which $5 bills and up already have.
[00:12:36.598 --> 00:12:43.302]  And with those devices, but also scannable fronts, it will track each bill and its full history.
[00:12:43.342 --> 00:12:45.283]  So it is a cashless note.
[00:12:46.857 --> 00:12:48.458]  And the big banks are exempt from all that.
[00:12:48.498 --> 00:12:50.500]  They can launder hundreds of billions in drug money.
[00:12:50.540 --> 00:12:51.481]  They won't get in trouble.
[00:12:52.121 --> 00:12:58.827]  It'll just be to totally control your life, like Louisiana did last year, banning cash and secondhand transactions.
[00:12:58.847 --> 00:12:59.887]  That's going to go worldwide.
[00:13:00.348 --> 00:13:06.833]  And here it is, out of the Associated Press today, Congress looks at doing away with the $1 bill.
[00:13:09.048 --> 00:13:13.231]  I was on DrudgeReport.com a minute ago and they've got the $1 bill with Obama's face on it.
[00:13:13.251 --> 00:13:16.453]  We can punch that up for people watching at Infowarsnews.com.
[00:13:17.133 --> 00:13:21.136]  And it says the end of the dollar bill right there.
[00:13:21.236 --> 00:13:22.616]  But yeah, there it is.
[00:13:22.697 --> 00:13:23.817]  Obama on the cover.
[00:13:23.857 --> 00:13:26.859]  The end of the dollar bill.
[00:13:28.980 --> 00:13:32.002]  And there's also another thing where you've got French socialists.
[00:13:32.042 --> 00:13:33.723]  We're just doing what Obama does.
[00:13:34.324 --> 00:13:35.945]  Obama's nationalized.
