[00:00:40.862 --> 00:00:42.123]  Welcome, ladies and gentlemen.
[00:00:42.223 --> 00:00:44.425]  This is the InfoWars Nightly News.
[00:00:44.866 --> 00:00:46.127]  I'm your host, Aaron Dykes.
[00:00:46.227 --> 00:00:47.949]  Today is Tuesday, August 28, 2012.
[00:00:53.120 --> 00:01:02.326]  Tonight on the Info Wars Nightly News, Big Sis Napolitano tucks the NBA into the Homeland Security bed, but lets biological agents play in the subway late.
[00:01:02.926 --> 00:01:09.430]  Then, Alex goes teleprompter-free as Steve Quell and Doug Hagman release bombshell information for Marshall Law.
[00:01:09.730 --> 00:01:13.953]  The bottom line here is I've got a source from the DHS that said it's going hot.
[00:01:14.573 --> 00:01:18.136]  Now I'm being told that you'll go to sleep on a Friday night.
[00:01:18.496 --> 00:01:29.783]  Between Friday and instantly between the times that the overnight hot money changes hands, there will be an orchestrated cyber attack on the major banks of the world.
[00:01:30.184 --> 00:01:34.967]  And Minneapolis citizens told not to panic as Black Hawk helicopters black out their sky.
[00:01:35.567 --> 00:01:39.170]  All that and more coming up on the InfoWars Nightly News.
[00:01:40.452 --> 00:01:40.874]  Oh, no!
[00:01:49.793 --> 00:02:03.939]  Tonight we have a black helicopter story, the kind of stuff conspiracy theorists have been lampooned over for years and years, decades even, because civilians are told not to fear the black ops circling over Minneapolis.
[00:02:04.299 --> 00:02:13.143]  If you see military helicopters flying low over Minneapolis, don't be alarmed, they're just training in an urban environment, reports WCCO.
[00:02:13.943 --> 00:02:27.212]  Of course, they didn't bother to inform anyone in Minneapolis that they were conducting exercises with Blackhawk helicopters until members of the public called outrage to law enforcement and media outlets.
[00:02:27.652 --> 00:02:43.603]  At that point, and only at that point, did they decide to spin the story and reassure people that nothing menacing was going on, that these were just friendly training helicopters and, by the way, the location of where it's taking place will remain secret so the public doesn't gather around
[00:02:43.903 --> 00:02:49.910]  Because that would be unsafe, never mind the implications of the exercise itself in occupied America.
[00:02:50.231 --> 00:02:54.696]  The Orwellian deception that it doesn't exist and yet there it is and it's harmless.
[00:02:55.116 --> 00:02:57.639]  Part of the same old script we've seen for a long time.
