[00:00:07.008 --> 00:00:07.548]  Be heard.
[00:00:07.928 --> 00:00:08.609]  Be active.
[00:00:08.889 --> 00:00:09.589]  Be social.
[00:00:10.629 --> 00:00:16.772]  InfoWarriors worldwide are logging on to the newest activist social network, PlanetInfoWars.com.
[00:00:17.512 --> 00:00:18.433]  I'm Christy Hightower.
[00:00:18.833 --> 00:00:26.416]  This week on Planet InfoWars, follow Alex Jones in the official Bilderberg 2012 InfoWarriors official site.
[00:00:27.156 --> 00:00:36.808]  You can watch up-to-the-minute news, information, and live streams, all covering the globalist clandestine convention going on this week in Chantilly, Virginia.
[00:00:37.549 --> 00:00:41.934]  Create your own sites of activists and information on planetinfowars.com.
[00:00:49.582 --> 00:00:49.762]  I'm good.
[00:01:21.952 --> 00:01:23.275]  It's Monday, June 4th.
[00:01:23.355 --> 00:01:24.838]  It's the InfoWars Nightly News.
[00:01:24.918 --> 00:01:26.541]  I'm your host, Paul Joseph Watson.
[00:01:26.622 --> 00:01:27.483]  Coming up tonight...
[00:01:30.930 --> 00:01:41.257]  Tonight, looking back on the huge success of Occupy Bilderberg 2012, Alex Jones recaps last week's conquest in Chantilly, Virginia.
[00:01:41.617 --> 00:01:44.098]  Then, the CFR wants the U.S.
[00:01:44.279 --> 00:01:54.425]  Army to enforce domestic law, and heavily armed troops are seen patrolling residential neighborhoods and even downtown areas of major U.S.
[00:01:54.525 --> 00:01:54.905]  cities.
[00:01:55.566 --> 00:02:00.049]  All that plus more coming up next on the InfoWars Nightly News.
[00:02:10.296 --> 00:02:12.837]  Our top story on Infowars Nightly News tonight.
[00:02:12.957 --> 00:02:16.498]  Bilderberg members label protesters, quote, cockroaches.
[00:02:17.199 --> 00:02:33.605]  Once again betraying their sneering arrogance towards the American people and the First Amendment, Bilderberg members attending their annual confab in Chantilly, Virginia this past weekend, referred to protesters outside as, quote, cockroaches, according to one of the hotel employees at the Westfields Marriott.
[00:02:34.105 --> 00:02:43.023]  So basically, Charlie Skelton, of course, as you know, the London Guardian writer, he was able to grab a word with one of the staff as they were exiting the hotel complex.
[00:02:44.076 --> 00:02:44.837]  And this is the quote.
[00:02:44.877 --> 00:02:48.660]  Here's what a hotel employee told me as he drove through the gates of the hotel.
[00:02:49.080 --> 00:02:51.302]  He lowered his window and beckoned me over.
[00:02:51.442 --> 00:02:55.445]  Quote, I want to know that they call you people, cockroaches.
[00:02:55.865 --> 00:02:59.808]  I work in the hotel and they asked me if those cockroaches were still out there.
[00:03:00.108 --> 00:03:01.770]  They meant you.
[00:03:02.590 --> 00:03:06.553]  So, pot calling kettle black springs to mind again.
[00:03:07.134 --> 00:03:07.994]  These are the people.
[00:03:08.775 --> 00:03:15.477]  You know, Charlie Rose, Henry Kissinger, Tony Blair, they scuttle away as soon as anyone confronts them about Bilderberg.
[00:03:16.397 --> 00:03:21.278]  They're the ones who scatter like cockroaches when the spotlight of truth is shined on them.
[00:03:21.858 --> 00:03:33.081]  And yet, all those protesters, you know, travelled hundreds of miles, in some cases thousands of miles, great expense, standing around all day in the heat, proclaiming their right to self-determination.
[00:03:33.781 --> 00:03:36.122]  They're the cockroaches, according to Bilderberg.
[00:03:37.352 --> 00:03:42.617]  And so again, you know, it illustrates the sneering contempt with which the elite views us.
[00:03:42.997 --> 00:03:46.721]  It's not just some kind of arrogant dismissal that they don't care about us.
[00:03:47.181 --> 00:03:49.303]  It's literally blood-boiling hatred.
[00:03:49.764 --> 00:03:52.867]  Remember the other story we had a couple of days before that?
[00:03:53.868 --> 00:03:55.430]  conversation in the hotel lobby.
[00:03:55.911 --> 00:04:02.961]  Bilderberg members wishing to see all the protesters outside loaded on a plane and have it crash.
[00:04:03.421 --> 00:04:07.747]  That's literally what they were discussing outside as they were arriving for the Bilderberg meeting.
[00:04:09.215 --> 00:04:10.356]  So they, I mean, they hate it.
[00:04:10.436 --> 00:04:12.137]  They hate the resistance to the agenda.
[00:04:12.177 --> 00:04:18.020]  We had stories beforehand from our source saying they hate the fact that it's, you know, record numbers of protests.
[00:04:18.460 --> 00:04:20.822]  And again, it just shows that resistance is victory.
[00:04:21.322 --> 00:04:29.386]  These are the most powerful people on the planet and it irks the hell out of them to have 500 people stood outside bullhorning them.
[00:04:29.807 --> 00:04:32.488]  They can't stand it when people stand up to their agenda.
[00:04:32.508 --> 00:04:33.789]  They hate the resistance.
[00:04:34.827 --> 00:04:40.032]  So you've got elected politicians in there, John Kerry, Mitch Daniels.
[00:04:40.493 --> 00:04:44.096]  They're calling the very people who put them in office cockroaches.
[00:04:44.717 --> 00:04:46.919]  This is the sneering arrogance of the elite.
[00:04:46.959 --> 00:04:48.881]  Remember back in 2010 in Spain?
[00:04:49.662 --> 00:04:55.428]  Overheard conversation again where they decried the fact that protesters could even afford to travel.
[00:04:55.908 --> 00:04:59.352]  That the scum could even afford to travel to protest Bilderberg.
[00:04:59.753 --> 00:05:01.795]  That's how much they hate us.
