[00:00:05.589 --> 00:00:05.749]  I'm good.
[00:00:38.493 --> 00:00:40.074]  It's Monday, June 11, 2012.
[00:00:40.755 --> 00:00:49.980]  I'm Alex Jones, and this is yet another original, groundbreaking edition of InfoWars Nightly News.
[00:00:54.106 --> 00:01:05.913]  Tonight, Navy SEAL Chris Kyle claims in his autobiography and on national television that he once punched Jesse Ventura in a bar for insulting a fallen U.S.
[00:01:05.993 --> 00:01:06.413]  soldier.
[00:01:06.613 --> 00:01:12.817]  But multiple witnesses along with several prominent Navy SEALs affirm the incident never happened.
[00:01:13.177 --> 00:01:18.280]  And now the lawsuit against Chris Kyle over the bogus story moves to U.S.
[00:01:18.340 --> 00:01:19.101]  District Court.
[00:01:20.041 --> 00:01:31.391]  And speaking of bogus stories, another TSA study claims irradiating body scanners are safe, despite cancer warnings from experts and no independent testing allowed.
[00:01:31.711 --> 00:01:42.940]  Then, a major escalation in the battle over Fast and Furious, as the House of Representatives moves forward with proceedings to hold Attorney General Eric Holder in contempt.
[00:01:43.281 --> 00:01:46.704]  Plus, John Rappaport from No More Fake News joins Alex
[00:01:48.765 --> 00:01:54.349]  If I were Ron Paul, like I said before, I would do a mea culpa.
[00:01:54.790 --> 00:01:56.651]  I would say, I'm wrong.
[00:01:57.392 --> 00:02:00.774]  I was wrong, I am wrong, and I'm going to fix it.
[00:02:01.114 --> 00:02:03.977]  That's up next on the InfoWars Nightly News.
[00:02:13.806 --> 00:02:15.267]  Again, thank you for joining us tonight.
[00:02:15.307 --> 00:02:17.749]  We've got a huge transmission lined up for you.
[00:02:18.350 --> 00:02:31.061]  InfoWars' own Patrick Henningsen is going to interview William F. Engdahl at the Financial Terrorism Conference in London, and then John Rappaport on the polls going mainstream.
[00:02:31.701 --> 00:02:35.064]  Mainstream Republicans, the big backlash to that.
[00:02:35.645 --> 00:02:38.107]  We're going to be breaking it down in detail, but first off,
[00:02:39.226 --> 00:02:40.207]  You love him, you hate him.
[00:02:40.567 --> 00:02:42.708]  There's no doubt he is a maverick.
[00:02:42.748 --> 00:02:43.969]  The book is out today.
[00:02:44.409 --> 00:02:45.950]  We're interviewing him tomorrow.
[00:02:46.050 --> 00:02:47.051]  Jesse Ventura.
[00:02:48.140 --> 00:02:54.226]  Democrips and Reblublicans, and it says no more gangs in government.
[00:02:54.646 --> 00:02:57.369]  The system knows that Jesse Ventura cannot be bought.
[00:02:57.949 --> 00:03:07.097]  That's why News Corp, through their publisher, put out a book early this year saying that Jesse Ventura said that he's glad US troops are dying.
[00:03:07.438 --> 00:03:09.299]  I know him personally, something he'd never say.
[00:03:10.521 --> 00:03:13.503]  And, in fact, he says he hates the wars because our troops get killed in them.
[00:03:14.640 --> 00:03:18.864]  And that a Navy SEAL, Mr. Kyle, punched him out.
[00:03:19.164 --> 00:03:23.448]  Well, Ventura filed suit a few months ago and actually faced the guy in court.
[00:03:24.269 --> 00:03:26.311]  And the lawsuit is going ahead.
[00:03:26.331 --> 00:03:29.494]  They were in court on June 4th last week.
[00:03:29.554 --> 00:03:31.916]  Jesse Ventura will give us the details next week.
[00:03:31.956 --> 00:03:35.699]  But Kyle's in a lot of trouble, according to Ventura, because
[00:03:36.400 --> 00:03:38.622]  He's got the owner of the bar, Ventura does.
[00:03:38.662 --> 00:03:41.884]  He also has his former Navy SEAL trainer who lives in the area.
[00:03:42.225 --> 00:03:47.509]  They all checked into it, found out it was not true, according to the owner of the bar and others.
[00:03:47.649 --> 00:03:48.309]  Yeah, no kidding.
[00:03:48.349 --> 00:03:51.091]  It'd be big news if Jesse Ventura got punched out.
[00:03:51.972 --> 00:03:55.154]  And this was all a big lie, according to them, to sell books.
[00:03:55.634 --> 00:03:59.876]  Gee, it's coming out of Rupert Murdoch, you know, breaking this news and publishing the book.
[00:04:01.157 --> 00:04:03.018]  And so it's all going to go to court now.
[00:04:03.058 --> 00:04:05.539]  I mean, they've already gone to court, but now it's going forward.
[00:04:06.079 --> 00:04:08.440]  And Jesse Ventura has his witnesses.
[00:04:08.941 --> 00:04:11.962]  When I first called Ventura with this, he just got into Mexico when they announced it.
[00:04:12.523 --> 00:04:14.363]  He said, Alex, you know, you're joking.
[00:04:14.444 --> 00:04:14.704]  Come on.
[00:04:15.464 --> 00:04:16.386]  Don't sit here and play games.
[00:04:16.826 --> 00:04:18.369]  And I said, look, have I ever called you joking?
[00:04:19.070 --> 00:04:21.514]  This is the type of garbage we're talking about.
[00:04:21.894 --> 00:04:24.258]  And then Ventura said, my God, does somebody look like me?
[00:04:24.298 --> 00:04:25.119]  This is bizarre.
[00:04:26.294 --> 00:04:31.975]  This is the type of dirty tricks the system engages in against mavericks like Jesse Ventura.
[00:04:31.995 --> 00:04:32.835]  His new book is out.
[00:04:33.395 --> 00:04:34.416]  It supports the broadcast.
[00:04:34.476 --> 00:04:43.838]  If you purchase it, it's available at InfoWars.com along with ProPure discounted, the LifeStraw and other key preparedness items at InfoWars.com.
[00:04:44.198 --> 00:04:47.238]  And again, your support of the transmission makes it all possible.
[00:04:47.658 --> 00:04:49.499]  I've been so busy covering Bilderberg and
[00:04:50.379 --> 00:04:55.361]  Doing all this, I haven't even been plugging all the books, videos, t-shirts, products we sell that fund this operation.
[00:04:55.721 --> 00:05:02.564]  Also, one prisonplanet.tv membership is $5.95 a month, and it's six memberships.
[00:05:02.664 --> 00:05:11.608]  Six people can log on with the same username and passcode, and that enables us to get out and tell you the truth about what's happening in this country and worldwide.
[00:05:11.968 --> 00:05:15.869]  So try out the free 15-day free trial at prisonplanet.tv.
