[00:00:00.209 --> 00:00:01.229]  Mainstream media.
[00:00:01.970 --> 00:00:03.070]  Government cover-ups.
[00:00:03.730 --> 00:00:04.531]  You want answers?
[00:00:05.311 --> 00:00:06.211]  Well, so does he.
[00:00:06.872 --> 00:00:10.533]  He's Alex Jones on the GCN Radio Network.
[00:00:11.053 --> 00:00:15.115]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.008 --> 00:00:33.181]  Oh, no!
[00:00:36.769 --> 00:00:38.150]  Well, here we are, my friends.
[00:00:38.290 --> 00:00:39.511]  It is Tuesday.
[00:00:39.671 --> 00:00:49.899]  It is the 28th day of February, 2012, and we are going to be live here for the next three hours.
[00:00:50.439 --> 00:00:59.026]  Aaron Dykes will be sitting in with Cindy Sheehan, who's being persecuted for not paying money to the private Federal Reserve that occupies the United States.
[00:00:59.126 --> 00:01:04.990]  We're doing a test here, doing the show as we roll down the road in the bus while it's on.
[00:01:06.392 --> 00:01:11.397]  Because if we pull over and go to backup power for some reason, the power supplies beep the entire time.
[00:01:11.938 --> 00:01:14.381]  So if you hear a rumble there in the background, this is just the way it is.
[00:01:14.421 --> 00:01:16.643]  We'll probably get Aaron Dykes to come in here and do the whole show.
[00:01:18.285 --> 00:01:25.574]  Now, continuing, ladies and gentlemen, I have a particularly powerful and important broadcast lined up for you today of the greatest import.
[00:01:27.103 --> 00:01:37.370]  And there is a great culture of denial out there with people not aware of what's going on or just how serious this society's peril is.
[00:01:39.571 --> 00:01:52.160]  And I look at the stories and info... Now I look at the guests we have on and... You guys are feeding me back my audio.
[00:01:57.938 --> 00:01:58.358]  All right.
[00:02:01.420 --> 00:02:04.761]  Well, we are beta testing the road trip situation here, and it's good.
[00:02:04.861 --> 00:02:08.403]  It's kind of like NASA, like testing rockets the first time they go to the moon.
[00:02:08.423 --> 00:02:10.103]  It's like, this is the first time we've done this.
[00:02:10.584 --> 00:02:11.924]  We're not even testing this rocket.
[00:02:11.944 --> 00:02:15.886]  We're going to put the guys in the capsule, blast off, have it blow up on the tarmac.
[00:02:16.486 --> 00:02:17.307]  That's how we do it.
[00:02:17.887 --> 00:02:24.470]  That's part of the secret gladiatorial enjoyment of the emperors back there at the office, torturing the daylights out of me daily.
[00:02:28.422 --> 00:02:28.762]  I don't know.
[00:02:30.063 --> 00:02:31.143]  Back to what I was saying.
[00:02:31.523 --> 00:02:33.444]  I'll compose myself and go to break here.
[00:02:33.704 --> 00:02:39.027]  And Richard, I think we should just go with the generator off and let the incessant beeping happen in the background.
[00:02:40.007 --> 00:02:41.708]  Better than this here on air.
[00:02:41.748 --> 00:02:45.309]  And since I won't have time to discuss this during the break, there won't even be a discussion during the break.
[00:02:46.090 --> 00:02:47.130]  Let's talk to the hand.
[00:02:47.370 --> 00:02:49.131]  I might as well just go ahead and have the discussion here.
[00:02:50.411 --> 00:02:50.692]  On air.
[00:02:50.712 --> 00:02:53.753]  Because that way everybody actually gets to hear me talk.
[00:02:54.773 --> 00:02:55.814]  But again,
[00:02:57.625 --> 00:03:14.101]  Because the TSA tries to grab my genitals, which I'm supposed to accept as a sacrament of being a land of the coward, home of the slave, I did the road trip and it was a spectacular success in Dallas and in Orlando, both were capacity crowds.
