[00:00:01.410 --> 00:00:02.570]  We've got it.
[00:00:02.690 --> 00:00:08.173]  This transmission is coming to you.
[00:00:08.553 --> 00:00:12.636]  Waging war on corruption.
[00:00:12.896 --> 00:00:18.519]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:29.534 --> 00:00:38.496]  And we are indeed live, ladies and gentlemen, on this Sunday edition, August 5th, and we've got Alex Jones coming up on the other segment.
[00:00:38.596 --> 00:00:41.396]  I'm Aaron Dykes, a longtime InfoWars researcher.
[00:00:41.416 --> 00:00:46.057]  I'm joined in studio by Rob Dew, News Director of the InfoWars Nightly News.
[00:00:46.437 --> 00:00:53.699]  We are wallowing in news about how the West is backing Syria, how we are backing al-Qaeda in the effort to topple Assad.
[00:00:54.139 --> 00:01:00.788]  Meanwhile, they are making bigger and bigger moves every day, every week, to take our remaining liberties here at home.
[00:01:01.088 --> 00:01:08.518]  We've got another shooting, this time in Wisconsin, at a Sikh temple, and you better believe they're going to use it to try to curb our gun rights.
[00:01:09.019 --> 00:01:19.161]  Then, in Texas, they're saying there's a new IED threat, and they have to merge the military and police so that they can find these improvised explosive devices.
[00:01:19.241 --> 00:01:31.744]  All the things that happened in Iraq, they say, are coming home to Texas because of drug cartels and so-called domestic extremists that are really just patriots trying to tell Homeland Security and everybody else to back off.
[00:01:32.344 --> 00:01:33.465]  This is Still America.
[00:01:33.745 --> 00:01:36.307]  We're going to get into all those issues later in the program.
[00:01:36.327 --> 00:01:38.469]  We have Max Keiser with Alex Jones.
[00:01:38.489 --> 00:01:51.780]  They're going to break down similar things from the occupied corporate takeover of this country and the whole globe as they transfer water rights, as they try to jam through carbon credits, as they try to just take over ordinary lives.
[00:01:51.900 --> 00:01:58.406]  As you well know from the news in the past couple years, you can't even grow a garden without expecting interference from the federal government.
[00:01:58.766 --> 00:02:00.707]  And from all kinds of gun grabbers.
[00:02:01.067 --> 00:02:02.488]  Rob Dew, you're sitting next to me.
[00:02:02.548 --> 00:02:04.168]  We're just looking over this news.
[00:02:04.508 --> 00:02:08.410]  What do you see going on with this shooting where they say seven are now dead?
[00:02:08.770 --> 00:02:13.412]  Well, it looks like he was taken out by one officer who arrived at the scene.
[00:02:13.432 --> 00:02:15.333]  That's what it's saying so far.
[00:02:16.293 --> 00:02:21.876]  Another thing in here is that the officer was shot several times and taken to the hospitals and expected to survive.
[00:02:22.256 --> 00:02:23.917]  And so interesting stuff.
[00:02:23.977 --> 00:02:26.678]  They found four people inside dead, two outside.
[00:02:27.358 --> 00:02:35.920]  And then of course, you know, officers with assault rifles surrounded the building to keep everyone safe after the gunman had been taken care of, when that's usually the case.
[00:02:36.381 --> 00:02:48.304]  Oh, I can't wait to see what happens when the real story comes out, because we already know so much about the Colorado Batman massacre, how much that doesn't add up, how they refuse to address the questions about the other shooters.
[00:02:48.905 --> 00:02:49.906]  Who let him in the door?
[00:02:49.986 --> 00:02:51.528]  What was up with the other gas masks?
[00:02:51.869 --> 00:02:53.351]  And all the other things that don't fit.
[00:02:53.391 --> 00:02:56.835]  They just want to talk about how to curb guns, curb our liberties.
[00:02:57.176 --> 00:03:05.287]  And now they're saying that's one of the reasons we have to join forces between the military and police to find IEDs because this guy had some explosives.
[00:03:05.507 --> 00:03:10.170]  And have more drones in the sky so they can track people and spy on them without anybody knowing.
[00:03:10.330 --> 00:03:10.970]  That's what's coming.
[00:03:11.070 --> 00:03:16.233]  You have these two main things, this IED thing that just started last week coming into the news.
[00:03:16.673 --> 00:03:23.697]  And then we see that the FBI, once again, has broken up another vicious Aryan motorcycle gang.
[00:03:23.717 --> 00:03:28.580]  And this time it just happened to have three undercover FBI agents in it, all of whom were explosives experts.
[00:03:28.940 --> 00:03:39.487]  Every time, it's an FBI undercover agent, but now it's no longer Al-Qaeda all the time, it's motorcycle gangs, it's regular Americans, it's people who want to own guns, right?
[00:03:39.967 --> 00:03:42.529]  It's diluting the field, essentially.
[00:03:42.649 --> 00:03:43.890]  Anybody can be a terrorist.
[00:03:44.010 --> 00:03:53.255]  Anybody who doesn't fit in the clean-cut, white-bread realm of, yes sir, I'll do whatever the homeland says, if you're not falling right in line, well, you could be a terrorist.
[00:03:53.275 --> 00:03:55.077]  You start speaking out like that, you never know.
[00:03:55.737 --> 00:04:00.820]  Well, you know, this is Alice in Wonderland through the looking glass, because everyone's a terrorist except actual Al-Qaeda.
[00:04:00.880 --> 00:04:05.943]  Those are our allies, whether in Libya, whether in Syria, whether to oppose Russia.
[00:04:06.083 --> 00:04:12.467]  And now there's all these news articles about how accidentally Al-Qaeda showed up when they were put there by the Pentagon folks.
[00:04:12.847 --> 00:04:16.369]  And now the Muslim Brotherhood has their own militia inside Syria.
[00:04:16.809 --> 00:04:41.689]  We will get into all that, but as I mentioned, Alex Jones is joining us on the other side of this break, on this live Sunday edition, and he's going to break down the latest moves to move us further along down the road to martial law, this whole merging of military and police, because non-existent IEDs are going to get us from everywhere as they fuel the drug gangs, as they launder their money on Wall Street, as they invite them into the country to have a destruction party.
[00:04:42.029 --> 00:04:43.510]  All that's coming up on the other side.
[00:04:43.550 --> 00:04:45.271]  This is InfoWars.com.
[00:04:45.331 --> 00:04:45.912]  Stay tuned.
[00:04:46.092 --> 00:04:47.822]  Big live Sunday broadcast.
[00:04:48.385 --> 00:04:49.772]  We'll be back on the other side.
[00:05:00.421 --> 00:05:01.681]  Hi, this is Alex Jones.
[00:05:01.721 --> 00:05:07.063]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:05:07.303 --> 00:05:11.925]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:05:12.325 --> 00:05:17.347]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:05:17.887 --> 00:05:22.590]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:05:23.111 --> 00:05:25.052]  They call it a Survival Seed Bank.
[00:05:25.432 --> 00:05:30.035]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:05:30.235 --> 00:05:31.136]  And here's the best part.
[00:05:31.356 --> 00:05:34.118]  These seeds have not been genetically modified in any way.
[00:05:34.418 --> 00:05:37.720]  And you actually get enough seeds to plant a full acre crisis garden.
[00:05:38.040 --> 00:05:40.882]  So visit them today at survivalseedbank.com.
[00:05:41.243 --> 00:05:43.124]  That's survivalseedbank.com.
[00:05:43.464 --> 00:05:44.385]  Or give them a call at 877-327-0365.
[00:05:48.007 --> 00:05:51.710]  That's 877-327-0365.
[00:05:52.251 --> 00:05:56.774]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
