[00:00:00.009 --> 00:00:02.070]  Alex Jones Broadcasting Network.
[00:00:09.513 --> 00:00:11.654]  Waging war on corruption.
[00:00:13.894 --> 00:00:19.497]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:33.154 --> 00:00:42.207]  Welcome my friends welcome and thank you so much for joining us on this live Sunday the
[00:00:46.187 --> 00:00:47.729]  15th day of January 2012.
[00:00:47.829 --> 00:01:06.385]  We're going to be live here for the next two hours and what I'm going to do today is something to shake the show up a bit, not because the show isn't exploding by leaps and bounds and breaking all previous records, but I still don't want to become stagnant here.
[00:01:06.405 --> 00:01:08.727]  I want to open the phones up.
[00:01:11.328 --> 00:01:22.296]  At about 20 after or so today, and take phone calls pretty much in the first hour, and then get into more of the news in the second hour.
[00:01:22.917 --> 00:01:25.799]  And so without further ado, I'm going to give the phone number out right now.
[00:01:25.839 --> 00:01:28.761]  You guys got the phone system open and ready to roll?
[00:01:28.841 --> 00:01:29.902]  Fantastic.
[00:01:31.423 --> 00:01:38.869]  On any issue you want to mention, the Iran situation, European countries losing their debt credit rating.
[00:01:40.419 --> 00:01:42.760]  IBM announcing the cashless society.
[00:01:42.880 --> 00:01:44.321]  Retina scanning to buy and sell.
[00:01:44.881 --> 00:01:49.523]  Bev Harris has got big news on potential election fraud going on.
[00:01:49.604 --> 00:01:52.205]  Ron Paul surging.
[00:01:54.906 --> 00:01:57.948]  That's just some of the news we've got coming up today.
[00:01:58.528 --> 00:02:08.433]  Also, I want to get into the fact that Stephen Colbert is talking about running for president to kind of make things a joke he's putting out.
[00:02:09.464 --> 00:02:11.425]  Political ads making fun of Romney.
[00:02:12.826 --> 00:02:15.228]  And really it makes all this criminality a joke.
[00:02:15.348 --> 00:02:18.890]  But that's what they do, quote, as comedy people.
[00:02:19.410 --> 00:02:28.696]  But a lot of times they can tell more truth as comics than the bought-and-paid-for globalist ABC, NBC, CBS, Fox, CNN can do.
