[00:00:00.009 --> 00:00:01.980]  Visit GCNLive.com today!
[00:00:09.042 --> 00:00:13.224]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:13.865 --> 00:00:14.685]  You want answers?
[00:00:15.466 --> 00:00:16.326]  Well, so does he.
[00:00:17.006 --> 00:00:20.608]  He's Alex Jones on the GCN Radio Network.
[00:00:21.189 --> 00:00:25.271]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.206 --> 00:00:50.530]  Well, my friends, we've got an incredibly just jam-packed transmission today, as we always do.
[00:00:51.391 --> 00:00:52.311]  Thank you for joining us.
[00:00:53.572 --> 00:01:05.318]  It is now the 31st of July, 2012, and we're going to be here for the next three hours.
[00:01:05.979 --> 00:01:11.462]  I wanted to give everybody an update on Jesse Ventura's television show.
[00:01:12.694 --> 00:01:17.736]  And so his son Tyrell Ventura is going to pop in for about 25 minutes at the bottom of the next hour or the start of the next hour.
[00:01:17.756 --> 00:01:22.217]  And then we're going to look at these studies that have come out.
[00:01:22.257 --> 00:01:31.080]  A new big Harvard study just came out a few days ago that we mentioned yesterday about what fluoride is doing to children's brains.
[00:01:31.700 --> 00:01:33.421]  Massive IQ reduction.
[00:01:34.581 --> 00:01:40.863]  And then Fritz Springmeier is going to be in with us coming up in the third hour today in studio.
[00:01:42.639 --> 00:01:46.501]  And I've met Fritz a few times when he visited Austin more than a decade ago.
[00:01:46.521 --> 00:01:48.822]  I guess the first time about 15 years ago.
[00:01:48.842 --> 00:01:55.405]  And he is here in Texas visiting his father.
[00:01:56.326 --> 00:02:00.427]  And so he's going to be in studio with us and he's also going to be in studio on the Nightly News tonight.
[00:02:00.968 --> 00:02:05.070]  I'm going to interview one person in studio and one person via Skype tonight.
[00:02:05.470 --> 00:02:07.411]  Another extended info or Nightly News.
[00:02:08.511 --> 00:02:11.733]  Most days I get in here and I am absolutely wound up.
[00:02:12.728 --> 00:02:14.429]  Angry at the news, ready to cover it all.
[00:02:14.849 --> 00:02:19.050]  And I am today as well, but things are getting so overwhelming.
[00:02:19.130 --> 00:02:24.952]  I know a lot of people just punch out and say, I can't handle it anymore because it's getting so crazy.
[00:02:26.512 --> 00:02:34.135]  And I have reached total information overload at this point, but I am going to do my best
[00:02:35.328 --> 00:02:44.771]  Uh, to go through a lot of this news today, not only in this hour, but also in the, uh, hours that we have guests on with us.
[00:02:46.412 --> 00:02:55.934]  That said, I want to open the phones up for first-time callers to specifically talk about, I mean, I'd like to get your take on this.
[00:02:55.975 --> 00:02:59.135]  You can add some other point if you like, but I'd like to get your take.
[00:02:59.155 --> 00:03:00.396]  I'd like to hear what you have to say.
[00:03:02.130 --> 00:03:13.955]  About the fact that those of us that fight this New World Order, we've been awake so long, I'm talking about most of our listeners, that we've just gotten comfortable with it.
[00:03:14.075 --> 00:03:18.516]  Even though it's horrific, it's horrible, we tend to get acclimated to it.
[00:03:21.017 --> 00:03:21.838]  And what am I getting at?
[00:03:22.738 --> 00:03:24.979]  All over the country, police and military,
[00:03:28.453 --> 00:03:31.814]  Are being told, get ready for total collapse in October.
[00:03:32.714 --> 00:03:36.215]  I could open the phones up right now and have police and military call it and say, yes, we've been told that.
[00:03:37.055 --> 00:03:43.496]  It's in the news, they're preparing riot gear for civil unrest and brigades for every major city.
[00:03:43.516 --> 00:03:45.117]  I mean, that's all being announced as well.
[00:03:45.657 --> 00:03:48.397]  I'm not saying that's going to happen in October or November.
[00:03:48.977 --> 00:03:51.478]  The point is they're telling police it will happen.
[00:03:54.039 --> 00:03:59.841]  You've heard him here on the show, but you've also seen about 95% of that admitted in the mainstream media.
[00:04:00.141 --> 00:04:11.124]  I mean, most of this is now admitted now, and they're saying, oh, it's a financial collapse, more banks are going to go under, QE3, war with Iran, war with Syria, war with Russia.
[00:04:12.164 --> 00:04:19.666]  This is one of those times that we're now building up to, where all the frantic craziness that we've seen so far,
[00:04:22.389 --> 00:04:29.898]  Has just been the birthing pains or you know you think of big storms hit you because your trees are blowing and stuff and then the actual hurricane hits you?
[00:04:30.218 --> 00:04:30.939]  You ever been in a hurricane?
[00:04:30.959 --> 00:04:42.112]  I've been in a couple and trees are breaking and you hear a window blow out and there's water coming into the... Yeah, that's that's kind of the point we're reaching here and
[00:04:44.591 --> 00:04:49.156]  I just don't know what the general public's going to do if all this continues forward.
[00:04:49.176 --> 00:04:51.840]  I mean, they have no idea what this country's going to look like.
[00:04:51.860 --> 00:04:55.444]  I mean, the globalists plan to finally break this country's back.
[00:04:56.385 --> 00:04:58.648]  And they want to use wars to do it.
[00:04:59.308 --> 00:05:02.072]  We're going to break it all down and take your calls and cover the news straight ahead.
[00:05:06.260 --> 00:05:09.861]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:05:10.221 --> 00:05:18.323]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:05:19.083 --> 00:05:23.104]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:05:23.704 --> 00:05:34.506]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:05:35.146 --> 00:05:44.154]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:05:44.675 --> 00:05:49.719]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:05:50.100 --> 00:05:57.266]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:05:57.586 --> 00:06:00.349]  That's www.SilverLungs.com.
[00:06:04.227 --> 00:06:09.470]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:06:09.710 --> 00:06:11.911]  Start purifying your water with ProPure.
[00:06:12.131 --> 00:06:21.055]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:06:21.235 --> 00:06:24.417]  Its filters are silver impregnated to prevent bacterial growth.
[00:06:24.677 --> 00:06:26.118]  There's no priming required.
[00:06:26.358 --> 00:06:28.399]  It's NSF 42 certified.
[00:06:28.639 --> 00:06:30.640]  Optional fluoride filters can reduce fluoride
[00:06:30.680 --> 00:06:31.160]  We're good to go.
[00:07:00.555 --> 00:07:00.595]  888-253-3139
[00:07:21.474 --> 00:07:26.177]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:07:26.698 --> 00:07:28.639]  They call it a Survival Seed Bank.
[00:07:29.019 --> 00:07:33.622]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:07:33.822 --> 00:07:34.723]  And here's the best part.
[00:07:34.943 --> 00:07:37.705]  These seeds have not been genetically modified in any way.
[00:07:38.005 --> 00:07:41.307]  And you actually get enough seeds to plant a full acre crisis garden.
[00:07:41.628 --> 00:07:44.469]  So visit them today at SurvivalSeedBank.com.
[00:07:44.810 --> 00:07:46.711]  That's SurvivalSeedBank.com.
[00:07:47.051 --> 00:07:47.972]  Or give them a call at 877-327-0365.
[00:07:51.594 --> 00:07:55.298]  That's 877-327-0365.
[00:07:55.838 --> 00:08:00.342]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:08:00.663 --> 00:08:03.045]  This is Alex Jones for survivalseedbank.com.
[00:08:09.261 --> 00:08:13.444]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:14.105 --> 00:08:14.906]  You want answers?
[00:08:15.686 --> 00:08:16.547]  Well, so does he.
[00:08:17.248 --> 00:08:20.851]  He's Alex Jones on the GCN Radio Network.
[00:08:21.431 --> 00:08:25.495]  And now, live from Austin, Texas, Alex Jones.
[00:08:33.928 --> 00:08:38.252]  Alright, I want to make a general announcement here at the start of this hour.
[00:08:38.272 --> 00:08:48.682]  And then I want to just open the phones up and take your calls and I will intersperse the incredible news we're going to be breaking down and covering throughout the next three hours.
[00:08:49.363 --> 00:08:53.827]  We've got Tyrell Ventura joining us to give us the latest on Jesse Ventura's TV show that's been censored.
[00:08:54.568 --> 00:08:55.289]  And a lot more.
[00:08:55.309 --> 00:08:57.670]  He's got some breaking news for us on that front.
[00:08:57.710 --> 00:08:59.771]  We're going to have Fritz Springmeier in studio.
[00:09:00.232 --> 00:09:02.993]  We're also going to have a doctor on to talk about this new report.
[00:09:03.393 --> 00:09:05.014]  Guys, will you re-pull that from yesterday?
[00:09:05.715 --> 00:09:14.680]  Harvard looked at more than a dozen major recent studies in the U.S., including that sodium fluoride and its derivatives in the water massively is reducing IQ.
[00:09:18.463 --> 00:09:20.704]  And that was known in the 20s.
[00:09:20.744 --> 00:09:22.645]  That's why they put it in the water in the Soviet Union.
[00:09:22.685 --> 00:09:23.666]  But we're going to be looking at that.
[00:09:24.739 --> 00:09:27.181]  And several other big issues.
[00:09:27.962 --> 00:09:33.866]  Now, this is the big enchilada that I want to discuss here today.
[00:09:38.490 --> 00:09:46.116]  The big issue facing us is the fact that the form of government we're living under
[00:09:47.142 --> 00:09:51.386]  The information we cover on this show is an absolute known admitted fact.
[00:10:08.638 --> 00:10:14.003]  Within the actual superclass, 6,000 globalists serving less than 20 families.
[00:10:14.584 --> 00:10:15.625]  And that's in their own words.
[00:10:15.945 --> 00:10:21.651]  The head of the Kissinger Group, who's been on the show, Rothkopf, I concur with his analysis.
[00:10:22.091 --> 00:10:23.653]  From the outside, he's on the inside.
[00:10:23.673 --> 00:10:31.421]  6,000 global super gophers serving less than 20 families, who are now mopping up the last few sovereign nations.
[00:10:34.107 --> 00:10:35.248]  They are eugenicists.
[00:10:35.908 --> 00:10:37.329]  They believe the family is bad.
[00:10:37.349 --> 00:10:38.930]  They believe sovereignty is bad.
[00:10:39.330 --> 00:10:43.393]  They believe anyone basically being able to tie their shoelaces is bad.
[00:10:43.453 --> 00:10:44.434]  They want you dead.
[00:10:45.373 --> 00:11:06.899]  But to do that, they've got to soft kill you and poison you, so you're confused and mentally retarded and addled, so that when they start the real mass exterminations, no one figures it out, and that people go ahead and follow the orders, including the security forces that are protecting them during the mass culling process.
[00:11:08.079 --> 00:11:15.906]  And then, of course, the globalists, you'll notice these facilities, those of you that are inside of them, will then retreat to an inner redoubt and kill you.
[00:11:15.926 --> 00:11:28.036]  I know you won't listen now, but later down the road, if we can't stop them, and you get to that point, you're in the redoubt, and you notice the setup, you're gonna be selected because you follow orders.
[00:11:28.496 --> 00:11:31.198]  So I guess, actually, we won't be able to beat it at that point.
[00:11:31.238 --> 00:11:31.599]  You'll have to...
[00:11:32.299 --> 00:11:34.181]  I guess people that would be selected to be minions.
[00:11:34.461 --> 00:11:35.723]  Plus, most of it will be robot.
[00:11:36.423 --> 00:11:42.490]  I mean, that's really when they're going to launch the mass extermination, is once they've got the robot ground forces in place.
[00:11:43.291 --> 00:11:53.021]  The Skynet Force, which is a Pentagon term before they made a Terminator movie in the 80s, that's not... The Pentagon isn't imitating movies.
[00:11:53.101 --> 00:11:54.583]  Movies are imitating the Pentagon.
[00:11:55.626 --> 00:12:04.830]  There was a whole fleet of robot space planes in orbit by the late 1970s with DU Shabo rounds in a meteor gun type technology.
[00:12:04.870 --> 00:12:07.211]  Oh, that gets the NSA going right there, let me tell you.
[00:12:08.444 --> 00:12:11.205]  But I will continue on with the information.
[00:12:12.026 --> 00:12:30.696]  Imagine power-mad elites who are social Darwinists, who have this vision of a world without the ugly masses, as they see us, who want to establish a world government to get control of the finances, to implode the economies in increments, while posing as the saviors the entire time.
[00:12:31.596 --> 00:12:42.623]  Getting the world population in the position of no sovereign nations to resist, no families to resist, no culture to resist, show the mass murder can begin in earnest.
[00:12:44.464 --> 00:12:46.005]  You see, I've got all this news.
[00:12:46.406 --> 00:12:47.006]  Look at me here.
[00:12:47.046 --> 00:12:49.788]  I've got probably 300 articles in front of me today.
[00:12:50.128 --> 00:12:52.990]  It's totally insane, each one more crazy than the next.
[00:12:53.530 --> 00:12:55.952]  But what is the point in covering any of this?
[00:12:58.093 --> 00:13:00.155]  What is the point in covering any of this?
