[00:00:21.391 --> 00:00:23.374]  Welcome to InfoWars Nightly News.
[00:00:23.454 --> 00:00:24.996]  My name is David Ortiz.
[00:00:25.376 --> 00:00:30.383]  It's September the 11th of 2012, and here's what we have in store for you tonight.
[00:00:33.612 --> 00:00:46.164]  Tonight, on the special 9-11 anniversary edition of the Info Wars Nightly News, Alex Jones breaks down the smoking gun evidence that 9-11 was an inside job.
[00:00:46.744 --> 00:00:56.053]  Plus, proof that toxic Ground Zero dust caused up to 50 types of cancer will finally force the government to compensate victims.
[00:00:56.573 --> 00:01:02.158]  Then, Defense Secretary Leon Panetta threatens Iran with war, as U.S.
[00:01:02.218 --> 00:01:07.563]  intelligence claims Iran is one step closer to building the bomb.
[00:01:08.143 --> 00:01:19.193]  And Linda West hits the streets to find out how Americans feel about losing their freedom to the ever-expanding TSA Gestapo in a post-9-11 America.
[00:01:19.654 --> 00:01:23.017]  That's coming up on the InfoWars Nightly News.
[00:01:31.266 --> 00:01:31.786]  Good evening.
[00:01:32.227 --> 00:01:36.670]  Well, today is the 11th year anniversary of the tragic 9-11 attacks.
[00:01:37.110 --> 00:01:43.255]  President Obama honored the occasion by observing a moment of silence with his wife in Washington.
[00:01:44.095 --> 00:01:51.421]  Presidential contender Mitt Romney also observed the occasion by having a moment of silence in Chicago.
[00:01:53.021 --> 00:02:01.423]  Paul Craig Roberts today recently posted an article on Infowars.com that talked about his view on the tragedy.
[00:02:02.104 --> 00:02:07.265]  Now, for those who don't know, Paul Craig Roberts is a high-ranking official in the Reagan Department.
[00:02:07.285 --> 00:02:12.827]  He was a high-ranking official in the Reagan Department, and he feels that there are two tales to be told.
[00:02:13.047 --> 00:02:17.488]  One is what the government is telling you, and the other is what really happened.
[00:02:17.528 --> 00:02:21.289]  Here's what Mr. Roberts has to say as far as the government's take on it.
[00:02:22.381 --> 00:02:42.772]  According to the government, according to Mr. Roberts, a handful of Arabs, mainly Saudi Arabians, operating independently of any government and competent intelligence service, men without James Bond and V for Vendetta capabilities, outwitted not only the CIA, FBI and National Security Agency, but all 16 U.S.
[00:02:42.872 --> 00:02:50.576]  intelligence agencies, along with all security agencies of America's NATO allies and Israel's Mossad.
[00:02:51.636 --> 00:02:54.359]  So that's one tale that the government is telling us.
[00:02:54.600 --> 00:02:58.644]  Obviously, it doesn't make much sense, but that's what they're force-feeding to the public.
[00:02:59.225 --> 00:03:06.634]  And according to Mr. Roberts, it obviously doesn't make much sense, but here's what he says, and his estimation is really happening.
[00:03:07.606 --> 00:03:09.627]  The humiliating failure of U.S.
[00:03:09.728 --> 00:03:24.117]  national security did not result in immediate demands from the President of the United States, from Congress, from the Joint Chiefs of Staff, and from the media for an investigation of how such improbable total failure could have occurred.
[00:03:24.758 --> 00:03:29.601]  No one was held accountable for the greatest failure of national security in world history.
[00:03:31.272 --> 00:03:46.868]  Instead, the White House dragged its feet for a year resisting any investigation until the persistent demands from 9-11 families for accountability forced President George W. Bush to appoint a political commission devoid of any experts to hold a pretend investigation.
[00:03:48.880 --> 00:04:04.586]  And obviously the 9-11 Commission was created, but one member of the Commission left, calling the whole spectacle a farce, and Co-Chairman Tom Kaine stated that he was quite dissatisfied with the relationship he had with the federal government during that time.
[00:04:05.086 --> 00:04:10.968]  According to Mr. Kaine, he was not being given as much information as he would have liked.
[00:04:11.568 --> 00:04:21.995]  Now, if you hold on tight, in a couple of minutes we're going to have a new segment featuring Alex, where he's going to talk a little bit about his take on what really occurred on 9-11.
[00:04:22.395 --> 00:04:30.961]  Obviously, Alex feels 9-11 was an inside job, but he's going to talk about his latest feelings about the tragedy that occurred.
[00:04:31.021 --> 00:04:32.502]  So, hold on tight for that.
[00:04:32.542 --> 00:04:34.123]  That's going to be power-packed.
[00:04:35.660 --> 00:04:46.167]  In other news, the 9-11 World Trade Center Health Program adds 50 types of cancer, according to the National Institute for Occupational Safety.
[00:04:47.288 --> 00:04:58.415]  They've added about 50 types of cancer to the list of September 11th World Trade Center-related illnesses that will be covered by a program to pay for health coverage.
[00:04:58.836 --> 00:05:05.340]  So obviously, the federal government is now admitting that maybe if you were a first responder and you went down there,
[00:05:05.920 --> 00:05:12.405]  If you were coughing up a lung, maybe it was in fact due to the toxins that were in the air.
[00:05:12.866 --> 00:05:20.211]  For a long time they were denying that you can get sick if you were down at ground zero.
[00:05:20.672 --> 00:05:24.355]  Here's what former EPA Director Christy Todd Whitman had to say.
[00:05:24.955 --> 00:05:26.476]  You know asbestos was in there.
[00:05:26.496 --> 00:05:27.377]  It's in those buildings.
[00:05:27.417 --> 00:05:28.457]  Lead is in those buildings.
[00:05:28.877 --> 00:05:31.139]  There are the VOCs.
[00:05:31.279 --> 00:05:36.802]  However, the concentrations are such that they don't pose a health hazard.
[00:05:37.142 --> 00:05:38.443]  We're gonna make sure everybody's safe.
[00:05:41.145 --> 00:05:41.725]  So there you go.
[00:05:41.785 --> 00:05:45.147]  Christy Todd Whitman saying everything is just dandy.
[00:05:45.627 --> 00:05:47.288]  Well, everything was not just dandy.
[00:05:47.308 --> 00:05:50.010]  Let me tell you what's actually in that smoke.
[00:05:50.750 --> 00:05:51.691]  According to reports,
[00:05:52.575 --> 00:06:07.826]  Analysis showed that the substances in the dust from the collapse of the World Trade Center's Twin Towers included cement, gypsum, asbestos, glass fibers, calcium carbonate, lead and other metal particles, and toxins.
[00:06:09.398 --> 00:06:12.100]  But, you know, they said everything was just dandy.
[00:06:12.120 --> 00:06:20.225]  Now, the unfortunate situation here is the government has set aside $4 billion to help the victims of 9-11.
[00:06:20.585 --> 00:06:27.369]  However, even though more people can now apply, they're not going to raise the amount of money they're setting aside for the victims.
[00:06:27.409 --> 00:06:31.592]  So you're going to have more people applying for less funds.
[00:06:31.952 --> 00:06:34.434]  So the government creates a false flag attack
[00:06:35.174 --> 00:06:39.558]  Then they tell the victims it's okay if you're coughing up a lung, it's all in your imagination.
[00:06:40.019 --> 00:06:45.924]  And then they take away four billion plus dollars from the private sector to help the victims.
[00:06:46.525 --> 00:06:53.691]  Now obviously we want the victims to be helped, but had the false flag not occurred in the first place, everything would have been better.
[00:06:55.593 --> 00:06:56.634]  And now to other news.
[00:06:57.532 --> 00:07:07.775]  Speaking of the police state which 9-11 ushered in, a 16-year-old is questioned by FBI officials over a YouTube video that he uploaded.
[00:07:08.255 --> 00:07:20.618]  According to Justin Hollman, a 16-year-old, after having uploaded a YouTube video which highlighted how America was slipping into a police state, he was visited by FBI officials.
[00:07:21.582 --> 00:07:27.966]  They knocked on his door, and according to Justin, they tried to get him to join the dark side.
[00:07:27.986 --> 00:07:32.990]  According to Mr. Hallman, they attempted to recruit him to spy on Anonymous.
[00:07:33.931 --> 00:07:44.518]  Mr. Hallman says, they wanted me to be an informant, to possibly put my life in danger, to help them arrest and gain intel on Occupy protesters and hackers.
[00:07:45.638 --> 00:07:46.719]  So isn't that amazing?
[00:07:46.759 --> 00:07:53.325]  He uploads a video onto YouTube talking about how the police state is growing and getting out of control, and who knocks on his door?
[00:07:53.965 --> 00:07:54.706]  The police state.
[00:07:54.786 --> 00:07:55.226]  We're here.
[00:07:56.167 --> 00:08:04.954]  Mr. Homan also said that during his conversation with the feds, they were asking him about conversations he had with his teacher about the Illuminati.
[00:08:05.315 --> 00:08:08.457]  They were wondering why he was asking questions about the Illuminati.
[00:08:09.238 --> 00:08:12.639]  How does the FBI even know that he's having these conversations?
[00:08:13.579 --> 00:08:20.201]  The FBI obviously talked to his teacher as well, which is quite concerning.
[00:08:21.101 --> 00:08:29.563]  Now, speaking of the police state, we're going to go over to a report, a dynamic report that Linda West has produced on the TSA.
[00:08:31.957 --> 00:08:35.098]  Hi, this is Linda West, reporting with InfoWars.com.
[00:08:35.458 --> 00:08:43.160]  Today we're at the Austin Airport, and we're going to be asking people about their feelings about the ever-expanding TSA.
[00:08:44.100 --> 00:08:51.342]  In LA, they've passed a new policy 1, which makes it illegal to videotape or photograph at the airport.
[00:08:51.822 --> 00:08:54.482]  But, while it's still legal here, here we are.
[00:08:55.022 --> 00:09:01.384]  If they plan to expand the TSA, which they do, and to go into train stations and sporting events,
[00:09:01.544 --> 00:09:05.951]  If you have to walk through a TSA and get scanned to go in the mall, would you still want to do that?
[00:09:05.971 --> 00:09:08.194]  Do you still think that would be needed?
[00:09:09.076 --> 00:09:10.097]  Probably not.
[00:09:11.219 --> 00:09:13.663]  And I recognize terrorism can hit anywhere.
[00:09:13.823 --> 00:09:14.143]  Right.
[00:09:15.105 --> 00:09:16.808]  But I doubt they're going to hit me at Kohl's.
[00:09:17.528 --> 00:09:24.555]  Things like your car being taken, having a picture taken of your car when you go through the toll road.
[00:09:25.136 --> 00:09:30.941]  Having that kind of record of where somebody was at some time, I think, really starts to impede our freedom.
[00:09:31.141 --> 00:09:35.706]  At what point do you say, I'd rather have my freedom, instead of a possible terrorist attack?
[00:09:35.826 --> 00:09:38.068]  Or, I mean, for that point, Yellowstone could blow her.
[00:09:38.308 --> 00:09:40.009]  Yeah, it's kind of like, you know, the taxes.
[00:09:40.029 --> 00:09:41.850]  You know, taxes keep increasing every year.
[00:09:41.870 --> 00:09:49.195]  You know, I'm a very successful businessman and each year more comes out of my pocket and less out of other people's pockets.
[00:09:49.475 --> 00:09:51.716]  So that's also freedom that's getting taken from me.
[00:09:51.776 --> 00:09:55.199]  Let's just say that I am not 100% trustful of the government.
[00:09:55.999 --> 00:09:57.099]  What are your feelings about the TSA?
[00:09:57.199 --> 00:09:59.000]  I don't know about all this TSA stuff.
[00:09:59.020 --> 00:10:01.281]  I mean, I want to see what it's going to do.
[00:10:19.747 --> 00:10:23.208]  You know, I mean, since you asked me.
[00:10:23.428 --> 00:10:24.529]  Yeah, that's why I'm asking.
[00:10:24.609 --> 00:10:27.510]  I'm more shaky now than I was at first, you know.
[00:10:27.790 --> 00:10:30.131]  Come down looking around, you don't know what's going to happen, you know.
[00:10:30.451 --> 00:10:32.832]  So they're more or less perpetuating fear in us.
[00:10:33.172 --> 00:10:34.753]  Right, that's what it's done to me.
[00:10:35.353 --> 00:10:44.977]  As we were interviewing people in front of Starbucks, a self-designated citizen spy took it upon himself to call the police on us.
[00:10:45.977 --> 00:10:47.578]  They arrived minutes later.
[00:10:48.393 --> 00:10:53.837]  Do you feel safer now that the TSA is there patting people like you and I down?
[00:10:54.158 --> 00:10:54.318]  No.
[00:10:55.298 --> 00:10:55.959]  You don't feel safe?
[00:10:56.019 --> 00:10:56.499]  No, I don't.
[00:10:57.240 --> 00:10:59.882]  I felt like I was in a Nazi camp or something.
[00:11:00.162 --> 00:11:01.483]  But it's just part of their plan.
[00:11:01.723 --> 00:11:02.664]  I already know what it is.
[00:11:03.425 --> 00:11:04.806]  It's the New World Order.
[00:11:05.226 --> 00:11:08.008]  I went out on the street to ask everyday Americans
[00:11:09.286 --> 00:11:12.947]  How they felt about our quest for protection in our country.
[00:11:13.987 --> 00:11:23.669]  With the never-ending TSA expansion, drones in our skies, and even citizen spies on our streets and the local Starbucks.
[00:11:24.969 --> 00:11:36.552]  Despite the fact that we all grew up in America, that we proudly hailed as the home of the free and the brave, what I found is that the America we're living in now
[00:11:49.372 --> 00:11:54.235]  Great report, Linda, and it's amazing how arrogant the TSA can be.
[00:11:54.415 --> 00:11:56.796]  They're actually quite offended when you videotape them.
[00:11:56.816 --> 00:12:00.278]  You're just supposed to let them grope you and not ask any questions.
[00:12:01.458 --> 00:12:02.479]  Now, in education,
[00:12:03.388 --> 00:12:03.888]  The U.S.
[00:12:03.928 --> 00:12:18.115]  Department of Education has announced that 79% of Chicago 8th graders are not proficient in reading, and they've also announced that 80% of Chicago 8th graders are not proficient in math.
[00:12:18.855 --> 00:12:25.403]  This comes on the heels of teachers striking in Chicago, demanding more rights, better pay, more benefits.
[00:12:25.904 --> 00:12:29.808]  They currently receive about three months worth of vacation and their average salary is about $76,000.
[00:12:29.888 --> 00:12:33.372]  Yet despite these dismal numbers, they feel that they need more.
[00:12:37.054 --> 00:12:39.376]  This isn't only about the teachers in Chicago.
[00:12:39.416 --> 00:12:43.339]  This is about government-run schools and how ineffective they are.
[00:12:43.879 --> 00:12:50.444]  In my estimation, we should just privatize schools, just like people go shopping for groceries, they can go shopping for schools.
[00:12:50.865 --> 00:12:57.069]  It's well known that private schools outperform public schools significantly with less money.
[00:12:57.430 --> 00:13:03.775]  So despite the horrible track record that the teachers union has here, they want to raise
[00:13:04.435 --> 00:13:07.997]  And again, it's not about bashing teachers, it's about accountability.
[00:13:08.417 --> 00:13:14.119]  The ability to fire people, the ability to keep them and pay them even more if they're worth it.
[00:13:15.080 --> 00:13:16.220]  So that's what that's about.
[00:13:16.340 --> 00:13:25.904]  And we actually have some books here that give you the lowdown on the state of our education system.
[00:13:25.984 --> 00:13:32.567]  The Deliberate Dumbing Down of America, written by Charlotte Thompson, I hope I pronounced this right, Iserby.
[00:13:33.650 --> 00:13:38.052]  Gives you an honest look on the current state of our education system.
[00:13:38.833 --> 00:13:44.536]  And while we were back in the warehouse, we also found some other fun books for the kids.
[00:13:44.576 --> 00:13:50.159]  And I know some people watching this are going to blog and say, how can the InfoWars team plug products?
[00:13:50.199 --> 00:13:51.540]  Well, look, we're capitalists here.
[00:13:51.660 --> 00:13:52.320]  That's what we are.
[00:13:52.380 --> 00:13:53.601]  We believe in the free market.
[00:13:53.941 --> 00:13:57.483]  I know that might scare some people, but that's what we're all about.
[00:13:57.523 --> 00:13:59.384]  Some of the books we have here are the U.S.
[00:13:59.404 --> 00:14:01.125]  Constitution books for kids.
[00:14:03.078 --> 00:14:07.641]  Talks about that sacred document called the Constitution that Republicans urinate on.
[00:14:07.661 --> 00:14:10.603]  And we've got some other books here.
[00:14:11.664 --> 00:14:16.287]  Woodrow for President and Liberty Lee's Tale of Independence.
[00:14:16.608 --> 00:14:19.730]  You can get these on InfoWarsShop.com.
[00:14:21.131 --> 00:14:22.592]  In more education news,
[00:14:23.624 --> 00:14:29.886]  Recently posted on InfoWars.com, the student loan debt bubble is creating millions of modern-day serfs.
[00:14:29.966 --> 00:14:35.808]  Well, obviously everyone knows that except the mainstream media that continues to push this agenda.
[00:14:36.128 --> 00:14:41.409]  According to the article, the average student loan debt at graduation is over $28,000.
[00:14:44.673 --> 00:14:53.136]  The article also points out that one out of six Americans that owe money on a student loan is in default.
[00:14:53.857 --> 00:15:00.019]  And another staggering statistic that the article shows is that 29% of Americans ages 25 to 34 are still living with their parents.
[00:15:06.107 --> 00:15:13.049]  So, despite those horrid numbers, the government, the establishment continues to push the college scam.
[00:15:13.450 --> 00:15:15.350]  Obviously, we love education here.
[00:15:15.390 --> 00:15:25.534]  We think people should read books, stay in touch with the news, go to seminars, but you shouldn't have to mortgage out your home in order to learn calculus.
[00:15:26.974 --> 00:15:28.995]  So that's an unfortunate situation.
[00:15:29.015 --> 00:15:32.016]  And now we're going to go to more news with Jakari Jackson.
[00:15:32.056 --> 00:15:34.076]  Jakari Jackson has some hard-hitting news.
[00:15:34.497 --> 00:15:35.297]  Over to you, Jakari.
