[00:00:03.188 --> 00:00:05.249]  You're listening to GCN.
[00:00:05.609 --> 00:00:07.390]  Great Talk Radio starts here.
[00:00:14.913 --> 00:00:15.553]  Big Brother.
[00:00:16.213 --> 00:00:17.314]  Mainstream media.
[00:00:17.974 --> 00:00:19.115]  Government cover-ups.
[00:00:19.735 --> 00:00:20.555]  You want answers?
[00:00:21.336 --> 00:00:22.296]  Well, so does he.
[00:00:22.856 --> 00:00:26.718]  He's Alex Jones on the GCN Radio Network.
[00:00:27.058 --> 00:00:31.180]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.864 --> 00:00:44.385]  You know, I see a meme out on the internet now that it's a fairy tale that there's eugenics going on.
[00:00:44.405 --> 00:00:49.346]  That it's a fairy tale that cancer rates are way up and neurological disorders.
[00:00:51.307 --> 00:01:03.150]  And they're trying to take hatred of Israel and then connect it to me and say my eugenics thing is trying to cover up for Israel.
[00:01:03.790 --> 00:01:04.690]  What does that even mean?
[00:01:05.711 --> 00:01:10.238]  It's like when I made a film about Israel attacking the US's liberty to blame it.
[00:01:12.105 --> 00:01:26.556]  On Egypt, all these big Nazi groups and others came out and said I was covering up for Israel, because I pointed out that traitor LBJ was involved, because that's what all the admirals I interviewed and the first mate and all them said.
[00:01:26.576 --> 00:01:28.998]  It was like, no, America wasn't involved.
[00:01:29.339 --> 00:01:30.820]  You're now covering up for Israel.
[00:01:31.300 --> 00:01:33.522]  I'm like, no, no, there's two bank robbers.
[00:01:33.982 --> 00:01:36.684]  I'm not covering up for one of them to say, and this guy was involved too.
[00:01:37.745 --> 00:01:38.346]  That is what matters.
[00:01:38.386 --> 00:01:41.889]  I just read that and it's like it's a total pipe dream.
[00:01:43.010 --> 00:01:49.095]  I mean it's true that I don't hate Israel and think about it constantly and obsessed with it and worship it from a hateful position.
[00:01:50.196 --> 00:01:53.799]  I understand there's evil and evil systems in control basically everywhere.
[00:01:56.511 --> 00:01:58.312]  And it's just crazy.
[00:01:58.412 --> 00:02:02.133]  I'm covering eugenics, and people are like, there's no eugenics going on.
[00:02:02.253 --> 00:02:03.334]  None of that's happening.
[00:02:03.954 --> 00:02:08.055]  You work for Israel, and there's just no connection to reality.
[00:02:08.515 --> 00:02:13.337]  And whereas I don't like a lot of things Israel's doing, I don't like the people that hate Israel either.
[00:02:14.224 --> 00:02:15.505]  I mean, can't you get that?
[00:02:16.265 --> 00:02:22.528]  It's like rabid crowds of people who are in their gang, and then they want you to choose a side in their gang fight.
[00:02:22.728 --> 00:02:30.832]  And I'm just like, hey, mutual aggression, truce, as long as you don't do harm to anybody, do whatever you want.
[00:02:32.253 --> 00:02:33.534]  You want to go blow your brains out?
[00:02:33.774 --> 00:02:34.254]  Go ahead.
[00:02:34.314 --> 00:02:36.275]  I don't think you should, but go ahead.
[00:02:36.295 --> 00:02:36.796]  It's your right.
[00:02:37.456 --> 00:02:41.078]  You want to smoke marijuana and sit in your mother's basement eating Hot Pockets all day?
[00:02:42.307 --> 00:02:47.611]  Hey, I don't want cops pulling me over asking to search my car because you want to blast your brain.
[00:02:47.911 --> 00:02:51.193]  And I know it's got all the great medical uses and stuff, but I didn't know a lot of potheads on top of it.
[00:02:51.633 --> 00:02:52.514]  It does have its downside.
[00:02:52.554 --> 00:02:57.117]  My point is that I want freedom.
[00:02:58.218 --> 00:03:00.560]  I want Team Humanity to succeed.
[00:03:00.900 --> 00:03:08.645]  And the globalists, the social controllers, the crony capitalists use this tribalism, this divide and conquer to get us fighting with each other.
[00:03:09.065 --> 00:03:09.726]  That's why.
[00:03:12.265 --> 00:03:17.266]  NBC and MSNBC edited the Zimmerman tapes in the Trayvon Martin case to make us all think he's a racist.
[00:03:17.706 --> 00:03:27.308]  That's why they have the Feds now admitting the Justice Department inside the protest groups, including the new Black Panther Party, saying, I want Florida burning, start killing whitey.
[00:03:27.648 --> 00:03:36.250]  And now all over the country, I read the articles earlier, white people are just for no reason being beaten in racial attacks at parks and fairs and events.
[00:03:37.390 --> 00:03:41.071]  Old women, you name it, and the government wants a race war.
[00:03:43.524 --> 00:03:49.789]  Meanwhile, your banker bailout money paid to move not one, not two, but three new factories to China.
[00:03:51.651 --> 00:04:08.244]  The 20 plus billion bailout to General Motors paid to ship it to Brazil, paid to ship it to China, paid to ship it to Eastern Europe, and another expansion of facilities, so it's actually more than three, four factories with your money, 20 plus billion of it.
[00:04:09.591 --> 00:04:16.641]  You paid to have the government take over General Motors and ship it to China.
[00:04:16.981 --> 00:04:18.964]  If General Motors wants to move to China, that's great.
[00:04:19.224 --> 00:04:20.667]  There shouldn't be tax incentives.
[00:04:20.687 --> 00:04:21.688]  It should be a level playing field.
[00:04:21.868 --> 00:04:24.952]  See, that's what globalism, agenda 21, new world order is.
[00:04:26.243 --> 00:04:30.865]  That's why this book by Rosa Corey available at Infoworks.com is so important behind the green mask.
[00:04:31.125 --> 00:04:34.486]  Give it to every city council member, every county commissioner, every sheriff you know.
[00:04:34.506 --> 00:04:37.267]  Because then everything going on around them, they'll discover this.
[00:04:37.507 --> 00:04:41.188]  We're starting to get city councils even in Houston bringing this up and blocking stuff.
[00:04:42.349 --> 00:04:45.870]  The new film we're carrying, Farmageddon breaks down the harassment.
[00:04:46.250 --> 00:04:48.591]  Big Agra funds government to shut down the little farms.
[00:04:49.431 --> 00:04:50.151]  That's what it is.
[00:04:50.271 --> 00:04:52.052]  France is going into deeper socialism.
[00:04:53.692 --> 00:04:56.116]  As the answer to socialism wrecking their country.
[00:04:56.416 --> 00:04:57.358]  That's the big danger.
