[00:00:01.305 --> 00:00:01.345]  So,
[00:00:34.801 --> 00:00:36.823]  It is Monday, the 19th of November, 2012.
[00:00:38.804 --> 00:00:41.206]  Welcome to another edition of InfoWars Nightly News.
[00:00:41.827 --> 00:00:51.275]  During this entire week of Thanksgiving, we're going to be airing some of the incredible in-depth interview documentaries that we've produced in the last two years.
[00:00:52.436 --> 00:00:58.841]  For viewers out there, a lot of you I know haven't seen these, they're in the archives at InfoWarsNews.com and PrisonPlanet.tv.
[00:01:00.362 --> 00:01:05.023]  Tomorrow night will be G. Edward Griffin and the Collectivist Conspiracy.
[00:01:05.763 --> 00:01:11.944]  Wednesday night, Charlotte Iserby and the deliberate dumbing down of America by this incredible insider.
[00:01:12.565 --> 00:01:15.425]  Russell Means, welcome to the reservation on Thursday.
[00:01:15.805 --> 00:01:20.186]  And Rosalind Peterson, the Chemtrail cover-up, is on Friday.
[00:01:20.826 --> 00:01:25.987]  And then obviously I'll be live on the radio until Wednesday and then back Sunday, 4 to 6 p.m.
[00:01:26.007 --> 00:01:28.708]  And then next week we'll have new transmissions.
[00:01:29.708 --> 00:01:29.968]  Thank you.
[00:01:49.816 --> 00:01:51.557]  I don't think so.
[00:02:10.143 --> 00:02:28.413]  This is why I don't trust the government to take their deadly vaccines or drink their diet cokes, is because, well, time and time again we've seen what their agenda is to slow kill us, soft kill us, through this secret war agenda of eugenics that we are exposing here.
[00:02:28.473 --> 00:02:32.535]  So here we are on this 19th day of November 2012 with this extensive hour-plus
[00:02:36.017 --> 00:02:41.461]  Uh, presentation with Webster Griffin Tarpley, the elite's plan for global extermination.
[00:02:41.781 --> 00:02:48.485]  Please give this information out to everyone you know, and thank you for watching and being supportive of Infowars Nightly News.
[00:03:04.244 --> 00:03:08.229]  Today, I'm pleased to announce members of my science and technology team.
[00:03:08.750 --> 00:03:17.781]  Dr. John Holdren has agreed to serve as Assistant to the President for Science and Technology and Director of the White House Office of Science and Technology Policy.
[00:03:19.656 --> 00:03:24.819]  John P. Holdren is the resident science czar of the Obama White House.
[00:03:24.839 --> 00:03:34.685]  He's the head of the White House Council on Science and Technology, key advisor operating out of the new executive office building in Washington, D.C.
[00:03:35.225 --> 00:03:38.147]  This man is a Malthusian fanatic.
[00:03:38.267 --> 00:03:40.108]  He's a follower of Bentham,
[00:03:40.848 --> 00:03:42.969]  and Malthus and Darwin.
[00:03:43.029 --> 00:03:54.695]  In other words, the main philosophers of the British Empire in the 19th century and the fountainhead of reactionary and anti-human ideology in that time frame.
[00:03:55.315 --> 00:04:01.138]  He's a radical environmentalist, an ecological fanatic, a green kook
[00:04:01.758 --> 00:04:02.618]  We're good to go.
[00:04:23.126 --> 00:04:23.847]  I think so.
[00:04:42.381 --> 00:04:45.262]  That you can grow your way out of a crisis.
[00:04:45.322 --> 00:04:50.144]  According to Holdren, that door has been permanently closed on all of us.
[00:04:50.284 --> 00:04:56.867]  And in particular, he says he hates the moonshot mentality of the average American.
[00:04:56.927 --> 00:05:07.772]  And that is to say, with the right kind of national mobilization, technology, and political will, you can do just about anything, including putting a man on the moon, or putting
[00:05:08.532 --> 00:05:11.254]  Other people out into space.
