[00:00:00.490 --> 00:00:01.832]  Direct from Austin.
[00:00:02.553 --> 00:00:05.758]  You're listening to the Alex Jones Broadcasting Network.
[00:00:08.106 --> 00:00:08.886]  We've got it.
[00:00:09.426 --> 00:00:15.108]  This transmission is coming to you.
[00:00:15.228 --> 00:00:17.609]  Waging war on corruption.
[00:00:19.590 --> 00:00:25.271]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:27.152 --> 00:00:28.433]  We've got it.
[00:00:42.304 --> 00:00:49.572]  Ladies and gentlemen, thank you for joining us on this live Sunday transmission.
[00:00:51.093 --> 00:00:53.896]  We are going to be here for the next two hours.
[00:00:55.339 --> 00:01:21.941]  The news websites are InfoWars.com and PrisonPlanet.com and we are going to be joined as well coming up in the second hour by investigative journalist John Rapoport going over, well, the New York Times and hundreds of other newspapers out with a disgusting talking point
[00:01:23.703 --> 00:01:25.904]  That we need to just drug all children.
[00:01:26.405 --> 00:01:33.149]  That drugs, Ritalin, Prozac, you name it, actually makes their brains work better.
[00:01:33.209 --> 00:01:36.651]  So, it's not just for ADHD kids, it's for everybody.
[00:01:36.671 --> 00:01:40.753]  In fact, the New York Times has written five articles I've seen in the last three days or so.
[00:01:41.253 --> 00:01:46.917]  Drugs to improve learning, attention disorder or not, pills to help in school.
[00:01:48.513 --> 00:01:51.095]  With or without attention deficit, this helps them learn.
[00:01:51.135 --> 00:01:51.816]  They all need it.
[00:01:52.256 --> 00:01:53.758]  That's the new freedom initiative.
[00:01:53.778 --> 00:01:58.502]  See, instead of just saying half are mentally ill, look at this poor kid they've got on speed type drugs.
[00:01:58.562 --> 00:01:59.963]  And they say, look how much it's helping him.
[00:02:00.523 --> 00:02:02.605]  And you look at the color photo, I mean, it looks like a zombie.
[00:02:03.326 --> 00:02:03.866]  Poor child.
[00:02:04.627 --> 00:02:08.450]  The pills boost focus and impulse control in children.
[00:02:08.711 --> 00:02:10.572]  Ah, and that they all need it now.
[00:02:11.573 --> 00:02:12.154]  Here's another one.
[00:02:13.666 --> 00:02:16.789]  Risky rise of the good grade pill.
[00:02:17.369 --> 00:02:21.032]  That's actually a New York Times article critical of it, but they've got many, many others.
[00:02:21.132 --> 00:02:26.117]  It is a full court press coming out with the whole new freedom initiative.
[00:02:27.970 --> 00:02:33.151]  And so we're going to be breaking all of that down here today.
[00:02:33.491 --> 00:02:43.394]  In fact, guys, my clock fell off the wall, I'm noticing, and I guess I've gotten obsessive-compulsive about things that I'm so used to be able to look at with the clock and the date and all that.
[00:02:43.934 --> 00:02:49.115]  It was on the floor, and I couldn't read it, so I put it up there, and it's behind there.
[00:02:49.935 --> 00:02:50.816]  It's behind.
[00:02:50.856 --> 00:02:51.396]  Here, I'll show you.
[00:02:51.576 --> 00:02:52.176]  I'll just come over there.
