[00:00:22.096 --> 00:00:26.140]  Tyrannies throughout history count on one thing, your submission.
[00:00:26.480 --> 00:00:32.106]  That is the number one way by not stopping evil that you will let evil go on.
[00:00:32.466 --> 00:00:40.755]  So joining us later in the program to talk about that issue is author of Romans 13, the true meaning of government submission, Timothy Baldwin.
[00:00:41.415 --> 00:00:58.344]  But we're dealing with submission to government and tyranny and other ways and so many other ways tonight and that includes massive deception, massive lies, and they just think the more they lie to you, the more they game you, the more they trick you, the more you're gonna roll over and let them take over.
[00:00:58.764 --> 00:01:19.772]  With that in mind, Big Sis and DHS move on campus in a report from Kurt Nimmo talking about how more than 19 university and college heads from around the country have been tapped for the Homeland Security Advisory Council, which will seek to better recruit from campuses and preach emergency preparedness.
[00:01:20.192 --> 00:01:22.973]  The DHS insisted the new council is not
[00:01:23.413 --> 00:01:23.893]  We're good to go.
[00:01:44.571 --> 00:01:51.857]  Meanwhile, Eric Holder, the Attorney General himself, in plenty of scandal, is arguing that the U.S.
[00:01:51.937 --> 00:01:54.458]  can lawfully target American citizens.
[00:01:54.799 --> 00:01:59.622]  Of course, they had lawyers under Bush argue that torture is okay, even when it's children.
[00:02:00.443 --> 00:02:02.965]  Any decision to use lethal force against a U.S.
[00:02:03.005 --> 00:02:10.611]  citizen, even one intent on murdering Americans who's become an operational leader of al-Qaeda in a foreign land, is among the gravest
[00:02:11.391 --> 00:02:11.711]  I'm good.
[00:02:39.983 --> 00:02:42.465]  Now in other news, this is a very interesting story.
[00:02:42.825 --> 00:02:45.687]  We know there's been lots and lots of war lies.
[00:02:45.787 --> 00:02:50.611]  Almost every 20th century United States war began with a false provocation.
[00:02:50.891 --> 00:02:52.272]  You could call it a false flag.
[00:02:52.292 --> 00:02:55.235]  You could call it a misunderstanding of communication.
[00:02:55.355 --> 00:02:59.278]  But all those ships blown up, the USS Maine, the Lusitania,
[00:02:59.818 --> 00:03:09.225]  Pearl Harbor, the phony Gulf of Tonkin incident, the lies about WMDs, all of them and more have been lies leading us into war.
[00:03:09.746 --> 00:03:15.130]  And we predictably have another big lie leading up to Syria.
[00:03:15.170 --> 00:03:17.732]  Now this was not an outright false flag provocation.
[00:03:18.132 --> 00:03:27.380]  But it is a propaganda stunt and they were this time at least caught quite blatantly as Syria Danny is caught staging CNN war propaganda stunt.
[00:03:27.740 --> 00:03:31.244]  The footage appears to show the activists coordinating fake gunfire.
[00:03:31.744 --> 00:03:42.914]  While waiting to be connected with CNN, Danny says, well let the gunfire sound then, before subsequently asking someone off camera, did you tell him to get the gunfire ready?
[00:03:43.294 --> 00:03:53.636]  An explosion is heard after, but not before, and they've got him in this footage waiting for many minutes, I think up to an hour, waiting to be connected with CNN in an obviously quiet location.
[00:03:54.016 --> 00:04:09.860]  Then, suddenly, when he's on with CNN, you hear what appears to be the sound of gunfire in the streets as he makes up lies about 200 people killed just in the last hour, and literally begs for an Israeli or U.S.-led invasion into Syria, anything to stop them.
[00:04:10.620 --> 00:04:12.520]  Just totally caught in propaganda.
[00:04:12.540 --> 00:04:13.801]  Let's watch some of that footage right now.
[00:04:46.973 --> 00:05:01.806]  And so he says just let him shoot and you begin to hear the gunfire and explosion and then if you watch the rest of the report written by Paul Joseph Watson you can see the full context of the clip as he goes on CNN and begins to provocate this big dramatic scene.
[00:05:02.186 --> 00:05:04.829]  Now you've got all the other things in the Gulf War
[00:05:05.209 --> 00:05:09.372]  Remember you got that reporter in front of the fake palm trees pretending he's in a war zone.
[00:05:09.712 --> 00:05:18.698]  You've got the incubator babies hoax put forward by the daughter or niece of a Kuwaiti ambassador.
[00:05:19.079 --> 00:05:26.243]  You've got fake video news releases which are actually paid propaganda released as ordinary news.
[00:05:26.364 --> 00:05:29.666]  You've got cases like Fox makes Moscow protest
[00:05:30.406 --> 00:05:44.062]  Uh, with Athens clashes, faking Greece footage and saying it's happening in Russia, you've got lies about Pat Tillman and Jessica Lynch, so many things, the lies about Bin Laden, everything just has to be a fake lie to trick us, doesn't it?
[00:05:45.043 --> 00:05:46.244]  I'm sure we'll fall for it again.
[00:05:46.264 --> 00:05:48.705]  In other news, U.S.
[00:05:48.765 --> 00:05:55.269]  think tank devises plan to sell fake Iran threat, admitting Iran is not a threat to either the U.S.
[00:05:55.390 --> 00:06:00.573]  or Israeli security, instead devising a narrative to sell unnecessary war to public.
[00:06:01.053 --> 00:06:04.376]  Now, this isn't actually old news that's still current news.
[00:06:05.017 --> 00:06:07.580]  Tony Cartolucci has done this report.
[00:06:07.620 --> 00:06:21.994]  He also did the reports more than six months ago, pointing out this 2009 Brookings Institute policy paper from 2009, which outlays a number of scenarios, not saying if there would be a war with Iran, but
[00:06:23.335 --> 00:06:23.936]  Which way?
[00:06:24.036 --> 00:06:24.356]  When?
[00:06:24.476 --> 00:06:24.796]  How?
[00:06:24.916 --> 00:06:25.197]  Why?
[00:06:25.277 --> 00:06:26.077]  What way to get there?
[00:06:26.137 --> 00:06:45.191]  Now, let's look at the table of contents because it's got all kinds of things on the table openly discussed in this long document, including disarming Tehran, the military options, going all the way with an invasion, the airstrike option, allowing or encouraging an Israeli military strike.
[00:06:45.231 --> 00:06:47.633]  That's Chapter 5 and the focus of this article.
[00:06:48.033 --> 00:06:50.715]  You've got topping Tehran with regime change.
[00:06:51.436 --> 00:06:56.162]  One way to do it, they propose, is through a velvet revolution, through supporting a popular uprising.
[00:06:56.503 --> 00:06:57.965]  They've tried that in many ways.
[00:06:58.425 --> 00:07:01.069]  Supporting an Iranian minority in opposition groups.
[00:07:01.089 --> 00:07:02.091]  They've tried to do that.
[00:07:02.491 --> 00:07:05.055]  The coup, supporting a military move against the regime.
[00:07:05.395 --> 00:07:06.877]  All the stuff you're happening throughout.
[00:07:07.518 --> 00:07:22.503]  All the stuff you see happening throughout the Arab Spring proposed here in the context of Iran in this 2009 document, and then you've got Tony Cardalucci redoing his analysis in terms of the current fake split where the U.S.
[00:07:22.563 --> 00:07:28.265]  and Obama are pretending they don't want to back an Israeli strike against Iran, saying, is it the right time?
[00:07:28.285 --> 00:07:29.846]  Should we let sanctions go through?
[00:07:31.286 --> 00:07:38.731]  We've had Paul Craig Roberts and others on just pointing out what a fake split that really is because of course they would back them.
[00:07:39.291 --> 00:07:51.900]  And they discussed in the Brookings Institute document, which path to Persia, whether or not it would be okay to have Israel do a unilateral strike against Iran and pretty much going on to argue that it would backfire on the U.S.
[00:07:51.940 --> 00:07:54.682]  because everyone would assume they're working together anyway.
[00:07:55.402 --> 00:07:56.724]  So, that's what you've got there.
[00:07:56.884 --> 00:08:01.630]  Another attempt to create false provocations towards war, and they openly do talk about it.
[00:08:01.650 --> 00:08:03.152]  We've covered some of those quotes before.
[00:08:03.772 --> 00:08:06.235]  So, let's go more into the mind control.
[00:08:06.275 --> 00:08:13.004]  Let's go back in history, and let's cover some details, some backdrop settings to how we got to this point.
[00:08:14.076 --> 00:08:23.324]  And that is through Urien Masson's article, Documents Reveal Rockefeller Foundation Actively Engaged in Mine Control, Mass Mine Control that is.
[00:08:23.905 --> 00:08:26.387]  And Urien Masson has done a lot of great research.
[00:08:26.767 --> 00:08:30.170]  He takes the time to read through the Rockefeller Foundation's old reports.
[00:08:30.530 --> 00:08:33.153]  You should too, you're going to stumble across some real gold.
[00:08:33.993 --> 00:08:36.836]  And he reports here in a series of generous grants in the 1940s and 50s,
[00:08:38.277 --> 00:08:38.757]  We're good.
[00:09:08.137 --> 00:09:08.397]  I'm good.
[00:09:26.377 --> 00:09:36.504]  This has proved helpful in our evolution, but it can also cause problems as anticipated fear of things that may not happen causes stress and others to persuade us.
[00:09:37.024 --> 00:09:51.413]  And this is the background research through psychology, through behavioral studies, through animal studies, to figure out how to game us, how to manipulate our emotions, to sell us lies that have a greater importance in the mass society they're trying to put together.
[00:09:51.753 --> 00:10:01.955]  They've been doing this in so many ways since the early 1800s, all the research from Hegel and the other psychologists, even the stuff from Jung and Freud.
[00:10:02.035 --> 00:10:12.577]  Of course, Edward Bernays, being the cousin of Freud, used that research to exploit it in a mass commerce sense and in just general groupthink and brainwash.
[00:10:12.937 --> 00:10:19.418]  And so here's an actual quote from that 1954 Rockefeller Foundation document from Professor Hovland.
[00:10:19.858 --> 00:10:20.599]  ...Charles Hovland.
[00:10:20.899 --> 00:10:30.471]  With the aid of a new foundation grant, Professor Hovland and his associates plan to give attention to the psychological mechanisms through which communications exert their influence.
[00:10:30.871 --> 00:10:36.258]  How the individual deals with the welter of conflicting ideas with which he is constantly bombarded.
[00:10:36.658 --> 00:10:46.365]  How wishful thinking and emotional bias affect judgment and whether the judgment process is transferred from one situation to another are among the problems to be studied.
[00:10:46.685 --> 00:10:52.769]  The foundation grant will provide core support for the long-range research program over a 10-year period.
[00:10:53.169 --> 00:11:06.313]  And he talks about all kinds of issues here, but among them the sleeper cell idea that advertising or steered, controlled media speech will have an effect down the road in viewers, especially when they hear it repeated.
[00:11:06.673 --> 00:11:09.234]  We're talking about that Overton window concept.
[00:11:09.854 --> 00:11:16.602]  Love him or hate him, you gotta give credit to Glenn Beck for bringing that out into the open with his book on the topic, because it is important.
[00:11:16.622 --> 00:11:24.751]  The Overton Window discusses how to take a radical, unacceptable idea and gradually move it into the mainstream.
[00:11:25.693 --> 00:11:30.078]  If you take a look at this graphic, you move with a new idea from the unthinkable
[00:11:30.558 --> 00:11:36.063]  To the point of radical, to the point of acceptable, to the point of sensible in the minds public.
[00:11:36.103 --> 00:11:38.705]  And by that point, you can get mass acceptance.
[00:11:38.745 --> 00:11:41.327]  And that is, in part, what's going on here.
[00:11:41.387 --> 00:11:53.117]  But again, they're tying in all the psychological studies on how to find man's breaking point, how to convince him of things, how to get past his logical and primitive mind and use that against him.
[00:11:53.738 --> 00:11:58.842]  They've been so sophisticated, and this is a deep area, but it's important just to talk about a few things.
[00:11:59.242 --> 00:12:01.103]  Now, more on Carl Hovland.
[00:12:01.203 --> 00:12:10.570]  Following Hovland's death, his attitude change program was characterized as the largest single contribution to the field of social communication any man has made.
[00:12:10.990 --> 00:12:19.115]  Over 30 years later, it was still deemed the biggest single force within psychology's communication, relevant attitude change momentum.
[00:12:19.516 --> 00:12:27.261]  He was the gold standard for research in social psychology, according to Timothy Brock, a communications guy from the 90s.
[00:12:27.681 --> 00:12:28.662]  And it goes on from there.
[00:12:29.142 --> 00:12:39.627]  Now I want to read just two more quotes from Lord Bertrand Russell, a key spokesman for the elite and a key visionary of the scientific dictatorship they were trying to unfold.
[00:12:39.647 --> 00:12:47.571]  This is from a Brent Jessup article in 2008, Behaviorism, Psychoanalysis and Physiological Manipulation in Education.
[00:12:48.331 --> 00:12:55.578]  He says in part, ordinary men and women will be expected to be docile, industrious, punctual, thoughtless, and contented.
[00:12:56.258 --> 00:13:00.382]  Of these qualities, probably contentment will be considered the most important.
[00:13:00.802 --> 00:13:04.846]  In order to produce it, all the researches of psychoanalysis
[00:13:05.146 --> 00:13:05.346]  I'm good.
[00:13:20.572 --> 00:13:34.976]  Now, but they specifically have envisioned using television, using radio, using other types of mass media to brainwash us, to put forward these unacceptable ideas and make us learn to love our own servitude, as Alex Huxley talked about.
[00:13:36.917 --> 00:13:48.020]  His discussion of UNESCO's role, of course, Bertrand Russell worked closely with Sir Julian Huxley, the first head of UNESCO, the United Nations Education, Science and Culture Organization.
[00:13:48.060 --> 00:13:54.102]  He said, I think the subject which will be of most importance politically is mass psychology.
[00:13:54.742 --> 00:14:00.245]  Its importance has been enormously increased by the growth of modern methods of propaganda.
[00:14:01.286 --> 00:14:05.248]  Of these, the most influential is what is called, quote, education.
[00:14:05.648 --> 00:14:07.930]  Religion plays a part, though a diminishing one.
[00:14:08.350 --> 00:14:15.354]  The press, the cinema, and the radio play an increasing part in propaganda, in mass psychology.
[00:14:15.374 --> 00:14:20.397]  They're going to use so-called education and the mass media to give us the ideas they want us to accept.
[00:14:20.777 --> 00:14:23.599]  It's that simple, but nobody ever seems to see through it.
[00:14:23.639 --> 00:14:26.922]  We buy into war after war, and it's just textbook stuff.
[00:14:26.942 --> 00:14:28.223]  They've studied how to game us.
