[00:00:02.807 --> 00:00:02.887]  Yeah.
[00:00:35.782 --> 00:00:36.963]  Welcome, ladies and gentlemen.
[00:00:37.043 --> 00:00:37.763]  I'm Aaron Dykes.
[00:00:37.883 --> 00:00:39.884]  This is the InfoWars Nightly News.
[00:00:39.924 --> 00:00:41.585]  It is, of course, May Day, 2012.
[00:00:43.526 --> 00:00:47.408]  Coming up, we have an exclusive Ron Paul speech in its entirety.
[00:00:47.748 --> 00:00:55.332]  But first, the news, of course, for this May 1st, Socialist-Communist Historically Illuminati-Connected Day.
[00:00:55.832 --> 00:01:01.113]  We have reports that Obama has launched a new campaign slogan based in Marxism.
[00:01:01.413 --> 00:01:11.715]  The Obama campaign apparently didn't look backwards into history when selecting its new campaign slogan, Forward, a word with long and rich association with European Marxism.
[00:01:12.075 --> 00:01:18.036]  That's from the Washington Times about the new Obama slogan and its ties to socialism and Marxism.
[00:01:18.876 --> 00:01:22.037]  It comes from the progressive tradition, of course, as they just mentioned.
[00:01:22.357 --> 00:01:24.197]  There are words for it in German.
[00:01:24.637 --> 00:01:30.799]  As well as Russian and there's been a number of overtly socialist and communist publications along those lines.
[00:01:31.099 --> 00:01:38.121]  It's part of their new seven minute video which included a title card with the Obama O logo and the word forward.
[00:01:38.161 --> 00:01:43.923]  Just another nice little treat on the day where Obama is celebrating the death of Osama Bin Laden and more.
[00:01:44.463 --> 00:01:55.969]  Now, behind the scenes of the century of radical Marxism and communism, progressivism, fascism, Nazism, and other collectivist systems are the Puppet Masters.
[00:01:56.109 --> 00:02:00.331]  They will meet again at Bilderberg this year again in Chantilly, Virginia.
[00:02:00.451 --> 00:02:09.916]  And Alex has called on people to occupy the Bilderberg meeting, so join him if you can out in Virginia, right outside of Washington, D.C., coming up in just a few weeks.
[00:02:10.396 --> 00:02:17.522]  Meanwhile, the FBI has arrested, quote, anarchists in another concocted bomb plot, this time in Cleveland.
[00:02:17.862 --> 00:02:19.183]  Curt Nemo has the report.
[00:02:19.283 --> 00:02:31.913]  Authorities in Cleveland, Ohio, have arrested five self-described anarchists in an alleged plot to blow up the Cuyahoga Valley Scenic Railroad, Brecksville Station, by remote detonation using C4 explosives.
[00:02:32.294 --> 00:02:38.759]  Yet again, the explosives were inoperable because the entire plot was controlled by FBI informants
[00:02:39.159 --> 00:02:41.799]  Who just set up a bunch of dumb patsies once again.
[00:02:41.819 --> 00:02:44.460]  The case we've seen over and over again.
[00:02:44.480 --> 00:03:00.203]  RT, among other publications, has exposed the fact that of dozens of terror plots that allegedly were planned and partially executed inside the United States since 2001, almost all were entirely contrived and started by the FBI itself.
[00:03:00.583 --> 00:03:08.224]  Of course, the 1993 World Trade Center bombing was famously an FBI informant plot where they gave them the bomb-making materials
