[00:00:00.049 --> 00:00:00.731]  We're good to go.
[00:00:22.865 --> 00:00:24.126]  I'll send an S.O.S.
[00:00:24.286 --> 00:00:24.926]  to the world.
[00:00:25.226 --> 00:00:26.887]  I'll send an S.O.S.
[00:00:26.907 --> 00:00:27.928]  to the world.
[00:00:28.388 --> 00:00:30.850]  I hope that someone gets mine.
[00:00:31.450 --> 00:00:33.951]  I hope that someone gets mine.
[00:00:34.552 --> 00:00:37.293]  I hope that someone gets mine.
[00:00:37.333 --> 00:00:39.755]  Message in a bottle, yeah.
[00:00:39.795 --> 00:00:44.117]  Message in a bottle, yeah.
[00:01:21.544 --> 00:01:22.184]  Did they kill him?
[00:01:49.082 --> 00:01:50.724]  We're good to go.
[00:02:10.337 --> 00:02:10.837]  I don't know.
[00:02:27.492 --> 00:02:32.255]  Welcome to the InfoWars live post-mortem coverage of the zombie election.
[00:02:32.816 --> 00:02:33.636]  It's November 7th, 2012.
[00:02:34.417 --> 00:02:35.078]  I'm David Knight.
[00:02:35.558 --> 00:02:43.664]  I'm going to be joined here tonight with Aaron Dykes, Melissa Melton, David Ortiz, Jakari Jackson, and Dan Bodondi.
[00:02:43.684 --> 00:02:46.506]  And we're going to be looking at a lot of aspects of this last election.
[00:02:47.186 --> 00:02:50.187]  One thing we're not going to be talking a lot about is Obama and Romney.
[00:02:50.207 --> 00:02:55.429]  We'll be talking about some other effects of the election because we know that if you're like us, you're pretty sick of hearing it.
[00:02:55.469 --> 00:03:00.631]  You're probably about ready to cry like the little girl in the viral video, if you've seen that.
[00:03:01.472 --> 00:03:05.913]  One of the things that we've been following is initiatives.
[00:03:06.294 --> 00:03:07.494]  And there's several initiatives.
[00:03:07.534 --> 00:03:14.237]  We've got an article on Infowars.com that is looking at 10 states that are voting on nullification measures this week.
[00:03:15.692 --> 00:03:25.178]  And this has some, you know, a lot of people on the InfoWars poll that we had said they were more interested in ballot initiatives than they were in the presidential election.
[00:03:25.659 --> 00:03:37.747]  And certainly these particular issues are something that are going to be very interesting in the months to come because what they're doing is they're setting up power conflicts between the states and the federal government in certain areas.
[00:03:38.768 --> 00:03:41.069]  In one area we've got Obamacare.
[00:03:41.489 --> 00:03:44.792]  There were five ballot initiatives in various states that
[00:03:45.932 --> 00:03:46.173]  I think?
[00:03:46.193 --> 00:03:46.333]  I think?
[00:04:14.716 --> 00:04:17.077]  To make their own health care decisions.
[00:04:17.137 --> 00:04:17.758]  Imagine that.
[00:04:18.658 --> 00:04:20.699]  That we have a right to make our own health care decisions.
