[00:00:01.510 --> 00:00:01.810]  We're good.
[00:00:34.109 --> 00:00:35.230]  It's May 25th, 2012.
[00:00:36.212 --> 00:00:37.634]  It's InfoWars Nightly News.
[00:00:37.694 --> 00:00:39.296]  I'm your host, Paul Joseph Watson.
[00:00:39.376 --> 00:00:40.738]  Coming up on the show tonight...
[00:00:45.916 --> 00:00:54.361]  Paul Joseph Watson speaks with Charlie Skelton about his plans to join thousands at the Bilderberg meeting in Chantilly, Virginia.
[00:00:54.882 --> 00:00:59.925]  Plus, the TSA hires a priest with a history of sex abuse with children.
[00:01:00.305 --> 00:01:05.208]  Then, Australians face millions in fines for denouncing carbon taxes.
[00:01:05.868 --> 00:01:09.771]  All that and more, up next, the InfoWars Nightly News.
[00:01:16.536 --> 00:01:21.637]  Top story tonight, Australians face huge fines for speaking ill of carbon tax.
[00:01:22.237 --> 00:01:41.561]  Praised by Barack Obama as a model for the world, Australia's highly unpopular carbon tax, set to take effect from July 1st, is to be policed by laws which forbid business owners from criticising it for causing price rises, with the thought criminals who do so under threat of being hit with huge fines of over $1 million.
[00:01:41.861 --> 00:01:44.862]  And this is out of the Daily Telegraph out of Australia,
[00:01:45.522 --> 00:01:55.668]  Shops and restaurants could face fines up to 1.1 million dollars if waiters or sales staff wrongly blame the carbon tax for price rises or exaggerate the impact.
[00:01:56.340 --> 00:02:13.247]  And so not only are small businesses and consumers in Australia being hit with the knock-on effects from this, because we know the initial scope of the law is to charge the top 500 polluting companies with carbon taxes, that of course gets passed on to consumers.
[00:02:13.607 --> 00:02:19.510]  They've already got skyrocketing energy rates in Australia as it is, already being hit from all sides.
[00:02:20.464 --> 00:02:36.732]  But now they're even bringing it to this level where, for example, you know, if you're a restaurant, you're a waiter, you're a cleaner, whoever, if they dare mention that the carbon tax is causing you to rise prices on any kind of different thing that you supply or sell, it's a fine.
[00:02:36.772 --> 00:02:47.317]  It's up to $1.1 million fine for heresy against the Australian carbon tax, which just shows you that, you know, the fangs of green fascism are bearing once again.
[00:02:48.374 --> 00:03:05.667]  They're actually going to enforce this by teams of carbon cops roaming the streets, carrying out snap inspections of businesses looking for infractions, such as sales promotional material that talks about, you know, beat the carbon price rise before July 1st.
[00:03:05.787 --> 00:03:07.529]  So they're getting in discounts before that.
[00:03:08.109 --> 00:03:13.293]  If you dare mention it, you're slapped with a cool 1 million fine, according to this draconian law.
[00:03:14.626 --> 00:03:16.967]  So again, it's the old tyranny of the carbon tax.
[00:03:17.007 --> 00:03:18.548]  It's not just about higher prices.
[00:03:18.608 --> 00:03:26.032]  It's about removing free speech, the right to dissent against carbon tax, because criticizing it in Australia is now a heresy.
[00:03:26.252 --> 00:03:29.913]  This is the law praised by Barack Obama as a model for the world.
[00:03:30.314 --> 00:03:33.295]  Of course, he's doing it through the EPA and shutting down the coal plants.
[00:03:33.775 --> 00:03:36.597]  In Australia, they're doing it through the direct carbon tax.
[00:03:37.637 --> 00:03:43.600]  And of course, by 2015, this is all going to be rolled into a carbon trading scheme, the likes of which cause
[00:03:44.272 --> 00:03:59.252]  Farmers in places like Honduras and Uganda to be brutally evicted, turfed off their land by the corrupt governments in those countries in alliance with Western carbon trading companies because they want the land.
[00:03:59.312 --> 00:03:59.953]  It's lucrative.
[00:04:00.760 --> 00:04:08.664]  Take the land by force, wipe out huge numbers of people, all villages, and grow trees on the land, and then sell the carbon credits.
[00:04:09.084 --> 00:04:13.467]  And of course, if you dare criticize any of it, then now you're going to get fined in Australia.
[00:04:13.887 --> 00:04:21.951]  And it's all going straight into the back pockets of Al Gore and Marie Strong, the very people who own the carbon trading systems, are invested in them.
[00:04:22.251 --> 00:04:29.075]  And of course, the very people pushing the myth, the alarmist, scaremongering myth of man-made global warming.
[00:04:29.784 --> 00:04:35.466]  So while that plannedopolis is going on in Australia, over in America we've got this story.
[00:04:35.986 --> 00:04:40.968]  Google Trends fear of bank runs hits all-time high for Americans.
[00:04:41.409 --> 00:04:54.574]  According to the latest figures out of Google Trends, Americans have been searching for the term bank run in record numbers over the past couple of weeks, outstripping the level of concern displayed following the collapse of Lehman Brothers in 2008.
[00:04:56.610 --> 00:05:05.779]  The search volume index on Google for bank run in the United States region peaked at an all-time record level on May 13th and has hovered around this high ever since.
[00:05:06.239 --> 00:05:22.394]  And if you actually go and look at the figures which I did this morning to compile this article, Americans are more concerned than Greeks, more concerned than Greeks about bank runs, which is saying something given the amount of money that's been pulled out of Greek banks over the last few weeks.
