[00:00:01.118 --> 00:00:01.358]  I don't know.
[00:00:34.144 --> 00:00:37.791]  Welcome to InfoWars Nightly News, the hardest-hitting news show on the Internet today.
[00:00:38.112 --> 00:00:40.998]  I'm your host, Rob Due, and today's date is Wednesday, May 30, 2012.
[00:00:41.459 --> 00:00:44.325]  And here's a look at what we have in store for you today.
[00:00:47.799 --> 00:00:58.953]  Tonight, full-spectrum coverage from the secretive meeting that is Bilderberg 2012, as the elite's cloak of secrecy is unveiled in Chantilly, Virginia.
[00:00:59.274 --> 00:01:04.320]  Meanwhile, Bilderberg launches an unprecedented security crackdown in response.
[00:01:04.921 --> 00:01:16.486]  Then, another First Amendment right gets crushed, this time in Wisconsin, as a pastor is sentenced to two years in prison for saying it's okay to spank your children.
[00:01:16.907 --> 00:01:30.273]  Plus, Jonathan Corbett joins us via video Skype to discuss the expansion of the TSA, from airports to subways, trains, buses, the open road, and now even music festivals in Detroit.
[00:01:30.573 --> 00:01:32.874]  And if you don't like it, then don't leave the house.
[00:01:33.454 --> 00:01:37.661]  All that and more coming up next on the InfoWars Nightly News.
[00:01:49.209 --> 00:01:53.071]  First off, EU titans to address euro crisis at Bilderberg.
[00:01:53.311 --> 00:01:54.852]  And this is from Paul Joseph Watson.
[00:01:54.912 --> 00:02:05.839]  Apparently, head of the European Council Hermann von Ruppe will be at this year's Bilderberg conference and he's going to be meeting with the head of the European Central Bank to talk about how to handle the euro crisis situation.
[00:02:06.199 --> 00:02:07.019]  So that should be interesting.
[00:02:07.039 --> 00:02:11.942]  They're going to be planning your lives under cover of darkness, essentially.
[00:02:12.823 --> 00:02:16.105]  Next up, Greens demand Bilderberg confab be made public.
[00:02:17.088 --> 00:02:23.634]  Green Congressional Party candidate Joseph DiFaria of New York is demanding that the Bilderberg conference be made public.
[00:02:23.695 --> 00:02:26.297]  And he said, this is a Rockefeller construct.
[00:02:26.417 --> 00:02:39.930]  It would be imprecise to call it an organization because although it has so-called regular attendees every year, and he mentions those, they have no offices and no specific location or headquarters and they meet by invitation only.
[00:02:40.791 --> 00:02:57.032]  So of course he's finally woken up to the fact and hopefully other people who are running for office have woken up to that fact and they will demand that when these people meet on our soil that their meetings be made public because we have a right to know what's going on in our country especially when our own elected officials are going to meet with these people.
[00:02:58.536 --> 00:03:03.200]  Also, the drone shot down over Texas video has gone viral.
[00:03:03.220 --> 00:03:04.081]  That was nice to know.
[00:03:04.121 --> 00:03:08.144]  It's got over 100,000 hits so far, so be sure you check that out and spread that around.
[00:03:08.164 --> 00:03:13.208]  It's got some great shots, some great explosions, and be sure and check that out.
[00:03:13.288 --> 00:03:17.452]  Over 100,000 views already, so this one's going to be a big one.
[00:03:18.570 --> 00:03:21.913]  And finally, there is a video posted on our YouTube channel.
[00:03:22.253 --> 00:03:25.676]  Bilderberg has Alex Jones thrown out of Marriott Hotel.
[00:03:26.136 --> 00:03:28.258]  And this is the day before the official kickoff.
[00:03:28.378 --> 00:03:35.384]  Alex Jones and crew are officially kicked out of the hotel by the manager on the premises, stating that a renovation was underway.
[00:03:35.785 --> 00:03:37.666]  So yes, they took their reservations.
[00:03:37.766 --> 00:03:39.067]  They did all that nice stuff.
[00:03:39.368 --> 00:03:45.413]  But then they went ahead and kicked him out anyway because they ran his name and decided, wow, we don't want Alex Jones here.
[00:03:46.033 --> 00:03:48.555]  Ruining our conference with the elites from around the world.
[00:03:48.595 --> 00:03:51.558]  We're going to go to that video real quick, and then we'll be right back with more news.
[00:03:53.760 --> 00:03:55.181]  Oh, these are the guys I want to talk to.
[00:03:55.201 --> 00:03:55.241]  Hi.
[00:03:55.261 --> 00:03:58.364]  How you doing, Mr. Jones?
[00:03:58.384 --> 00:03:58.544]  Good.
[00:04:00.506 --> 00:04:00.846]  How you doing?
[00:04:00.866 --> 00:04:01.246]  What's your name?
[00:04:01.967 --> 00:04:03.588]  My name's Sean Scott.
[00:04:03.648 --> 00:04:03.949]  I'm Alex Jones.
[00:04:03.969 --> 00:04:04.669]  Nice to meet you, Sergeant.
[00:04:04.689 --> 00:04:06.491]  I met you last four years ago.
[00:04:06.531 --> 00:04:06.891]  Oh, cool.
[00:04:06.911 --> 00:04:07.692]  Yeah, you guys were real nice.
[00:04:07.912 --> 00:04:11.675]  I thought I was actually in America for a while.
[00:04:11.715 --> 00:04:12.076]  Oh, watch out.
[00:04:12.096 --> 00:04:12.816]  We've got to go over here.
[00:04:17.286 --> 00:04:17.908]  Right now, Alex.
[00:04:18.963 --> 00:04:23.847]  I want to go in with them as far as their property.
[00:04:24.347 --> 00:04:27.589]  If they don't want you on the property, that's their choice.
[00:04:28.290 --> 00:04:28.770]  Sure, sure.
[00:04:28.790 --> 00:04:30.331]  Well, they haven't asked us to leave yet.
[00:04:30.391 --> 00:04:31.272]  Yeah, I know that.
[00:04:31.292 --> 00:04:32.433]  But they're going to be around.
[00:04:32.493 --> 00:04:33.654]  I just can't wait to reach you.
[00:04:33.734 --> 00:04:34.174]  Exactly.
[00:04:34.194 --> 00:04:34.734]  Thank you.
[00:04:34.755 --> 00:04:38.877]  No, no, that's why we came to you because they've got private security grabbing reporters.
[00:04:38.958 --> 00:04:40.839]  I talked to one of the Guardian reporters this morning.
[00:04:40.899 --> 00:04:45.242]  Grabbing them, getting in their face, and then saying, we just want you to know we're going to have a machine gun here.
[00:04:45.262 --> 00:04:46.223]  I respect your authority.
[00:04:46.263 --> 00:04:47.824]  No, but I'm saying, they're people.
[00:04:48.064 --> 00:04:49.185]  I respect that.
[00:04:49.245 --> 00:04:59.771]  And if you don't mind, just wait right here, I'll have someone from the management come here and do exactly that.
[00:05:15.160 --> 00:05:15.540]  What time is it?
[00:05:15.560 --> 00:05:17.561]  We've got to get on the radio at 12.
[00:05:17.641 --> 00:05:18.121]  It's actually...
[00:05:43.647 --> 00:05:43.827]  It's 11.
[00:05:44.148 --> 00:05:47.590]  So why don't you change it to Eastern Time.
[00:05:50.152 --> 00:05:53.454]  Where are you guys from?
[00:05:53.574 --> 00:05:54.575]  I'm from Austin, Texas.
[00:05:54.615 --> 00:05:55.715]  He's from Brooklyn.
[00:05:56.356 --> 00:05:57.056]  He's from Houston.
[00:06:00.479 --> 00:06:02.220]  I talk really fast when I'm from Texas.
[00:06:04.717 --> 00:06:06.058]  All I've had is some Starbucks coffee.
[00:06:06.578 --> 00:06:08.760]  Where's your show?
[00:06:08.800 --> 00:06:09.180]  Syndicate.
[00:06:09.200 --> 00:06:10.281]  It's on over 100 stations.
[00:06:10.401 --> 00:06:10.521]  XM-166.
[00:06:10.541 --> 00:06:13.343]  Number one on the internet, too.
[00:06:13.363 --> 00:06:16.445]  You know the Drudge Report?
[00:06:17.105 --> 00:06:17.685]  DrudgeReport.com.
[00:06:17.705 --> 00:06:18.346]  They get rid of stuff.
[00:06:19.727 --> 00:06:24.170]  And I've done a show with Jesse Mazzella.
[00:06:24.430 --> 00:06:26.091]  And I've done a bunch of other stuff.
[00:06:28.629 --> 00:06:30.029]  Well, we're here, ladies and gentlemen.
[00:06:30.709 --> 00:06:33.890]  Oh, Bilderberg didn't exist, the New York Times said just four years ago.
[00:06:34.510 --> 00:06:38.451]  Remember, they said I was here in this parking lot, imagining Secret Service talking.
[00:06:38.831 --> 00:06:39.271]  Remember that?
[00:06:39.551 --> 00:06:41.651]  The New York Times thinks you're an idiot.
[00:06:43.051 --> 00:06:44.332]  They think we're all morons.
[00:06:45.152 --> 00:06:46.392]  These guys are really scary.
[00:06:46.472 --> 00:06:56.114]  When I told Stoltz I was recording that conversation, he grabbed his pants and he... Hurry up and get out of here.
[00:06:56.134 --> 00:06:57.814]  I'm going to get a taco or something to put on the end.
[00:06:59.397 --> 00:07:01.358]  This is going to be absolute gold.
[00:07:02.839 --> 00:07:06.341]  You know what?
[00:07:07.641 --> 00:07:10.623]  No, we got it.
[00:07:11.003 --> 00:07:11.783]  Oh, good.
