[00:00:01.937 --> 00:00:01.977]  Oh,
[00:00:34.867 --> 00:00:36.108]  It's Thursday, July 12, 2012.
[00:00:36.368 --> 00:00:44.194]  I'm Alex Jones, and this is another original edition of InfoWars Nightly News.
[00:00:47.876 --> 00:00:51.679]  Tonight... We had an epidemic of children going blind.
[00:00:52.540 --> 00:00:59.584]  We would be, it would be all over the news, there'd be research, there'd be studies, there'd be foundations, there'd be all these things trying to figure out why these kids went blind.
[00:01:00.025 --> 00:01:04.148]  The answer would not be just, let's just raise more seeing eye dogs.
[00:01:04.824 --> 00:01:09.507]  Alex Jones speaks with leading vaccine researcher Sherry Tenpenny.
[00:01:09.807 --> 00:01:16.571]  Plus, the TSA can now surveil you right down to your molecular level.
[00:01:17.532 --> 00:01:25.056]  Then, George Bush pushes the globalist takeover initiative in Africa under the guise of humanitarianism.
[00:01:25.716 --> 00:01:29.258]  All that and more on the InfoWars Nightly News.
[00:01:40.734 --> 00:01:52.977]  First off tonight, there are hundreds and hundreds of deaths taking place every month in the state of Illinois, and 275 since the year has started.
[00:01:54.437 --> 00:02:06.000]  And the mafia government, who's completely banned the Second Amendment, cannot blame it on unlawful ownership of guns, because the criminals are ignoring the law.
[00:02:07.978 --> 00:02:11.400]  But what is the Chicago Mafia's answer that runs Chicago?
[00:02:11.981 --> 00:02:15.103]  Well, try to restrict the Second Amendment around the rest of the country.
[00:02:15.644 --> 00:02:23.809]  Chicago police sergeant calls it tribal warfare on the streets as things continue to unravel there.
[00:02:24.850 --> 00:02:28.574]  Alright, continuing on to the next piece of news.
[00:02:29.354 --> 00:02:35.160]  Courts have ruled, federal and state, that police can torture you to make you give a urine sample or answer questions.
[00:02:35.720 --> 00:02:37.242]  I always thought we had a Fifth Amendment.
[00:02:38.363 --> 00:02:47.991]  But a man who was walking across the street, they wanted his ID, failure to ID, the courts have ruled you cannot be forced to show an ID.
[00:02:49.229 --> 00:02:50.749]  Papers, please, but it didn't matter.
[00:02:50.769 --> 00:02:59.691]  They began tasering him repeatedly, and the police, instead of apologizing about this, said they're going to use it as a training video.
[00:02:59.751 --> 00:03:12.714]  A Florida man was repeatedly tased by police officers and arrested for refusing to identify himself, but instead of apologizing, the Castleberry Police Department insisted it would use footage of the incident for training purposes.
[00:03:14.796 --> 00:03:19.317]  And there is the footage of that taking place.
[00:03:20.338 --> 00:03:24.519]  All right, continuing here on to the next piece of news.
[00:03:24.939 --> 00:03:37.903]  You've seen all over the television George W. Bush, who says he ordered torture and he'd do it again, including of children, hugging little African children who are crying as they realize they're being put into the arms of El Diablo.
[00:03:38.983 --> 00:03:47.910]  And, well, Bush now is really there touring Africa to support an AFRICOM invasion by NATO and U.S.
[00:03:47.950 --> 00:04:03.921]  forces to take over the property, as the U.N., on record, I'm not joking, look it up, lines up villagers and machine guns them, blowing their little heads off to take over the property, all in the name of stopping Kony in countries thousands of miles away whose hadn't been seen in almost six years.
[00:04:04.862 --> 00:04:06.062]  Moving along here,
[00:04:07.003 --> 00:04:11.925]  Former FBI Director Free on the surface has done the right thing.
[00:04:12.565 --> 00:04:21.009]  I'm shocked, but I guess they're so exposed on this that they've got to go ahead and do the right thing at one level.
[00:04:21.629 --> 00:04:36.475]  I mean, it's been reported by local news that obviously of Sandusky, convicted now, raping children at high noon inside the showers in front of everyone, that this was a larger operation and that through the charity he was pimping the kids out.
[00:04:37.881 --> 00:04:41.984]  I don't know if that's true, but I would say that's par for the course for people that run society.
[00:04:42.344 --> 00:04:43.305]  These are predators.
[00:04:43.905 --> 00:04:45.746]  They enjoy preying on other humans.
[00:04:46.287 --> 00:04:47.167]  They're not normal.
[00:04:47.327 --> 00:04:50.389]  And good people are blind to this because we just don't think like they do.
[00:04:50.970 --> 00:05:01.577]  But Free's report on Penn State handling of Jerry Sandusky's child sex abuse reveals total disregard for victims and that they knew and helped cover the whole thing up.
[00:05:03.699 --> 00:05:04.460]  Uh, yeah.
[00:05:04.540 --> 00:05:14.347]  Are they getting ready to burn a bunch of the people at the university so that they're discredited and can't report what witnesses are saying that government people were involved?
[00:05:15.067 --> 00:05:17.589]  Again, this is par for the course with these perverts.
[00:05:18.190 --> 00:05:19.310]  These people are pure scum.
[00:05:20.491 --> 00:05:33.816]  Let's continue here Madden's come out and said Sandusky a state secret Mark Madden Again, this is a flashback said this back in April did Penn State's
[00:05:34.755 --> 00:05:37.877]  Considerable influence helped get Sandusky off the hook.
[00:05:38.378 --> 00:05:43.542]  Well, Mark Madden, who wrote for the local paper, has certainly been proven right.
[00:05:43.562 --> 00:05:45.784]  It was also published in the Times of London.
[00:05:46.224 --> 00:05:51.908]  So yes, it is a state secret, and that has now been admitted by the former FBI director.
[00:05:52.489 --> 00:05:54.050]  So there you go, we're right again.
[00:05:55.402 --> 00:06:03.827]  Obviously, if he's raping kids at high noon, 24-7 inside of the facility, I mean, this is a system-wide cover-up.
[00:06:04.167 --> 00:06:09.431]  We knew that months ago, when this all first broke, that assistant coaches were going and reporting what they'd seen.
[00:06:09.451 --> 00:06:11.272]  They were told, hey, just keep your mouth shut.
[00:06:11.952 --> 00:06:14.854]  Which is a allegory of how corruption works.
[00:06:15.074 --> 00:06:25.121]  Whether it's GMO, or wars, or the police state, people have a vested interest on the surface of letting the corruption continue and just don't rock the boat.
[00:06:26.642 --> 00:06:30.265]  Well, civilizations are built by rocking the boat and doing the right thing.
[00:06:30.545 --> 00:06:32.687]  They're destroyed by not rocking the boat.
[00:06:33.635 --> 00:06:34.975]  That way leads destruction.
[00:06:35.035 --> 00:06:39.457]  So, I think the motto of Infowars.com should be, Rockin' the Boat!
[00:06:40.177 --> 00:06:40.417]  Since 1995.
[00:06:42.598 --> 00:06:43.838]  Because that's what we do.
[00:06:46.639 --> 00:06:53.322]  God, there's armies of sicko perverts and now they run the TSA and drag your kids off to a private rape room.
[00:06:53.382 --> 00:06:56.923]  I mean, this is just land of the cowards, home of the slaves.
[00:06:57.303 --> 00:06:59.144]  And I don't say that because I hate America.
[00:06:59.224 --> 00:07:00.084]  I love this country.
[00:07:01.152 --> 00:07:02.913]  But we have become such a joke.
[00:07:02.933 --> 00:07:08.616]  We've got to admit just how sick things have gotten that we have any hope of ever turning this around.
[00:07:09.237 --> 00:07:09.657]  Okay.
[00:07:10.257 --> 00:07:10.858]  Oh, don't worry.
[00:07:10.898 --> 00:07:17.902]  There's an obesity vaccine out now that will change your feelings and will actually attack neurons in your brain.
[00:07:18.142 --> 00:07:19.243]  These aren't vaccines.
[00:07:19.283 --> 00:07:23.385]  These are nanotech viral re-engineers that give you a lobotomy.
[00:07:24.206 --> 00:07:26.187]  I mean, yeah, somebody in a coma isn't hungry either.
[00:07:27.554 --> 00:07:31.676]  I mean, folks, you might as well weigh 400 pounds and be happy than be a zombie.
[00:07:33.116 --> 00:07:38.818]  Scientists are advocating altering the mental states of humans to control their consumptive tendencies.
[00:07:39.719 --> 00:07:43.520]  Don't talk about the GMO or additives that are adding to all of this.
[00:07:43.640 --> 00:07:45.221]  No, just give them a shot.
[00:07:45.601 --> 00:07:52.064]  Last month, the UN World Health Organization announced that because of overpopulation and overconsumption cultures, Americans have become overweight.
[00:07:53.084 --> 00:07:54.045]  And that is a problem.
[00:07:54.485 --> 00:08:05.233]  Working for WHO, researchers with BMC Public Health have published a study regarding the increasing levels of fatness worldwide and the impact such weight gain has on global resources.
[00:08:05.273 --> 00:08:10.897]  Because if you go to Prince Charles with 25 aircraft, 100 palaces, I mean, you know, that's the problem.
[00:08:11.937 --> 00:08:13.479]  Not because African kids are starving.
[00:08:13.799 --> 00:08:17.722]  They contend that overweight people are likely
[00:08:19.082 --> 00:08:22.145]  ...are likened to an extra billion humans on the planet.
[00:08:22.726 --> 00:08:26.730]  So there you go, they got a vaccine that eats your brain, and you won't be hungry anymore.
[00:08:26.750 --> 00:08:28.312]  You won't have any passion anymore either.
[00:08:28.832 --> 00:08:30.634]  They got stuff for, you know, wanting to drink.
[00:08:30.674 --> 00:08:31.415]  Well, here's a shot.
[00:08:31.475 --> 00:08:32.336]  No more brain cells.
[00:08:32.796 --> 00:08:36.100]  Because all these drugs mimic normal endorphins in the body.
[00:08:36.800 --> 00:08:41.185]  And so what they want to do is block those up, and then when you're depressed, they've got a drug that'll handle that.
[00:08:41.225 --> 00:08:42.366]  Don't worry, they care about you.
[00:08:42.386 --> 00:08:43.007]  They're good people.
[00:08:44.950 --> 00:08:45.511]  Here's another one.
[00:08:45.571 --> 00:08:47.793]  Extending your life, extending your career.
[00:08:47.893 --> 00:08:50.014]  A vaccine for smokers.
[00:08:50.755 --> 00:08:55.059]  Another report dealing with all of that.
[00:08:55.999 --> 00:09:01.544]  And it goes in and attacks the neurons in the brain that receive that chemical nicotine.
[00:09:01.564 --> 00:09:05.187]  Of course, you probably don't want to lose those brain neurons, but hey, so what?
[00:09:05.227 --> 00:09:05.787]  It's good for you.
[00:09:06.788 --> 00:09:12.853]  Okay, let's move right along now to Agenda 21, micro apartment scheme being beta tested in New York City.
[00:09:13.273 --> 00:09:21.819]  Now they passed a law last year, 2011 in Germany, saying that all new homes by 2020 could not be single-parent.
[00:09:21.839 --> 00:09:23.240]  You've got to live in these big dormitories.
[00:09:24.693 --> 00:09:35.000]  And now Bloomberg, who wants to control what you eat and what you do and ban your guns, says these studios and one-bedroom apartments, they're like closets, will be no bigger than 275 to 300 square feet.
[00:09:35.040 --> 00:09:37.502]  That's called a tiny supermax cell.
[00:09:37.982 --> 00:09:42.445]  These tiny living spaces are smaller than currently allowed by building regulations.
[00:09:43.065 --> 00:09:44.807]  And they say this is good for the earth.
[00:09:45.067 --> 00:09:46.888]  See, they can raise more taxes.
[00:09:47.428 --> 00:09:51.931]  They'll charge you more for a 200 square foot cell than for a 1,000 foot.
[00:09:53.312 --> 00:09:54.273]  This is how this works.
[00:09:55.314 --> 00:09:56.434]  More for less.
[00:09:56.514 --> 00:10:00.717]  The eugenics agenda 21 post-industrial slave model.
[00:10:01.578 --> 00:10:04.020]  Because your resources have all got to go to the bankers.
[00:10:05.241 --> 00:10:06.782]  Continuing here with the news.
[00:10:07.242 --> 00:10:13.686]  New CIA scanner rolled out by TSA can surveil your molecular level.
[00:10:15.188 --> 00:10:16.428]  And we've documented here
[00:10:17.580 --> 00:10:22.982]  How they have the quack garbage lie detectors that are frauds.
[00:10:23.002 --> 00:10:28.384]  Well, now the cops are going to aim some laser beam at you and claim that it shows you're aggressive or a terrorist or bad.
[00:10:28.885 --> 00:10:30.025]  This is their new system.
[00:10:31.386 --> 00:10:36.648]  And Curt Nemo reports on this new quack science at InfoWars.com.
[00:10:36.988 --> 00:10:39.129]  Moving along, Pluto's moons.
[00:10:39.289 --> 00:10:41.450]  Five satellites of Pluto.
[00:10:42.569 --> 00:10:48.452]  And they've been reporting that Pluto's moons have also been heating up, because we didn't pay our carbon tax to Al Gore.
[00:10:49.252 --> 00:10:53.915]  On July 11th, astronomers announced the fifth moon had been discovered orbiting the dwarf planet.
[00:10:54.455 --> 00:10:57.717]  Researchers using NASA's Hubble Space Telescope found the moon.
[00:10:58.417 --> 00:11:05.360]  Some of its other moons are named Choron and things like that, the boatman of the River Styx, because after all, Pluto is the Roman god of the underworld.
[00:11:06.021 --> 00:11:10.123]  So if we're naming these with demonic names, name the next one Obama or Mitt Romney.
[00:11:10.643 --> 00:11:13.684]  Or maybe, name them, planet Rockefeller.
[00:11:13.744 --> 00:11:17.746]  In fact, you should talk to the different societies that are deciding this.
[00:11:18.506 --> 00:11:25.988]  And we've got Hydra, and Choron, and Nix, I guess it means kill, and P4.
[00:11:26.509 --> 00:11:28.669]  Why not name it Rockefelia?
[00:11:28.689 --> 00:11:31.971]  I mean, that's a good name for it.
[00:11:32.011 --> 00:11:36.992]  I mean, which means robber baron gang raping the dead corpse of humanity.
[00:11:37.713 --> 00:11:38.513]  Rockefelia.
[00:11:40.017 --> 00:11:40.817]  Rockefeller.
[00:11:41.357 --> 00:11:43.958]  Bankers injecting children with cancer viruses.
[00:11:44.678 --> 00:11:45.519]  Rockefeller.
[00:11:46.079 --> 00:11:49.920]  I'm coining terms here, just teleprompter free, it's incredible.
[00:11:50.600 --> 00:11:52.301]  I need more Prozac, that's the problem.
[00:11:52.881 --> 00:11:56.802]  And now, ladies and gentlemen, we leave Chor on to the Daily Quote.
[00:11:59.471 --> 00:12:00.693]  Bankers own the earth.
[00:12:00.913 --> 00:12:08.782]  Take it away from them, but leave them with the power to create credit, and they will flick a pin that will create enough money to buy it back again.
[00:12:09.243 --> 00:12:16.432]  If you want to be slaves of bankers and pay the cost of your own slavery, then let the bankers control money and control credit.
[00:12:16.832 --> 00:12:17.874]  Sir Joseph Stamp
[00:12:19.056 --> 00:12:20.516]  Director of the Bank of England, 1940.
[00:12:23.137 --> 00:12:26.398]  Sounds like you haven't had enough vaccines, Mr. Stamp.
[00:12:26.999 --> 00:12:28.599]  But again, you're dead now, aren't you?
[00:12:28.639 --> 00:12:30.180]  So you're beyond their grasp.
[00:12:30.920 --> 00:12:46.645]  We will now go to break, my friends, my pretties, and we will come back with Dr. Sherry Tinpenny and a journey into all that is vaccine kingdom, all that is Rockefellia,
[00:12:48.157 --> 00:12:54.242]  Rockefellia, diseased robber baron mass murderers gone wild.
[00:12:55.123 --> 00:12:59.547]  I'm Alex Jones and this is InfoWars Nightly News.
[00:13:24.202 --> 00:13:27.423]  Have you been to InfoWarsShop.com lately?
[00:13:27.883 --> 00:13:32.445]  Express your inner patriot with these brand new InfoWars t-shirts.
[00:13:33.005 --> 00:13:35.766]  Say it loud with the InfoWars Bullhorn shirt.
[00:13:36.226 --> 00:13:39.127]  Or educate the sheeple with the Bill of Rights shirt.
[00:13:39.947 --> 00:13:43.329]  Grope the public's mind with the TSA shirt.
[00:13:43.969 --> 00:13:48.250]  And with this shirt, you can let the dark side know of the Rebel Alliance's power.
[00:13:49.631 --> 00:13:52.732]  All available at InfoWarsShop.com.
[00:13:55.387 --> 00:14:00.671]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:14:00.911 --> 00:14:03.113]  Start purifying your water with ProPure.
[00:14:03.333 --> 00:14:08.897]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[00:14:09.077 --> 00:14:12.319]  And it's available discounted at InfoWars.com.
[00:14:12.499 --> 00:14:15.702]  Its filters are silver impregnated to prevent bacterial growth.
[00:14:15.962 --> 00:14:17.403]  There's no priming required.
[00:14:17.663 --> 00:14:19.704]  It's NSF 42 certified.
[00:14:19.945 --> 00:14:22.446]  Optional fluoride filters can reduce fluoride up to 95%.
[00:14:23.527 --> 00:14:24.868]  Easy to set up and use.
[00:14:25.068 --> 00:14:26.369]  Doesn't require electricity.
[00:14:26.489 --> 00:14:29.371]  Purify water from lakes, streams, ponds, and wells.
[00:14:29.691 --> 00:14:32.873]  This filter system leaves in beneficial minerals, which is key.
[00:14:33.093 --> 00:14:37.096]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:14:37.256 --> 00:14:39.878]  ProPure is the best gravity-fed filter out there.
[00:14:40.018 --> 00:14:41.319]  It's what my family uses.
[00:14:41.599 --> 00:14:44.821]  Infowars.com already has the lowest price on ProPure.
[00:14:44.921 --> 00:14:50.225]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:14:50.785 --> 00:14:54.626]  You can also call to order 888-253-3139.
[00:14:58.887 --> 00:15:01.668]  And welcome back to this Thursday edition.
[00:15:02.228 --> 00:15:18.112]  All week we've been covering the fallout of GlaxoSmithKline with scores of their products, knowing that it didn't treat what they were selling the drug for and got it approved for, and in many cases, like their asthma drug, was killing people.
[00:15:18.832 --> 00:15:21.713]  Oh, but they just pay a billion dollar fine off of tens of billions.
[00:15:21.953 --> 00:15:24.093]  They made off one of the drugs that year.
[00:15:24.333 --> 00:15:36.716]  Then you've got Merck, their own virologist coming out and bringing into court in the lawsuit the fact that the MMR shot was actually making people sick and that they knew it was giving it to them.
[00:15:37.057 --> 00:15:42.278]  Kind of like Bill and Melinda Gates and the UN giving people the weaponized
[00:15:44.397 --> 00:15:49.701]  You know, version of the very diseases that they're giving them these vaccines for.
[00:15:49.741 --> 00:15:52.663]  Of course, I'm talking about the latest cases of polio.
[00:15:53.063 --> 00:15:57.186]  I mean, reality is so crazy, it just blows the mind.
[00:15:57.346 --> 00:15:58.928]  Because now it's every day or two.
[00:15:59.668 --> 00:16:12.178]  We're learning that there's Vioxx-level scandals where they know, where Bayer knew for 11 years worldwide they were shipping out hepatitis and HIV-filled Factor VIII blood clotting agents.
[00:16:12.198 --> 00:16:13.599]  It was a death sentence to people.
[00:16:14.199 --> 00:16:15.601]  It isn't that they don't just care.
[00:16:16.061 --> 00:16:18.263]  From our research, they're eugenicists.
[00:16:19.023 --> 00:16:20.725]  They want to kill people.
[00:16:21.465 --> 00:16:22.486]  While they make profits.
[00:16:22.526 --> 00:16:30.456]  In fact, I had the Maker of the Greater Good on a few weeks ago, and Dr. Sherry Timpani, who we're about to talk to, is in it.
[00:16:34.073 --> 00:16:35.333]  We're good to go.
[00:16:53.078 --> 00:16:56.460]  And she said, well, you know, I was a high-level person for Goldman Sachs, which she was.
[00:16:56.820 --> 00:16:58.281]  Very high-level, highest echelons.
