[00:00:21.795 --> 00:00:23.555]  Welcome, it is February 21st, 2012.
[00:00:23.675 --> 00:00:32.558]  I'm Aaron Dyk sitting in on the show while Alex is on the road for his event coming up in Orlando this coming Sunday.
[00:00:32.958 --> 00:00:35.638]  Everyone in that area should really think about checking it out.
[00:00:35.958 --> 00:00:46.301]  Coming up on the show tonight, we are joined by Bryce Shonka of the Tenth Amendment Center to talk about nullification and some amazing legislation that's taking place at the state level
[00:00:46.781 --> 00:00:48.722]  To nullify the NDAA.
[00:00:49.123 --> 00:00:54.226]  It's already happened in Virginia, and they're working on it in Washington State and many other locations.
[00:00:54.266 --> 00:00:55.107]  Stay tuned for that.
[00:00:55.527 --> 00:01:04.293]  Then joining us is Adam Kokesh, who just is on the heels of organizing the Veterans for Ron Paul rally, which was a tremendous success.
[00:01:04.333 --> 00:01:11.577]  The media was forced to cover it, and they're now more and more forced to acknowledge the fact that the troops have chosen Ron Paul as their candidate.
[00:01:11.998 --> 00:01:15.240]  And that is an important issue on the Ron Paul campaign.
[00:01:15.680 --> 00:01:20.101]  And for liberty in general as we fight to bring ourselves back to a constitutional government.
[00:01:20.461 --> 00:01:21.402]  But first, the news.
[00:01:22.702 --> 00:01:29.484]  Monsanto BT GMO corn to be sold at Walmart with no indication it is genetically modified.
[00:01:29.924 --> 00:01:39.727]  Of course, the entire biotech industry has fought heavily against any labeling for their products, attempting to keep people in the dark and take what all studies show to be
[00:01:40.307 --> 00:01:40.987]  We're good to go.
[00:02:01.381 --> 00:02:17.215]  ...saying that Monsanto first unveiled this new variety of GM Sweetcorn back in August, which rivals Syngenta and other Bilderberg players' GM Sweetcorn that has already been on the market in limited form for the past 10 years, claiming it would be available to farmers for planting during fall 2011.
[00:02:18.616 --> 00:02:33.253]  Now the corn appears to be set to make its debut in Walmart stores by this summer, the summer of 2012, unless massive public outcry is able to convince the multinational retailer to scrap the corn or at least voluntarily label it.
[00:02:33.633 --> 00:02:49.419]  Now if you think it's a losing battle to try to fight the monster that's Walmart that's destroyed so many communities and really contributed significantly to driving down wages and over shipping jobs overseas to China and other locales don't give up yet because
[00:02:49.659 --> 00:03:00.023]  Wal-Mart has been pressured to carry a lot of organic products and really voting with your dollars does speak volumes in this GM fight and it's one of the main tools we have.
[00:03:00.403 --> 00:03:07.025]  Of course, most of the GM corn, which is over 90%, is on the market in the form of processed food derivatives.
[00:03:07.325 --> 00:03:09.766]  High fructose corn syrup is a major component.
[00:03:10.907 --> 00:03:16.590]  As are other corn additives like corn oil, corn starch, and other so forth and so on.
[00:03:17.030 --> 00:03:18.051]  Additives from corn.
[00:03:18.131 --> 00:03:21.913]  Soy is a big one too that's completely infiltrated processed food products.
[00:03:22.294 --> 00:03:24.035]  One of the major reasons you should avoid them.
[00:03:24.355 --> 00:03:28.938]  And there's very little way to even tell what's in there because of the deceptive way it's labeled.
[00:03:29.258 --> 00:03:37.063]  But it will be a major setback if GM corn is allowed to come to market and if people begin to eat it up without even knowing what they're getting into.
[00:03:37.463 --> 00:03:49.928]  Now here's a Venn diagram that our great researchers have put together of just a few of the people who have infiltrated government, who had a position at Monsanto, whether it's board member, or a lawyer, or a lobbyist for the firm.
[00:03:49.948 --> 00:03:50.628]  There's so many.
[00:03:51.509 --> 00:03:55.070]  One name I noticed is not on the list is Clarence Thomas, Supreme Court Justice.
[00:03:55.450 --> 00:03:56.731]  He was at Monsanto.
[00:03:57.171 --> 00:04:01.413]  You've got people like Michael Taylor, who's been in and out, and in and out of government.
[00:04:01.733 --> 00:04:04.317]  Now he's one of the most important people at the FDA.
[00:04:04.357 --> 00:04:10.385]  He was a vice president at Monsanto, and before that a legal representative and a lobbyist for Monsanto.
[00:04:10.765 --> 00:04:12.628]  And even Hillary Clinton is on this list.
[00:04:12.948 --> 00:04:19.437]  She used to work for the Rose Law Firm, which represented Monsanto, and she was also on the board of Walmart.
[00:04:19.757 --> 00:04:28.961]  So you can see the great powers coming together, Monsanto, Walmart, getting together on the GMO issue, how dangerous it could be and how infiltrated it is.
[00:04:29.001 --> 00:04:34.122]  The FDA, the USDA, so many other positions in government.
[00:04:34.162 --> 00:04:41.745]  The regulators that are supposed to protect this are actually completely bought and paid for by Monsanto and other biotech companies.
[00:04:42.105 --> 00:04:47.407]  And we really need to take a closer look at this and have an honest conversation and stop this before it's too late.
[00:04:47.427 --> 00:04:48.508]  We just got to stop this.
[00:04:49.108 --> 00:04:51.531]  Now, Paul Watson has written another report.
[00:04:51.591 --> 00:04:56.997]  He loves reporting on these Big Brother technologies because it's just being phased in with no one saying no, ever.
