[00:00:02.301 --> 00:00:02.561]  I think.
[00:00:34.989 --> 00:00:37.031]  It's Wednesday, the 18th of July, 2012.
[00:00:37.071 --> 00:00:40.054]  I'm Alex Jones.
[00:00:40.294 --> 00:00:46.039]  Strap yourselves in for another original edition of InfoWars Nightly News.
[00:00:46.280 --> 00:00:49.743]  And by the way, I have decided to join Obama.
[00:00:50.283 --> 00:00:54.267]  I will be worshipping Lenin and Kim Jong-il coming up.
[00:00:54.327 --> 00:00:54.748]  Stay with us.
[00:00:57.964 --> 00:01:08.707]  Tonight, Alex Jones speaks with Heliophant.com's Louis Lefebvre, the director of the controversial animation that exposes the archetypes of the New World Order.
[00:01:09.087 --> 00:01:14.468]  Then, deputies gun down a man in his own home after knocking on the wrong door.
[00:01:14.768 --> 00:01:23.110]  Plus, Obama's birth certificate is without a doubt a fraudulent document, according to Sheriff Joe Arpaio's investigation.
[00:01:23.470 --> 00:01:26.651]  All that and more on the InfoWars Nightly News.
[00:01:37.822 --> 00:01:45.166]  All right, ladies and gentlemen, for 17 years I have believed in liberty and freedom and small government and rugged individualism.
[00:01:45.706 --> 00:01:50.388]  But Obama, my president, taught me that entrepreneurs are trash.
[00:01:50.689 --> 00:01:52.069]  They didn't build anything.
[00:01:52.490 --> 00:02:01.514]  You're a great artist, sports, literature, an auto mechanic, somebody that worked extra hours to be successful.
[00:02:01.674 --> 00:02:03.135]  You're the problem.
[00:02:03.215 --> 00:02:04.776]  You didn't build
[00:02:05.934 --> 00:02:06.314]  Anything.
[00:02:07.095 --> 00:02:07.975]  Government did.
[00:02:07.995 --> 00:02:13.079]  And I realized, it just hit me, government has done such a great job all over the world.
[00:02:13.319 --> 00:02:16.901]  In fact, the bigger the government, the more wonderful things are.
[00:02:17.342 --> 00:02:20.123]  So, come total state, come.
[00:02:20.704 --> 00:02:23.686]  I want to be assimilated now by the corporate Borg.
[00:02:23.706 --> 00:02:32.672]  So we're going to take you to a clip of our dear, gracious, wondrous Father Obama, who just provides for us out of the cornucopia
[00:02:34.570 --> 00:02:45.715]  Of his loins, I guess, and I just want to thank him and, well, go to the gracious leader explaining to us that it's not just the bitter clingers that have bibles and guns that are the problem.
[00:02:46.416 --> 00:02:47.556]  It's these small businesses.
[00:02:48.737 --> 00:02:48.877]  So...
[00:02:49.875 --> 00:02:53.057]  I'm now going to fully put my support behind Obama.
[00:02:53.077 --> 00:02:54.597]  You saw my endorsement yesterday.
[00:02:54.617 --> 00:02:58.179]  It's up at Infowars.com, but endorsement isn't enough.
