[00:00:21.880 --> 00:00:25.526]  Good evening, this is InfoWars Nightly News, and I'm David Ortiz.
[00:00:25.966 --> 00:00:31.755]  It's Monday, October the 29th of 2012, and here's what we have in store for you tonight.
[00:00:35.421 --> 00:00:38.804]  Tonight, gangs plan hurricane looting spree via Twitter.
[00:00:39.124 --> 00:00:47.830]  And with Hurricane Sandy bearing down on the Northeast, panic buying grips the East Coast as concern mounts about the safety of spent fuel pools at nuclear plants.
[00:00:48.571 --> 00:00:52.494]  Then, globalist vote observers may be arrested in Texas.
[00:00:52.894 --> 00:00:55.396]  That's up next on the InfoWars Nightly News.
[00:01:04.557 --> 00:01:05.117]  Good evening.
[00:01:05.397 --> 00:01:07.418]  Well, here comes Hurricane Sandy.
[00:01:07.898 --> 00:01:14.860]  A major storm has already hit the New England area and the New York metropolitan area as well.
[00:01:15.280 --> 00:01:26.203]  According to an article written by Paul Joseph Watson today that was posted on the Drudge Report, the headline reads, Gangs plan hurricane looting spree via Twitter.
[00:01:26.843 --> 00:01:37.953]  The article says scores of Twitter users have flooded the social networking site announcing their plans to go on looting sprees once Hurricane Sandy makes landfall.
[00:01:38.394 --> 00:01:44.419]  As the New York National Guard announced, it would put troops on duty in Long Island to prevent such activity.
[00:01:44.819 --> 00:01:48.523]  The article goes on to read that about 1,100 National Guard troops
[00:01:49.083 --> 00:01:54.527]  We'll be patrolling the area, and this is obviously going to continue.
[00:01:55.588 --> 00:01:59.391]  The topic of looting, we've been talking about that for quite a long time now.
[00:02:00.732 --> 00:02:08.217]  Obviously, the more the economy collapses, the more you see on Twitter that people are threatening to loot.
[00:02:08.778 --> 00:02:12.941]  And later on in the article it reads, it shows some of the Twitter hits.
[00:02:14.071 --> 00:02:17.557]  One of them says, I'm looting if she gets crazy tomorrow.
[00:02:17.617 --> 00:02:19.159]  Referring to the storm, obviously.
[00:02:19.720 --> 00:02:22.285]  Another one reads, y'all gonna get hit by Sandy.
[00:02:23.066 --> 00:02:24.749]  Should meet up and go looting.
[00:02:25.666 --> 00:02:30.228]  I'm looting today in preparation for the hurricane, and it just goes on and on.
[00:02:30.308 --> 00:02:32.788]  Another one reads, so when does the looting start?
[00:02:33.449 --> 00:02:37.830]  And obviously, as you can see by the photos, these are individuals of different ethnicities.
[00:02:38.670 --> 00:02:44.932]  It just seems that more and more Americans seem to want to loot if times get bad.
[00:02:44.972 --> 00:02:52.235]  And again, as the economy continues to collapse, as the police state continues to grow and people continue to get upset,
[00:02:52.995 --> 00:02:55.176]  You will see more threats of looting.
[00:02:55.216 --> 00:03:05.880]  Now last week we talked about how many people on Twitter, and this isn't just 5 or 10 or 20 people, this is thousands upon thousands upon thousands of people on Twitter that are threatening to loot.
[00:03:06.261 --> 00:03:11.243]  Last week, there were many people who were threatening to loot if Obama lost the election.
[00:03:12.283 --> 00:03:18.528]  As if to insinuate that Obama is such a wonderful president, almost like Gandhi, and how dare we take him away from us.
[00:03:18.568 --> 00:03:19.569]  He's so wonderful.
[00:03:19.990 --> 00:03:25.334]  But we did a story on that last week, how many people on Twitter threatened to loot as well.
[00:03:25.614 --> 00:03:29.177]  And these are tens, these are thousands of people who are threatening to do this.
[00:03:29.757 --> 00:03:36.663]  And sadly, this is going to be a common occurrence as the economy continues to collapse.
[00:03:36.703 --> 00:03:40.086]  People are going to look for an excuse to get some food on the table.
[00:03:40.626 --> 00:03:42.087]  To get some goods in their home.
[00:04:11.007 --> 00:04:12.710]  You know, the Giants won in four games.
[00:04:12.750 --> 00:04:15.275]  Could you imagine what they would have done had they lost?
[00:04:16.579 --> 00:04:21.803]  But sadly, this is something that we often see, a dynamic we often see when people's sports teams win.
[00:04:22.483 --> 00:04:28.788]  People think the best way to celebrate it is by hurting their neighbors and torturing cars and local businesses.
[00:04:29.328 --> 00:04:40.556]  The article read that police were forced to break up riots in San Francisco last night as Giants fans celebrated a World Series victory by setting fires, smashing up vehicles, and letting off fireworks in the street.
[00:04:41.076 --> 00:04:55.458]  Posing the question, again, if Americans are willing to riot over a baseball game taking place in another city, how will they react to a contentious presidential election result or a breakdown in order following this week's Frankenstein?
[00:04:56.761 --> 00:04:57.361]  So there you go.
[00:04:57.382 --> 00:05:03.586]  There's more rioting and we just continue to see this unfold throughout the nation and that's what the globalists want.
[00:05:03.806 --> 00:05:09.130]  The globalists want this because then they get to pose as saviors and say, you know what, we're going to need a surveillance state.
[00:05:09.150 --> 00:05:12.012]  We're going to need a police state to protect you from yourselves.
[00:05:12.572 --> 00:05:19.898]  They won't say that the reason why this is going on is because most Americans are broke or in a horrible job or their dollar is being devaluated.
[00:05:19.998 --> 00:05:20.558]  No, no, no.
[00:05:20.978 --> 00:05:22.500]  We're doing this because we're evil.
[00:05:23.280 --> 00:05:31.462]  Now, despite the economic collapse, despite the situation we find ourselves in, we encourage people who are watching this newscast to not participate in this.
[00:05:31.842 --> 00:05:32.782]  We're better than this.
[00:05:32.882 --> 00:05:34.323]  We need to yell at the globalists.
[00:05:34.683 --> 00:05:37.423]  We need to protest against the globalists.
[00:05:37.443 --> 00:05:41.724]  Could you imagine if people were out on the streets like this over the NDAA bill?
[00:05:42.324 --> 00:05:43.885]  Or over the surveillance state?
[00:05:44.405 --> 00:05:47.506]  Or over children being chipped in San Antonio?
[00:05:47.886 --> 00:05:48.966]  Or over corruption?
[00:05:50.560 --> 00:05:58.411]  The knuckleheads in Washington wouldn't be doing what they're doing, so we obviously encourage people to remain peaceful throughout this time.
[00:05:59.413 --> 00:06:00.454]  And in other news...
[00:06:01.570 --> 00:06:07.552]  Panic, another article written today on InfoWars.com reads, Panic buying grips the East Coast.
[00:06:07.912 --> 00:06:10.633]  Mad rush for supplies ahead of Megastorm.
[00:06:10.993 --> 00:06:20.476]  And this talks about how many people are fighting over the past several days and right now as we speak to get their hands on food, to get some gas, to fill up their tanks.
[00:06:21.816 --> 00:06:28.722]  And, um, the article reads, while many people are still trying to make up their minds about the potential severity of the storm threatening the U.S.
[00:06:28.782 --> 00:06:37.429]  Northeast, it's not stopping millions of concerned residents from racing to grocery stores, gas stations, and hardware deposits in droves.
[00:06:37.489 --> 00:06:43.394]  Now, if we scroll down that article, we'll see that there is a picture that was tweeted recently.
[00:06:43.414 --> 00:06:44.315]  This is a real picture.
[00:06:44.355 --> 00:06:46.136]  This isn't a stock footage.
[00:06:47.157 --> 00:06:47.777]  We're good.
[00:07:06.124 --> 00:07:09.807]  It's an independent promoter called Gray State and they show scenes like that as well.
[00:07:10.187 --> 00:07:15.471]  Empty grocery stores and again this is all part of the economic collapse.
[00:07:15.851 --> 00:07:18.813]  Now right now we're going to speak to Dan Badondi.
[00:07:19.154 --> 00:07:20.675]  He's one of our fellow reporters.
[00:07:20.735 --> 00:07:24.878]  Dan Badondi is in Rhode Island right now in the heart of the storm.
[00:07:25.398 --> 00:07:27.780]  He went to go visit his family this past weekend.
