[00:00:00.384 --> 00:00:01.825]  You've got it.
[00:00:01.945 --> 00:00:07.347]  This transmission is coming to you.
[00:00:07.448 --> 00:00:11.550]  Waging war on corruption.
[00:00:11.810 --> 00:00:17.433]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:22.888 --> 00:00:26.030]  You got it.
[00:00:26.070 --> 00:00:27.230]  We see the urn now.
[00:00:28.471 --> 00:00:31.873]  You got it.
[00:00:31.933 --> 00:00:32.513]  We see the urn.
[00:00:34.054 --> 00:00:37.235]  You got it.
[00:00:37.275 --> 00:00:38.276]  We see the urn now.
[00:00:49.678 --> 00:00:53.101]  Oh, it's Sunday, ladies and gentlemen, and it is September 9th, 2012.
[00:00:53.481 --> 00:00:56.263]  And I'm your host, Alex Jones.
[00:00:56.283 --> 00:00:58.024]  We're going to be here for the next two hours.
[00:00:59.866 --> 00:01:01.006]  Monday through Friday, we're here.
[00:01:01.026 --> 00:01:02.107]  12 noon to 3 p.m.
[00:01:02.147 --> 00:01:02.487]  Eastern.
[00:01:03.448 --> 00:01:04.509]  Three-hour transmission.
[00:01:04.549 --> 00:01:07.951]  Sundays, it's 4 to 6 Central, 5 to 7 Eastern.
[00:01:07.971 --> 00:01:11.114]  2 to 4 Pacific, 3 to 5 Mountain.
[00:01:12.354 --> 00:01:15.657]  And I've got a lot of news I want to go over today.
[00:01:15.677 --> 00:01:17.018]  A ton of it, in fact.
[00:01:18.436 --> 00:01:33.421]  But more importantly than just the general, you know, daily incredible developments, is the fact that observing people in public, watching television, studying the culture, it really hit me.
[00:01:35.041 --> 00:01:38.102]  Something we've said many times, but that it really is true.
[00:01:39.163 --> 00:01:41.784]  And daily, weekly, monthly, more and more true.
[00:01:42.504 --> 00:01:45.485]  That the general public is in a false reality.
[00:01:47.210 --> 00:01:48.492]  They behave like children.
[00:01:49.533 --> 00:01:50.754]  They're simple-minded.
[00:01:51.495 --> 00:01:57.342]  Even if they have high IQs, they are just so incredibly innocent.
[00:01:58.784 --> 00:02:01.007]  In fact, innocent isn't enough of a word.
[00:02:01.367 --> 00:02:03.170]  They are domesticated.
[00:02:05.353 --> 00:02:12.500]  They are like a guinea pig that lives in a cage and thinks that the people feeding it are nice.
[00:02:12.701 --> 00:02:21.109]  It notices there's five or six other guinea pigs and sometimes one of them disappears, never comes back, and more guinea pigs get put in.
[00:02:21.550 --> 00:02:27.155]  And then finally one day they're sitting there eating their food, drinking their water, and the hand comes in and gets them and takes them.
[00:02:28.297 --> 00:02:36.785]  Uh, into another room, and they see a new cage, a new container, and they get thrown into that, and there's a scary-looking thing.
[00:02:37.345 --> 00:02:38.246]  And there's nowhere to get out.
[00:02:38.326 --> 00:02:44.632]  It scrabbles at the side of the glass and begs for mommy and daddy, the humans that bring it food, but they don't come.
[00:02:44.812 --> 00:02:48.335]  And the big snake wraps around it, crushes it, and then swallows it whole.
[00:02:49.577 --> 00:02:51.137]  And that's what the public's like.
[00:02:52.198 --> 00:03:07.622]  I listen in restaurants, I listen where I work out, I listen when I'm swimming around in the lake or the river or the pool or the pond, Barton Springs, and I listen to people sitting there wearing a fedora or a baseball cap so people don't know who I am.
[00:03:07.642 --> 00:03:09.923]  If I speak, most people end up being listeners.
[00:03:10.103 --> 00:03:10.603]  It's amazing.
[00:03:11.343 --> 00:03:14.726]  And I just hear how, yeah, Fred, he disappeared, yeah.
[00:03:15.126 --> 00:03:18.449]  Oh yeah, the mother, she's an executive, yeah.
[00:03:18.469 --> 00:03:20.851]  They don't care that she makes $300,000 a year.
[00:03:21.151 --> 00:03:27.677]  They found THC in her blood when she went in to have her child, and she's 41, and the CPS took the kid.
[00:03:31.260 --> 00:03:31.800]  They're like...
[00:03:34.692 --> 00:03:41.138]  I mean, the general public is a prey animal, and the criminals have now created a unified field of corruption.
[00:03:41.378 --> 00:03:46.843]  They're mopping up the final areas of freedom and anything decent, and they're removing due process.
[00:03:47.444 --> 00:03:49.165]  They are above the law and completely criminal.
[00:03:50.166 --> 00:03:53.269]  And they've created this full-spectrum attack.
[00:03:54.383 --> 00:03:59.406]  So I have a little set of notes here today that after I cover some news I'm going to get into.
[00:04:00.006 --> 00:04:01.087]  Number one, this is real.
[00:04:01.127 --> 00:04:02.748]  That's the point I want to impart to the listeners.
[00:04:02.788 --> 00:04:04.749]  I mean, I'm not up here trying to scare you.
[00:04:04.769 --> 00:04:05.950]  In fact, I hold back, OK?
[00:04:07.050 --> 00:04:07.431]  And you know what?
[00:04:07.451 --> 00:04:08.711]  I'm not a guinea pig, OK?
[00:04:08.772 --> 00:04:10.853]  And I know there's a big fat snake over there in that cage.
[00:04:11.093 --> 00:04:12.934]  And I'm watching it eat people worldwide.
[00:04:12.954 --> 00:04:17.497]  And you know, it's telling me it loves me and it's liberal and, you know, it's a nanny state.
[00:04:18.237 --> 00:04:20.038]  And I guess you do take care of the rats or
[00:04:22.785 --> 00:04:25.126]  The baby mice, the pinkies you feed to snakes.
[00:04:25.166 --> 00:04:30.208]  I mean, I guess you do take care of it before you eat them politically, financially, societally.
[00:04:30.228 --> 00:04:32.309]  Talk about the globalists being above the law.
[00:04:32.709 --> 00:04:37.391]  How a disinfo campaign works, I will expose the hoax factory.
[00:04:38.151 --> 00:04:41.993]  Also, a Jenna 21 special report with Melissa Melton, amazing report.
[00:04:42.693 --> 00:04:46.194]  And what no due process means for you and your family.
[00:04:46.454 --> 00:04:47.535]  It means no security.
[00:04:49.093 --> 00:04:52.079]  Prepare for the globalists to give you a high-tech gang raping.
[00:04:52.380 --> 00:04:56.528]  They already are injecting your food, your water, with things to kill you.
[00:04:57.109 --> 00:04:58.331]  But first, torture you slowly.
[00:04:59.801 --> 00:05:09.988]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[00:05:10.428 --> 00:05:20.635]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[00:05:21.576 --> 00:05:28.922]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[00:05:29.142 --> 00:05:36.008]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[00:05:36.348 --> 00:05:40.772]  This product was designed to be an invaluable part of your vital preparations.
[00:05:41.132 --> 00:05:48.438]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[00:05:48.638 --> 00:05:58.500]  Please visit our website at www.SilverLungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[00:06:03.061 --> 00:06:07.102]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.643 --> 00:06:13.564]  If you are receiving this transmission, you are the resistance.
[00:06:21.169 --> 00:06:29.809]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:33.214 --> 00:06:36.558]  We are blasting out worldwide, ladies and gentlemen.
[00:06:36.598 --> 00:06:41.103]  It is the Sunday edition of my six-day-a-week radio transmission.
[00:06:41.123 --> 00:06:42.564]  We're here Monday through Friday, 11 a.m.
[00:06:42.945 --> 00:06:43.405]  to 2 p.m.
[00:06:43.425 --> 00:06:53.776]  Central, coming to you from deep in the heart of Texas, with over 80 stations on the Sunday show picking it up, like our local great affiliate, Number One and Talk.
[00:06:54.719 --> 00:07:03.105]  NewsRadio 590, KLBJ, great stations like WNOX, right there in Knoxville, Tennessee, and so many others.
[00:07:03.625 --> 00:07:06.567]  Over 115 stations picking up the weekday show.
[00:07:07.047 --> 00:07:11.771]  And it is a testament, as well as XM 166 picks up the weekday show.
[00:07:12.251 --> 00:07:14.352]  Three million listeners a day, conservatively.
[00:07:15.053 --> 00:07:16.874]  Tens of millions a week on YouTube.
[00:07:17.595 --> 00:07:20.717]  Millions of visitors, over a million a day to Infowars.com.
[00:07:21.157 --> 00:07:23.599]  About 600,000 a day to PrisonPlanet.com.
[00:07:24.139 --> 00:07:32.887]  We are able to do this because the people are starting to wake up and liberty lovers, not just in the U.S., but worldwide, are supporting this transmission.
[00:07:33.187 --> 00:07:46.158]  But you are tuning in, if you're a new listener, to the number one patriot, liberty, freedom, constitutionalist, pro-sovereignty, pro-America program in the world.
[00:07:46.619 --> 00:07:47.339]  No doubt about it.
[00:07:48.300 --> 00:07:48.941]  No doubt about it.
[00:07:50.214 --> 00:07:54.796]  And you notice I didn't say conservative, because that's a term that doesn't mean anything today.
[00:07:55.377 --> 00:07:58.258]  As long as you're against the Democratic Party, it means you're conservative.
[00:07:58.478 --> 00:07:59.759]  You can be for banning guns.
[00:07:59.799 --> 00:08:00.859]  You can be for abortion.
[00:08:01.079 --> 00:08:02.260]  You can be for open borders.
[00:08:02.280 --> 00:08:03.641]  You can be for carbon taxes.
[00:08:03.861 --> 00:08:05.221]  You can be for banker bailouts.
[00:08:05.461 --> 00:08:11.284]  As long as you don't like the disgusting, degenerate Democratic Party, you're a conservative.
[00:08:11.604 --> 00:08:12.425]  Well, you know what?
[00:08:12.505 --> 00:08:14.786]  I don't like the disgusting Republican Party either.
[00:08:16.072 --> 00:08:19.704]  I am someone who wants freedom, and I'm not anybody's slave.
[00:08:20.834 --> 00:08:25.317]  And I know what's going on, and I'm angry about it, and I'm here to wake up my fellow humans.
[00:08:25.697 --> 00:08:39.805]  Whether they be black, white, Hispanic, Asian, old, young, whether they be from China, whether they be from Mexico, whether they be from Canada, whether they be from Germany, whether they be from Israel, whether they be from South Africa, I don't care where you're from!
[00:08:39.825 --> 00:08:42.326]  You can be an Inuit up in Alaska!
[00:08:42.867 --> 00:08:44.348]  I want you to have freedom!
[00:08:44.588 --> 00:08:46.249]  I want you to live long and prosper!
[00:08:46.489 --> 00:08:48.250]  I want your children to have a fair shake!
[00:08:49.215 --> 00:08:50.757]  I know what comes around goes around.
[00:08:50.797 --> 00:08:52.799]  For me to be free, you gotta be free.
[00:08:53.039 --> 00:08:54.141]  I don't like oligarchs.
[00:08:54.401 --> 00:08:55.622]  I don't like monopoly men.
[00:08:55.823 --> 00:08:56.704]  I don't like bullies.
[00:08:56.904 --> 00:08:57.905]  I don't like thugs.
[00:08:58.105 --> 00:09:00.388]  I don't like globalists trying to set up a new dark age.
[00:09:00.608 --> 00:09:01.669]  And I'm angry about it!
[00:09:01.950 --> 00:09:03.391]  And I'm not going along with it!
[00:09:04.653 --> 00:09:05.534]  I'm red-blooded!
[00:09:05.734 --> 00:09:08.657]  And the people out there that don't like it better get used to it!
[00:09:09.400 --> 00:09:15.461]  Because being a man and standing up for freedoms back in style, I am nothing special.
[00:09:15.901 --> 00:09:23.043]  If we were living back in 1776, it shows how domesticated and pathetic we've gotten that I'm something special today.
[00:09:24.003 --> 00:09:28.144]  Because what you're hearing is Americana 110%.
[00:09:28.444 --> 00:09:31.865]  And if you don't like it, you should move to North Korea!
[00:09:34.225 --> 00:09:35.405]  I am fired up!
[00:09:35.685 --> 00:09:38.326]  I'm ready to kick some collectivist, globalist butt!
[00:09:41.121 --> 00:09:42.181]  Let me just stop right there.
[00:09:45.002 --> 00:09:59.245]  Sometimes, you know, I go home Friday night and then over the weekend I'm out in public and I hear stories and I see news and things unfold that get me so upset that I am just absolutely boiling to get back in here in front of the radio.
[00:09:59.645 --> 00:10:01.746]  And we're going to do it today here, ladies and gentlemen.
[00:10:01.766 --> 00:10:05.567]  We're going to break down the real society that we live under.
[00:10:06.545 --> 00:10:09.167]  Exactly what we face and where we're going.
[00:10:09.527 --> 00:10:11.609]  And just give you a snapshot of the day's news.
[00:10:12.830 --> 00:10:18.954]  But here is just some notes that I wrote right before I went on air about an hour ago.
[00:10:19.694 --> 00:10:22.937]  Just thinking about some of the points I want to be sure that we cover today.
[00:10:24.538 --> 00:10:25.499]  Number one, this is real.
[00:10:25.539 --> 00:10:26.900]  I'm gonna get to that first in a moment.
