[00:00:04.409 --> 00:00:04.730]  We're good.
[00:00:36.434 --> 00:00:38.197]  It's Tuesday, October 9th, 2012.
[00:00:40.040 --> 00:00:50.435]  I'm Alex Jones, and this is yet another original, teleprompter-free, pro-liberty and pro-humanity edition of InfoWars Nightly News.
[00:00:50.755 --> 00:00:51.336]  Get ready!
[00:00:54.935 --> 00:01:00.879]  Tonight, Big Pharma exposes 13,000 people to contaminated meningitis shots.
[00:01:01.339 --> 00:01:06.383]  Plus, simply taking photos of the weather now means you are a terrorist.
[00:01:06.743 --> 00:01:08.964]  Then, smartphones for the brain.
[00:01:09.284 --> 00:01:12.346]  Transhumanists look into our cyborg future.
[00:01:12.727 --> 00:01:15.569]  All that and more on the InfoWars Nightly News.
[00:01:25.054 --> 00:01:49.759]  The news is coming up, but first off, I want to invite you to join us tomorrow night, because I've sent out three of our reporters to Austin, Texas, where this transmission originates from, to talk to local Austinites, and to find out if they agree with the Obama phone lady that they deserve free goodies, that Obama gave them a phone, and that Obama's going to do more in his next administration.
[00:01:50.679 --> 00:02:08.961]  Obviously they don't know that energy prices have gone up and that many states and the federal government tag bills onto cell phone owners and they also tag bills onto power bills and things like that to pay for all of these great freebies that they think that they're getting.
[00:02:09.762 --> 00:02:21.208]  Uh, and, uh, we just found a lot of people that think Obama, uh, gave them money four years ago for voting for him, and is going to give them, uh, more money in the future.
[00:02:21.268 --> 00:02:25.470]  Just incredible domestication, uh, and dependency.
[00:02:25.490 --> 00:02:29.992]  We've got two different reports with three different reporters, uh, tomorrow night.
[00:02:30.152 --> 00:02:31.073]  Uh, Darren McBreen.
[00:02:31.913 --> 00:02:32.294]  I think so.
[00:02:47.386 --> 00:02:47.826]  Obama!
[00:02:47.886 --> 00:02:49.007]  You got Obama phone?
[00:02:49.047 --> 00:02:49.407]  Yes!
[00:02:49.507 --> 00:02:52.750]  Everybody in Cleveland, low minority, got Obama phone!
[00:02:52.990 --> 00:02:55.091]  Keep Obama in President, you know?
[00:02:55.572 --> 00:02:56.592]  He gave us a phone!
[00:02:56.953 --> 00:02:57.553]  He gave you a phone?
[00:02:57.653 --> 00:02:58.634]  He's gonna do more!
[00:02:58.674 --> 00:02:59.895]  How'd he give you a phone?
[00:02:59.915 --> 00:03:05.418]  You sign up, you're on full stamps, you're on Social Security, you got low income, you disability!
[00:03:05.458 --> 00:03:06.559]  I have a question.
[00:03:06.819 --> 00:03:08.200]  Okay, what's wrong with Romney again?
[00:03:08.360 --> 00:03:08.821]  Romney?
[00:03:09.081 --> 00:03:09.781]  He sucks!
[00:03:09.861 --> 00:03:10.362]  He can't!
[00:03:13.686 --> 00:03:16.469]  And again, some people like to laugh at that lady.
[00:03:17.009 --> 00:03:23.796]  It's very, very sad that their hopes and dreams are to elect someone who will take from others to give to them.
[00:03:25.222 --> 00:03:26.983]  That is the opposite of the American dream.
[00:03:27.023 --> 00:03:28.083]  That's the American nightmare.
[00:03:28.644 --> 00:03:33.206]  Now, here's a clip that Jakari Jackson got, and we've got quite a bit of this stuff coming up tomorrow night.
[00:03:33.286 --> 00:03:39.928]  It's definitely going to be newsmaking, where people say, yeah, Obama gave me $200 because I voted for him.
[00:03:40.789 --> 00:03:41.829]  Here is that clip.
[00:03:42.690 --> 00:03:44.150]  You say he's helped you out.
[00:03:44.731 --> 00:03:46.071]  Can you name one way that he's helped you out?
[00:03:46.471 --> 00:03:49.933]  He gave me $200 when we turned the president.
[00:03:50.794 --> 00:03:52.035]  You got $200 from Obama?
[00:03:52.075 --> 00:03:58.460]  He gave everybody that had a disability $200 when he turned president.
[00:03:58.900 --> 00:04:00.742]  I remember that because I got $200.
[00:04:01.683 --> 00:04:02.804]  But that ain't the reason.
[00:04:02.824 --> 00:04:06.206]  Did you get it in a check or how did the $200 go?
[00:04:06.306 --> 00:04:08.408]  Well, I had to wait five years to get it.
[00:04:09.529 --> 00:04:11.831]  So you filled out an application or what was the process?
[00:04:11.891 --> 00:04:15.354]  Well, uh, you're not on there.
[00:04:15.394 --> 00:04:19.017]  You gotta go to, uh, I ended up in a mental hospital.
[00:04:20.675 --> 00:04:29.999]  So, there you go, and there are a lot of sad people out there who basically have had their hopes and dreams, in my view, ruined by government.
[00:04:30.059 --> 00:04:34.621]  And he goes on to say, you know, I didn't vote for him because of the money, but he's a good guy, he gave me money.
[00:04:35.021 --> 00:04:43.604]  I remember when Bush first got elected, they announced, Bush is going to give you $300, all taxpayers, and $300 came with a letter saying Bush had given it to me.
[00:04:43.624 --> 00:04:45.405]  In fact, for tomorrow's report,
[00:04:45.985 --> 00:04:46.946]  I mean, I know that happened.
[00:04:46.966 --> 00:04:49.287]  It was big news at the time, like 2002.
[00:04:50.448 --> 00:04:54.531]  Pull up where Bush, this is bipartisan, gave everybody, I think it was $300.
[00:04:55.952 --> 00:05:01.476]  But then I remember when Obama first got elected, it was checks going out to everybody, not just people with disabilities.
[00:05:02.336 --> 00:05:03.717]  And people think, oh my God, I got $300.
[00:05:04.778 --> 00:05:11.965]  They don't realize all the different fines and fees and taxes and regulations and all of it that are out there.
[00:05:12.005 --> 00:05:13.767]  So, a big report.
[00:05:13.807 --> 00:05:18.171]  That's just a small taste of what is coming up tomorrow night.
[00:05:18.551 --> 00:05:21.794]  Now, let's go to our top story this evening.
