[00:00:19.830 --> 00:00:21.091]  Welcome, ladies and gentlemen.
[00:00:21.131 --> 00:00:25.813]  It is Tuesday, March 20th, 2012 on the InfoWars Nightly News.
[00:00:26.313 --> 00:00:27.053]  I'm Aaron Dykes.
[00:00:27.233 --> 00:00:31.695]  As you know, for over a week, the Nightly News has been in the middle of a pit stop.
[00:00:31.935 --> 00:00:46.782]  We're pulled over on the side of the road so we could change the tires, fill up the gas tank, but also coordinate our staff, regroup, figure out what is the best way to present a total info bomb in a shorter, more compact, more deadly Nightly News program.
[00:00:47.483 --> 00:00:55.273]  Deadly, that is, against the poisonous lies of the mainstream media, the dying dinosaur media, against the agenda of the New World Order.
[00:00:55.553 --> 00:00:58.737]  How can we get the message out to people in a more hard-hitting way?
[00:00:59.058 --> 00:01:00.179]  That's what we're figuring out.
[00:01:00.219 --> 00:01:04.044]  We're recruiting new talent and we're going to hit them hard when we come back next week.
[00:01:04.625 --> 00:01:12.889]  In the meantime, we're going to give you a chance to take a look at some of the best programs we've had in the initial run of the InfoWars Nightly News.
[00:01:13.229 --> 00:01:22.153]  And with that said, we take you back to a certain point in time, a slice in the progression of tyranny as they were pursuing a clampdown on the Internet.
[00:01:22.773 --> 00:01:27.098]  Not yet sure if it would be in the form of PIPA or ACTA or SOPA.
[00:01:27.458 --> 00:01:32.604]  Not yet knowing that activists would stop it dead in its tracks, although they're sure to regroup.
[00:01:32.884 --> 00:01:41.674]  It was at a certain point in the time when the Senate had just passed the National Defense Authorization Act, but Obama was still saying he wouldn't sign that legislation.
[00:01:41.974 --> 00:01:44.377]  He of course later did, essentially in the dark of night.
[00:01:44.837 --> 00:02:05.906]  On New Year's Eve, knowing that no one would cover it in the so-called mainstream media, probably even realizing that a lot of the alternative media would be slow to pick up on the fact that he signed the Bill of Rights nullifying legislation that says they can indefinitely detain Americans, put them in a black hole, never give them trial, never give them due process, any of it.
[00:02:07.042 --> 00:02:10.443]  So what else happened on this important December 9th episode?
[00:02:10.584 --> 00:02:24.430]  Alex interviewed two of the top climate change skeptics who have stopped dead in its tracks the United Nations agenda to take over the entire globe under the auspices of global warming control.
[00:02:25.250 --> 00:02:29.552]  That's because they had the Durban climate talks in South Africa, but
[00:02:29.972 --> 00:02:34.918]  They went head-to-head with Lord Christopher Monckton and with the Climate Depot's Mark Moreno.
[00:02:35.279 --> 00:02:40.405]  Both of those guests joined Alex on the program tonight to discuss what the agenda is.
[00:02:40.686 --> 00:02:47.755]  They were trying to get the first world to pay money out to the third world for climate change development, blah, blah, blah.
