[00:00:00.009 --> 00:00:02.591]  Alex Jones Broadcasting Network.
[00:00:08.095 --> 00:00:08.756]  Big Brother.
[00:00:09.396 --> 00:00:10.437]  Mainstream media.
[00:00:11.177 --> 00:00:12.318]  Government cover-ups.
[00:00:12.919 --> 00:00:13.759]  You want answers?
[00:00:14.520 --> 00:00:15.461]  Well, so does he.
[00:00:16.061 --> 00:00:19.664]  He's Alex Jones on the GCN Radio Network.
[00:00:20.264 --> 00:00:24.367]  And now, live from Austin, Texas, Alex Jones.
[00:00:44.232 --> 00:00:50.434]  Ladies and gentlemen, we are live, and it is Thursday, the 13th day of December 2012.
[00:00:50.594 --> 00:00:59.217]  We have several special reports that are going to be premiering here on the radio broadcast today, dealing with several very important geopolitical issues.
[00:01:00.677 --> 00:01:12.341]  Dr. Russell Blaylock did not make the show a few days ago, but he will be joining us to talk about statin drugs and the neurological disorders increasing and the fact that
[00:01:13.334 --> 00:01:21.121]  The media and the medical establishment knows full well it's because people are not getting the healthy fats their brains are made out of.
[00:01:21.682 --> 00:01:24.164]  That amongst the cytotoxins that are in the diet.
[00:01:24.484 --> 00:01:32.091]  But we'll first get his take on Obamacare now going into place and I have a big stack of news here.
[00:01:33.112 --> 00:01:47.518]  Just, just, just in the last three years, two and a half years since Obamacare, quote, became law, just in anticipation of it going into effect here in about three weeks, two and a half weeks, it went up roughly 25% nationwide.
[00:01:47.618 --> 00:01:51.820]  And I have those numbers here out of Bloomberg and other publications.
[00:01:52.933 --> 00:01:55.216]  Now it's set to double.
[00:01:56.358 --> 00:02:08.093]  Many premiums are set to double on top of not just the general premiums but also the deductibles and much more.
[00:02:09.034 --> 00:02:12.616]  So, we're going to be going over the wonderful free health care you're going to be getting.
[00:02:12.996 --> 00:02:33.708]  Yeah, you pay extra money to the insurance companies, a direct tax to the private mega banks, and now government runs health care completely, and so they will tell the doctors what treatments they can give you, just in case you happen to have a good doctor that knows to give you the generic drug or a drug that's old but not the new thing that doesn't really work.
[00:02:34.069 --> 00:02:37.491]  Well, the government can now, controlled by big pharma, and
[00:02:38.371 --> 00:02:43.755]  Also, the megabanks can say, well, take this new expensive drug that doesn't even work.
[00:02:43.815 --> 00:02:47.638]  So, your doctor is now a government-programmed computer.
[00:02:47.698 --> 00:02:49.019]  This is what's phasing in.
[00:02:49.059 --> 00:02:58.786]  That's why some estimates show that upwards of 40 percent, you can pull this up, upwards of 40 percent of doctors in some fields are leaving.
[00:03:00.768 --> 00:03:03.530]  By the way, my dad is in healthcare.
[00:03:04.932 --> 00:03:14.082]  And major medical divisions that provide dental care but also other medical care are just shutting down.
[00:03:15.684 --> 00:03:18.787]  The corporations have made the decision to just cease business.
[00:03:20.369 --> 00:03:24.774]  I mean America is now entering the phase of where people leave Venezuela.
[00:03:25.632 --> 00:03:27.033]  Corporations leave Russia.
[00:03:27.313 --> 00:03:29.796]  Corporations leave other authoritarian systems.
[00:03:30.917 --> 00:03:33.979]  And so, that's the medium-sized companies.
[00:03:33.999 --> 00:03:37.962]  People will think of these as big companies because they're, you know, worth hundreds of millions of dollars.
[00:03:38.123 --> 00:03:40.024]  That's actually a medium-sized company.
[00:03:40.465 --> 00:03:43.447]  So the medium-sized companies are saying, well, this business is over.
[00:03:45.349 --> 00:03:48.531]  And government is busy taking over the rest of healthcare.
[00:03:49.452 --> 00:03:51.414]  I got to twist my dad's arm to come on air.
[00:03:51.474 --> 00:03:53.696]  The stuff he could tell you, but he doesn't want to do it.
[00:03:55.199 --> 00:03:56.680]  Because a lot of it's proprietary.
[00:03:56.940 --> 00:04:06.947]  And that's the problem, is that you work at these corporations and these companies and they tell you you're not allowed to talk about this.
[00:04:07.647 --> 00:04:13.931]  And when you're not allowed to talk about something and you sign a nondisclosure and you agree to it, that's the way it is.
[00:04:13.951 --> 00:04:17.133]  It's the same way I were a journalist had.
[00:04:17.674 --> 00:04:23.878]  And if I'm in a meeting with somebody, even if they're a globalist I happen to meet or run into or I accept a meeting with,
[00:04:25.809 --> 00:04:31.272]  Once something's off record, it's off record, unless it's, you know, a felony being committed in front of my eyes.
[00:04:32.153 --> 00:04:35.815]  Because if you ever break confidence, then you never get the sources again.
[00:04:37.762 --> 00:04:41.865]  My problem is so many times people tell you stuff and don't say, by the way, this is in confidence.
[00:04:42.665 --> 00:04:45.147]  And then you start talking about it and they're like, hey, don't talk about that.
[00:04:45.207 --> 00:04:45.867]  Okay.
[00:04:46.608 --> 00:04:55.834]  So it's actually one of the things that tortures me is trying to always maintain that, uh, you know, honorable, uh, trait.
[00:04:55.934 --> 00:04:57.075]  All right.
[00:04:57.235 --> 00:04:58.175]  Big news ahead.
[00:04:58.215 --> 00:04:59.416]  I'll, I'll give it all to you.
[00:04:59.436 --> 00:05:00.917]  Uh, straight ahead.
[00:05:00.937 --> 00:05:01.678]  We'll be right back.
[00:05:01.698 --> 00:05:02.118]  Stay with us.
[00:05:03.294 --> 00:05:12.218]  If you've ever wanted to be able to produce boiling hot water anytime, anywhere, with absolutely no power whatsoever, then this is going to be the most important message you'll ever hear.
[00:05:12.298 --> 00:05:12.939]  Here's why.
[00:05:12.979 --> 00:05:19.101]  There's a brand new self-reliance product available that makes producing piping hot water in any emergency fast and easy.
[00:05:19.262 --> 00:05:22.083]  Introducing the Hot Water Rocket from Solutions from Science.
[00:05:22.363 --> 00:05:27.246]  The Hot Water Rocket is lightweight, extremely durable, and generates boiling hot water using only the sun.
[00:05:27.306 --> 00:05:29.127]  Simply add water and place outside.
[00:05:29.167 --> 00:05:39.894]  Whether you're in the aftermath of a hurricane and have lost your power, hunting in a remote area, or hiking on one of your favorite trails, the Hot Water Rocket will be one of the most important pieces of survival equipment you'll ever own.
[00:05:40.034 --> 00:05:49.120]  Order now, and you'll also receive our two hard-hitting reports, Peak Water, why clean water could soon be as valuable as oil, and 77 items that disappear from store shelves in a crisis.
[00:05:49.480 --> 00:05:53.464]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:06:10.740 --> 00:06:16.624]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:06:17.485 --> 00:06:27.572]  Our most popular silver-based products are the 32-ounce Nano-Silver solutions, our 2-ounce Nano-Silver nasal applicators, as well as our all-natural silver soaps.
[00:06:28.453 --> 00:06:31.735]  Just released is our 100% natural silver gel.
[00:06:32.596 --> 00:06:38.781]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:06:39.501 --> 00:06:49.893]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:06:50.748 --> 00:06:58.492]  Visit www.silverlungs.com and click on our store page to find what silver-based products are best for you.
[00:06:59.513 --> 00:07:02.515]  That's www.silverlungs.com.
[00:07:03.355 --> 00:07:08.818]  Sodium fluoride in the body reduces IQ and increases cancers.
[00:07:09.118 --> 00:07:16.202]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[00:07:16.503 --> 00:07:18.924]  We're battling the globalist on so many fronts.
[00:07:19.224 --> 00:07:22.506]  Health is an area where we can all take control of our lives.
