[00:00:22.682 --> 00:00:23.262]  It's October 24, 2012.
[00:00:23.402 --> 00:00:26.143]  I'm Paul Joseph Watson.
[00:00:26.303 --> 00:00:28.363]  This is InfoWars Nightly News.
[00:00:31.904 --> 00:00:38.105]  Tonight, as election day draws closer, the mysterious group Anonymous issues a new violent threat.
[00:00:38.345 --> 00:00:42.686]  On the 5th of November 2012, the device will detonate remotely.
[00:00:43.066 --> 00:00:43.846]  We are Legion.
[00:00:44.446 --> 00:00:45.526]  We do not forget.
[00:00:46.166 --> 00:00:47.266]  We do not forgive.
[00:00:47.886 --> 00:00:50.547]  On the 5th of November, you will expect us.
[00:00:51.636 --> 00:00:53.938]  Then, uh-oh, here we go again.
[00:00:54.418 --> 00:00:59.202]  Voting machines already miscalculating votes, this time in North Carolina.
[00:00:59.643 --> 00:01:07.229]  Plus, oops, emails released today show that the White House was thoroughly briefed about the Benghazi embassy attacks.
[00:01:07.849 --> 00:01:15.796]  And, Rabdu conducts a hard-hitting interview with an anonymous Army National Guard source who warns that preppers are being targeted.
[00:01:16.216 --> 00:01:19.079]  All that and more on tonight's InfoWars Nightly News.
[00:01:28.479 --> 00:01:30.600]  Top story tonight on InfoWars Nightly News.
[00:01:30.740 --> 00:01:34.681]  Will anonymous bomb threat throw election for Obama?
[00:01:34.961 --> 00:01:52.446]  A YouTube threat to bomb a government building along with a plan by other members of Anonymous to storm the White House and Congress in an attempt to arrest government officials the day before the presidential election could provide the right crisis for Barack Obama to secure a second term.
[00:01:53.126 --> 00:01:58.388]  Now this is a complex story that we put out on Infowars.com earlier today, so let's try and simplify it.
[00:01:58.808 --> 00:02:00.148]  Boils down to two things.
[00:02:00.748 --> 00:02:06.870]  One is a video put out on YouTube a couple of days ago by an individual claiming to represent Anonymous.
[00:02:06.910 --> 00:02:09.211]  It's been on YouTube for over 48 hours.
[00:02:09.271 --> 00:02:16.733]  Has not been deleted, which is interesting because anything that's considered controversial usually gets deleted or at least censored.
[00:02:16.893 --> 00:02:18.474]  Age restricted within hours.
[00:02:18.594 --> 00:02:19.194]  This hasn't.
[00:02:20.114 --> 00:02:38.623]  And in this video, this individual who's wearing the classic V for Vendetta Guy Fawkes mask openly says that Anonymous has planted a £200 bomb in a government building and that it will be detonated on November 5th, one day before the presidential election.
[00:02:38.903 --> 00:02:41.004]  We've got a clip of that video which we're going to go to now.
[00:02:41.405 --> 00:02:43.786]  Citizens of the world, we are Anonymous.
[00:02:44.526 --> 00:02:56.535]  As of today, 200 kilograms of composite nitro glycerin and commercial explosives have effectively been concealed in a government building situated in the United States of America.
[00:02:57.156 --> 00:03:01.499]  On the 5th of November, 2012, the device will detonate remotely.
[00:03:01.879 --> 00:03:04.361]  Dear Legion, we do not forget.
[00:03:04.962 --> 00:03:06.102]  We do not forgive.
[00:03:06.703 --> 00:03:09.365]  On the 5th of November, you will expect us.
[00:03:13.001 --> 00:03:16.464]  So that's the bomb threat video that's been circulating on YouTube.
[00:03:16.524 --> 00:03:20.968]  Other members of Anonymous, of course, it's a loose collective, it's not a centralised group.
[00:03:21.388 --> 00:03:24.070]  They've denied any links with it, claimed they're non-violent.
[00:03:24.591 --> 00:03:33.579]  But then we've got another situation parallel to it, which is that also on November 5th there's this big event being organised by a separate strand of Anonymous.
[00:03:34.119 --> 00:03:43.968]  In which they openly plan to storm the White House and other government buildings in DC to conduct quote mass arrests, including the arrest of Obama.
[00:03:44.649 --> 00:03:57.461]  And the fact that this event, which has got its own website, its own Facebook page, its own Twitter, has been planned since June, clearly suggests that the Feds know about it and that they have infiltrated it.
[00:03:58.735 --> 00:04:06.061]  And you ask the question, you know, would the government infiltrate and use Anonymous to stage a terror attack in DC?
[00:04:06.682 --> 00:04:07.723]  Well, yeah, of course they would.
[00:04:07.763 --> 00:04:17.472]  I mean, even as the New York Times admitted, virtually every domestic terror plot inside the United States has been cooked up and provocateured by the FBI.
[00:04:18.052 --> 00:04:23.137]  Including, of course, the most recent plot to bomb the Federal Reserve Building there in Manhattan.
[00:04:24.580 --> 00:04:26.822]  So we're seeing this completely infiltrated group.
[00:04:26.862 --> 00:04:31.126]  I mean Anonymous is renowned for being completely infiltrated by the FBI.
[00:04:31.146 --> 00:04:34.310]  Its previous members have come out and confirmed that in public.
[00:04:35.210 --> 00:04:42.377]  And also we've got known disinfo outlets promoting this idea of storming the White House.
[00:04:43.078 --> 00:04:43.578]  I don't think so.
[00:05:04.395 --> 00:05:08.478]  relentlessly attacked Alex Jones and InfoWars back in 2009.
[00:05:08.879 --> 00:05:21.068]  He was outed as an FBI informant and his role as it came out in the court case was to, quote, publish information which would cause other parties to act in a manner which would lead to their arrest.
[00:05:21.549 --> 00:05:32.197]  So he was about making his followers turn violent and I think this is exactly what we're seeing again with this November 5th anonymous event and the bomb threat that's linked to it.
[00:05:33.158 --> 00:05:43.182]  So, you know, obviously there are tons of members of Anonymous with good intentions but there's never been a group more deeply infiltrated by the Feds than Anonymous and everybody acknowledges that.
[00:05:44.963 --> 00:05:45.123]  So...
[00:05:46.877 --> 00:05:58.642]  Now they're trying to bring Oath Keepers into it because, of course, the mainstream media has completely failed in its bid to demonise Oath Keepers as an extremist, violent organisation.
[00:05:59.062 --> 00:06:08.086]  So now, according to this anonymous group on their website, they actually call for the Oath Keepers to become involved in this march, this siege on Washington.
[00:06:08.706 --> 00:06:19.611]  And actually protect them with violent force from whatever reprisals they get from, you know, police, the National Guard, whatever, when they supposedly try and storm the White House.
[00:06:19.991 --> 00:06:28.695]  So we see them trying to bring in the Oath Keepers to try and radicalize and allow the media to demonize them as violent extremists.
[00:06:29.235 --> 00:06:32.977]  So it's all very suspicious and I think anyone
[00:06:33.897 --> 00:06:41.764]  Who believes that this isn't some kind of infiltration fed provocateur operation because every signal clearly smacks of that.
[00:06:42.324 --> 00:06:47.809]  You know, he's either woefully naive or he's deliberately trying to get people arrested because of it.
[00:06:48.330 --> 00:06:48.910]  It's a trap.
[00:06:49.351 --> 00:06:56.437]  And I mean, the most likely outcome is that it's going to end up being a bunch of teenage hackers milling around Washington D.C.
[00:06:56.457 --> 00:06:57.117]  doing nothing.
[00:06:57.938 --> 00:07:25.640]  But given how, you know, top Democratic strategists have openly embraced the idea of staging violent incidents to ensure Obama's re-election, combined with this video threat on YouTube, combined with the event on November 5th to storm the White House and try and arrest Obama, it's a very interesting situation indeed, but I hope it turns out to be absolutely nothing, but be very wary of this November 5th event, there's no doubt about that.
[00:07:26.360 --> 00:07:34.051]  Moving on now, My Fox 8 News reports, Guilford County voters say ballot cast for Romney came up Obama on machine.
[00:07:34.632 --> 00:07:41.662]  Greensboro, North Carolina, the presidential election is just around the corner and voting issues have already become a problem in Guilford County.
[00:07:42.683 --> 00:07:47.268]  On Monday, several voters complained that their electronic ballot machine cast the wrong vote.
[00:07:47.889 --> 00:07:51.653]  All the complaints were made by people who voted at the Bermil Park polling location.
[00:07:52.294 --> 00:08:02.525]  One of the voters, Cher Coromelis, says she cast her ballot for Governor Mitt Romney, but every time she entered her vote, the machine defaulted to President Obama.
[00:08:03.326 --> 00:08:09.528]  So they're basically saying in this county they had to vote over and over again for their vote to actually count for the right person.
[00:08:09.568 --> 00:08:12.268]  In this case it was flipping it from Romney to Obama.
[00:08:12.848 --> 00:08:21.431]  The election authorities there said it was just a little problem, everything's going to be fixed, and that it's just a gremlin in the system.
[00:08:21.451 --> 00:08:23.471]  There's no conspiracy behind it, they said.
[00:08:24.231 --> 00:08:29.993]  So, I mean, we see this at every single election, vote flipping due to electronic voting machines.
[00:08:31.013 --> 00:08:35.078]  And it reminds us of that old quote from Uncle Joe Stalin, you know.
[00:08:35.098 --> 00:08:40.063]  It doesn't matter who votes, what matters is who counts the votes.
[00:08:40.083 --> 00:08:41.645]  That's basically a paraphrase of it.
[00:08:42.386 --> 00:08:50.955]  So it really boils down to the fact that electronic voting machines have proven vulnerable time and time again, and yet at every election we can't seem to get rid of them.
[00:08:51.741 --> 00:08:59.406]  When it could be so much easier, all of this would be not necessary to even debate if we had a paper ballot in every instance.
[00:08:59.486 --> 00:09:04.950]  But we continue to see these mistakes cropping up with these electronic voting machines.
[00:09:05.391 --> 00:09:18.160]  Let's not forget the story from a few days ago out of CBS, a CBS affiliate in Arizona, which actually announced the results of the presidential election on a Friday night during an episode of The People's Court.
[00:09:18.720 --> 00:09:25.021]  And they actually flashed it up on screen that Obama had defeated Romney 43 to 40.
[00:09:25.901 --> 00:09:29.982]  So, you know, is the fix in or was it merely a mistake on their behalf?
[00:09:30.022 --> 00:09:33.303]  They said they were just testing the system for election night.
[00:09:33.783 --> 00:09:35.463]  But we've seen this over and over again.
[00:09:35.483 --> 00:09:44.525]  I mean, you could be the judge, but the fact that electronic voting machine fraud is going to be a big issue over the next two weeks seems certain.
[00:09:46.010 --> 00:09:48.971]  Shopkeeper labelled racist for criticising Obama.
[00:09:49.011 --> 00:09:50.171]  This is Infowars.com.
[00:09:50.592 --> 00:10:08.298]  A story about a Chicago shopkeeper who was labelled a racist simply for posting signs in his store window critical of Barack Obama has garnered widespread media attention, while thousands of racial Twitter messages posted by Obama supporters continue to be ignored by the mainstream press.
[00:10:09.258 --> 00:10:28.806]  And this story is about a shopkeeper named Sam Wolfson who basically stuck up some handwritten signs on his shop window there in Chicago saying, you know, criticizing Obama for bowing down in front of foreign dictators and Saudi kings, as well as criticizing him for his infamous, you didn't build that quote.
[00:10:29.166 --> 00:10:34.809]  So again, not racist under any definition, legitimate political criticism.
[00:10:35.802 --> 00:10:44.026]  But then somebody scrawls the word racist in red lipstick on his shop window and suddenly it becomes a national media story.
[00:10:44.786 --> 00:10:58.072]  So in this article we document all the other examples over the past few years of legitimate criticism of Obama being denounced as racist, notably by NBC who are renowned for playing that race card.
[00:10:59.893 --> 00:11:10.978]  Of course, Lawrence O'Donnell, one of the big hosts over at MSNBC, recently implied that criticising Obama for the fact that he plays golf often is a racial slur.
[00:11:11.498 --> 00:11:21.703]  That's the level that it's got now at MSNBC in terms of this chilling of free speech as it pertains to Obama and it being defined as racist.
[00:11:22.731 --> 00:11:36.034]  So, NBC's reporting on this story, we've got radio stations reporting on it, CBS News is reporting on it, a guy labelled racist for posting some handwritten notes in his shop window, and it's a pretty big story.
[00:11:36.474 --> 00:11:50.498]  Meanwhile, they've completely ignored the deluge of tweets, literally thousands, from Obama supporters, calling Romney and his supporters, you know, crackers, honkies, other racial slurs.
[00:11:51.238 --> 00:11:58.261]  Not to mention the flood of threats to actually assassinate Romney and stage riots if Obama loses the election.
[00:11:58.901 --> 00:12:14.068]  So the media is interested in one guy who gets called a racist because he criticises Obama, but when thousands of Obama supporters openly espouse genuine racism and racial violence, their silence is deafening.
[00:12:14.148 --> 00:12:17.350]  A massive double standard once again with the mainstream media.
[00:12:18.610 --> 00:12:23.453]  BBC News reports, Russia, Syrian rebels have US-made weapons.
[00:12:23.973 --> 00:12:30.176]  A senior Russian general has said Syrian rebels now have anti-aircraft weapons including US-made Stingers.
[00:12:30.656 --> 00:12:38.641]  General Nikolai Makarov was quoted by the Interfax news service as saying that the origin of the surface-to-air missiles should be cleared up.
[00:12:39.221 --> 00:12:47.765]  Quote, we have reliable information that Syrian militants have foreign portable anti-aircraft missile systems, including those made in the USA.
[00:12:48.246 --> 00:12:52.568]  It should be cleared up who delivered them, General Makarov told journalists in Russia.
[00:12:53.528 --> 00:13:06.935]  So while Syria is having its commercial airlines intercepted by Turkey, because they might contain arms, turned out they actually contain nothing whatsoever, but Turkey avoided international condemnation anyway,
[00:13:08.777 --> 00:13:13.961]  Now, the US is openly arming the Al-Qaeda rebels according to this report.
[00:13:14.441 --> 00:13:25.509]  So $200 million in taxpayer money already sent to the rebels to help them, you know, burn down Christian churches, cut people's heads off, carry out terrorist attacks.
[00:13:26.109 --> 00:13:27.651]  That's obviously not enough!
[00:13:28.444 --> 00:13:47.525]  And of course Romney has openly announced that if he gets in power, it's basically open season on sending heavy weaponry to these terrorists, most of whom aren't even Syrian, again proving that the uprising is completely contrived and funded and backed by foreign entities.
[00:13:48.706 --> 00:13:52.349]  So basically, apparently there's no need to hide it anymore.
[00:13:52.649 --> 00:14:00.455]  The weapons are directly going from the US to the rebels, and if Romney gets in power, that's only going to become public knowledge.
[00:14:01.482 --> 00:14:09.245]  So basically the government's using your money to arm people who like to wave around Al-Qaeda flags, while burning US flags.
[00:14:09.705 --> 00:14:13.227]  And if you don't get behind it, then you're unpatriotic.
[00:14:13.867 --> 00:14:27.813]  And you know, Obama and Romney can argue with each other all night long during the debate the other day on who's tougher on Al-Qaeda, when they both vehemently support arming and funding Al-Qaeda in Syria.
[00:14:29.099 --> 00:14:30.761]  Staying with geopolitical news now.
[00:14:31.601 --> 00:14:43.413]  CNS News reports State Department emailed to White House at 6.07pm on 9.11.12 Ansar al-Sharia claims responsibility for Benghazi attack.
[00:14:44.013 --> 00:14:53.883]  On September 11, 2012, just two hours after the State Department first began notifying government agencies back in Washington, including the White House,
[00:14:54.403 --> 00:14:57.786]  That the US consulate in Benghazi was under attack by armed men.
[00:14:58.287 --> 00:15:07.756]  State sent out an email that went to at least two people in the White House that said the group Ansar al-Sharia had claimed responsibility for the attack.
[00:15:08.637 --> 00:15:09.998]  And this email went directly
[00:15:11.019 --> 00:15:17.044]  To the executive office of the White House hours after the attack had unfolded.
[00:15:17.624 --> 00:15:20.887]  Quote, this email said nothing about a YouTube video.
[00:15:21.247 --> 00:15:25.530]  The email said nothing about a spontaneous demonstration.
[00:15:26.191 --> 00:15:27.552]  So we now know for a fact
[00:15:28.432 --> 00:15:32.856]  The White House knew the very day of the incident that it was a terrorist attack.
[00:15:33.316 --> 00:15:42.302]  Carried out by some of the very same Al-Qaeda militants the US and NATO had armed and funded the previous year to overthrow Gaddafi in Libya.
[00:15:43.294 --> 00:15:58.941]  And yet Obama, of course, lied to the American people for at least two weeks, claiming that the attack on the consulate was caused by a ridiculous, sophomoric, 14-minute YouTube clip that wasn't even a movie, insulting the Prophet Muhammad.
[00:15:59.401 --> 00:16:02.823]  And we had to labour through that story for over two weeks.
[00:16:03.823 --> 00:16:08.367]  So, now it's come out that they knew that wasn't the case the very same day.
[00:16:09.288 --> 00:16:23.860]  The Republicans are going to try and use this to score political points for Romney, even though, as we just discussed, Romney has publicly announced he's going to follow the exact same foreign policy as Barack Obama, only to a greater degree.
[00:16:24.821 --> 00:16:34.086]  And the media wonders why, you know, Obama and Romney agreed with each other for virtually the entire debate the other night on foreign policy.
[00:16:34.606 --> 00:16:49.514]  And it's because Romney told us he's going to pursue the exact same foreign policy as Obama, funding and arming Islamic extremists around the world to destabilize countries, to grease the skids for the annexation of
[00:16:50.094 --> 00:16:57.233]  You know, the remaining rogue states, rogue that is to the New World Order, namely Syria and Iran.
[00:16:59.318 --> 00:17:01.278]  Steve Watson reports for Infowars.com.
[00:17:01.518 --> 00:17:06.599]  Mom found guilty by court after refusing TSA pat-down on daughter.
[00:17:07.420 --> 00:17:19.342]  A woman who stood up to TSA screeners and refused to allow them to grope her 14-year-old daughter has been found guilty of disorderly conduct and sentenced to one year of probation by a court in Tennessee.
[00:17:20.022 --> 00:17:24.203]  And this concerns Andrea Fornella Abbott of Clarksville.
[00:17:24.983 --> 00:17:31.430]  Who was arrested by Nashville airport authorities for expressing outrage at TSA procedures.
[00:17:31.870 --> 00:17:36.095]  She dared to question the Lords in uniform.
[00:17:37.156 --> 00:17:45.505]  So basically what happened is she started complaining about the fact that the TSA was groping a 14 year old daughter, making her pass through a naked body scanner.
