[00:00:28.908 --> 00:00:30.789]  Good evening and welcome, ladies and gentlemen.
[00:00:30.889 --> 00:00:32.970]  I'm Aaron Dykes, your host for tonight.
[00:00:33.410 --> 00:00:39.453]  This is Wednesday, April 4th, 2012, and we'll be right back with the news.
[00:00:40.373 --> 00:00:48.397]  Tonight, on the Infowars Nightly News, the Obama administration is preparing to sue Arizona County Sheriff Joe Arpaio.
[00:00:48.777 --> 00:00:56.421]  Claiming that his department violated civil rights laws by improperly targeting Latinos to crack down on illegal immigrants.
[00:00:56.661 --> 00:01:01.723]  Could this be payback for the Arpaio investigation into Obama's fake birth certificate?
[00:01:02.064 --> 00:01:08.367]  Then, new research reveals that whooping cough outbreaks are higher among children already vaccinated.
[00:01:08.587 --> 00:01:12.489]  But the mainstream media spins the story to protect Big Pharma.
[00:01:13.317 --> 00:01:15.879]  What on earth is going on in Wisconsin?
[00:01:16.140 --> 00:01:19.983]  Yet another town reports strange booms and flashes of light.
[00:01:20.143 --> 00:01:21.364]  But don't be alarmed.
[00:01:21.564 --> 00:01:24.667]  The federal government says there is nothing to worry about.
[00:01:25.148 --> 00:01:31.453]  And finally, after exposing climate fascist Kerry Norgard, YouTube censors the Alex Jones Channel.
[00:01:31.734 --> 00:01:37.559]  Alex gets an update from Mark Moreno on the Green Police and their continuous attacks on our free speech.
[00:01:37.799 --> 00:01:43.362]  Plus more of today's top headlines and Jason Bermas joins us live via video Skype.
[00:01:43.663 --> 00:01:46.264]  It's 1776 Worldwide.
[00:01:51.027 --> 00:01:53.469]  And so now we'll get into our top story.
[00:01:53.529 --> 00:02:07.197]  The government is targeting Sheriff Joe Arpaio for his targeting of Latinos, an ongoing battle supposedly just over illegal immigration and the questions of whether they're enforcing things properly.
[00:02:07.617 --> 00:02:08.038]  You think so?
[00:02:28.240 --> 00:02:28.480]  I think so.
[00:02:44.372 --> 00:02:54.721]  With Sheriff Joe Arpaio, members of his cold case posse, people like Jerome Corsi, the extreme birth certificate investigator who has so much info that we put out last week.
[00:02:55.021 --> 00:03:02.668]  But meanwhile, you've got Homeland Security now wanting to grant illegal aliens unlawful presence waivers.
[00:03:03.409 --> 00:03:09.434]  So it's not just about the laws on the books in regards to illegal immigration, as imperfect as they are,
[00:03:09.774 --> 00:03:23.040]  You've got the Feds actively wanting to bring in more illegal aliens, give them waivers as they crack down on Americans, put them under suspicion for ordinary behavior and suspected activities of various kinds.
[00:03:23.540 --> 00:03:29.323]  Now in other news, vaccine failure is admitted as you have whooping cough outbreaks.
[00:03:30.333 --> 00:03:39.102]  Admittedly tied to children who did receive the vaccinations in question and not tied to children who were exempted from the vaccinations.
[00:03:40.083 --> 00:03:41.624]  Mike Adams has the report.
[00:03:41.965 --> 00:03:45.949]  For several years, he says, National News has maintained that many vaccines
[00:03:46.389 --> 00:04:09.214]  Actually cause the very infectious diseases they claim to present prevent measles vaccines for example actually cause measles flu shots actually cause an increase in Susceptibility to the flu and now we have an open admission precisely to the point He of course sites directly from a Reuters report where they cite a spike in cases around the Kaiser permanent
[00:04:09.654 --> 00:04:10.595]  We're good to go.
[00:04:10.715 --> 00:04:10.955]  I think?
[00:04:27.384 --> 00:04:27.644]  I think so.
[00:04:47.349 --> 00:04:47.749]  I think so.
[00:05:11.095 --> 00:05:13.476]  That those in authority are the greatest dangers.
[00:05:13.516 --> 00:05:16.456]  That's at least if you focus on the TSA situation.
[00:05:16.877 --> 00:05:36.662]  Now a screener has been caught throwing hot coffee in a pilot's face after the pilot asked her to stop using the n-word and to refrain from profanity in their conversation because of all the children around and the general professional ethics that normally would apply to almost any profession but somehow not to TSA.
