[00:00:21.587 --> 00:00:22.007]  Welcome.
[00:00:22.227 --> 00:00:23.488]  It is Monday, February 27, 2012.
[00:00:23.668 --> 00:00:26.310]  I'm Aaron Dykes.
[00:00:26.731 --> 00:00:30.433]  Now, coming up later in the program, we have Mike Adams who hosted the show today.
[00:00:30.473 --> 00:00:35.296]  He's got an exclusive interview he did right here on the Nightly News with Patricia Finn.
[00:00:35.657 --> 00:00:37.278]  She's a lawyer who's being threatened.
[00:00:37.298 --> 00:00:40.340]  They're trying to take away her bar status for protecting
[00:00:40.720 --> 00:00:54.464]  Her clients who are refusing to vaccinate and the state and everybody is basically demanding she give up her clients so they can find out who are the parents who refuse to vaccinate their children and why are they trying to stand up for themselves in a legal capacity.
[00:00:54.824 --> 00:00:55.965]  She's not backing down.
[00:00:56.185 --> 00:00:57.705]  Wait till you see that interview.
[00:00:57.805 --> 00:00:59.346]  I'm sure we're going to be hearing more from her.
[00:00:59.446 --> 00:01:00.206]  She is a fighter.
[00:01:00.726 --> 00:01:05.090]  Now, I'm fresh off the plane just a couple hours ago, back from Orlando.
[00:01:05.510 --> 00:01:15.197]  Last night, Alex was at the Hi-Li there in Orlando, in affiliation with the big 810 AM station, to a sold-out house, packed crowd at the Hi-Li.
[00:01:15.598 --> 00:01:16.959]  Very enthusiastic.
[00:01:17.059 --> 00:01:18.260]  Alex gave a great speech.
[00:01:18.320 --> 00:01:23.224]  We also showed the 40-minute documentary, The New World Order Blueprint of the Mad Men.
[00:01:23.804 --> 00:01:30.287]  And, of course, Alex also did his Sunday show there, the two-hour broadcast, live on stage as the audience arrived.
[00:01:30.628 --> 00:01:32.449]  They all cheered and watched and everything.
[00:01:32.469 --> 00:01:33.369]  It was great.
[00:01:33.449 --> 00:01:37.831]  Lots of very excited people, activists all over the crowd.
[00:01:37.851 --> 00:01:42.494]  A lot of people very pumped up about Liberty, ready to say no to this damn system.
[00:01:42.934 --> 00:01:50.818]  And I hope they're as excited about going out there and talking to other people, waking up new minds as they were about talking to Alex and the crew.
[00:01:51.238 --> 00:01:51.859]  We're good to go.
[00:02:06.841 --> 00:02:11.024]  A special situation as we got off the plane about 2 30 p.m.
[00:02:11.064 --> 00:02:36.341]  Today here at Austin Bergstrom And you can see one of these power tripping TSA minions as they held back Perhaps three or four hundred people didn't let him pass by for over five minutes in this total paranoid Episode that we later found out was what they considered a suspicious bag naturally they didn't find anything but they quarantined the whole zone and and this guy got to put his power on display a woman in a TSA uniform
[00:02:36.581 --> 00:02:36.921]  We're good to go.
[00:03:03.363 --> 00:03:06.646]  So Rob Dunne is up here with the camera towards the front of the crowd.
[00:03:06.666 --> 00:03:08.968]  What you can't see is there's several hundred people behind him.
[00:03:08.988 --> 00:03:14.652]  They're not letting people pass through the main walkway or on the sides where they have the seats and the gates over there.
[00:03:14.993 --> 00:03:17.595]  Just total lockdown over this paranoia about the bag.
[00:03:19.548 --> 00:03:20.048]  From where I am, over here.
[00:03:40.765 --> 00:03:46.409]  There's a situation at this point that we have to be sure to make sure everything is safe before you proceed.
[00:03:46.429 --> 00:03:49.091]  So the safest place for you to be is on this side.
[00:03:49.151 --> 00:03:50.011]  Right now.
[00:03:50.051 --> 00:03:50.652]  Makes no sense.
[00:03:50.792 --> 00:03:52.233]  A little bit of patience.
[00:03:52.333 --> 00:03:55.255]  I understand you have places to go.
[00:03:55.275 --> 00:03:57.076]  But let's make sure that you can go.
[00:03:57.176 --> 00:03:57.957]  Your safety is a joke.
[00:03:57.977 --> 00:03:58.477]  Pardon me?
[00:03:58.657 --> 00:04:00.318]  Your safety is a joke, man.
[00:04:00.358 --> 00:04:00.939]  That's your opinion.
[00:04:00.959 --> 00:04:01.639]  You're entitled to it.
[00:04:01.659 --> 00:04:02.119]  Alright.
[00:04:02.159 --> 00:04:02.480]  Thank you.
[00:04:02.500 --> 00:04:03.180]  Almost wrapping up.
[00:04:17.575 --> 00:04:28.826]  Of course, nothing actually going on, just freaking out as Austin just put in body scanners, so it's kind of a new level.
[00:04:34.932 --> 00:04:37.513]  And so, as I was pointing out, they just put in the body scanners now.
[00:04:37.553 --> 00:04:39.174]  It's a whole new wave of paranoia there.
[00:04:39.234 --> 00:04:42.596]  Everything's a situation now, and they've got to lock down for control.
[00:04:42.636 --> 00:04:44.777]  But nothing tangible's even happening.
[00:04:45.157 --> 00:04:50.599]  Meanwhile, when something actually does happen, like the underwear bomber turns out of his stage, turns out he was let on the plane.
[00:04:51.099 --> 00:04:54.921]  Every time I go through an airport, I always see them flagging handicapped people.
[00:04:54.981 --> 00:05:00.464]  Last time I came through Austin, it was a young guy on a cane, and they put him in the isolation box.
[00:05:01.504 --> 00:05:06.985]  Meanwhile, you've got all other sectors of travel and hospitality getting more suspicious all the time.
[00:05:07.365 --> 00:05:20.508]  You've seen the recent FBI Communities Against Terrorism paranoia flyers where everything, all kinds of activity is potentially terroristic, especially when it has to do with hotels or transportation or rental cars.
[00:05:20.908 --> 00:05:22.068]  I had another episode there.
[00:05:22.128 --> 00:05:24.569]  It's not caught on camera, but I'll tell you the story briefly.
[00:05:25.269 --> 00:05:33.234]  Uh, the woman at the rental car place there in Orlando demanded now to know where I was staying and where I was going to be with the car while I had it checked out.
[00:05:33.614 --> 00:05:35.675]  And I told her, frankly, it was none of her business.
[00:05:36.175 --> 00:05:39.237]  And she was so taken back, she asked me to repeat that twice.
[00:05:39.277 --> 00:05:39.838]  She literally
[00:05:40.538 --> 00:05:40.778]  I think so.
[00:06:04.949 --> 00:06:06.471]  Bothered to even speak up about that.
[00:06:06.531 --> 00:06:08.133]  That's why we have to speak up, people.
[00:06:08.853 --> 00:06:10.756]  It does gradually have an effect.
[00:06:10.776 --> 00:06:12.057]  You may not see it immediately.
[00:06:12.498 --> 00:06:18.144]  Anyway, just a few little anecdotes from our travel and a great event again in Orlando.
[00:06:18.364 --> 00:06:19.565]  Alex speaking, of course.
[00:06:20.406 --> 00:06:21.608]  Well over an hour and a half.
[00:06:21.648 --> 00:06:22.849]  Very enthusiastic crowd.
[00:06:22.909 --> 00:06:24.111]  Turning now to the news.
[00:06:24.631 --> 00:06:28.794]  FEMA puts out a contract for emergency camps to house displaced citizens.
[00:06:29.234 --> 00:06:30.615]  That's Paul Joseph Watson.
[00:06:31.075 --> 00:06:43.863]  And this, again, is just a greater continuation of other reports we've seen recently, including back in December when memos were leaked, also calling for contractors at camps to be ready.
[00:06:44.463 --> 00:06:48.468]  ...to house and staff them within 72 hours in all sectors and capacities.
[00:06:48.848 --> 00:07:02.763]  The Federal Emergency Management Agency is looking for contractors to construct temporary emergency camps inside the United States which can be ready for occupancy within a 72 hour time period and used to house emergency responders as well as displaced citizens.
[00:07:03.635 --> 00:07:24.018]  The National Responder Support Camp Contract, which was posted on the Federal Business Opportunities website, calls on contractors to provide all necessary supervision, professional staff, labor support, material, supplies, etc., etc., within 72 hours, and it would be used to shelter, quote, displaced citizens.
[00:07:24.719 --> 00:07:39.147]  And so again, for well over a decade and a half, you've seen these emergency plans through all the different areas, all the way back to Rex 84, where they're planning for displaced citizens, a mass influx of immigrants.
[00:07:39.847 --> 00:07:48.952]  But it always turns out it's just a takeover drill, where they suspend the Constitution, put in martial law, and there's a chain of continuity of government command.
[00:07:49.492 --> 00:07:50.873]  And this is more of that.
[00:07:50.933 --> 00:07:52.954]  We see them really moving
[00:07:53.434 --> 00:07:56.138]  To staff those camps and make them totally activated.
[00:07:56.198 --> 00:07:57.780]  There's been a lot of points of data.
[00:07:57.860 --> 00:08:01.465]  I hope you have been following that with this over the past several months.
[00:08:01.485 --> 00:08:05.350]  I'm not going to cover it all today, but in the future I'm sure we'll recap a lot of it.
