[00:00:27.786 --> 00:00:30.251]  It's August 30th, it's InfoWars Nightly News.
[00:00:30.351 --> 00:00:32.294]  I'm Paul Jedliff-Watson on tonight's show.
[00:00:35.373 --> 00:00:45.700]  Coming up tonight on the Info Wars Nightly News, Aaron Dykes interviews why in the world are they spraying Michael Murphy about how airplanes are filling our skies with more than just travelers.
[00:00:46.160 --> 00:00:51.884]  Then, NATO's plot to use ambulances as a cover for humanitarian intervention in Syria is revealed.
[00:00:52.385 --> 00:00:57.908]  Plus, caught on tape, not one but two videos of shocking police brutality exposed.
[00:00:58.168 --> 00:01:01.711]  All this and more, coming up on the Info Wars Nightly News.
[00:01:11.414 --> 00:01:17.216]  First story up tonight, Texas students revolt against mandatory RFID tracking chips.
[00:01:17.657 --> 00:01:30.682]  Students and parents at two San Antonio schools are in revolt over a program that forces kids to wear RFID tracking name tags, which are used to pinpoint their location on campus as well as outside school premises.
[00:01:31.582 --> 00:01:42.854]  Students at John Jay High School and Anson Jones Middle School will be mandated to wear tags from today, which will be used to track them on campus, as well as when they enter and leave school.
[00:01:43.514 --> 00:01:53.485]  Andrea Hernandez is leading a group of students who refuse to wear the tags because, in her words, it, quote, it makes me uncomfortable, it's an invasion of my privacy.
[00:01:54.690 --> 00:01:56.891]  And so again, this is prisoner training.
[00:01:57.371 --> 00:01:58.512]  That's what it amounts to.
[00:01:58.552 --> 00:02:03.654]  You've got children being prepared for their introduction into the outside world.
[00:02:03.694 --> 00:02:11.878]  They're being indoctrinated to accept that their every movement is being tracked, as if it's a completely normal, rational thing to be happening.
[00:02:13.118 --> 00:02:16.059]  But it's all for the kids' safety, of course, as the school claims.
[00:02:16.139 --> 00:02:24.403]  It's got nothing whatsoever to do with the fact that they've got a two million dollar check from the government waiting for them if they improve attendance and get rid of truancy.
[00:02:25.703 --> 00:02:40.690]  And speaking of prisoner training, I mean, in some ways schools are becoming more pernicious than jails themselves because, you know, just like in jail there are surveillance cameras everywhere, there are cops walking around everywhere, as there are now in high schools.
[00:02:41.750 --> 00:02:45.513]  But, you know, at least in jail you're not being constantly indoctrinated.
[00:02:46.053 --> 00:02:50.817]  And on top of that, of course, with schools we've got the deliberate dumbing down agenda.
[00:02:51.057 --> 00:03:00.465]  American kids getting more and more stupid because the system exists to strangle their individuality and stifle their natural talent.
