[00:00:21.556 --> 00:00:22.497]  Welcome, my friends.
[00:00:22.677 --> 00:00:25.739]  It is Thursday, March 8th, 2012.
[00:00:26.139 --> 00:00:31.182]  This is one of the most important editions of InfoWars Nightly News ever.
[00:00:32.603 --> 00:00:36.285]  Something beyond treason has been committed against our Republic.
[00:00:37.266 --> 00:00:44.330]  The Pentagon, the President, the Joint Chiefs of Staff, the Secretary of Defense have all told Congress they have no authority over war.
[00:00:44.350 --> 00:00:47.132]  And not only is the President a dictator,
[00:00:49.366 --> 00:00:51.789]  But the United Nations and NATO is his boss.
[00:00:52.810 --> 00:00:57.216]  This is a coup d'etat against our constitutional republic.
[00:00:57.756 --> 00:01:02.783]  We have detailed reports at Infowars.com that we're going to be covering here in just a moment.
[00:01:04.892 --> 00:01:09.094]  Then Webster Griffin Tarpley after the news headlines is going to be joining us.
[00:01:09.114 --> 00:01:10.495]  He's been to Central Africa.
[00:01:10.555 --> 00:01:11.395]  He's been to Libya.
[00:01:11.775 --> 00:01:20.679]  He predicted three and a half years ago in the Obama deception that there would be a occupation of Africa through the pretext of humanitarian reasons.
[00:01:21.780 --> 00:01:24.021]  Here's a clip of what's coming up in that interview.
[00:01:24.641 --> 00:01:30.884]  Five years ago, the campuses where invisible children is now recruiting and getting money
[00:01:31.587 --> 00:01:35.970]  We're hotbeds of anti-war, anti-Bush Cheney, pro-impeachment.
[00:01:36.050 --> 00:01:38.472]  Now they're taking the leftover to make them a bed doll.
[00:01:38.952 --> 00:01:39.472]  Pro-war.
[00:01:39.953 --> 00:01:46.597]  The new anti-war activism is proxy war, proxy state, civil war, genocide.
[00:01:46.837 --> 00:01:54.082]  And the new trendy thing is to support new genocides because there's some phantom guy with 500 followers in the jungle somewhere.
[00:01:54.443 --> 00:01:55.383]  Let's kill another 7 mil.
[00:01:56.664 --> 00:02:09.618]  What a genius PSYOP to go into the foundation-controlled university left that has been sitting on their hands when it comes to anti-war and actually get them clamoring for war.
[00:02:10.851 --> 00:02:19.236]  Using different forms of propaganda and using a new boogeyman when the globalist stated agenda under State Department Moranum 200 is genocide in Africa.
[00:02:19.576 --> 00:02:29.522]  That is coming up and I'm going to give you a breakdown of the players there in those areas of Uganda and other areas coming up here in just a few minutes.
[00:02:30.042 --> 00:02:32.184]  And then John Corbett, the engineer,
[00:02:32.984 --> 00:02:38.347]  Who has had over a million views in the last day of his video proving that the body scanners are a total fraud.
[00:02:38.867 --> 00:02:47.031]  He's now had media attempting to talk to him being threatened by the TSA and of course they've banned and restricted his video on YouTube.
[00:02:47.091 --> 00:02:56.956]  Incredible information documenting the abuses and federal power grab of the Total Sexual Assault Bureau known as the TSA.
[00:02:57.376 --> 00:02:59.657]  That is all coming up today.
[00:03:00.377 --> 00:03:00.998]  But first,
[00:03:02.284 --> 00:03:04.264]  Let's get into high treason and beyond.
[00:03:05.245 --> 00:03:06.185]  I got up this morning.
[00:03:06.245 --> 00:03:08.785]  I hadn't seen yesterday's congressional testimony.
[00:03:09.325 --> 00:03:10.325]  I went to the Drudge Report.
[00:03:10.345 --> 00:03:17.767]  I went to Infowars.com and I saw the Breitbart headline, Panetta, international permission, Trump's congressional permission for military actions.
[00:03:18.407 --> 00:03:25.788]  Then I watched, we have a clip of that coming up here in a moment, a seven and a half minute compilation and couldn't believe it.
[00:03:25.828 --> 00:03:28.949]  Then I went into C-SPAN and watched over an hour of the raw footage.
[00:03:30.737 --> 00:03:32.297]  It's worse than the Breitbart headline.
[00:03:33.118 --> 00:03:46.302]  They actually say in there, and are belligerent to the Senate, over and over again, he says, well you know the Congress declares war, the Congress funds war, the Congress controls and commissions officers, and they just say, no, the U.N.
[00:03:46.342 --> 00:03:47.442]  and NATO gives us our authority.
[00:03:47.982 --> 00:03:55.004]  So it's worse than just the President saying, I'm a dictator like Julius Caesar in 49 B.C.
[00:03:55.064 --> 00:03:56.425]  and invading Rome with the military.
[00:03:57.458 --> 00:03:58.278]  At least he was Roman.
[00:03:58.759 --> 00:04:13.785]  They're saying, we take our orders from the UN and NATO, and there's Congress, under law, and by the way, Walter Jones of Carolina and others have introduced legislation in the Senate to begin impeachment proceedings against Obama.
[00:04:13.805 --> 00:04:15.326]  So this is a big deal.
[00:04:15.766 --> 00:04:18.267]  But it's getting almost no mainstream media coverage.
[00:04:18.287 --> 00:04:18.608]  There it is.
[00:04:18.868 --> 00:04:21.329]  Resolution calls for impeachment of Obama.
[00:04:22.458 --> 00:04:36.448]  If Obama does not seek war authorization from Congress, and you can go to Representative Walter Jones' site right there, top link, and he explains that it is a high crime and misdemeanor, is treason, and then he sources the Constitution.
[00:04:37.028 --> 00:04:41.271]  And that's LaRouche's site actually copied over what he had said.
[00:04:41.291 --> 00:04:45.874]  You can actually go to Walter Jones' own site and read that right there.
[00:04:45.914 --> 00:04:47.055]  Scroll down and I'll read you what he said.
[00:04:48.757 --> 00:04:59.307]  Expressing the sense of Congress that the use of offensive military force by a president without prior and clear authorization of an act of Congress constitutes an impeachable high-crime misdemeanor under Article 2, Section 4 of the Constitution.
[00:04:59.648 --> 00:05:00.228]  Go look it up.
[00:05:00.709 --> 00:05:06.374]  Whereas the cornerstone of the Republic is honoring Congress's inclusive power to declare war under Article 1, Section 8.
[00:05:07.495 --> 00:05:08.736]  Clause 11 of the Constitution.
[00:05:08.796 --> 00:05:31.630]  Now, therefore, be it resolved by the House of Representatives that the Senate concurring, that is the sense of Congress, expect in response to an actual or imminent attack against the territory of the United States, like ICBMs coming in, the use of offensive military force by the President without prior and clear authorization of an act of Congress violates Congress's exclusive power to declare under Article 1, Section 8.
[00:05:33.274 --> 00:05:39.839]  of the Constitution and constitutes an impeachable high crime misdemeanor under Article 2, Section 4 of the Constitution.
[00:05:39.879 --> 00:05:43.682]  We actually have a copy of that bill that I covered on the radio today.
[00:05:43.722 --> 00:05:44.403]  It is there.
[00:05:44.523 --> 00:05:45.824]  The Senate's now signed on.
[00:05:45.844 --> 00:05:48.226]  We're going to play you a clip of that.
[00:05:48.746 --> 00:05:57.453]  Then we'll get into some of the other news on that front, but here are some of the amazing exchanges that took place yesterday that are unprecedented.
[00:05:57.774 --> 00:06:04.519]  Even when Lincoln basically set himself up as a dictator and arrested members of Congress, he wasn't doing it under the pay of foreign powers.
[00:06:05.700 --> 00:06:08.963]  This has never happened in 235 years of this country.
[00:06:09.303 --> 00:06:12.226]  This is espionage by foreign agents.
[00:06:12.699 --> 00:06:22.903]  We worried about international legal basis, but nobody worried about the fundamental constitutional legal basis that this Congress has over war.
[00:06:23.763 --> 00:06:32.286]  We were not asked, stunningly, in direct violation of the War Powers Act, whether or not you believe it's constitution, it certainly didn't comply with it.
[00:06:32.587 --> 00:06:35.728]  We spent our time worrying about the UN, the Arab League, NATO,
[00:06:36.448 --> 00:06:41.615]  And too little time, in my opinion, worrying about the elected representatives of the United States.
[00:06:41.976 --> 00:06:50.307]  Do you think that you can act without Congress to initiate a no-fly zone in Syria without congressional approval?
[00:06:51.789 --> 00:07:08.998]  You know, again, our goal would be to seek international permission and we would come to the Congress and inform you and determine how best to approach this, whether or not we would want to get permission from the Congress.
[00:07:09.378 --> 00:07:13.020]  I think those are issues we would have to discuss as we decide what to do here.
[00:07:13.809 --> 00:07:27.884]  Well, I'm almost breathless about that, because what I heard you say is, we're going to seek international approval, and they will come and tell the Congress what we might do, and we might seek congressional approval.
[00:07:28.444 --> 00:07:30.666]  I want to just say to you, that's a big dish.
[00:07:30.767 --> 00:07:31.367]  Wouldn't you agree?
[00:07:32.028 --> 00:07:33.289]  You've served in the Congress.
